business_status,formatted_address,name,permanently_closed,place_id,plus_code,rating,types,user_ratings_total,opening_hours,tag,price_level,results,lat,long
CLOSED_TEMPORARILY,"Agra, Uttar Pradesh 283105, India",Nurcy Park,TRUE,ChIJ1fb-NySIczkRC5k5mRGxQ6E,"{'compound_code': '5WJC+FC Agra, Uttar Pradesh', 'global_code': '7JVV5WJC+FC'}",4.2,"['amusement_park', 'point_of_interest', 'establishment']",146,-1,amusement_park,-1,-1,27.1811473,77.9210432
CLOSED_TEMPORARILY,"chuchena post, Nagala, Bainpur, Sikandra, Agra, Uttar Pradesh 282007, India",Mahesh chandra,TRUE,ChIJuUWlXgd5dDkRIdzOIcIhWdA,"{'compound_code': '6WHR+CX Sikandra, Agra, Uttar Pradesh', 'global_code': '7JVV6WHR+CX'}",0,"['amusement_park', 'point_of_interest', 'establishment']",0,-1,amusement_park,-1,-1,27.2286179,77.9424531
CLOSED_TEMPORARILY,"Dharmapuri, Forest Colony, Tajganj, Agra, Uttar Pradesh 282001, India",Nauka Bihar,TRUE,ChIJya7vKSRxdDkRXqm9qAzu3WI,"{'compound_code': '529M+XM Tajganj, Agra, Uttar Pradesh', 'global_code': '7JVW529M+XM'}",3.5,"['amusement_park', 'point_of_interest', 'establishment']",34,-1,amusement_park,-1,-1,27.1699069,78.0342187
OPERATIONAL,"A-Block, KaliCharan Pahelwa Marg Ansal Town, Baroli Ahir, Agra, Uttar Pradesh 283125, India",Rimjhim The Water Park,-1,ChIJk7hPpmpzdDkR3cFaxFz6cbI,"{'compound_code': '43GC+73 Baroli Ahir, Agra, Uttar Pradesh', 'global_code': '7JVW43GC+73'}",4.1,"['amusement_park', 'park', 'restaurant', 'food', 'point_of_interest', 'establishment']",35,{'open_now': True},amusement_park,-1,-1,27.1257133,78.070238
OPERATIONAL,"NH-2, Mathura Rd, Lohamandi, Runkata, Uttar Pradesh 282007, India",Dolphin Water Park,-1,ChIJi1I1T0SGczkRdrN7KUXTjdg,"{'compound_code': '6VQ9+94 Runkata, Uttar Pradesh', 'global_code': '7JVV6VQ9+94'}",3.7,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",2007,{'open_now': True},amusement_park,-1,-1,27.2383903,77.8678133
CLOSED_TEMPORARILY,"Dharmapuri, Forest Colony, Tajganj, Agra, Uttar Pradesh 282001, India",Taj Mahal,TRUE,ChIJbf8C1yFxdDkR3n12P4DkKt0,"{'compound_code': '52GR+3V Tajganj, Agra, Uttar Pradesh', 'global_code': '7JVW52GR+3V'}",4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",169091,-1,amusement_park,-1,-1,27.1751448,78.0421422
CLOSED_TEMPORARILY,"Unnamed Road, Mundhera, Uttar Pradesh 283102, India",T.S Chahar Waterpark,TRUE,ChIJl9SWkHB1dDkRAv3naQOZBXo,"{'compound_code': '3WJW+H2 Mundhera, Uttar Pradesh', 'global_code': '7JVV3WJW+H2'}",4.1,"['amusement_park', 'point_of_interest', 'establishment']",8,-1,amusement_park,-1,-1,27.0814905,77.9450523
OPERATIONAL,"Didamai, Uttar Pradesh 283203, India",Siddni Water Park,-1,ChIJo3vK94ZGdDkRTmfOcRGCBuA,"{'compound_code': '5C3G+HC Didamai, Uttar Pradesh', 'global_code': '7JVW5C3G+HC'}",3.9,"['amusement_park', 'point_of_interest', 'establishment']",66,{'open_now': True},amusement_park,-1,-1,27.1539459,78.4260002
CLOSED_TEMPORARILY,"GT Rd, Uttar Pradesh 202136, India",State Deer Park & Research Center,TRUE,ChIJt2-mgeKodDkRoSyAjkKKa6s,"{'compound_code': '2X3Q+G5 Nagla Viria, Uttar Pradesh', 'global_code': '7JWV2X3Q+G5'}",3.8,"['amusement_park', 'point_of_interest', 'establishment']",37,-1,amusement_park,-1,-1,28.0038366,77.9879093
OPERATIONAL,"8 KM Mile Stone, Delhi-Meerut Highway, Duhai, Ghaziabad, Uttar Pradesh 201003, India",Drizzling Land Water and Amusement Park,-1,ChIJwQcqDVjxDDkRE1P2nBQDC4I,"{'compound_code': 'PFG9+CV Ghaziabad, Uttar Pradesh', 'global_code': '7JWVPFG9+CV'}",3.9,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",3429,{'open_now': True},amusement_park,-1,-1,28.7261111,77.4697222
