business_status,formatted_address,name,permanently_closed,place_id,plus_code,rating,types,user_ratings_total,opening_hours,tag,price_level,lat,long
CLOSED_TEMPORARILY,"BACKSIDE OF PATEL LAWNS, H.NO137 P.NO37 ABRAR COLONY NYAR MARWAH MASJID, Beed Bypass Rd, Aurangabad, Maharashtra 431005, India",AR.PLAY,TRUE,ChIJJ6eJVXGZ2zsRTy25c7Nbe_o,"{'compound_code': 'V836+V3 Aurangabad, Maharashtra', 'global_code': '7JFQV836+V3'}",0,"['amusement_park', 'point_of_interest', 'establishment']",0,-1,amusement_park,-1,19.8547242,75.3101311
OPERATIONAL,"3-8-286, Sanjay Nagar, Mondha, Aurangabad, Maharashtra 431001, India",Sk Sadabahar Amusement park,-1,ChIJx9z5l4ij2zsRKtJSO-QPaoY,"{'compound_code': 'V8MV+3P Mondha, Aurangabad, Maharashtra', 'global_code': '7JFQV8MV+3P'}",0,"['home_goods_store', 'point_of_interest', 'store', 'establishment']",0,-1,amusement_park,-1,19.8827237,75.3443275
CLOSED_TEMPORARILY,"NH 211, Vitkheda - Ellora Rd, near Daulatabad, Fort, Daulatabad, Maharashtra 431005, India",H2O Waterpark,TRUE,ChIJTcHd0RmR2zsRz8H3-JTVsGw,"{'compound_code': 'X64C+8V Daulatabad, Maharashtra', 'global_code': '7JFQX64C+8V'}",3.8,"['amusement_park', 'point_of_interest', 'establishment']",753,-1,amusement_park,-1,19.9558,75.222134
CLOSED_TEMPORARILY,"Daulatabad, Maharashtra 431002, India",Deluxe Green Valley,TRUE,ChIJ9W3noL-R2zsRrGsB7whC2qQ,"{'compound_code': 'X63F+55 Daulatabad, Maharashtra', 'global_code': '7JFQX63F+55'}",4,"['amusement_park', 'point_of_interest', 'establishment']",5,-1,amusement_park,-1,19.9528817,75.2229768
OPERATIONAL,"Ellora Road, Next to H2O Waterpark, Daulatabad, National Highway 211, Aurangabad, Maharashtra 431002, India",Hotel Lotus,-1,ChIJX5hb8heR2zsR4HyJ4LKJGPs,"{'compound_code': 'X64C+2F Aurangabad, Maharashtra', 'global_code': '7JFQX64C+2F'}",3.9,"['amusement_park', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",210,{'open_now': True},amusement_park,-1,19.9550102,75.2212221
CLOSED_TEMPORARILY,"Old Pune Mumbai Highway, NH-4 Post-Takve, Mundhaware, Pune, Maharashtra 410405, India",Magic Mountain,TRUE,ChIJ4YEIQLKrwjsRUIDTG6v-uF8,"{'compound_code': 'QG78+X4 Fangane, Maharashtra', 'global_code': '7JCMQG78+X4'}",4.3,"['amusement_park', 'point_of_interest', 'establishment']",1739,-1,amusement_park,-1,18.7649021,73.5152505
OPERATIONAL,"near Mc Donalds, Shivar Garden, Mira Road, Mumbai, Maharashtra 401107, India",Vardhman Fantasy Amusement Park,-1,ChIJw7-IDEew5zsR7ku8SoA_gmg,"{'compound_code': '7VQ8+QQ Mira Road, Mira Bhayandar, Maharashtra', 'global_code': '7JFJ7VQ8+QQ'}",3.6,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",9662,{'open_now': True},amusement_park,-1,19.2894192,72.8668823
CLOSED_TEMPORARILY,"Survey No.7,Near Sanjeevan School, Taighat, Panchgani, Maharashtra 412805, India",On Wheelz Amusement Park,TRUE,ChIJV21YeIRowjsRs9oB27XFecE,"{'compound_code': 'WQ9P+QJ Panchgani, Maharashtra', 'global_code': '7J9MWQ9P+QJ'}",3.6,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",628,-1,amusement_park,-1,17.9194666,73.7866021
OPERATIONAL,"Essel world Amusement Park, Gorai, Mumbai, Maharashtra 400092, India",EsselWorld,-1,ChIJsWNPGBG05zsRbvTUhyCi2sQ,"{'compound_code': '6RJ4+J2 Gorai, Mumbai, Maharashtra', 'global_code': '7JFJ6RJ4+J2'}",4.4,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",25938,{'open_now': True},amusement_park,-1,19.231546,72.8050577
CLOSED_TEMPORARILY,"Rainbow Land Parks, Lonavla, Aundholi, Maharashtra 410401, India",Dinosaur Park,TRUE,ChIJaaCUYR0C6DsR98lBebFAE8Q,"{'compound_code': 'PFF2+JP Aundholi, Maharashtra', 'global_code': '7JCMPFF2+JP'}",3.7,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",1920,-1,amusement_park,-1,18.7240032,73.4517566
