business_status,formatted_address,name,permanently_closed,place_id,plus_code,rating,types,user_ratings_total,opening_hours,tag,price_level,results,lat,long
CLOSED_TEMPORARILY,"RIICO Industrial Area, Mansarovar, Jaipur, Rajasthan 302020, India",Fun Kingdom Amusement Park,TRUE,ChIJl_m8uZK1bTkR9EcgjjSIZgc,"{'compound_code': 'RQQM+58 Mansarovar, Jaipur, Rajasthan', 'global_code': '7JRQRQQM+58'}",3.8,"['amusement_park', 'point_of_interest', 'establishment']",191,-1,amusement_park,-1,-1,26.8379133,75.7832956
CLOSED_TEMPORARILY,"Premises, Jawahar Circle, near Car Parking, Jaipur, Rajasthan, India",Children's Park And Play Ground,TRUE,ChIJMbmoyOS1bTkRhj0R-tRVvho,"{'compound_code': 'RQQX+MP Jaipur, Rajasthan', 'global_code': '7JRQRQQX+MP'}",4.1,"['amusement_park', 'point_of_interest', 'establishment']",104,-1,amusement_park,-1,-1,26.8391692,75.7993206
CLOSED_TEMPORARILY,"Alkapuri Main Rd, Alkapuri Township, Niwaru Rd, Jhotwara, Jaipur, Rajasthan 302012, India",Alkapuri Kids Park,TRUE,ChIJtVYvwtKybTkRvnNQK6Qb3mc,"{'compound_code': 'XP88+G3 Jhotwara, Jaipur, Rajasthan', 'global_code': '7JRQXP88+G3'}",3.9,"['amusement_park', 'point_of_interest', 'establishment']",8,-1,amusement_park,-1,-1,26.9663226,75.7152046
CLOSED_TEMPORARILY,"Goner Rd, opposite Chokhi Dhani, Sitapura Industrial Area, Sitapura, Jaipur, Rajasthan 302029, India",THE SOUTH AQUA PARK- Resort & Water Park,TRUE,ChIJFV647ZPJbTkRWKWTkFJ0uqI,"{'compound_code': 'QR8R+MJ Sitapura, Jaipur, Rajasthan', 'global_code': '7JRQQR8R+MJ'}",3.8,"['amusement_park', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",446,-1,amusement_park,-1,-1,26.7666339,75.8415205
CLOSED_TEMPORARILY,"Sector 2 Rd, Sector 2, Central Spine, Vidyadhar Nagar, Jaipur, Rajasthan 302023, India",Summer Holiday Amusement Ride Park,TRUE,ChIJ7QlAQFKzbTkRApd9x_r1ynE,"{'compound_code': 'XQ6H+4H Vidyadhar Nagar, Jaipur, Rajasthan', 'global_code': '7JRQXQ6H+4H'}",5,"['point_of_interest', 'establishment']",3,-1,amusement_park,-1,-1,26.9603065,75.7789352
OPERATIONAL,"2009 Pitaliya Bhawan, Pitaliyon Ka chowk, Peetliyon, Bordi Ka Rasta, Johari Bazar, Jaipur, Rajasthan 302013, India",Elefanjoy Elephant sanctuary,-1,ChIJUbHNbADTWjoRFU_j1tlWXys,"{'compound_code': 'WRF9+77 Johari Bazar, Jaipur, Rajasthan', 'global_code': '7JRQWRF9+77'}",4.4,"['point_of_interest', 'establishment']",57,{'open_now': True},amusement_park,-1,-1,26.9231407,75.818142
CLOSED_TEMPORARILY,"Vidhyadhar Nagar Rd, Vishwakarma Industrial Area, Vidyadhar Nagar, Jaipur, Rajasthan 302039, India",Summer special Amusement Park ग्रीष्मकालीन एम्यूजमेंट पार्क,TRUE,ChIJZQw9zaSzbTkR4_mk4Wfh23Q,"{'compound_code': 'XQ9M+MW Vidyadhar Nagar, Jaipur, Rajasthan', 'global_code': '7JRQXQ9M+MW'}",0,"['point_of_interest', 'establishment']",0,-1,amusement_park,-1,-1,26.9692205,75.7848347
CLOSED_TEMPORARILY,"Unnamed Road, Sitapura Industrial Area, Sitapura, Jaipur, Rajasthan 302022, India",Ramchandrapura Damp,TRUE,ChIJPTyoBIzJbTkRDziQSYkhWeI,"{'compound_code': 'QVP4+9Q Sitapura, Jaipur, Rajasthan', 'global_code': '7JRQQVP4+9Q'}",3.5,"['amusement_park', 'point_of_interest', 'establishment']",6,-1,amusement_park,-1,-1,26.785915,75.8569848
CLOSED_TEMPORARILY,"Shikarpura Rd, gular ka bandh, Jaipur, Rajasthan 302029, India",Dravyavati River Front Sanganer,TRUE,ChIJLzOGChfKbTkRCb8VXMBifdw,"{'compound_code': 'RQ4V+FF Jaipur, Rajasthan', 'global_code': '7JRQRQ4V+FF'}",4.4,"['point_of_interest', 'establishment']",66,-1,amusement_park,-1,-1,26.8062236,75.7936608
OPERATIONAL,"Near Daulathpura Toll Gate, Delhi Ajmer Bypass Rd, near Vishwakarma Industrial Area, Jaipur, Rajasthan 302013, India",Appu Ghar,-1,ChIJaQDS_Aa0bTkRyqOZtEihagg,"{'compound_code': '3R3Q+MR Jaipur, Rajasthan', 'global_code': '7JVQ3R3Q+MR'}",3.6,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",1194,{'open_now': True},amusement_park,-1,-1,27.0542338,75.8395672
OPERATIONAL,"Shankar Vihar Extension, Jamna Puri, Jaipur, Rajasthan 302032, India",Krishna Water Park And Resort,-1,ChIJ0d3DtKezbTkRrPXtytHvC0k,"{'compound_code': 'XPRV+9Q Jamna Puri, Jaipur, Rajasthan', 'global_code': '7JRQXPRV+9Q'}",4,"['amusement_park', 'point_of_interest', 'establishment']",91,{'open_now': True},amusement_park,-1,-1,26.9908801,75.7444185
OPERATIONAL,"D-601 UDB Orchid, Jaipur, Rajasthan 302026, India",Pink Pearl Water Park,-1,ChIJRcCiQVpLbDkROxMre9xEzq0,"{'compound_code': 'VM69+6F Jaipur, Rajasthan', 'global_code': '7JRQVM69+6F'}",4,"['amusement_park', 'point_of_interest', 'establishment']",713,{'open_now': True},amusement_park,-1,-1,26.860615,75.668633
CLOSED_TEMPORARILY,"Adarsh Krishna Nagar, Kartarpur, Gopal Pura Mode, Jaipur, Rajasthan 302015, India",Water Tank,TRUE,ChIJpXT_Lji0bTkR8jw0t0ngogY,"{'compound_code': 'VQMP+GC Gopal Pura Mode, Jaipur, Rajasthan', 'global_code': '7JRQVQMP+GC'}",4,"['premise', 'amusement_park', 'point_of_interest', 'establishment']",178,-1,amusement_park,-1,-1,26.8837582,75.786033
OPERATIONAL,"Sikar Rd, opp. Sun city, Jaipur, Rajasthan 302013, India",Hotel Mauj Mahal Water Park & Fun Resort,-1,ChIJXQ80MKitbTkRKrkozD-3c0k,"{'compound_code': '2QV6+R7 Jaipur, Rajasthan', 'global_code': '7JVQ2QV6+R7'}",3.9,"['amusement_park', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1372,{'open_now': True},amusement_park,-1,-1,27.0445397,75.7607
CLOSED_TEMPORARILY,"Topkhana Hazuri, Jaipur, Rajasthan 302003, India",Wonderland Acedmy,TRUE,ChIJ58gKuc-2bTkR6hlf9o7SjoA,"{'compound_code': 'WR7R+G2 Topkhana Hazuri, Jaipur, Rajasthan', 'global_code': '7JRQWR7R+G2'}",4.5,"['school', 'point_of_interest', 'establishment']",2,-1,amusement_park,-1,-1,26.9137612,75.8400523
CLOSED_TEMPORARILY,"Eden Garden, 20th Milestone, Rajawas, Sikar Highway, Jaipur, Rajasthan 302021, India",Angel Resort & Amusement Water Park,TRUE,ChIJk8n8-PCsbTkRJlR6FwNN7U0,"{'compound_code': '3Q82+MV Rajawas, Rajasthan', 'global_code': '7JVQ3Q82+MV'}",3.8,"['amusement_park', 'lodging', 'point_of_interest', 'establishment']",1365,-1,amusement_park,-1,-1,27.066656,75.75224
CLOSED_TEMPORARILY,"Bandi Puliya Near Toll Plaza At Tatiawas, Sikar Road, Jaipur, Rajasthan 302013, India",Sun Shine Resort And Water Park,TRUE,ChIJpdwhRWWybTkRtqDKp0Azbpo,"{'compound_code': '3PJW+F3 Tantyawas, Rajasthan', 'global_code': '7JVQ3PJW+F3'}",3.8,"['amusement_park', 'lodging', 'point_of_interest', 'establishment']",534,-1,amusement_park,-1,-1,27.081148,75.74522
CLOSED_TEMPORARILY,"CISF Rd, Kunda, Amer, Jaipur, Rajasthan 302028, India",Eleday,TRUE,ChIJ7Y-7kmqwbTkRRNgzMJPj874,"{'compound_code': 'XVXM+9P Amer, Jaipur, Rajasthan', 'global_code': '7JRQXVXM+9P'}",4.2,"['travel_agency', 'park', 'point_of_interest', 'establishment']",171,-1,amusement_park,-1,-1,26.9984442,75.8843428
CLOSED_TEMPORARILY,"NH - 8, Ajmer-Jaipur Expressway Near Mahapura, Mod, Bhakrota, Jaipur, Rajasthan 302026, India",Pink Pearl Resort and Fun City,TRUE,ChIJXdeACAhLbDkR2gUAEUceB9k,"{'compound_code': 'VM69+6F Bhakrota, Jaipur, Rajasthan', 'global_code': '7JRQVM69+6F'}",3.9,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",4592,-1,amusement_park,-1,-1,26.860591,75.6686362
CLOSED_TEMPORARILY,"Near, Gaurav Tower, GT Central Mall, Jawahar Lal Nehru Marg, D-Block, Crystal Court, Malviya Nagar, Jaipur, Rajasthan 302017, India",Mastiii Zone Flavors GT Central Jaipur,TRUE,ChIJBwAwTd-1bTkR5WPAyH6b20c,"{'compound_code': 'VR44+HC Malviya Nagar, Jaipur, Rajasthan', 'global_code': '7JRQVR44+HC'}",4.3,"['bowling_alley', 'point_of_interest', 'establishment']",1811,-1,amusement_park,-1,-1,26.8564012,75.8060456
CLOSED_TEMPORARILY,"1308, Baba Harishchandra Marg, Chandpol Bazar, Chandpole Bazar, Chandpole, Chandpol, Jaipur, Rajasthan 302001, India",Desert Safari packages/Jaisalmer tour packages/Desert camp in Jaisalmer,TRUE,ChIJpfd2q1OxbTkRhSFteqNSL7Y,"{'compound_code': 'WRF8+H5 Chandpol, Jaipur, Rajasthan', 'global_code': '7JRQWRF8+H5'}",5,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",19,-1,campground,-1,-1,26.923988,75.815456
