,business_status,formatted_address,geometry,icon,id,name,permanently_closed,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,tag,price_level,results
0,CLOSED_TEMPORARILY,"Agra, Uttar Pradesh 283105, India","{'location': {'lat': 27.1811473, 'lng': 77.9210432}, 'viewport': {'northeast': {'lat': 27.18256087989272, 'lng': 77.92242932989272}, 'southwest': {'lat': 27.17986122010728, 'lng': 77.91972967010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,5fcf75b82733f62702a7f28a15d06ae3d62afce6,Nurcy Park,True,"[{'height': 3265, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104053254203332743587"">Gaurav Chaturvedi</a>'], 'photo_reference': 'CmRaAAAA2XaCP6PdAThFU4TEphzWRd_e7IlU3PiAIuIqqAZmKJHgKKBmoDNHCrlD_p4Rkv-GIPNj4BRp-AzaVyKKuio-WX9knUBDTF-xTGZscIc9i1qKG_uNjJhrVAUxHvB5OYgUEhB86BwR1Ra6__0WuvdF5URpGhSWwZc-3UNCOSws8WARNIdm3mfUOg', 'width': 4898}]",ChIJ1fb-NySIczkRC5k5mRGxQ6E,"{'compound_code': '5WJC+FC Agra, Uttar Pradesh', 'global_code': '7JVV5WJC+FC'}",4.2,ChIJ1fb-NySIczkRC5k5mRGxQ6E,"['amusement_park', 'point_of_interest', 'establishment']",146.0,,amusement_park,,
1,CLOSED_TEMPORARILY,"chuchena post, Nagala, Bainpur, Sikandra, Agra, Uttar Pradesh 282007, India","{'location': {'lat': 27.2286179, 'lng': 77.94245310000001}, 'viewport': {'northeast': {'lat': 27.22985952989272, 'lng': 77.94354327989274}, 'southwest': {'lat': 27.22715987010728, 'lng': 77.94084362010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,c32ba75909f67b077518fa7289d3dbb195c391cf,Mahesh chandra,True,,ChIJuUWlXgd5dDkRIdzOIcIhWdA,"{'compound_code': '6WHR+CX Sikandra, Agra, Uttar Pradesh', 'global_code': '7JVV6WHR+CX'}",0.0,ChIJuUWlXgd5dDkRIdzOIcIhWdA,"['amusement_park', 'point_of_interest', 'establishment']",0.0,,amusement_park,,
2,CLOSED_TEMPORARILY,"Dharmapuri, Forest Colony, Tajganj, Agra, Uttar Pradesh 282001, India","{'location': {'lat': 27.1699069, 'lng': 78.0342187}, 'viewport': {'northeast': {'lat': 27.17114832989272, 'lng': 78.03545317989273}, 'southwest': {'lat': 27.16844867010728, 'lng': 78.03275352010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,96d2379d194de27d9e17a5b2d11530aae402736c,Nauka Bihar,True,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107777671760994228242"">ABHISHEK SHEKHAR</a>'], 'photo_reference': 'CmRaAAAAOSTeIs-tZVVh_-NFog4mRFxwXBxpOhb7II_hMQRbeImxsnHRAnaktAzx28pJALc18CH7Y5KX4kki8L_6jE1CBkbtmNdz08BjdfZaAvakIqmJ2gDQq3eUDVD5a4hrBEb8EhAG_OrX-pI2keoPlvvCGMVTGhR-St8FWFJjxkEwPlHiwW2UeUr4Jw', 'width': 1600}]",ChIJya7vKSRxdDkRXqm9qAzu3WI,"{'compound_code': '529M+XM Tajganj, Agra, Uttar Pradesh', 'global_code': '7JVW529M+XM'}",3.5,ChIJya7vKSRxdDkRXqm9qAzu3WI,"['amusement_park', 'point_of_interest', 'establishment']",34.0,,amusement_park,,
3,OPERATIONAL,"A-Block, KaliCharan Pahelwa Marg Ansal Town, Baroli Ahir, Agra, Uttar Pradesh 283125, India","{'location': {'lat': 27.1257133, 'lng': 78.070238}, 'viewport': {'northeast': {'lat': 27.12716532989272, 'lng': 78.07165597989272}, 'southwest': {'lat': 27.12446567010728, 'lng': 78.06895632010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,75b65fe951bc591cb8bc00044014a9032b46c75a,Rimjhim The Water Park,,"[{'height': 673, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101863234876543644046"">A Google User</a>'], 'photo_reference': 'CmRaAAAAXbeqE0_N7ch4k6dYKqRdkcmck_XYVoktl3OcUiq4aFhuntiHHy7ZMnddNFQOqxC0Ka6HdXYvOK10ciV0h-Y6PLIapmpUmI17yyEuzGecDjgDuAfOkUF6vWwxv0E41s5VEhCohXpsggU7dUIqzbaGAPXIGhQzn2s7QIjkvk18xwYYCIqDxwHFtA', 'width': 1200}]",ChIJk7hPpmpzdDkR3cFaxFz6cbI,"{'compound_code': '43GC+73 Baroli Ahir, Agra, Uttar Pradesh', 'global_code': '7JVW43GC+73'}",4.1,ChIJk7hPpmpzdDkR3cFaxFz6cbI,"['amusement_park', 'park', 'restaurant', 'food', 'point_of_interest', 'establishment']",35.0,{'open_now': True},amusement_park,,
4,OPERATIONAL,"NH-2, Mathura Rd, Lohamandi, Runkata, Uttar Pradesh 282007, India","{'location': {'lat': 27.2383903, 'lng': 77.8678133}, 'viewport': {'northeast': {'lat': 27.23976432989272, 'lng': 77.86919007989272}, 'southwest': {'lat': 27.23706467010728, 'lng': 77.86649042010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,6c8e9efc27033ebe8a21a911aa5298c1f4a28ea3,Dolphin Water Park,,"[{'height': 1376, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111978102136986770151"">Suren DC</a>'], 'photo_reference': 'CmRaAAAAKM1q4t--UkJm9w0lTwnTpnB9KcIVxJoiD2jc2iEM-oRbrJYyjoWviTKreDs3WUnx7GwchuwWRHrOU3OyKI-rcnNCswpFv3XouQJKuz1RrXipYmMxTBrg3OZKiaHHc_8qEhC0NmNZec3GLtKLoOnSFqfWGhRw-IPiosywKHLXIjtde7E16XMjDA', 'width': 1870}]",ChIJi1I1T0SGczkRdrN7KUXTjdg,"{'compound_code': '6VQ9+94 Runkata, Uttar Pradesh', 'global_code': '7JVV6VQ9+94'}",3.7,ChIJi1I1T0SGczkRdrN7KUXTjdg,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",2007.0,{'open_now': True},amusement_park,,
5,CLOSED_TEMPORARILY,"Dharmapuri, Forest Colony, Tajganj, Agra, Uttar Pradesh 282001, India","{'location': {'lat': 27.1751448, 'lng': 78.0421422}, 'viewport': {'northeast': {'lat': 27.1772325, 'lng': 78.04546859999999}, 'southwest': {'lat': 27.1688817, 'lng': 78.03880380000001}}}",https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,dcc9586b99ab0f0471fccecbe2dbb40fdc1fc2b5,Taj Mahal,True,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108059568100427860058"">PAPU GAYAK</a>'], 'photo_reference': 'CmRaAAAAq3B7LqQxYN_308q7XW2N6AoQlyOm5o6YfIZoLI4w341vlo09-xUr8ptvUH5tD7IquN-nEoX7NHjeHzbcrFE7nVfHg-oxpHh3PakdF_NPki6i6YQyQ4fuCein8EkVRk9FEhAddoyvKatB5zThu20e8gbIGhQ-2V2cmmClQj4RMvHMVni4UajPjQ', 'width': 2160}]",ChIJbf8C1yFxdDkR3n12P4DkKt0,"{'compound_code': '52GR+3V Tajganj, Agra, Uttar Pradesh', 'global_code': '7JVW52GR+3V'}",4.6,ChIJbf8C1yFxdDkR3n12P4DkKt0,"['tourist_attraction', 'point_of_interest', 'establishment']",169091.0,,amusement_park,,
6,CLOSED_TEMPORARILY,"Unnamed Road, Mundhera, Uttar Pradesh 283102, India","{'location': {'lat': 27.0814905, 'lng': 77.9450523}, 'viewport': {'northeast': {'lat': 27.08283392989272, 'lng': 77.94640312989272}, 'southwest': {'lat': 27.08013427010728, 'lng': 77.94370347010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,313f9413a80a737c01afb31da9064ddfdf32d88f,T.S Chahar Waterpark,True,"[{'height': 1040, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105022540565797384516"">A Google User</a>'], 'photo_reference': 'CmRZAAAA4hMPLEbuPCksXA4o9HAOr6CwkPziDODGJfilaOjv3JmA4cye9KF8sSdvUrUGZJkrF_hmYl1F0_CBwroxyoTRJkbchkGm5ZynTFU-O_TlQaJLMFAL4XGdXZmR4uKNNiGiEhDG2H2e04DBqdJE_MOfxk-3GhQxZx5WWcQX-2_7GFBkK-ZANyKviA', 'width': 780}]",ChIJl9SWkHB1dDkRAv3naQOZBXo,"{'compound_code': '3WJW+H2 Mundhera, Uttar Pradesh', 'global_code': '7JVV3WJW+H2'}",4.1,ChIJl9SWkHB1dDkRAv3naQOZBXo,"['amusement_park', 'point_of_interest', 'establishment']",8.0,,amusement_park,,
7,OPERATIONAL,"Didamai, Uttar Pradesh 283203, India","{'location': {'lat': 27.1539459, 'lng': 78.42600019999999}, 'viewport': {'northeast': {'lat': 27.15511117989272, 'lng': 78.42712947989271}, 'southwest': {'lat': 27.15241152010728, 'lng': 78.42442982010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,2a8266c8eb5e0cf9f169eb66e1a612dd12904f3b,Siddni Water Park,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103555988454160268863"">Neeraj Kumar</a>'], 'photo_reference': 'CmRaAAAAxfY_Rb1Si6Y6uUyxaFil9YBjOHaaU_mN0KqoR2jXwJHt9By55DFVVJPLTNxtjamYxnKXne2s_GgifHZtAVlw7gPKR6YJ-YgcvjuLqjjAPxbtc2_SI3G9ZPwuObFGA-35EhB1g0GWvXZ8QxcPn6x3YUGIGhRZXxhHeBmEZ43hkb0eTvJWR7eUvg', 'width': 1920}]",ChIJo3vK94ZGdDkRTmfOcRGCBuA,"{'compound_code': '5C3G+HC Didamai, Uttar Pradesh', 'global_code': '7JVW5C3G+HC'}",3.9,ChIJo3vK94ZGdDkRTmfOcRGCBuA,"['amusement_park', 'point_of_interest', 'establishment']",66.0,{'open_now': True},amusement_park,,
8,CLOSED_TEMPORARILY,"GT Rd, Uttar Pradesh 202136, India","{'location': {'lat': 28.0038366, 'lng': 77.9879093}, 'viewport': {'northeast': {'lat': 28.00523362989272, 'lng': 77.98921657989271}, 'southwest': {'lat': 28.00253397010728, 'lng': 77.98651692010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,b9bf3333ccc7bb64e8a9aad578a3c628ca1c4e4c,State Deer Park & Research Center,True,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107271128214362968650"">Nishant Creations</a>'], 'photo_reference': 'CmRaAAAAnACc1Ts1UZurZa6oMNOeh1A88gkhk6gxAWrBRU9JebcDhWMADlefHCIShprQF71m-Lu92iu0lyrBRfB-8fudCmlYkS0DnfC_ZiBPCKyUaaCmaqHrW2XqSXrTBG32C9QIEhBzi-vQwGa3OxjKoh5PTpsRGhTnHUdgi1nMFhMG3BRX0j-bUG9k5g', 'width': 4160}]",ChIJt2-mgeKodDkRoSyAjkKKa6s,"{'compound_code': '2X3Q+G5 Nagla Viria, Uttar Pradesh', 'global_code': '7JWV2X3Q+G5'}",3.8,ChIJt2-mgeKodDkRoSyAjkKKa6s,"['amusement_park', 'point_of_interest', 'establishment']",37.0,,amusement_park,,
9,OPERATIONAL,"8 KM Mile Stone, Delhi-Meerut Highway, Duhai, Ghaziabad, Uttar Pradesh 201003, India","{'location': {'lat': 28.7261111, 'lng': 77.46972219999999}, 'viewport': {'northeast': {'lat': 28.72723932989271, 'lng': 77.47135872989271}, 'southwest': {'lat': 28.72453967010727, 'lng': 77.46865907010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,d461b9946f02e42c21a21bc1133ff6bc7013cbff,Drizzling Land Water and Amusement Park,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118347819298330737698"">Gaurav Gusain</a>'], 'photo_reference': 'CmRaAAAAhzV9s0-x4LCiR1YeBTsicQMYDfkQ9u3mykgz5UCWrsoHwggc3S4jNi9ak071m8bBAOL9RnBknzFWdZjkmZL5mIkhfNxVBhf6zAPamnozjbSTjOAbaz2vI3FcZZkGHpzuEhAmD5762zAHWS5oz-d5-40iGhQdlISO3vj5rI6dESDcg60yCjvCqg', 'width': 4000}]",ChIJwQcqDVjxDDkRE1P2nBQDC4I,"{'compound_code': 'PFG9+CV Ghaziabad, Uttar Pradesh', 'global_code': '7JWVPFG9+CV'}",3.9,ChIJwQcqDVjxDDkRE1P2nBQDC4I,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",3429.0,{'open_now': True},amusement_park,,
