,business_status,formatted_address,geometry,icon,id,name,permanently_closed,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,tag,price_level
0,CLOSED_TEMPORARILY,"BACKSIDE OF PATEL LAWNS, H.NO137 P.NO37 ABRAR COLONY NYAR MARWAH MASJID, Beed Bypass Rd, Aurangabad, Maharashtra 431005, India","{'location': {'lat': 19.8547242, 'lng': 75.31013109999999}, 'viewport': {'northeast': {'lat': 19.85606807989272, 'lng': 75.31152917989272}, 'southwest': {'lat': 19.85336842010728, 'lng': 75.30882952010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,05998676f9b31acff3f79d329f302e496d8a3cc7,AR.PLAY,True,"[{'height': 719, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100800945622827499105"">A Google User</a>'], 'photo_reference': 'CmRaAAAAtXWfvjvoRgleWO701yA_HC_JtdFLbkpuioi-_aD2glNr8JpDvdLTPCbhB8ETvET12yU0LnhE8eGse4ZDtycz320T6IGhYs-jyL96t5dhYI6pghjpTQ3rFIUHtBxamDFREhC_RBEgOgguBXF6xoAEr76_GhTQEH72r5VLeLmU2XrdseZYdCPqjQ', 'width': 1279}]",ChIJJ6eJVXGZ2zsRTy25c7Nbe_o,"{'compound_code': 'V836+V3 Aurangabad, Maharashtra', 'global_code': '7JFQV836+V3'}",0.0,ChIJJ6eJVXGZ2zsRTy25c7Nbe_o,"['amusement_park', 'point_of_interest', 'establishment']",0.0,,amusement_park,
1,OPERATIONAL,"3-8-286, Sanjay Nagar, Mondha, Aurangabad, Maharashtra 431001, India","{'location': {'lat': 19.8827237, 'lng': 75.34432749999999}, 'viewport': {'northeast': {'lat': 19.88407542989272, 'lng': 75.34566572989273}, 'southwest': {'lat': 19.88137577010728, 'lng': 75.34296607010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,76f886219c249e672087355cd08f1025960d1cbc,Sk Sadabahar Amusement park,,,ChIJx9z5l4ij2zsRKtJSO-QPaoY,"{'compound_code': 'V8MV+3P Mondha, Aurangabad, Maharashtra', 'global_code': '7JFQV8MV+3P'}",0.0,ChIJx9z5l4ij2zsRKtJSO-QPaoY,"['home_goods_store', 'point_of_interest', 'store', 'establishment']",0.0,,amusement_park,
2,CLOSED_TEMPORARILY,"NH 211, Vitkheda - Ellora Rd, near Daulatabad, Fort, Daulatabad, Maharashtra 431005, India","{'location': {'lat': 19.9558, 'lng': 75.222134}, 'viewport': {'northeast': {'lat': 19.95701287989272, 'lng': 75.22324287989271}, 'southwest': {'lat': 19.95431322010728, 'lng': 75.22054322010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,d493796bd0c6e29983ca2b82b29b4c5c5a4c876a,H2O Waterpark,True,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107758243737263747477"">H2O Waterpark</a>'], 'photo_reference': 'CmRaAAAARN24LymKsxlNYkM35RZ_mF23p9zMCO67y0N5ubE4QFIHx5pIp-Gf1YmAYPu5PmeQrP-dizQfq5UoiStBmSvPJaEfcNu1SsyIMyPIxQRCAnHDgM9PfHojao49OLMtBYX5EhDixYPgTqH7oOv9cCXvLvGUGhQlWTUdZYxVfaHCsnJgrC7AEo-EGw', 'width': 4000}]",ChIJTcHd0RmR2zsRz8H3-JTVsGw,"{'compound_code': 'X64C+8V Daulatabad, Maharashtra', 'global_code': '7JFQX64C+8V'}",3.8,ChIJTcHd0RmR2zsRz8H3-JTVsGw,"['amusement_park', 'point_of_interest', 'establishment']",753.0,,amusement_park,
3,CLOSED_TEMPORARILY,"Daulatabad, Maharashtra 431002, India","{'location': {'lat': 19.9528817, 'lng': 75.2229768}, 'viewport': {'northeast': {'lat': 19.95429837989272, 'lng': 75.22427332989272}, 'southwest': {'lat': 19.95159872010727, 'lng': 75.22157367010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,98c4f7aba6977e00ceabb3596973cd3951edee4a,Deluxe Green Valley,True,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108732850526578273208"">Ismail Shiwani</a>'], 'photo_reference': 'CmRaAAAAkNLluHDToP3CaJihunGsV7f_9LmaUUs8VBgyqWyrP8vFE2YPMcFarT7bVs6_I0MfvPFXMwnZ6BEf-Js84P3waFTEtKDrv96ki2g0DYkI3dyJu5Txf5XeTIi-j5AKCG7DEhC4iteEhmVq84YMZ8GcCL_1GhRv1hqD8N9YdMokkqdmEQvFx4VM6A', 'width': 4608}]",ChIJ9W3noL-R2zsRrGsB7whC2qQ,"{'compound_code': 'X63F+55 Daulatabad, Maharashtra', 'global_code': '7JFQX63F+55'}",4.0,ChIJ9W3noL-R2zsRrGsB7whC2qQ,"['amusement_park', 'point_of_interest', 'establishment']",5.0,,amusement_park,
4,OPERATIONAL,"Ellora Road, Next to H2O Waterpark, Daulatabad, National Highway 211, Aurangabad, Maharashtra 431002, India","{'location': {'lat': 19.9550102, 'lng': 75.22122209999999}, 'viewport': {'northeast': {'lat': 19.95641547989272, 'lng': 75.22252627989272}, 'southwest': {'lat': 19.95371582010728, 'lng': 75.21982662010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,543137875ad61cca4c9edd429704225054fd73d4,Hotel Lotus,,"[{'height': 1378, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115362279664205498150"">Hotel Lotus</a>'], 'photo_reference': 'CmRaAAAAhk7voZWn0rJ03EzPjioDJBmdWV7qCFWNbsgXZmuPVtBXxemkQtGMlehZ-pCdX1j0TvZ_IjpzPHgr67RJ2FBQTSnZwzm_dXEK6vmz8_YRmkrw8a9oN3vPF_gY4m1NMriREhAaO3iqH4vtqzeOBhb_dWsjGhRgTvjMpHSOcXA_-aPiCyAeSV_daw', 'width': 2448}]",ChIJX5hb8heR2zsR4HyJ4LKJGPs,"{'compound_code': 'X64C+2F Aurangabad, Maharashtra', 'global_code': '7JFQX64C+2F'}",3.9,ChIJX5hb8heR2zsR4HyJ4LKJGPs,"['amusement_park', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",210.0,{'open_now': True},amusement_park,
5,CLOSED_TEMPORARILY,"Old Pune Mumbai Highway, NH-4 Post-Takve, Mundhaware, Pune, Maharashtra 410405, India","{'location': {'lat': 18.7649021, 'lng': 73.5152505}, 'viewport': {'northeast': {'lat': 18.76603025000001, 'lng': 73.51643915}, 'southwest': {'lat': 18.76151764999999, 'lng': 73.51168455000001}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,b63b0a925a7991d9eeb785986693851ca631a86c,Magic Mountain,True,"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103429172069707735239"">A Google User</a>'], 'photo_reference': 'CmRaAAAAB2_Mq7W6x-QCfnMmrBGSFbZ-bpuRryC6_Nv5OAD31ooUy5iMKNrytkO7Dr8oDmX5yGbkvfjgt84-wcgZLQf1wM-Tcsc7foSphA5qEmijCcv5p_qwvIju2RPt8aRP0yvXEhC5PSTkzBKU6OQLM8f7teKGGhQahtuFXeLMlNK98txpUAwoI-YaBg', 'width': 1350}]",ChIJ4YEIQLKrwjsRUIDTG6v-uF8,"{'compound_code': 'QG78+X4 Fangane, Maharashtra', 'global_code': '7JCMQG78+X4'}",4.3,ChIJ4YEIQLKrwjsRUIDTG6v-uF8,"['amusement_park', 'point_of_interest', 'establishment']",1739.0,,amusement_park,
6,OPERATIONAL,"near Mc Donalds, Shivar Garden, Mira Road, Mumbai, Maharashtra 401107, India","{'location': {'lat': 19.2894192, 'lng': 72.8668823}, 'viewport': {'northeast': {'lat': 19.29102727989272, 'lng': 72.86786097989273}, 'southwest': {'lat': 19.28832762010727, 'lng': 72.86516132010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,948730eeef7846f6b301a5e44ca250dc2f075b64,Vardhman Fantasy Amusement Park,,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107698846920439688559"">Ruchita Motwani</a>'], 'photo_reference': 'CmRaAAAAno0cKZ0uhvQbwFaWbVqqWzRgufYSLGmMBdgFHVVd1aXur_USHifHcWUVDoSac5dr8YupKezHZDBjDWL7g-iVSB3vuce1L3TqmQHxP2mKDCa2SRU5scZjAXH7LD_CwWmeEhBuIXeyBdEEHZxAgKDBVAyuGhSLnarasCJ5GwINlCSVfnqPi3EfhA', 'width': 4128}]",ChIJw7-IDEew5zsR7ku8SoA_gmg,"{'compound_code': '7VQ8+QQ Mira Road, Mira Bhayandar, Maharashtra', 'global_code': '7JFJ7VQ8+QQ'}",3.6,ChIJw7-IDEew5zsR7ku8SoA_gmg,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",9662.0,{'open_now': True},amusement_park,
7,CLOSED_TEMPORARILY,"Survey No.7,Near Sanjeevan School, Taighat, Panchgani, Maharashtra 412805, India","{'location': {'lat': 17.9194666, 'lng': 73.7866021}, 'viewport': {'northeast': {'lat': 17.92093757989273, 'lng': 73.78789012989273}, 'southwest': {'lat': 17.91823792010728, 'lng': 73.78519047010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,a0c3567063451a6c0684ac6cbf4f8d565227235e,On Wheelz Amusement Park,True,"[{'height': 3168, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108874221807895414035"">ON WHEELZ AMUSEMENT PARK</a>'], 'photo_reference': 'CmRaAAAAP2B2e-XRD_Jr3hQNA_mCKe-zBFXVSQdFFw7Iew7h4tuAKmz7HrKiNZKCFWy4ONbKv2N1GacEPNOTjiGx0YQz5ZzUATkDwxDhlhFBVko_Bj7Qy3cBY7245F2LjR8tIDddEhDpoOgQBp37jM-GziecdV_yGhTiCQTOywRdFf53FewSLWGTPVxFuA', 'width': 4752}]",ChIJV21YeIRowjsRs9oB27XFecE,"{'compound_code': 'WQ9P+QJ Panchgani, Maharashtra', 'global_code': '7J9MWQ9P+QJ'}",3.6,ChIJV21YeIRowjsRs9oB27XFecE,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",628.0,,amusement_park,
8,OPERATIONAL,"Essel world Amusement Park, Gorai, Mumbai, Maharashtra 400092, India","{'location': {'lat': 19.231546, 'lng': 72.80505769999999}, 'viewport': {'northeast': {'lat': 19.23289582989272, 'lng': 72.80640752989272}, 'southwest': {'lat': 19.23019617010727, 'lng': 72.80370787010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,e1b3e7653a7975f684e581173ca384247762da66,EsselWorld,,"[{'height': 366, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118034310701017692896"">A Google User</a>'], 'photo_reference': 'CmRaAAAAKQO8LO6uju_QS1ONG5IHH6H8UY8zEqY4n5VV0yW1WO8f63oiTXfeG7bICKEKt9GaeMBc2mMOJMfJTl9cr_rT5ZFa-H3s6Wz7Cd_fcXWOsrP9ygQEHjSYu9xk8Ea0rAeLEhCkGCBQ8ega0RHrgUNLuXHiGhQIm5fY_x96LWYfLOx3KfWxz21yww', 'width': 550}]",ChIJsWNPGBG05zsRbvTUhyCi2sQ,"{'compound_code': '6RJ4+J2 Gorai, Mumbai, Maharashtra', 'global_code': '7JFJ6RJ4+J2'}",4.4,ChIJsWNPGBG05zsRbvTUhyCi2sQ,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",25938.0,{'open_now': True},amusement_park,
9,CLOSED_TEMPORARILY,"Rainbow Land Parks, Lonavla, Aundholi, Maharashtra 410401, India","{'location': {'lat': 18.7240032, 'lng': 73.4517566}, 'viewport': {'northeast': {'lat': 18.72536732989272, 'lng': 73.45311512989272}, 'southwest': {'lat': 18.72266767010728, 'lng': 73.45041547010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,0f4637249fa8f97f494f2c1ca4ce14a73244a0d0,Dinosaur Park,True,"[{'height': 2428, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108351579931281798094"">Jayanth Sridhar</a>'], 'photo_reference': 'CmRaAAAAeOLYvXI0eC5l7OeTbnjD_BCzXyPLqbHlnxwIXhgoaVIKpeM_T8LJnsLtxw96q0_iGJxKK3npRKlyTGHLR5i1XeqeoUWpX1BePx5Q9jdt-3wBQiUaqiOHxlSoCSBt81XFEhBf1MP_qkY20cGCfvC7W_l5GhTVDMwcJCTEYsgzkHmAE69-5wuv2Q', 'width': 3841}]",ChIJaaCUYR0C6DsR98lBebFAE8Q,"{'compound_code': 'PFF2+JP Aundholi, Maharashtra', 'global_code': '7JCMPFF2+JP'}",3.7,ChIJaaCUYR0C6DsR98lBebFAE8Q,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",1920.0,,amusement_park,
