,business_status,formatted_address,geometry,icon,id,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,tag,price_level
0,OPERATIONAL,"Opposite Rithala Metro Station, Sector 10, Rohini, Delhi, 110085, India","{'location': {'lat': 28.7237007, 'lng': 77.1140798}, 'viewport': {'northeast': {'lat': 28.72500747989272, 'lng': 77.11484405}, 'southwest': {'lat': 28.72230782010728, 'lng': 77.11178704999998}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,8b3f1fef16b8e43638a08aeeea0b972d4f524c60,Adventure Island,{'open_now': True},"[{'height': 4928, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104613025305786982808"">Adventure Island</a>'], 'photo_reference': 'CmRaAAAAgkaAs1IBZi7jO_PAWAMXkbWkLtqdvQYPqNAFX8C_Eh3s1uMdsNo7p6EnH2q2iWyDisEyhJlCytmGhoJvUgf_AWIytIGpKA9NO4Xm8AVAWg-dnXVelpFaMgkXJEnQSUfWEhBDFG3hKUVyW38FqaVrLpwbGhRHOIRZic9Kqe1VLTBS4x0yUOYFQw', 'width': 3264}]",ChIJq6qqmkABDTkREBpp5hT5OSo,"{'compound_code': 'P4F7+FJ Rohini, New Delhi, Delhi', 'global_code': '7JWVP4F7+FJ'}",4.0,ChIJq6qqmkABDTkREBpp5hT5OSo,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",13458.0,,amusement_park,
1,CLOSED_TEMPORARILY,"Adventure Island Sector 10, Rohini, rithla metro station, Delhi 110085, India","{'location': {'lat': 28.7254742, 'lng': 77.1157327}, 'viewport': {'northeast': {'lat': 28.72705802989272, 'lng': 77.11728542989272}, 'southwest': {'lat': 28.72435837010728, 'lng': 77.11458577010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,1e442f7e4b30a9dea58fe987d32c2618fadf5cc0,Derby Devils,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110707271841099217638"">A Google User</a>'], 'photo_reference': 'CmRaAAAApKuCjkFMcIBL5fjvufWwREEdGcWpFvWCkjxZ1tocRWw51ScU3ay2FJqsUdZao0CLPZ84fSsF3sLkFvxIjhSuMCzLYyuXBH9_6wSx2_6KUyY2GjgR4_w9z5q4oJ3mlQaVEhDCLLSPpIuM-8eOaHy05d1CGhTafkfWVvDDqnShJe3GpXIai6t11Q', 'width': 4160}]",ChIJt-m9tEcBDTkRZttfCCHMkb0,"{'compound_code': 'P4G8+57 Rohini, New Delhi, Delhi', 'global_code': '7JWVP4G8+57'}",3.9,ChIJt-m9tEcBDTkRZttfCCHMkb0,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",33.0,True,amusement_park,
2,CLOSED_TEMPORARILY,"15, Pandit Pant Marg, Baba Kharak Singh Marg Area, New Delhi, Delhi 110001, India","{'location': {'lat': 28.6222724, 'lng': 77.2058064}, 'viewport': {'northeast': {'lat': 28.62360277989272, 'lng': 77.20742007989271}, 'southwest': {'lat': 28.62090312010728, 'lng': 77.20472042010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,88bf0f78fe7a7c6bd6d91a70358b52936feac9d5,Amusement Arena,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116689940174298618757"">A Google User</a>'], 'photo_reference': 'CmRaAAAAK2Z-v0lTBOh71yZwURkoLh27LZrVw4BEP1Ug2nYnToxOJbtmgU7kgg6oGl2uHnehG5uDS-KHhZFVrBDoJQEyAFWJLQB9h06QrcC5yOBfurVDY3Fap0gPZTOb3-5QUW4gEhDPsuFyScAAyaqTJE8AyeFcGhSvBxtKWxI1_NiUs2HXsTbf_hqFnw', 'width': 4160}]",ChIJxSpXVa3iDDkR3PJvV2gu_m8,"{'compound_code': 'J6C4+W8 New Delhi, Delhi', 'global_code': '7JWVJ6C4+W8'}",4.2,ChIJxSpXVa3iDDkR3PJvV2gu_m8,"['amusement_park', 'point_of_interest', 'establishment']",58.0,True,amusement_park,
3,CLOSED_TEMPORARILY,"Adventure Island, Near Rithala Metro Station, Sector 10, Rohini, New Delhi, Delhi 110085, India","{'location': {'lat': 28.7253274, 'lng': 77.1152923}, 'viewport': {'northeast': {'lat': 28.72705077989272, 'lng': 77.11696602989271}, 'southwest': {'lat': 28.72435112010728, 'lng': 77.11426637010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,98701c6d27a3d3806e16145e1164b14513b8ebc7,Wild Wheels Ride,,"[{'height': 1944, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106620274085760675818"">Mohd Khalid - Official</a>'], 'photo_reference': 'CmRaAAAAvrRR_JtHInEoojD5mIX4Q2rEkNvcoKNWCW6UvDBoKfcDBvBY22vzdsC68dg7lrMoSTA_D8RNVHww25fLKpJ7tp5X7pExSJ0YyVzr8k2ssZrNNei9yNHf8XgFgYFyR9T-EhAm3-1CDI8pQyZl-4p-QLNOGhQnaYryy-SGO8lCJOBnCU8ElUcTpw', 'width': 2592}]",ChIJ56ZIzEcBDTkRterofMRxXkk,"{'compound_code': 'P4G8+44 Rohini, New Delhi, Delhi', 'global_code': '7JWVP4G8+44'}",4.1,ChIJ56ZIzEcBDTkRterofMRxXkk,"['amusement_park', 'point_of_interest', 'establishment']",51.0,True,amusement_park,
4,OPERATIONAL,"Gate, Street Number 11, near The Great India Place Mall, Sector 38, Noida, Uttar Pradesh 201301, India","{'location': {'lat': 28.5647843, 'lng': 77.3220308}, 'viewport': {'northeast': {'lat': 28.56587722989272, 'lng': 77.32373727989273}, 'southwest': {'lat': 28.56317757010728, 'lng': 77.32103762010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,d2a1a22746e3f6c61a9831e1f6c1c1caa538d76b,KidZania Delhi NCR,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115631453817587030176"">Kuber Anand</a>'], 'photo_reference': 'CmRaAAAAB_pnS7FHkTw0sQMZcptrgMFpxVplpmo_F7Rb35wid4ekaq940AneJghmBHXCBYAzTj7hQmtgctkZejiFsskwQ9wCSJPGXnkK3ssdBMRkYAB1ZJPNJGrNhNHiwUUkUvULEhDRUFxaofMFQW26JFN-jzTWGhSYLhdbyPnaw_w-FlxnS86Wb4hB_Q', 'width': 4608}]",ChIJLYnh10nkDDkRv2LExXyW29k,"{'compound_code': 'H87C+WR Sector 38, Noida, Uttar Pradesh', 'global_code': '7JWVH87C+WR'}",4.5,ChIJLYnh10nkDDkRv2LExXyW29k,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",6377.0,,amusement_park,
5,CLOSED_TEMPORARILY,"2nd Floor, West Gate Mall, Rajouri Garden, New Delhi-110027, Raja Garden, Rajouri Garden, New Delhi, Delhi 110018, India","{'location': {'lat': 28.6535362, 'lng': 77.12306050000001}, 'viewport': {'northeast': {'lat': 28.65478947989272, 'lng': 77.12427532989273}, 'southwest': {'lat': 28.65208982010728, 'lng': 77.12157567010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,e33a56069b48e9949811577f30867e779290b73a,Fun Villa,,"[{'height': 1952, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113884713100966930002"">anshul kumar</a>'], 'photo_reference': 'CmRaAAAAuGdpJFq0Z4w-3IsosLTe-pFafYG6XEt9wNbxYgQJfxkKbLDGtA4AlRK4oUbqzn3ji-rlq7wDlQxDNfyUKeUVvdclhDSq6a6_bAsbZajfTg1hU3xosf1_8OrlEiSgZBe4EhCdxhajpDobLPzkUuas4iCcGhRKL96gyqVOtXlO0PfUbWBFVxdBUA', 'width': 4160}]",ChIJZZcjcXMDDTkRYDQRhM7xF70,"{'compound_code': 'M43F+C6 Rajouri Garden, New Delhi, Delhi', 'global_code': '7JWVM43F+C6'}",3.9,ChIJZZcjcXMDDTkRYDQRhM7xF70,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",51.0,True,amusement_park,
6,CLOSED_TEMPORARILY,"Adventure Island, Sector 12, Rohini, Delhi, 110085, India","{'location': {'lat': 28.7265879, 'lng': 77.1147698}, 'viewport': {'northeast': {'lat': 28.72802232989272, 'lng': 77.11619297989272}, 'southwest': {'lat': 28.72532267010727, 'lng': 77.11349332010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3c750e83599bf1c21ed858ceac523a4f0a178363,Splash Down Ride,,"[{'height': 415, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105189840931609763977"">Ayansh Jaiswal</a>'], 'photo_reference': 'CmRaAAAA42hYEeu6UvCfnKcoBVykDDYUSqJMmmx8dqEinSwnbXR50qmHoSu8q7Qyo3SqufUA7Fr5frJ_uWBY30lpNqfQ2Gj4OyqZaOBmz-lYomldlGPynufEt8hcGg5Uwe8FOdTcEhDXTWBITKmlWYo_2RUuyN-UGhQCDtWxbOuiYINMULtlzoLqHtbPGQ', 'width': 739}]",ChIJu-7awkcBDTkRom5HYMu8v1k,"{'compound_code': 'P4G7+JW Rohini, New Delhi, Delhi', 'global_code': '7JWVP4G7+JW'}",4.3,ChIJu-7awkcBDTkRom5HYMu8v1k,"['amusement_park', 'point_of_interest', 'establishment']",114.0,True,amusement_park,
7,CLOSED_TEMPORARILY,"240, Khayala, Vishnu Garden, New Delhi, Delhi 110018, India","{'location': {'lat': 28.65510969999999, 'lng': 77.1024296}, 'viewport': {'northeast': {'lat': 28.65646282989272, 'lng': 77.10369897989273}, 'southwest': {'lat': 28.65376317010727, 'lng': 77.10099932010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,1f13c85a97f3840f73be6db59fb704299a315e3a,Mastiii Trampoline Adventure Park,,,ChIJZTfKhO8FDTkRqlMn9BuHS-E,"{'compound_code': 'M442+2X Vishnu Garden, Delhi', 'global_code': '7JWVM442+2X'}",2.7,ChIJZTfKhO8FDTkRqlMn9BuHS-E,"['amusement_park', 'point_of_interest', 'establishment']",3.0,True,amusement_park,
8,CLOSED_TEMPORARILY,"Swarn Jayanti Park, Sector 10, Rohini, Delhi, 110085, India","{'location': {'lat': 28.7242083, 'lng': 77.1144321}, 'viewport': {'northeast': {'lat': 28.72555812989271, 'lng': 77.11578192989272}, 'southwest': {'lat': 28.72285847010727, 'lng': 77.11308227010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,c1cf3d7c39ef2bca4f560215616133c2da45fd3e,paris bridge,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103783366494525623178"">Sahib Khan</a>'], 'photo_reference': 'CmRaAAAAjWPfyOudFsYE54qZrJeAXwvfpOuc2HGEuV3bj9uQkZSL8s2DMsyra_rtpUxfG3zARsvkRBQE9SYB6pbS3FRNgBtWyx5o9JINvZNduajTCG1piHF8CcT2ts2dMfmSX2CTEhADvTSgFE-_UttDaC2p1NYgGhThLmHSDp0MCDN0HvPwG4EaEFkKNA', 'width': 2352}]",ChIJye0Yoo4BDTkROCegusbCv-U,"{'compound_code': 'P4F7+MQ Rohini, New Delhi, Delhi', 'global_code': '7JWVP4F7+MQ'}",4.7,ChIJye0Yoo4BDTkROCegusbCv-U,"['amusement_park', 'point_of_interest', 'establishment']",3.0,True,amusement_park,
9,CLOSED_TEMPORARILY,"Adventure Island, Sector 12, Rohini, Delhi, 110085, India","{'location': {'lat': 28.725247, 'lng': 77.115583}, 'viewport': {'northeast': {'lat': 28.72693447989272, 'lng': 77.11722557989273}, 'southwest': {'lat': 28.72423482010727, 'lng': 77.11452592010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,cd2f1ac8a6e7f1370e7af4e99ff7256a6c499008,Bumper Cars Ride,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102783185203169470516"">A Google User</a>'], 'photo_reference': 'CmRaAAAABKHKI58BHbVSJdf-_T3bIBX4bg-q7qtUeZemmV3FugcFGGPZ155t6LmpTzmyE6KZWhBDdqZigHo7GCmQgF9_uUtU3Rnhey08p6JL4E5KspenyP6E-bDYD30yIFi2waC2EhBrZDYN-_4IF2Y5hiWVNH9EGhTU7pUB373-7kVn_ZAVflKmYX__xg', 'width': 540}]",ChIJkdNcSkYBDTkRcSQ0TomQWO8,"{'compound_code': 'P4G8+36 Rohini, New Delhi, Delhi', 'global_code': '7JWVP4G8+36'}",4.3,ChIJkdNcSkYBDTkRcSQ0TomQWO8,"['amusement_park', 'point_of_interest', 'establishment']",12.0,True,amusement_park,
