,business_status,formatted_address,geometry,icon,id,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,tag,price_level,results
0,OPERATIONAL,"Calangute-Anjuna Main Road, Padre Agnel Vaddo, Gauvaddi, Anjuna, Near Double Tree Hilton Hotel, Bardez, Goa 403509, India","{'location': {'lat': 15.579003, 'lng': 73.758791}, 'viewport': {'northeast': {'lat': 15.58022132989272, 'lng': 73.76023002989272}, 'southwest': {'lat': 15.57752167010728, 'lng': 73.75753037010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,799588f102efa93ac261f0d95d0b1b3fc000cf35,Splashdown Waterpark,{},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118333868087049645715"">Prinsha Nunes</a>'], 'photo_reference': 'CmRaAAAAIUcKiTBKbCXFyqrts0ub9jQTpxgT02Oq8BW9tU1UPTal0xXVX8AkUmRcmJerSEHAsle59dAQ2GmdBow653qyjKjDZv1NY-khfR7_q93p1H2Nn3KrsaSiPlg3aLufenDBEhDK7Qesg_e56AtusGWPXWNlGhQHKM55tB5lNmTAEhCfE6MwAJDbgg', 'width': 960}]",ChIJMS8RWSXqvzsRD_BatlAomOk,"{'compound_code': 'HQH5+JG Anjuna, Goa', 'global_code': '7J7MHQH5+JG'}",3.7,ChIJMS8RWSXqvzsRD_BatlAomOk,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",1142,,amusement_park,,
1,OPERATIONAL,"Padi, Goa 403703, India","{'location': {'lat': 15.0893788, 'lng': 74.05681200000001}, 'viewport': {'northeast': {'lat': 15.09078147989272, 'lng': 74.05822772989274}, 'southwest': {'lat': 15.08808182010728, 'lng': 74.05552807010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,7092aacd672c2a963b81e47c0fc281bfc58564d2,Nagesh Jungle Resort,{},"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118429176459163004663"">Elson Gracias</a>'], 'photo_reference': 'CmRaAAAAZ7_I994UD539FfBH2CI2bLApMKt-DQEdeW2RhP8U4__U-ue_PVu5wMENSQIfnw6rOWrisvPeb-OTJjtJQct76XA4mzb3vQxMaXRUufl5kJBDmEC5BN6AamDHv-VU0sSSEhAFgYY0MtdRC86f-BJ0G-G3GhSb5qI90jHTalDwJtQ3rTpRbg39WA', 'width': 8000}]",ChIJLZDpFL5RvjsRyRdfAtsHfVs,"{'compound_code': '33Q4+QP Maina, Goa', 'global_code': '7J7P33Q4+QP'}",3.6,ChIJLZDpFL5RvjsRyRdfAtsHfVs,"['amusement_park', 'point_of_interest', 'establishment']",119,,amusement_park,,
2,OPERATIONAL,"Quepem Market Road, Nirmal Nagar, Xeldem, Goa 403705, India","{'location': {'lat': 15.2377093, 'lng': 74.0763556}, 'viewport': {'northeast': {'lat': 15.23923437989272, 'lng': 74.07753712989272}, 'southwest': {'lat': 15.23653472010728, 'lng': 74.07483747010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,0641ee70c2f984d7d876e0d696cf69bf1954ab1a,6 Shades Of Nature,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112401362527187235051"">Sambert Rodrigues</a>'], 'photo_reference': 'CmRaAAAAN8kPeUpKBCuCccUCLYKRLtsPXwqYB_zuVaEdqitrzi34_lSrGGXn7CGz_Fvh9aqTibNhwmTtQOytQ5nq6tZXM1HfHQbTJrTqSM2shtivMdzvVxeYJAOr_zSmfmi32Yy5EhBULvHM_3trvGfrsF-apfXwGhSojsu4Tr9cwl6kOK0129OIl4AAhw', 'width': 3456}]",ChIJk1VOXR2tvzsRBYY5TB4bVgI,"{'compound_code': '63QG+3G Xeldem, Goa', 'global_code': '7J7P63QG+3G'}",3.9,ChIJk1VOXR2tvzsRBYY5TB4bVgI,"['amusement_park', 'point_of_interest', 'establishment']",404,,amusement_park,,
3,OPERATIONAL,"Gudi, Quepem Rd, Chandor, Goa 403714, India","{'location': {'lat': 15.2423522, 'lng': 74.0325208}, 'viewport': {'northeast': {'lat': 15.24372452989272, 'lng': 74.03389862989272}, 'southwest': {'lat': 15.24102487010728, 'lng': 74.03119897010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ac63d04d3c04be2f4988d5163fececca7464cad5,Nagesh Love Forest,{'open_now': False},"[{'height': 1173, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103258141294685438021"">A Google User</a>'], 'photo_reference': 'CmRaAAAAwrm38zqGoEw5DBaMiplp-S95h8S5PqMrHqKmOFjNz5mQbyx6TeFnJrafROJ8qk5Idf10c2ALYEPHkrlgFv1faDZ2pMSPppog2cBcW-63gSC6xN9soxXeoNtgNgIentHPEhDdBKUl1Rf7Mu1Cum5eEeEjGhTT44z6TqGfx8SU50SI-znmxeKiKg', 'width': 1875}]",ChIJNShtiX6tvzsRfW6eUqD5Xtc,"{'compound_code': '62RM+W2 Chandor, Goa', 'global_code': '7J7P62RM+W2'}",3.6,ChIJNShtiX6tvzsRfW6eUqD5Xtc,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",262,,amusement_park,,
4,CLOSED_TEMPORARILY,"Pitre Estate , Mapusa, Highway, Karapur, Sanquelim, Goa 403505, India","{'location': {'lat': 15.574779, 'lng': 73.9977613}, 'viewport': {'northeast': {'lat': 15.57600792989272, 'lng': 73.99929227989271}, 'southwest': {'lat': 15.57330827010728, 'lng': 73.99659262010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,beb5db46126b6dba6aec03c78157bbaa07563813,Sharvraj Eco Farm Goa,,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115260910121680554555"">Siddesh Harmalkar</a>'], 'photo_reference': 'CmRaAAAAHi9bAdOg4cWL0rzTVC8SWpAiX09VxYteXBlF0x8CEeID2HzbTUAFh3JdmGX6RK_kXkfMUdz95XeY22bwbgBSVfa9pQUWtRS3df7--VqHNbaqZuQREVr3HA0krZgcMUZTEhCwV1NSL2vkcdL4armLRZzVGhTitQ1rMIkd7IaJjAMmZTSGFEyRog', 'width': 4096}]",ChIJkX-4XUuXvzsRiOwonUMxfo8,"{'compound_code': 'HXFX+W4 Sanquelim, Goa', 'global_code': '7J7MHXFX+W4'}",3.9,ChIJkX-4XUuXvzsRiOwonUMxfo8,"['amusement_park', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",332,TRUE,amusement_park,,
5,CLOSED_TEMPORARILY,"Pateapur, Nuvem, Goa 403604, India","{'location': {'lat': 15.321632, 'lng': 73.9519311}, 'viewport': {'northeast': {'lat': 15.32300992989272, 'lng': 73.95338187989272}, 'southwest': {'lat': 15.32031027010728, 'lng': 73.95068222010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,299856263870947d6f754f90576beb74257068d3,Froggyland,,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115200634602664934323"">Bikash Pradhan</a>'], 'photo_reference': 'CmRaAAAAc9fI9c5xv4NUCMOMYy_Tzf9ovTXi1ruv79sbi5HJzwFAJ5-vCy9f4bNLL0SnezihFi39v4kHQd8WO1H38wp7m7CNO9ePteHC1UcNSJyBds6Als7KCZiRh8UX6a4sITZHEhC7ujFPxcRerwLhkJ_Zo4FqGhSQmy29mOjQlx_AiiXZPX7sEM2tFQ', 'width': 2048}]",ChIJfygMViSxvzsRqXra1Y0GOm4,"{'compound_code': '8XC2+MQ Nuvem, Goa', 'global_code': '7J7M8XC2+MQ'}",4,ChIJfygMViSxvzsRqXra1Y0GOm4,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",1110,TRUE,amusement_park,,
6,CLOSED_TEMPORARILY,"Baga-Arpora road, near Goan Beach club, Arpora, Goa 403516, India","{'location': {'lat': 15.5690863, 'lng': 73.75346739999999}, 'viewport': {'northeast': {'lat': 15.57028432989272, 'lng': 73.75492612989271}, 'southwest': {'lat': 15.56758467010728, 'lng': 73.75222647010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,96113d5995f7333807def8addad2d0fe620814bf,Blue Whale Water Park,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105835677162871320199"">Юлия Разинова</a>'], 'photo_reference': 'CmRaAAAArGcW0RROY3m0Xq4hgjol3sKkU7Li9BWb1OlXQXVY8oz5lH8Xr5VnAtseIoOctDM2EKnw2qFLmyGnKGyqYiHEzDpK595N5SvYmlsqmlUppw5X0jj0cEPLLJfl-LaJeCvfEhB41ZL5m4AdMsUrQFyZvanDGhSl0fkLyH4zAfxrm-OwXQJUn-mZoA', 'width': 4032}]",ChIJ6z7MiyHqvzsRK5bfx4qcJTY,"{'compound_code': 'HQ93+J9 Arpora, Goa', 'global_code': '7J7MHQ93+J9'}",3.5,ChIJ6z7MiyHqvzsRK5bfx4qcJTY,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",191,TRUE,amusement_park,,
7,CLOSED_TEMPORARILY,"Near Pascol farm, (Opposite Nestle factory), Tisk road, Ponda, Khandepar, Goa 403406, India","{'location': {'lat': 15.4173318, 'lng': 74.05893879999999}, 'viewport': {'northeast': {'lat': 15.41857002989272, 'lng': 74.0603243798927}, 'southwest': {'lat': 15.41587037010728, 'lng': 74.05762472010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3a45ccf607f3ce55320c692ee6e62884a4d56c60,Nagesh Water World,,"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110289530912510217245"">Kiran Kumar Badiger</a>'], 'photo_reference': 'CmRaAAAAfbmHorXd45OOS5H-OezQnrp6U28CdgfdNb1nFYGRPbgknRdH_yjwq0RHX73XrPyuNYrZy6wDghx-ljUqBpSB1oLxawFGy0Y6ZumAFZMZPJYXXddjKmmYiq6US7LMMczlEhBPR0e5jlXwOxb5q6EYwgiXGhQBzfp_r6fSMvlhKkQuWV_Az2nD6w', 'width': 3968}]",ChIJCR5nGxelvzsRHCjJA0c6jnA,"{'compound_code': 'C385+WH Khandepar, Goa', 'global_code': '7J7PC385+WH'}",3.6,ChIJCR5nGxelvzsRHCjJA0c6jnA,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",755,TRUE,amusement_park,,
8,CLOSED_PERMANENTLY,"Grand Chivar, Anjuna,Bardez, Goa 403509, India","{'location': {'lat': 15.5809248, 'lng': 73.74484369999999}, 'viewport': {'northeast': {'lat': 15.58227677989272, 'lng': 73.74629987989272}, 'southwest': {'lat': 15.57957712010728, 'lng': 73.74360022010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,d71cc8d29f8a0ee180805b58d736c125bb00f0ac,anjuna holiday homes,,,ChIJVVVVVajsvzsRg9MyKHKmKAQ,"{'compound_code': 'HPJV+9W Mazal Waddo, Anjuna, Goa', 'global_code': '7J7MHPJV+9W'}",4.3,ChIJVVVVVajsvzsRg9MyKHKmKAQ,"['amusement_park', 'point_of_interest', 'establishment']",3,TRUE,amusement_park,,
9,CLOSED_TEMPORARILY,"Mandrem, Goa 403527, India","{'location': {'lat': 15.673939, 'lng': 73.7393416}, 'viewport': {'northeast': {'lat': 15.67531477989272, 'lng': 73.74067287989273}, 'southwest': {'lat': 15.67261512010728, 'lng': 73.73797322010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/camping-71.png,9471ca565d7718192e0b4a6ee2bd441d5f786bbb,Mandrem Goa Campsite,,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111574250683923014813"">Santosh Naik</a>'], 'photo_reference': 'CmRaAAAAhAdLMVBnqc60BNkNSmAT_ZI12X9VUfOXBMaKugC7BWAjI2de0USnqcXQldWttIxxKwPeDJYeuKxJ3WTUgRbnfTWZiYk401zGJ7zOcXkkhn0hdt_LFY60L8A6GtbeMlXrEhA2TNmxOpsWiQXWuGJg21SAGhSEsfI7YKibKwQqWIGubgT2xQOatA', 'width': 3264}]",ChIJjVdUKYTuvzsRUT4Y0bGlEZY,"{'compound_code': 'MPFQ+HP Mandrem, Goa', 'global_code': '7J7MMPFQ+HP'}",4.1,ChIJjVdUKYTuvzsRUT4Y0bGlEZY,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",29,TRUE,campground,,
