,business_status,formatted_address,geometry,icon,id,name,permanently_closed,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,tag,price_level,results
0,CLOSED_TEMPORARILY,"RIICO Industrial Area, Mansarovar, Jaipur, Rajasthan 302020, India","{'location': {'lat': 26.8379133, 'lng': 75.7832956}, 'viewport': {'northeast': {'lat': 26.83979702989272, 'lng': 75.78452062989273}, 'southwest': {'lat': 26.83709737010728, 'lng': 75.78182097010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,5d007ec30b26dda5fe8fe909fd6efd15a153bb96,Fun Kingdom Amusement Park,True,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102317696192913415128"">apperna sharma</a>'], 'photo_reference': 'CmRaAAAA3QeYHz-6ynD1n8JLJdNCUGEaBK7dQvmtmJfyGtfBpsOKbe0AWq8J-ip-kRXQMKhIOVvCdZw4Y3L9DHro8clnwYAF6cvnv7qe-9B9xa1XtI8L-0SW1rUtwX0MOxuEJ9bxEhBLJY5bTDGQcFmZ6wC9984jGhRn5YInhGJi1rOJW56JfY64sHyIOQ', 'width': 4160}]",ChIJl_m8uZK1bTkR9EcgjjSIZgc,"{'compound_code': 'RQQM+58 Mansarovar, Jaipur, Rajasthan', 'global_code': '7JRQRQQM+58'}",3.8,ChIJl_m8uZK1bTkR9EcgjjSIZgc,"['amusement_park', 'point_of_interest', 'establishment']",191.0,,amusement_park,,
1,CLOSED_TEMPORARILY,"Premises, Jawahar Circle, near Car Parking, Jaipur, Rajasthan, India","{'location': {'lat': 26.8391692, 'lng': 75.7993206}, 'viewport': {'northeast': {'lat': 26.84051902989272, 'lng': 75.80067042989272}, 'southwest': {'lat': 26.83781937010728, 'lng': 75.79797077010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,7053d5dccd4a622e919898333d0d808258db0b1e,Children's Park And Play Ground,True,"[{'height': 691, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117638819121893548103"">santramratan</a>'], 'photo_reference': 'CmRaAAAAGJStg5pD4aoksAZr4-noRk2qEFaO0VkZRQpLOtg8xig8Z44hAim4_-7jHhEoQhBTCjlLGgP3JP5B9BQIB2jQWm56L23dB54eyo3kre6JM870DBYq7mKrRKWEKfRg6fk6EhCJy3U3CFfw5JrmbqGQ01qsGhQ4_uoS7EXyad2A5HyNPv5ztIUjYg', 'width': 922}]",ChIJMbmoyOS1bTkRhj0R-tRVvho,"{'compound_code': 'RQQX+MP Jaipur, Rajasthan', 'global_code': '7JRQRQQX+MP'}",4.1,ChIJMbmoyOS1bTkRhj0R-tRVvho,"['amusement_park', 'point_of_interest', 'establishment']",104.0,,amusement_park,,
2,CLOSED_TEMPORARILY,"Alkapuri Main Rd, Alkapuri Township, Niwaru Rd, Jhotwara, Jaipur, Rajasthan 302012, India","{'location': {'lat': 26.9663226, 'lng': 75.71520459999999}, 'viewport': {'northeast': {'lat': 26.96768302989272, 'lng': 75.71649047989271}, 'southwest': {'lat': 26.96498337010728, 'lng': 75.71379082010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,1530ebb345e637c55934edc17ed473d0d53cdc2d,Alkapuri Kids Park,True,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108498042878214510345"">Parth Rathore</a>'], 'photo_reference': 'CmRaAAAAt40i9t8IImN0P-pF8Ura58pmvoC7X8fUhHxgC4A28Vj_73PEfibgkWoN6ljbQWM61U04dGRsgu4YIhxK3wtnF8X94ymnJHMGvGpDXGBOq00idsa3RkQVjtwO4j-CpI9KEhBKiUWbAAAgXGt1J21CcvsTGhRoytHLeSNZ3X2WKc3Nuq4aTdLiAw', 'width': 2250}]",ChIJtVYvwtKybTkRvnNQK6Qb3mc,"{'compound_code': 'XP88+G3 Jhotwara, Jaipur, Rajasthan', 'global_code': '7JRQXP88+G3'}",3.9,ChIJtVYvwtKybTkRvnNQK6Qb3mc,"['amusement_park', 'point_of_interest', 'establishment']",8.0,,amusement_park,,
3,CLOSED_TEMPORARILY,"Goner Rd, opposite Chokhi Dhani, Sitapura Industrial Area, Sitapura, Jaipur, Rajasthan 302029, India","{'location': {'lat': 26.7666339, 'lng': 75.8415205}, 'viewport': {'northeast': {'lat': 26.76799527989272, 'lng': 75.84286477989272}, 'southwest': {'lat': 26.76529562010728, 'lng': 75.84016512010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,dd7a22789d670511549e2f41376489d6be30a49b,THE SOUTH AQUA PARK- Resort & Water Park,True,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104885376267552319106"">All in one With Raiya ji</a>'], 'photo_reference': 'CmRaAAAAFumtxtSyaNHrsdqdGKRiM3h70FzNZhx4cqTy2GMlVeOmDVf89WMHIXkXxmMFql-qodGzavlsE5Ehgm_8MapwSNmM_ku3rprLOnYSFkKr7QB4V0mbWnwIByaR8km6udRREhC6NHuPQpOdMpkvCXXYsRSNGhSubn_fbM7nW0HcpEIETqUQBUzpBg', 'width': 3000}]",ChIJFV647ZPJbTkRWKWTkFJ0uqI,"{'compound_code': 'QR8R+MJ Sitapura, Jaipur, Rajasthan', 'global_code': '7JRQQR8R+MJ'}",3.8,ChIJFV647ZPJbTkRWKWTkFJ0uqI,"['amusement_park', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",446.0,,amusement_park,,
4,CLOSED_TEMPORARILY,"Sector 2 Rd, Sector 2, Central Spine, Vidyadhar Nagar, Jaipur, Rajasthan 302023, India","{'location': {'lat': 26.9603065, 'lng': 75.77893519999999}, 'viewport': {'northeast': {'lat': 26.96147797989272, 'lng': 75.78038932989271}, 'southwest': {'lat': 26.95877832010728, 'lng': 75.77768967010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,5f7bf9dafc5e493f1027471d95efd582ac221b32,Summer Holiday Amusement Ride Park,True,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109189417744154835987"">D Sami</a>'], 'photo_reference': 'CmRaAAAAx-xKf7HIoxJL8Wmv0E3A1m3RpSE63qLR2W9J_3qbsjWI9oikT-9HBkbilbhiyZFGlguBHZQ-Hi6kbLRoNvkEwIzEmGsmFec4zADYpsgxUK3YymJneZCbWFmLC4zPgFcJEhB9ySX5WJYAQSN4moJAbpXUGhSThHaGOhpGSDDKhW_lhpsPiFOa_A', 'width': 4160}]",ChIJ7QlAQFKzbTkRApd9x_r1ynE,"{'compound_code': 'XQ6H+4H Vidyadhar Nagar, Jaipur, Rajasthan', 'global_code': '7JRQXQ6H+4H'}",5.0,ChIJ7QlAQFKzbTkRApd9x_r1ynE,"['point_of_interest', 'establishment']",3.0,,amusement_park,,
5,OPERATIONAL,"2009 Pitaliya Bhawan, Pitaliyon Ka chowk, Peetliyon, Bordi Ka Rasta, Johari Bazar, Jaipur, Rajasthan 302013, India","{'location': {'lat': 26.9231407, 'lng': 75.818142}, 'viewport': {'northeast': {'lat': 26.92449562989272, 'lng': 75.81949327989271}, 'southwest': {'lat': 26.92179597010728, 'lng': 75.81679362010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,dd3fcc51df44a195d878b35d691b4e6361e8d92f,Elefanjoy Elephant sanctuary,,"[{'height': 1024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108916569890488092822"">elefanjoy</a>'], 'photo_reference': 'CmRaAAAA0IVpNFOmmmDGyEpqnq2LqMqjKrq0qusp5-TDCDLCDHl_2zpE3poSazt87GBPC4RfOMOAZwLZexuS_xMsCLn7vMXUwTCUCGq-CgeSAp3FFgtImztFQFpk0Pc0nFH1iyMgEhBdGhIJ0Uk_nfmc4jhhJqWWGhQ1-A0UiCrJMo8ZPRPTMVPb0ASq2g', 'width': 1024}]",ChIJUbHNbADTWjoRFU_j1tlWXys,"{'compound_code': 'WRF9+77 Johari Bazar, Jaipur, Rajasthan', 'global_code': '7JRQWRF9+77'}",4.4,ChIJUbHNbADTWjoRFU_j1tlWXys,"['point_of_interest', 'establishment']",57.0,{'open_now': True},amusement_park,,
6,CLOSED_TEMPORARILY,"Vidhyadhar Nagar Rd, Vishwakarma Industrial Area, Vidyadhar Nagar, Jaipur, Rajasthan 302039, India","{'location': {'lat': 26.9692205, 'lng': 75.78483469999999}, 'viewport': {'northeast': {'lat': 26.97068657989272, 'lng': 75.78625502989271}, 'southwest': {'lat': 26.96798692010728, 'lng': 75.78355537010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,13545b33f8b6d2320dee517823680ace479e90ed,Summer special Amusement Park ग्रीष्मकालीन एम्यूजमेंट पार्क,True,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109189417744154835987"">D Sami</a>'], 'photo_reference': 'CmRaAAAA9qSy_pz_9o-Q-GhL-ZehGJa_ENdlpuU05qbsKlwnRkwtwIC9LD6rQ2f46dAYkkbvpnfC2RZFilTmvOXUcXX1FgvcKg1AwU9lra9dkdx13aC-7qnXZdQenFWJ1_uR2YfvEhAeOEC-fn_ysLkp92hAGRemGhRpfN-0f-fzPhQEcNA1aqWYtcKNmQ', 'width': 4160}]",ChIJZQw9zaSzbTkR4_mk4Wfh23Q,"{'compound_code': 'XQ9M+MW Vidyadhar Nagar, Jaipur, Rajasthan', 'global_code': '7JRQXQ9M+MW'}",0.0,ChIJZQw9zaSzbTkR4_mk4Wfh23Q,"['point_of_interest', 'establishment']",0.0,,amusement_park,,
7,CLOSED_TEMPORARILY,"Unnamed Road, Sitapura Industrial Area, Sitapura, Jaipur, Rajasthan 302022, India","{'location': {'lat': 26.785915, 'lng': 75.85698479999999}, 'viewport': {'northeast': {'lat': 26.78724737989272, 'lng': 75.85834302989271}, 'southwest': {'lat': 26.78454772010728, 'lng': 75.85564337010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,930986422c6fdb46ed33d3e110304d796c3daec1,Ramchandrapura Damp,True,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117480067772537687589"">A Google User</a>'], 'photo_reference': 'CmRaAAAAxHOpZusNnpnsuZr-NMsGV745n6eZY_8eCF7rrhaqyU0yCPrhgbZVLdYyjgjoNfmaVBfrnhQVqZXh4KQUzucaHhfdHjKb8JQWDDSYv0F8lCeLN1MMl5FmvcZmp3rtJAH_EhBu_3HiFaP4D4bc4abV1SgjGhRhtJXO4ORasISbX30aldAcnMdF5g', 'width': 3264}]",ChIJPTyoBIzJbTkRDziQSYkhWeI,"{'compound_code': 'QVP4+9Q Sitapura, Jaipur, Rajasthan', 'global_code': '7JRQQVP4+9Q'}",3.5,ChIJPTyoBIzJbTkRDziQSYkhWeI,"['amusement_park', 'point_of_interest', 'establishment']",6.0,,amusement_park,,
8,CLOSED_TEMPORARILY,"Shikarpura Rd, gular ka bandh, Jaipur, Rajasthan 302029, India","{'location': {'lat': 26.8062236, 'lng': 75.7936608}, 'viewport': {'northeast': {'lat': 26.80757332989272, 'lng': 75.79501062989273}, 'southwest': {'lat': 26.80487367010728, 'lng': 75.79231097010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,f65043d200d43b759b05f0e122b38e85fd5af33e,Dravyavati River Front Sanganer,True,"[{'height': 2093, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116241983964148607959"">Deepak Soni</a>'], 'photo_reference': 'CmRaAAAAcczzPj-UsqNeF6UroPktBsPoI_3H0VfmqZ6bOY4doyE0mGoaaIfbYEZ54RGtzPqrI4U1F6LGx4vAQiX8_ahTP5Lsc55OIkePgBuuZ3kU3yM16KGGEqbRKGJG5X71U74LEhBJL0FUSovOIles2_iOjH0jGhTBrvToGMb9k47iSu6t-ujttLHa5g', 'width': 3978}]",ChIJLzOGChfKbTkRCb8VXMBifdw,"{'compound_code': 'RQ4V+FF Jaipur, Rajasthan', 'global_code': '7JRQRQ4V+FF'}",4.4,ChIJLzOGChfKbTkRCb8VXMBifdw,"['point_of_interest', 'establishment']",66.0,,amusement_park,,
9,OPERATIONAL,"Near Daulathpura Toll Gate, Delhi Ajmer Bypass Rd, near Vishwakarma Industrial Area, Jaipur, Rajasthan 302013, India","{'location': {'lat': 27.0542338, 'lng': 75.83956719999999}, 'viewport': {'northeast': {'lat': 27.05557197989272, 'lng': 75.84093402989271}, 'southwest': {'lat': 27.05287232010728, 'lng': 75.83823437010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,c46fb878b7e965c625aea6cb9575e8d73013ab93,Appu Ghar,,"[{'height': 3261, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117437202279518830555"">Amit Jangid</a>'], 'photo_reference': 'CmRaAAAABbkUpq1fjHFn-V-XuxTa3uzTIivgnclc7YHjcqoZxy3saRnVpee05BUsM5Deh3wtsnoB19ab-H0qR6x71i9yYHTwfsf0cVxAlrviyL7PPo8Gakh5kxdzmNFNOrqxWfr1EhCC79sGYc2WNNyPjE10CUDoGhRqtJcZDhFnrWd-Q773iQjR8u7jiw', 'width': 4904}]",ChIJaQDS_Aa0bTkRyqOZtEihagg,"{'compound_code': '3R3Q+MR Jaipur, Rajasthan', 'global_code': '7JVQ3R3Q+MR'}",3.6,ChIJaQDS_Aa0bTkRyqOZtEihagg,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",1194.0,{'open_now': True},amusement_park,,
