,Name,Rating,Link,Distance,Location,About
0,Ujjayanta Palace,4.3,https://www.holidify.com/places/agartala/ujjayanta-palace-sightseeing-1011.html,1 km  from city center,,"Years back, Ujjayanta Palace was a royal palace. Situated at the core of Agartala, the entire hustle-bustle of the city is centered around this palace. 

Built in 1901, it has magnificent tiled floors, curved wooden ceilings and lovely doors. The name 'Ujjayanta Palace' was given by Rabindranath Tagore,  a regular visitor of Tripura. The State has owns a lineage of an independent royal state. The palace includes the Public halls, Throned room, Durbar Hall, Library, The Chinese Room and The Reception Hall."
1,Sepahijala Wildlife Sanctuary,3.2,https://www.holidify.com/places/agartala/sepahijala-wildlife-sanctuary-sightseeing-1009.html,18 km  from city center,,"Home to a variety of wildlife especially birds and primates, this place is not just a wildlife sanctuary but also an academic and research centre. Various lakes are present within the sanctuary, where boating facility is available."
2,Chittangong Hillss,3.2,https://www.holidify.com/places/agartala/chittangong-hills-sightseeing-1002.html,135 km  from city center,,"The picturesque spectacle of the Chittagong hills assaults the senses of each and every onlooker. The hills comprise of mini mountains with multiple valleys and a small canyon, with 7 rivers meandering across the valleys."
3,Tripura Sundari Temple,3.5,https://www.holidify.com/places/agartala/tripura-sundari-temple-sightseeing-1010.html,42 km  from city center,,"Located in Matabari, 100m east of NH 44, around 55km from Agartala and just 4 km from Udaipur (Tripura), this temple is one of the most famous temple of Tripura."
4,Neermahal,3.6,https://www.holidify.com/places/agartala/neermahal-sightseeing-1007.html,36 km  from city center,,"Standing in the middle of the Rudrasagar Lake, this architectural beauty rightly derives its name which means Water Palace. This place served as a summer resort for King Maharaja Bir Bikram Kishore Manikya in 1930."
5,Ummaneshwar Temple,3.2,https://www.holidify.com/places/agartala/ummaneshwar-temple-sightseeing-1012.html,1 km  from city center,,"Located within the Ujjayanta palace grounds, this saffron coloured temple is influenced by West Bengali culture."
6,Gondacherra Wildlife Sanctuary,3.2,https://www.holidify.com/places/agartala/gondacherra-wildlife-sanctuary-sightseeing-1003.html,18 km  from city center,,"This enchanting sanctuary has maintained an untainted habitat for the multiple species of flora and fauna found here. Mammals like tigers, bison, wild horses, aquatic life as well as migratory birds can be seen here."
7,Jagannath Temple,3.2,https://www.holidify.com/places/agartala/jagannath-temple-sightseeing-1004.html,47 km  from city center,,"The Jagannath Temple is built within the Ujjayanta Palace grounds, specially crafted to decorate the Manikya capital city. Islamic style of architecture is predominant in the exterior of this temple, but the interiors are decorated with Hindu splendour."
8,Jampui Hill,3.2,https://www.holidify.com/places/agartala/jampui-hill-sightseeing-1005.html,1 km  from city center,,"Also known as the eternal hills of spring, the Jampui hills live up to their name, having pleasant climate all year round, providing ample opportunity for each visitor to take in the beauty that is this place."
9,Buddha Temple,3.7,https://www.holidify.com/places/agartala/buddha-temple-sightseeing-1001.html,96 km  from city center,,"Evidence to the Buddhist influence on the people of Agartala, the Buddha Temple is an important religious site and was constructed in 1946."
10,Kunjaban Palace,3.2,https://www.holidify.com/places/agartala/kunjaban-palace-sightseeing-1006.html,3 km  from city center,,"Constructed by King Birendra Kishore Manikya in 1917, the Kunjaban Palace is the official residence of the Governor of Tripura."
11,Raima Valley,3.2,https://www.holidify.com/places/agartala/raima-valley-sightseeing-1008.html,39 km  from city center,,"Known as the Mother of the Tribals of Tripura, this lush green valley, decorated with gardens and plantations has become a preferred tourist spot."
