,Name,Rating,Link,Distance,Location,About
0,Taj Mahal,4.9,https://www.holidify.com/places/agra/taj-mahal-sightseeing-1020.html,3 km  from city center,,"The Taj Mahal is one of the seven wonders of the world and is considered to be the most popular tourist attraction in the country. A symbol of love, the Taj was built by Mughal Emperor  Shah Jahan for his queen Mumtaz. Tagore described the Taj as a ""teardrop on the cheek of eternity"". The monument attracts a lot of tourist all around the year."
1,Fatehpur Sikri,4.5,https://www.holidify.com/places/agra/fatehpur-sikri-sightseeing-1015.html,36 km  from city center,,"A city, predominantly made of red sand stone, Fatehpur Sikri was once the capital of Mughal Emperor Akbar. It is now a UNESCO world heritage site and a famous tourist attraction. The city offers a fine example of Akbar's architectural finesse."
2,Agra Fort,4.6,https://www.holidify.com/places/agra/agra-fort-sightseeing-1013.html,1 km  from city center,,"Also known as Lal Qila, Fort Rouge or Red Fort of Agra, the Agra Fort is a UNESCO world heritage site. It is situated at a distance of about 2.5km northwest of the famous Taj Mahal. The construction of the massive fort of red sandstone by the banks of Yamuna river was started by emperor Akbar."
3,Itimad-ud-daulah's Tomb,3.5,https://www.holidify.com/places/agra/itimad-ud-daulahs-tomb-sightseeing-1016.html,3 km  from city center,,"This tomb nestled on the bank of the river Yamuna was built by Queen Noor Jahan for her parents in the middle of the Persian Garden. It was constructed using yellow marble, with black and white marble inlay, and was hence called the Baby Taj."
4,Mehtab Bagh,3.6,https://www.holidify.com/places/agra/mehtab-bagh-sightseeing-120807.html,3 km  from city center,,"Located just north to the glorious wonder called the Taj Mahal and overlooking the Agra Fort and Yamuna river on the opposite side, Mehtab Bagh is a rare retreat of natural bliss and one of the most scenic spots in Agra."
5,Shopping in Agra,3.0,https://www.holidify.com/pages/shopping-in-agra-221.html,2 km  from city center,,"Various small shops in Agra sell handicrafts and stone products such as jewelry boxes, and plaques. Leather goods of good quality are also available in the markets. Most products have some dedication to the Taj Mahal."
6,Akbar's Tomb,4.0,https://www.holidify.com/places/agra/akbars-tomb-sightseeing-1019.html,7 km  from city center,,"The Tomb of Akbar is an important and iconic Mughal architectural masterpiece, built in 1605 and 1613. It is located at Sikandra, in the suburbs of Agra, on the Mathura road (NH2), 8 km west of the city core. About a km away from the tomb, lies Mariam's Tomb, the tomb of Mariam-uz-Zamani, wife of the Mughal Emperor Akbar and the mother of Jahangir."
7,Jama Masjid Agra,4.0,https://www.holidify.com/places/agra/jama-masjid-sightseeing-1017.html,1 km  from city center,,"This relatively simple mosque built almost entirely in red sandstone was built by Jahanara, the daughter of Shah Jahan. Seen in itself, this is still an imposing piece of architecture and one of the largest mosques in the country. This is still used as the main mosque in the city."
8,Chini ka Rauza,3.3,https://www.holidify.com/places/agra/chini-ka-rauza-sightseeing-120812.html,4 km  from city center,,"Dedicated to the memory of the Prime Minister of the court, during the reign of the Mughal Emperor Shah Jahan, Chini ka Rauza is a funerary monument situated on the eastern bank of the Yamuna river in Agra."
9,Dolphin Water Park,,https://www.holidify.com/places/agra/dolphin-the-water-world-sightseeing-125066.html,15 km  from city center,,"Inaugurated in 2002, Dolphin World Water Park is spread over an area of 14 acres and is replete with thrilling slides, roller coasters, water and regular rides etc. Besides, it has an amusement park, a play area for kids, locker room and other facilities."
10,Anguri Bagh,3.5,https://www.holidify.com/places/agra/anguri-bagh-sightseeing-120808.html,1 km  from city center,,"Centrally situated in the premises of Khas Mahal, Anguri Bagh was built by Mughal Emperor Shah Jahan in 1637. As the name suggests, Khas Mahal (or Aramgah- i - Muqaddasa) was constructed for the emperor as his exalted place of leisure and rest."
11,Taj Museum,3.4,https://www.holidify.com/places/agra/taj-museum-sightseeing-120811.html,3 km  from city center,,"Located inside the Taj Mahal complex, the museum was established in 1982 on the western ends of the Taj Gardens. The tiny but terrific depository is a double-storeyed building with a quadrangle projection outside."
12,Taj Mahotsav,,https://www.holidify.com/places/agra/taj-mahotsav-sightseeing-1253412.html,13 out of 17  places to visit in Agra,,"Taj Mahotsav is an annual ten-day festival that takes place in Agra. The festival showcases an outstanding variety of art and craft, dance and cuisines of artisans from different regions of India. It is a paradise for food aficionados, children and the appreciators of folk culture."
13,Wildlife SOS,3.5,https://www.holidify.com/places/agra/wildlife-sos-sightseeing-120809.html,17 km  from city center,,"Established in 1995, Wildlife SOS is a laudatory initiative started by a group of individuals to work in the direction of protecting and conserving wildlife, maintaining quality habitats, and safeguarding rich biodiversity."
14,Mother Teresa's Missionaries Of Charity,3.4,https://www.holidify.com/places/agra/mother-teresas-missionaries-of-charity-sightseeing-120810.html,0 km  from city center,,"Located on Ajmer Road in Agra, Mother Teresa’s Missionaries of Charity works for the upbringing, well- being and education of the orphaned kids in addition to caring for the elderly and the homeless."
15,Friends Gokulam Fun City Water Park,,https://www.holidify.com/places/agra/friends-gokulam-fun-city-water-park-sightseeing-125067.html,15 km  from city center,,"Friends Gokulam Fun City Water Park is the second largest water park in Agra. Spread over vast acres of land, the water park boasts of a number of slides, roller coasters and fun rides both for adults and kids."
16,Ram Barat,,https://www.holidify.com/places/agra/ram-barat-sightseeing-1253418.html,17 out of 17  places to visit in Agra,,The Ram Barat is a joyous and one of the most important festivals in Northern India held in September every year. It celebrates the divine marriage ceremony of Lord Rama by taking out his marriage procession and carrying out all the ceremonies related to marriage.
