,Name,Rating,Link,Distance,Location,About
0,"Swaminarayan Temple, Ahmedabad",4.3,https://www.holidify.com/places/ahmedabad/swaminarayan-temple-sightseeing-1043.html,24 km  from city center,,"Located in the Kalupur area of Ahmedabad, Shri Swaminarayan Temple was built on the instructions of Swaminarayan, the founder of this sect of Hinduism. Green and yellow sculptures of various Hindu gods and goddesses, with their bodies fitted in opulent dresses and ornaments cover the structure of this nineteenth-century temple."
1,Dada Hari Wav,3.5,https://www.holidify.com/places/ahmedabad/dada-hari-wav-sightseeing-1026.html,4 km  from city center,,"Built by a woman of Sultan Begara's harem in 1499AD, these step-wells were made as a retreat during hot summers. Waiting to be filled with rain water, no matter what the weather is, it is always cooler within the Step-wells."
2,Sabarmati Ashram,4.2,https://www.holidify.com/places/ahmedabad/sabarmati-ashram-sightseeing-1041.html,3 km  from city center,,"Once the residence of Mahatma Gandhi and his wife Kasturba, this undoubtedly is the biggest tourist attraction situated in the suburb of Ahmedabad, Gujarat. Located on the tranquil and serene stretch of Sabarmati River it was also referred to as the 'Satyagraha Ashram' as Gandhi began the famous 'Dandi March' from here.



The museum is one of the most interesting sections of the ashram as it has on display some of Gandhi's personal letters and photographs"
3,Auto World Vintage Car Museum,3.4,https://www.holidify.com/places/ahmedabad/world-vintage-car-museum-sightseeing-1046.html,12 km  from city center,,"A connoisseur of vintage cars converted his private collection of vintage cars into a museum. The collection comprises of the best of the world - Rolls Royce, Bentley, Jaguar, Cadillac, Austin and many more."
4,Kankaria Lake,4.2,https://www.holidify.com/places/ahmedabad/kankaria-lake-sightseeing-1032.html,5 km  from city center,,"One of the biggest lakes in Ahmadabad, this is a total magnet for tourists and locals alike due to its complete entertainment facilities - toy train, kids' city, balloon ride, water park, food stalls.



Also famous for its Kankaria Carnival which is full of week-long fun and festivities held in the last week of December, it is an entertainment, fun and cultural hub. The lake and surroundings have been recently revamped and all its subparts (zoo, balvatika,etc.) are enhanced."
5,City Shopping,3.3,https://www.holidify.com/pages/shopping-in-ahmedabad-358.html,2 km  from city center,,"Even though pretty much everything is available in this city, Ahmedabad is especially famous for its textile industry. Hence, all kinds of fabrics are available here."
6,Hutheesing Jain Temple,3.5,https://www.holidify.com/places/ahmedabad/hathisingh-jain-temple-sightseeing-1027.html,2 km  from city center,,"Dedicated to the 15th Tirthankara of Jains, Dharmanath, this two-storied white marble structure provides a delightful experience and the tiled courtyard is another unique aspect of the temple."
7,Sidi Saiyyed Mosque,4.2,https://www.holidify.com/places/ahmedabad/siddi-saiyed-mosque-sightseeing-1042.html,2 km  from city center,,"Built by Sidi Saeed or Sidi Saiyyed in 1573, as the name suggests, the Sidi Saiyyed Mosque, is one of the most famous mosques of Ahmedabad. The mosque is said to be built in the last year of the existence of the Sultanate of Gujarat. The intricately carved lattice stone window, in front of the mosque is known as the Sidi Saiyyed Jali, the unofficial symbol of city of Ahmedabad."
8,Jhulta Minar,3.7,https://www.holidify.com/places/ahmedabad/jhulta-minar-sightseeing-1030.html,4 km  from city center,,"Located in Ahmedabad, Jhuta Minar is one of the most intriguing architectural wonders that the world has ever seen. They are still an unsolvable mystery. What makes the minarets unique is if one of the minarets is shaken then the other minaret shakes within a few seconds, while the connecting passage doesn't transmit any movements or vibrations. Many architects and historians have tried to understand the physics and logic behind the unrelated movements of the minarets. It is these movements that have led to its name, Jhulta Minar which translates to swinging minaret."
9,Law Garden Night Market,3.2,https://www.holidify.com/places/ahmedabad/law-garden-night-market-sightseeing-1037.html,2 km  from city center,,One of the most famous gardens of Ahmedabad the Law Garden becomes a favorite place for shopaholics with vendors and shopkeepers bustling on the scene.
10,Vaishno Devi Temple in Ahmedabad,3.2,https://www.holidify.com/places/ahmedabad/vaishnodevi-temple-sightseeing-1045.html,11 km  from city center,,"Located on Sarkhej-Gandhinagar highway Road, Vaishnodevi Temple in Ahmedabad is a true replica of the famous temple in Jammu-Kashmir."
11,Bhadra Fort,3.1,https://www.holidify.com/places/ahmedabad/bhadra-fort-teen-darwaza-sightseeing-1023.html,2 km  from city center,,The Bhadra Fort and its neighboring environment is the most scenic part of Ahmedabad. Located in the middle of lush greenery the huge 44 acre Fort got its name from the Bhadrakali Temple that it houses.
12,Manek Chawk,3.7,https://www.holidify.com/places/ahmedabad/manek-chawk-sightseeing-1038.html,3 km  from city center,,"Manek Chowk is a notable city square in Old Ahmedabad which is a vegetable market in the morning, a bullion market in the noon and the street food market at night. It is most famous, however, for its food stalls that start to emerge around 8 in the evening, with various local street snacks and goodies."
13,Kamla Nehru Zoo,3.2,https://www.holidify.com/places/ahmedabad/kamala-nehru-zoo-sightseeing-1031.html,5 km  from city center,,"Popularly known as Kankaria Zoo, Kamala Nehru Zoo is located at Kankaria, Ahmedabad. By the majestic banks of the tranquil Kankaria Lake, this zoo has been the abode of different animals, reptiles, birds and mammals belonging to different species."
14,Ahmedabad Alpha One Mall,3.6,https://www.holidify.com/places/ahmedabad/alpha-one-mall-sightseeing-1021.html,7 km  from city center,,"One of the largest multiplexes in Ahmedabad, Alpha One mall houses three anchor stores, a food-court and a movie hall."
15,Lal Darwaja in Ahmedabad,3.2,https://www.holidify.com/places/ahmedabad/lal-darwaza-sightseeing-1034.html,3 km  from city center,,"With lots of hawkers selling various items from clothes to electronics items, Lal Darwaza is crowded yet one of the most famous markets of Ahmedabad."
16,Calico Textile Museum,3.2,https://www.holidify.com/places/ahmedabad/calico-textile-museum-sightseeing-1024.html,3 km  from city center,,"One of the foremost textile museums and a celebrated institute in Indian textiles around the world, Calico Textile Museum is famous for its remarkable collection of fabrics."
17,Banascraft,3.1,https://www.holidify.com/places/ahmedabad/banascraft-sightseeing-1022.html,0 km  from city center,,"One of the most famous boutiques of Ahmedabad, Banascraft offers a great variety of handmade items."
18,"ISKCON Temple, Ahmedabad",3.7,https://www.holidify.com/places/ahmedabad/iskcon-temple-sightseeing-1028.html,6 km  from city center,,"Located close to the Gujarat Samachar Press, The ISKCON Temple in Ahmadabad is the best place to experience spirituality and mental bliss. Also referred to as the 'Hare Krishna Temple', the temple with its calm and peaceful atmosphere offers the perfect spot for meditation."
19,"Jama Masjid, Ahmedabad",3.7,https://www.holidify.com/places/ahmedabad/jama-masjid-sightseeing-1029.html,3 km  from city center,,"The Jama Masjid situated in Ahmedabad is one of the largest mosques in India built in the period of 1424 and was built by Emperor Sultan Ahmed Shah. To the west of the mosque built are the tombs of Ahmed Shah I, his son and his grandson followed by the graves of the queens of the king."
20,Law Garden,3.7,https://www.holidify.com/places/ahmedabad/law-garden-sightseeing-1036.html,2 km  from city center,,"Law Garden in Ahmedabad is one of the most popular parks which is also a usual venue of cultural activities like Music concerts, dance festivals and the like."
21,Kapasi Handicraft Emporium,3.2,https://www.holidify.com/places/ahmedabad/kapasi-handicraft-emporium-sightseeing-1033.html,1 km  from city center,,"While Handicrafts from Gujarat are exported to far off places all across the world, you can buy it all from Kapasi Handicraft Emporium."
22,Lalbhai Dalpatbhai Museum,3.7,https://www.holidify.com/places/ahmedabad/lalabhai-dalpatbhai-museum-sightseeing-1035.html,2 km  from city center,,"The Lalbhai Dalpatbhai Museum (also known as L. D. Museum) is museum of Indian Sculptures, Bronzes, Manuscripts Paintings, Drawings, Miniature Paintings, Wood works, Bead works and coins. (br) The Lalbhai Dalpatbhai Museum of the Lalbhai Dalpatbhai Bharatiya Sanskriti Vidyamandir is located in the premises of the L.D. Institute of Indology, Ahmedabad. It is situated on a sprawling campus in the western part of the city in an area dotted with educational and research institutes, and in the vicinity of Gujarat University. It is about 7 kilometers from the Railway Station and 12 kilometers from the Airport, therefore, it is easily accessible from any part of the Ahmedabad city."
23,Tomb of Ahmed Shah and Ahmed Shah's Mosque,3.2,https://www.holidify.com/places/ahmedabad/tomb-of-ahmed-shah-and-ahmed-shahs-mosque-sightseeing-1044.html,4 km  from city center,,Tomb of Sultan Ahmed Shah who was the founder of the city of Ahmedabad. This tomb also has the cenotaphs of Ahmed Shah's son and grandson. Women are not allowed in the central chamber.
24,R3 The Mall,3.2,https://www.holidify.com/places/ahmedabad/r3-the-mall-sightseeing-1039.html,3 km  from city center,,"One of the most popular shopping malls and leisure destinations in the city, this mall houses about 200 shops, numerous food courts and a 4-screen multiplexes."
