,Name,Rating,Link,Distance,Location,About
0,Ajmer Sharif Dargah,4.3,https://www.holidify.com/places/ajmer/dargah-sharif-sightseeing-1088.html,1 km  from city center,,"Dargah Sharif, the tomb of Moinuddin Chishti is one of the holiest places of worship in India not only for the muslims but for followers of every faith.Being the final resting place of the Gharib Nawaz Moin-ud-din Chisti, it has had an enormous contribution in spreading the ethical and spiritual values of Islam amongst masses."
1,Ana Sagar Lake,4.2,https://www.holidify.com/places/ajmer/ana-sagar-lake-sightseeing-1085.html,3 km  from city center,,"Ana Sagar is an artificial lake constructed in 12th century AD by Anaji Chauhan, grandfather of the last independent Hindu king Prithvi Raj Chauhan. Spread over 13km, this lake features marble pavilions and gardens, which were added by Mughals later."
2,Adhai Din ka Jhopra,3.2,https://www.holidify.com/places/ajmer/adhai-din-ka-jhopra-sightseeing-1083.html,2 km  from city center,,"Adhai Din ka Jhopara is a Masjid built by Qutub-ud-Din-Aibak, first Sultan of Delhi in AD 1199."
3,Akbar's Palace,3.2,https://www.holidify.com/places/ajmer/akbars-palace-and-museum-sightseeing-1084.html,1 km  from city center,,"Akbar's palace, constructed in 1500AD as the place where he and his troops stayed in at Ajmer, lies in the centre of the town and is a major tourist magnet."
4,Nareli Jain Temple,3.3,https://www.holidify.com/places/ajmer/nareli-jain-temple-sightseeing-1091.html,6 km  from city center,,"Nareli Jain temple, located on the outskirts of Ajmer, about 7km away, is a beautiful marble temple with angular and strikingly appealing designs."
5,"Clock Tower, Ajmer",3.2,https://www.holidify.com/places/ajmer/clock-tower-sightseeing-1087.html,1 km  from city center,,"Clock Tower, situated at Church Road, Alwar, is a royal facade of the ancient Rajput reign which gives commanding view of the near by locality."
6,Durga Bagh Gardens,3.2,https://www.holidify.com/places/ajmer/durga-bagh-gardens-sightseeing-1089.html,2 km  from city center,,"Daulat Bagh is a charming garden on the banks of the majestic Ana Sagar Lake, The garden has a delightful background entitled Shimla, which was erected by Maharaja Mangal Singh."
7,Kishangarh City,3.2,https://www.holidify.com/places/ajmer/kishangarh-city-sightseeing-1090.html,27 km  from city center,,"Called as the marble city of India, Kishangarh city is a tourist spot in itself as the city is famous for it's art and culture, Bani Thani style of painting and the Kishangarh Fort."
8,Ajmer Jain Temple,3.2,https://www.holidify.com/places/ajmer/soniji-ki-nasiyan-sightseeing-1093.html,2 km  from city center,,"Soniji Ki Nasiyan, so called the Red Temple, is a Jain temple dedicated to the first Jain Tirthankara."
9,Abdulla Khan's Tomb,3.2,https://www.holidify.com/places/ajmer/abdulla-khans-tomb-sightseeing-1082.html,6 km  from city center,,This splendid memoir was constructed by the two sons of Abdullah Khan and this simple yet elegant tomb is one of the major attractions of Ajmer due to it's historic importance.
10,Shopping in Ajmer,3.0,https://www.holidify.com/places/ajmer/city-shopping-sightseeing-1086.html,3 km  from city center,,"The Mahila Mandi, as the name suggests, is meant for the women and is famous for traditional odnis, saris and fancy lehengas."
11,Urs Festival,,https://www.holidify.com/places/ajmer/urs-festival-sightseeing-1254168.html,12 out of 23  places to visit in Ajmer,,"The famous Ajmer Sharif shrine in Rajasthan witnesses an annual Urs celebration on the death anniversary of the Sufi saint, Khwaja Moinuddin Chishti, popularly known as Khwaja Gharib Nawaz, the founder of Chishti Sufi order in the Indian Subcontinent. Thousands of devotees having backgrounds in all castes and religions, from India and abroad, visit the shrine of Moinuddin Chishti to pay homage to the saint during the Urs festival. 

The Khwaja Gharib Nawaz Dargah, located in Ajmer, fills with the fragrance of incense and sights of devotees paying respect to the saint’s grave by offering ceremonial chadars over it. The Candles are lit, prayers are made, and qawwalis are performed all night as parts of the six-day-long Urs festival. Celebrated in Rajab, the seventh month of the Islamic lunar calendar, the Urs festival is a major occasion for devotees to do ziyarat of the sacred shrine."
12,Roopangarh Fort,3.2,https://www.holidify.com/places/ajmer/roopangarh-fort-sightseeing-1092.html,43 km  from city center,,"A palace and former fortress in the town of Roopangarh, Roopangarh fort has imperial monument with grand exterior and vivacious interiors."
