,Name,Rating,Link,Distance,Location,About
0,Water Sports in Alibaug,3.5,https://www.holidify.com/places/alibag/water-sports-sightseeing-1114.html,7 km  from city center,,"Famous for its beaches, Alibaug also offers water and adventure sports. The main beaches for water sports are Mandwa beach, Nagaon beach and Alibaug beach. These beaches offer activities such as parasailing, sea kayaking, jet ski and banana boat ride."
1,Kolaba Fort,4.2,https://www.holidify.com/places/alibag/kolaba-fort-sightseeing-1104.html,2 km  from city center,,"The Kolaba or Kulaba Fort (or the Alibag Fort) is an old military fortification in India, now turned into a popular tourist destination and a protected monument. Constructed by Shivaji Maharaj, the Fort was chosen by him to be one of his chief naval stations."
2,Alibaug Beach,4.4,https://www.holidify.com/places/alibag/alibaug-beach-sightseeing-1097.html,2 km  from city center,,"Alibag aka Alibaug is a coastal town and a municipal council in Raigad District in the Konkan region of Maharashtra, India. It is the headquarters of the Raigad district.  Alibag was developed in the 17th century by Sarkhel Kanhoji Aangre the naval chief of King Shivaji's Kingdom. Alibag is a coastal town and municipal council in Raigad district in Konkan region of Maharashtra, India. It is the headquarters of the Raigad district. Raigad's first name was ""Kulaba"". Today's Ramnath was the main village. A Bene Israelite named Ali used to live there at that time. A rich man he was who owned many mango and coconut plantations in his gardens. Hence, the locals used to call the place ""Alichi Bagh"" meaning ""Gardens of Ali"", or simply ""Alibag"", and hence the name stuck."
3,Vrindavan Farm,3.2,https://www.holidify.com/places/alibag/vrindavan-farm-sightseeing-1113.html,2 km  from city center,,"Spread over a sprawling 28 acres, is a synonym to a day trip of nature walks through countless mango, chikoo, guava, custard apple trees, cacti, crotons and more."
4,Nagaon Beach,3.8,https://www.holidify.com/places/alibag/nagaon-beach-sightseeing-1107.html,6 km  from city center,,"Tourists from far of places, Mumbai and pune visit nagaon beach due to the clean water, best cottages, water sports and tasty sea food, provided at reasonable prices around the beautiful beach. Nagaon beach acts as the central place for surrounding other beaches like Murud, Kashid, Akshi, Alibaug, Kihim and Mandva. Still nagaon beach is natural and beautiful due to coconut, betel and suru trees. From Mumbai and pune, Nagaon beach is 100 km via road and 60 km from sea. Water sports is new additional entertainment, available at Nagaon beach. There are seven to eight types of boats, available as per tourist demand. Nagaon beach is safe for all kinds of activites as in swimming, boating due to flat surface."
5,Murud-Janjira Fort,3.2,https://www.holidify.com/places/murud/murud-janjira-fort-sightseeing-2920.html,41 km  from city center,,"About 21 km from Kashid Beach, this fort is surrounded by the turquoise colored waters of the Arabian Sea. 
Dating back to 15th century AD, built under the rule of Emperor Malik Amber, the ruler of Ahmednagar, the structure sports an enchanting entrance to the fort depicting a carving of a tiger trapped by six elephants."
6,Kanakeshwar forest,3.2,https://www.holidify.com/places/alibag/kanakeshwar-forest-sightseeing-1102.html,10 km  from city center,,"The beautiful, dense and majestically mesmerizing lush green Kanakeshwar Forest is known for its richness and abundance of flora and fauna."
7,Kihim Beach,3.7,https://www.holidify.com/places/alibag/kihim-beach-sightseeing-1103.html,8 km  from city center,,"Situated 12 km away from Alibaug, the beach is almost perfect for beautiful romantic weekends."
8,Raigadi Bazaar,3.2,https://www.holidify.com/places/alibag/raigadi-bazaar-sightseeing-1109.html,1 km  from city center,,"Located within a kilometer from the Alibaug beach, this place has a lot of small bustling shops selling all kinds of small items, handicrafts, clothes and accessories."
9,Brahma Kund,3.7,https://www.holidify.com/places/alibag/brahma-kund-sightseeing-1098.html,1 km  from city center,,"The kund is 20 km away from Alibaug, built in 1612, Brahma Kund is immensely popular for its religious belief. Located on a hill to, there are two kunds the Shiv pool and the Brahmas kund."
10,Rewas Jetty,3.2,https://www.holidify.com/places/alibag/rewas-jetty-sightseeing-1110.html,17 km  from city center,,"The jetty is 23 km away from Alibaug, famous and significant for Mumbai Launch service. It is 6km away from Kihim."
11,Shopping in Alibaug,3.0,https://www.holidify.com/places/alibag/city-shopping-sightseeing-1099.html,1 km  from city center,,"There are numerous small shops in Alibaug selling clothes, accessories, kolhapuri chappals, antiques, etc. Do negotiate and cater to all your shopaholic desires at throwaway prices."
12,Akshi Beach,3.7,https://www.holidify.com/places/alibag/akshi-beach-sightseeing-1096.html,6 km  from city center,,"Its white sands dotted by numerous Suru trees and an occasional spotting of birds, Akshi Beach at a distance of 5km from Alibaug, is a beach ideal for spending some slow paced, relaxed time as well as bird watching. The water is clean and pristine, making the area ideal for an enjoyable swim."
13,Mandwa,3.7,https://www.holidify.com/places/alibag/mandwa-sightseeing-1105.html,17 km  from city center,,"The beautiful and mesmerizing Mandwa beach is located 20km north of Alibaug. Located in the vicinity of Gateway of India, the beach can be reached easily via ferries from Gateway of India."
14,Varsoli Beach,3.7,https://www.holidify.com/places/alibag/varsoli-beach-sightseeing-1112.html,1 km  from city center,,"Parnakuti located in Varsoli village is 1 kilometres from alibag city proper. Designed as a comfortable home away from home, the entire cottage can be rented for a weekend. Also available is authentic delicious Konkani food specially catered for your needs, both vegetarian and non-vegetarian. All your needs will be taken care of and the best part is at a great price that won't stretch your wallet at all. 

Alibag used to be the headquarters the great Maratha Admiral, Kanhoji Angre and has the famous Kulaba fort in the sea. Kanhoji Angre created the town of Alibag towards end of 17th century. Legend has it that a wealthy Muslim named Ali Owned many plantations, which gave the town the name Alibag."
15,Kanakeshwar Devasthan Temple,3.2,https://www.holidify.com/places/alibag/kanakeshwar-devasthan-temple-sightseeing-1101.html,11 km  from city center,,"Popular as Shiva temple, at a distance of about 13 km from Alibaug is the Kanakeshwar Devasthan Temple, located on a hill at an altitude of 900 feet. Climb some 5000 odd steps to reach this this temple."
16,Undheri Fort,3.2,https://www.holidify.com/places/alibag/undheri-fort-sightseeing-1111.html,6 km  from city center,,"A fort that fell from one reign of ownership to another is an island fort, by the name of Undheri Fort, at a distance of about 300m from the Kandheri. A local fishing boat can be hired to visit the fort."
17,Nagoba Mandir,3.2,https://www.holidify.com/places/alibag/nagoba-mandir-sightseeing-1108.html,1 km  from city center,,"Known for legends to its origins and its hanging clusters of countless bells, Nagoba Mandir is a significant religious centre, near the Saswane Beach."
18,Saswane Beach,3.0,https://www.holidify.com/places/alibag/saswane-beach-sightseeing-120875.html,14 km  from city center,,"A relatively lesser known Saswane Beach lies on the coastline extended after Awas and Alibaug. The beach faces an elite residential village with sparse bungalows and posh apartments. With a grove of coconut trees in the distance, the Mumbai skyline presents a mesmerising picture. The beach also encourages water sports (except during monsoon) and is frequented by travellers both from Pune and Mumbai owing to its flexible location. The extremely scenic beach also houses a sculpture museum and boasts of even prettier sunset views."
19,"Hanuman temple, Alibaug",3.2,https://www.holidify.com/places/alibag/hanuman-temple-sightseeing-1100.html,1 km  from city center,,"Located within the premises of Kanakeshwar Devasthan Temple, the Hanuman temple is 13km away from Alibaug. God Hanuman, an ardent devotee of Lord Rama is worshipped here."
20,Korlai Beach,,https://www.holidify.com/places/alibag/korlai-beach-sightseeing-124373.html,15 km  from city center,,"Korlai Beach is one of the hidden gems of Mumbai. Situated at a little distance from the town of Alibaug, the main beach is located in the small fisher village of Korlai. Contrary to the usual sand beaches of Maharashtra, this one full of green-yellow weeds, pink oxalis flowers and grassy meadows during the rainy season."
21,Kasim Beach,,https://www.holidify.com/places/alibag/kasim-beach-sightseeing-124372.html,8 km  from city center,,"Located at a distance of around 30 kms from the main town of Alibaug in Kashid, Kasim Beach spells peace, quietude and serenity in all their forms. The beach has an extensive coastline ideal for long walks or simply to sit and bask in the sun."
22,Awas Beach,,https://www.holidify.com/places/alibag/awas-beach-sightseeing-124374.html,12 km  from city center,,"Located a little on the outskirts of Alibaug, around 7 kms from Mandwa, Awas Beach is a beautiful stretch of golden sands lined with casuarina and suru trees. A well kept secret of Alibaug, the beach rarely has visitors which means it is ideal for romantic getaways or to spend quality time in solitude. The village adjacent to the beach houses some beautiful resorts which are frequented by families and couples alike. Lack of tourism in the place also lead to cleaner shores, quieter aesthetics and an overall gorgeous view."
23,Villa Stay,,https://www.holidify.com/places/alibag/villa-stay-sightseeing-1254248.html,24 out of 24  places to visit in Alibag,,"Staying in any one of the gorgeous villas facing the seaside is one of the popular things to do in Alibag. Besides enjoying a pleasant stay, sumptuous meals and a glamorous view, you can also avail the several spa and massage facilities available at these villas. These beautiful villas will help you relax and rejuvenate royal style."
