,Name,Rating,Link,Distance,Location,About
0,Houseboats,4.4,https://www.holidify.com/pages/houseboats-in-alleppey-3479.html,13 km  from city center,,"Popularly known as the Venice of the east, Alleppey or Allapuzha is famous for its serene backwaters and their exceptionally scenic setting. Cruising on houseboats in Alleppey is the latest and probably the best addition to the list of ways you can enjoy the mesmerizing natural beauty of this quaint little town."
1,Alappuzha Beach,4.3,https://www.holidify.com/places/alleppey/alappuzha-beach-sightseeing-1123.html,14 km  from city center,,"Alappuzha is referred to as the Venice of the East which has always enjoyed an important place in the maritime history of Kerala. Presently it is famous for its boat races, backwater holidays, beaches, marine products and coir industry. Alappuzha beach is a popular picnic spot. The pier, which extends into the sea here, is over 137 years old. Entertainment facilities at the Vijaya Beach Park add to the attraction of the beach. There is also an old lighthouse nearby which plays a fascinating sight to the visitors from far and wide."
2,Alleppey Backwaters,4.6,https://www.holidify.com/places/alleppey/backwaters-sightseeing-1124.html,12 km  from city center,,"Formed by the amalgamation of multiple of various waters sources, backwaters give you the postcard-perfect view with coconut trees lined all along and houseboats in the middle."
3,Vembanad Lake,3.4,https://www.holidify.com/places/alleppey/vembanad-sightseeing-1133.html,15 km  from city center,,Vembanad Lake is the longest lake in India. The lake is known by different names in different places. Taking a house boat on the lake could be a fun experience.
4,Nehru Trophy Boat Race,3.3,https://www.holidify.com/places/alleppey/nehru-trophy-snake-boat-race-sightseeing-1131.html,9 km  from city center,,This snake boat race festival is an annual event held here on the second Saturday of every August.
5,Krishnapuram Palace,3.8,https://www.holidify.com/places/alleppey/krishnapuram-palace-sightseeing-1128.html,34 km  from city center,,"Built during the reign of Travancore king Marthanda Varma, Krishnapuram Palace is a two-story structure crafted in traditional Kerala architectural style."
6,Pallippuram,3.3,https://www.holidify.com/places/alleppey/pallippuram-sightseeing-1132.html,35 km  from city center,,"One of the islands located in the Vembanad Lake, Pallipuram is a small village known for its white sand. It is just your kind of place, if you are looking for a very offbeat location within the Alappuzha district."
7,Kuttanad,3.9,https://www.holidify.com/places/alleppey/kuttanad-sightseeing-1130.html,11 km  from city center,,"Kuttanad is a region covering a large part of Alappuzha and some of Kottayam district, the heart of the backwaters of Kerala. Kuttanad is the 'rice bowl of Kerala', being home to lush green rice fields spread extensively, divided by dykes. Travelling through this secluded alcove of nature will give you a feel of traditional countryside life of Kerala. A special peculiarity of this place is its geography. It lies around 2 metres below the main sea level, making it the lowest altitude place in the country."
8,Bay Island Driftwood Museum,3.3,https://www.holidify.com/places/alleppey/bay-island-driftwood-museum-sightseeing-1125.html,19 km  from city center,,"Founded by Raji Punnoose, a school-teacher in Andaman and Nicobar Islands, Bay Island Driftwood Museum is famous for its innovative modern art techniques deployed to design various kinds of root and tree-trunk sculptures."
9,Ambalappuzha Sree Krishna Temple,3.4,https://www.holidify.com/places/alleppey/ambalapuzha-sree-krishna-temple-sightseeing-120888.html,10 km  from city center,,"Ambalapuzha Sree Krishna Temple is a Hindu temple dedicated to Lord Krishna situated in Alappuzha district. Built-in the traditional Kerala style architectural pattern, the temple is famous for its delicious rice pudding prepared in sweet milk, popularly known as Pal Payasam."
10,Chettikulangara Devi Temple,3.8,https://www.holidify.com/places/alleppey/chettikulangara-devi-temple-sightseeing-1126.html,26 km  from city center,,"Chettikulangara Devi Temple is one of the most renowned Hindu temples in Kerala primarily visited by the followers if the main deity Sree Bhadarakali. The Goddess is worshipped in 3 different forms: Maha Saraswati, Maha Lakshmi and Maha Kali or Durga. It is treated as a religious-cultural icon. It is believed that the temple is 1200 years old. Not much evidence and theories for its existence exists."
11,Mannarasala Sree Nagaraja Temple,,https://www.holidify.com/places/alleppey/mannarasala-sree-nagaraja-temple-sightseeing-120903.html,17 km  from city center,,"Nestled in a forest glade near Haripad, Mannarasala Sree Nagaraja temple is dedicated to the snake god- Nagaraja. Nagaraja is considered to be a form of Lord Shiva and Lord Vishnu."
12,Revi Karunakaran Museum,,https://www.holidify.com/places/alleppey/revi-karunakaran-museum-sightseeing-120905.html,13 km  from city center,,"Revi Karunakaran Museum is a memorial museum built by Betty Karunakaran in the memory of her namesake husband and one of the leading coir industrialist and businessman of Kerala- Revi Karunakaran. Built in 2003, the renowned, privately owned museum is a one of the largest of its kind."
13,Marari Beach,,https://www.holidify.com/places/alleppey/marari-beach-sightseeing-120908.html,23 km  from city center,,"Boasting of coastal verve and undulating natural beauty, Marari beach is the perfect vacation spot for families and couples. Shining with golden sands and lined with palm trees, the beach spells beautiful in all its forms."
14,St,,https://www.holidify.com/places/alleppey/st-andrews-basilica-arthunkal-sightseeing-120906.html,28 km  from city center,,"St. Andrew’s Basilica at Arthunkal in the district of Alappuzha, is considered to be the largest shrine of Saint Sebastian in all of the world. Originally constructed by the Portuguese missionaries in the 16th century, the church was rebuilt in 1584 under the priest Jacomo Fenicio."
15,Pathiramanal,,https://www.holidify.com/places/alleppey/pathiramanal-sightseeing-120910.html,20 km  from city center,,"Replete with pristine environs in the idyllic setting, Pathiramanal is a tiny island in the backwaters of Kerala near Alappuzha. ‘Pathiramanal’ meaning ‘sands of night’ boasts of verdant wilderness, serene lakeside and a picturesque landscape."
16,Karumadikkuttan,,https://www.holidify.com/places/alleppey/karumadikkuttan-sightseeing-120909.html,12 km  from city center,,"Situated in the village of Karumadi, around 3 kms away from Alappuzha in Kerala, is the shrine of Karumadikkuttan; the name literally translating to the ‘boy from Karumadi’. Set on the banks of Punnamada lake in the backwaters, the temple majorly houses a three feet high, black granite statue of Buddha and is a venerated religious site among the Buddhists."
17,"St George Forane Church, Edathua",,https://www.holidify.com/places/alleppey/edathua-church-sightseeing-120912.html,10 km  from city center,,"Situated on the banks of river Pampa, Edathua Church is also known as St. George Forane Church is dedicated to St. George. Built in 1810, the church is believed to possess miraculous healing powers."
18,Vijay Beach Park,,https://www.holidify.com/places/alleppey/vijay-beach-park-sightseeing-120911.html,14 km  from city center,,"Constructed on the southern side of the Alappuzha backwaters, Vijay Beach Park is a wonderful initiative by the state government. The park is an ideal picnic spot for kids and adults alike. Other than the umpteen swings and slides available for the kids to play on, there are numerous thrilling rides for the grown-ups. While the charming toy train gives the children a ride around the park in minimal waters, the adults can enjoy boating or simply relax in the vibrant environment. It facilitates different types of boating experiences in round boats and pedal boats. In addition, the park also has a demarcated area for the tiny tots to ride bikes on rent."
19,St,,https://www.holidify.com/places/alleppey/st-marys-forane-church-sightseeing-120915.html,5 km  from city center,,"Champakulam Kalloorkadu Marth Maryam (St. Mary’s) Basilica, popularly known as St. Mary’s Forane Church is an ancient Syro- Malabar church in the Archeparchy of Changanacherry. Constructed in 427 AD, the church is one of the oldest Syrian Catholic churches in all of India."
