,Name,Rating,Link,Distance,Location,About
0,Zero Point,3.5,https://www.holidify.com/places/almora/zero-point-sightseeing-1145.html,1 km  from city center,,"Located in Binsar Wildlife Sanctuary, Zero Point is the highest point in Binsar. The view of the skies from Zero Point is mesmerising, especially during sunset and sunrise. One can see panoramic view of the Himalayas including peaks like the Kedarnath Peak, Shivling, and Nanda Devi."
1,Jageshwar,3.7,https://www.holidify.com/places/jageshwar/,9 km  from city center,,"Jageshwar is believed to be the home of one among the twelve Jyothirlingas. Surabhi and Nandini rivers flow through this place that has 124 temples built in medieval architectural style, and heavily influenced by Buddhist style craftsmanship."
2,Chitai Temple,3.6,https://www.holidify.com/places/almora/chitai-temple-sightseeing-1136.html,4 km  from city center,,"A famous temple of Lord Gollu, another name for Lord Shiva, the Chitai temple was built during the Chand regime."
3,Jalna,3.5,https://www.holidify.com/places/almora/jalna-sightseeing-8121.html,8 km  from city center,,"A small and sleepy village away from the chaotic tourist centers, Jalna is a place for some trekking and exploration into the wild."
4,Kasar Devi Temple,3.6,https://www.holidify.com/places/almora/kasar-devi-temple-sightseeing-1142.html,5 km  from city center,,Kasar Devi Temple is located 5 km away from Almora and it dates back to 2nd Century. The temple overlooking Almora and the Hawabagh valley gives a panoramic view of Himalayas from Bandarpunch peak.
5,Dunagiri,3.5,https://www.holidify.com/places/almora/dunagiri-sightseeing-8115.html,104 km  from city center,,"Nestled in the glorious Kumaon Himalayas, Dunagiri is a small hill town away from the popular tourist circuit of Uttarakhand providing travelers some solitary space."
6,Shopping in Almora,3.0,https://www.holidify.com/places/almora/city-shopping-sightseeing-1137.html,1 km  from city center,,"Buy local handicrafts, Himalayan woolens and copperware."
7,"Deer Park, Almora",3.2,https://www.holidify.com/places/almora/deer-park-sightseeing-1138.html,2 km  from city center,,"Located 3 km from Almora, Deer Park is one of the best places for nature and wildlife lovers. In this park you can spot animals like deer, leopard and black bear among lush green pine trees."
8,Lal Bazaar,3.2,https://www.holidify.com/places/almora/lal-bazaar-sightseeing-1144.html,31 km  from city center,,"Lal Bazaar is the heart of Almora with this colourful shops filled with bronze and brass wares, fine rabbit wool clothes and amazingly tasty sweets."
9,Kasar Devi,4.3,https://www.holidify.com/places/almora/kasar-devi-sightseeing-6213.html,5 km  from city center,,Kasar devi is one of the famous temple perched on the hill Kashya. It is a village situated near Almora i.e in Uttarakhand. Village got its name after the ancient and historical temple Kasar devi temple. It is believed that Swami Vivekanand visited Kasar devi in 1890's. Every year Kasardevi fair is celebrated on a huge level.
10,Bright End Corner,3.2,https://www.holidify.com/places/almora/bright-end-corner-sightseeing-1135.html,3 km  from city center,,"Situated 3 km away from Almora, Bright End Corner offers breathtaking views of sunset and sunrise. This serene viewpoint has a Vivekanand library situated very close to it."
11,Katarmal Sun Temple,3.6,https://www.holidify.com/places/almora/katarmal-sun-temple-sightseeing-1143.html,6 km  from city center,,"Being the second most important Sun temple, this 800 year old temple has one main temple and 45 smaller shrines."
12,Rafting in Kali Sarada,3.5,https://www.holidify.com/places/almora/rafting-in-kali-sarada-sightseeing-8193.html,301 km  from city center,,"A perfect destination for first time rafters and family adventure, a ride on the Kali Sarada River through eastern Kumaon region is simply mind blowing."
13,Binsar,3.2,https://www.holidify.com/places/binsar/,13 km  from city center,,"An erstwhile summer capital of the Chand rulers, this hill resort looking to the Himalayas is famous for the Binsar Wildlife Sanctuary."
14,Dwarahat Village,3.2,https://www.holidify.com/places/ranikhet/dwarahat-sightseeing-3394.html,30 km  from city center,,"Situated at an elevation of 1510m in the Kumaon mountains of Almora, Dwarahat is a charming hill village. Dwarahat offers a splendid view of the Himalayan mountains and is an excellent place for a peaceful Holiday."
15,Gobind Vallabh Pant Museum,3.2,https://www.holidify.com/places/almora/gobind-vallabh-pant-museum-sightseeing-1140.html,0 km  from city center,,"Sheltering some of the legacies of the Katyuri and Chand dynasties, the museum on Mall Road also has beautiful collections of folk style painting known as Aspen and Kumaoni antiquities."
