,Name,Rating,Link,Distance,Location,About
0,Golden Temple,4.5,https://www.holidify.com/places/amritsar/golden-temple-sightseeing-1173.html,2 km  from city center,,"One of the most spiritual places in India, the Golden Temple, also known as Sri Harmandir Sahib, is the holiest shrine in all of Sikhism. Located right in the heart of Amritsar and being easily reachable from any part of the city, the stunning golden architecture of the temple and the daily Langar (community kitchen) attract a large number of visitors and devotees each day. The temple is open to devotees of all faiths and serves over 100,000 people free food from all walks of life"
1,Wagah Border,4.4,https://www.holidify.com/places/amritsar/wagah-border-sightseeing-1181.html,28 km  from city center,,"Located at a distance of 22 km from Lahore, Pakistan and 28 km from Amritsar in India, the Wagah Border marks the boundaries between Indian and Pakistani borders, running along the Grand Trunk Road. The Wagah Border Ceremony or the Beating Retreat Ceremony, held every day before sunset, is the prime attraction. Every evening, just before sunset, the soldiers from the Indian and Pakistan military meet at this border post to engage in a 30-minute display of military camaraderie and showmanship"
2,Jallianwala Bagh,4.4,https://www.holidify.com/places/amritsar/jallianwala-bagh-sightseeing-1177.html,2 km  from city center,,"Jallianwala Bagh is a place of great historical importance during the Indian struggle for Independence. It is a public garden in Amritsar which houses a memorial of national importance that was established by the government of India in 1951 to commemorate the massacre of peaceful celebrators  by British forces on April 13,1919."
3,Guru Ke Mahal,3.3,https://www.holidify.com/places/amritsar/guru-ke-mahal-sightseeing-1174.html,5 km  from city center,,"Housing the Granth Sahib and their gurus, Guru Ke Mahal was founded by Guru Ram Das in 1573 as a little cottage that went on to shelter the great gurus of the Sikhs."
4,Hall Bazaar Amritsar,3.3,https://www.holidify.com/places/amritsar/hall-bazaar-sightseeing-1176.html,1 km  from city center,,"Offering electronic items, ornaments, best quality books, handicrafts and ready-made garments, Hall Bazaar is famous for its Mughal style gate, complete with a giant clock with caption ""Amritsar - Sifti Da Ghar""."
5,Maharaja Ranjit Singh Museum,3.3,https://www.holidify.com/places/amritsar/maharaja-ranjit-singh-museum-sightseeing-1180.html,1 km  from city center,,"Summer palace turned into museum, Maharaja Ranjit Singh Museum is a lovely building which archives the Royal Heritage of Maharaja Ranjit Singh such as arms and armour, outstanding paintings and century old coins and manuscripts."
6,Gurudwara Mata Kaulan,3.3,https://www.holidify.com/places/amritsar/gurudwara-mata-kaulan-sightseeing-1175.html,2 km  from city center,,"Gurudwara Mata Kaulan is located on the edge of Kaulan reservoir, is named after Kaulan, a believer who was severely punished by the patriarchs, yet it failed to dissuade her."
7,Gurudwara Bibeksar Sahib,3.3,https://www.holidify.com/places/amritsar/bibeksar-sahib-sightseeing-1172.html,2 km  from city center,,"Bibeksar Sahib lying on the banks of Bibeksar Sarovar was constructed by Maharaja Renjith Singh. The place is famous as the congregation site of followers of 6th Sikh Guru, Hargobind Singh ji."
8,Partition Museum,3.0,https://www.holidify.com/places/amritsar/partition-museum-sightseeing-120666.html,1 km  from city center,,"The Partition Museum, the first-ever museum in the entire world to focus on the stories and trauma of the millions who had to suffer from the bloody consequences of a ruthless partition; was recently opened up at Town Hall in Amritsar."
9,Khair-ud-Din Masjid,3.3,https://www.holidify.com/places/amritsar/khair-ud-din-masjid-sightseeing-1179.html,1 km  from city center,,"Famous for its architecture, Khair-ud-Din Masjid was established by Mohd. Khairuddin. It was the place from where the great call for waging war against the looting British was announced by Tootie-e-Hind, Shah Attaullah Bukhari."
