,Name,Rating,Link,Distance,Location,About
0,Skiing in Auli,4.4,https://www.holidify.com/places/auli/skiing-sightseeing-1221.html,1 km  from city center,,"Skiing in Auli is the most popular thing to do. It offers beautiful views of peaks such as Mt Nanda Devi Kamet, Mana Parwat, Dunagiri, Beethartoli, Nilkanth, Hathi Parbat, Ghori Parbat and Nar Parbat. Skiing in Auli starts from late November to March."
1,Auli Ropeway,,https://www.holidify.com/places/auli/cable-car-ride-sightseeing-1254287.html,2 out of 12  places to visit in Auli,,"Locally known as a Gondola, the cable car ride in Auli is the second highest and the longest cable car ride in Asia after Gulmarg. Covering a total distance of 4 km, the journey starts at Joshimath and ends at Auli, and takes a total time of around 24 min."
2,Trishul Peak,3.8,https://www.holidify.com/places/auli/trishul-peak-sightseeing-1224.html,31 km  from city center,,"The three Himalayan mountain peaks of western Kumaun as a whole forms the Trishul peak, at a height of 7120m. It is the place where most tourists gather for skiing in Auli as it is the only place in India where skiing is carried on at a professional level. The peak can be best viewed from Kausani or during the Roopkund Trek ."
3,Joshimath,3.3,https://www.holidify.com/places/joshimath/,3 km  from city center,,"Joshimath, also known as Jyotirmath, is a hill town perched at the height of 6150 feet in Chamoli district. Overlooking the confluence of rivers Alaknanda and Dhauliganga, Joshimath is also the winter home of Lord Badri as the idol is shifted from Badrinath to Joshimath during winters."
4,Gurso Bugyal,3.6,https://www.holidify.com/places/auli/gurso-bugyal-sightseeing-1217.html,0 km  from city center,,"Perched at an elevation of 3,056m, Gurson Bugyal is a picturesque wide meadow known for its lush green pasture land and oak trees. It affords stunning panoramic view of imposing Himalayas like Nanda Devi, Trishul and Dron. 3 km trek from Auli will lead you to this scenic location."
5,Trekking in Auli,3.3,https://www.holidify.com/places/auli/trekking-sightseeing-1223.html,2 km  from city center,,"Auli offers some of the finest slopes of the Himalayan range where you can trek. Peaks ranging from about 2500 to 3000 m, Auli has some well defined trekking routes. You can trek up to Himalayan peaks such as Nanda Devi, Kamet, Mana Parvat, Dunagiri and Joshimath from Auli."
6,Camping in Auli,,https://www.holidify.com/places/auli/camping-in-auli-sightseeing-1254289.html,7 out of 12  places to visit in Auli,,"Camping is one of the sought after activities or top things to do in Auli. After spending the evening by a bonfire, lounging on camping chairs  - with fun & games and delicious food, you would sleep under the stars and wake up to enticing sunrise views. Some of these camps also let you enjoy adventure activities like trekking, hiking and wandering the woods with the help of a professional guide."
7,Kwani Bugyal,3.6,https://www.holidify.com/places/auli/kwani-bugyal-sightseeing-1222.html,0 km  from city center,,"Situated 12 km from Gurso Bugyal at an elevation of 3380m, Kwani Bugyal is a very popular destination for trekking. Offering mesmerising view of snow-capped mountains like Nanda Devi and Dunagiri, it is also a favourite camping destination."
8,Chenab Lake,3.2,https://www.holidify.com/places/auli/chenab-lake-sightseeing-1216.html,0 km  from city center,,"Chenab Lake is an artificial lake that serves as a reservoir for the people of Auli. It is a small crystalline lake that is still less explored and in its purest state, holding the sights of tourists and making it an enchanting spot. The trek to Chenab lake is for those who truly want to have a crude and authentic trekking experience."
9,View Points in Auli,3.6,https://www.holidify.com/places/auli/view-points-sightseeing-1225.html,1 km  from city center,,The panoramic views in Auli can be astonishing as it is surrounded by very high peaks including Nanda Devi (7817 m). The Hanuman Temple is a popular viewing points. There is also an artificial lake as well in Auli which is the world's highest man-made lake.
10,Rudraprayag,3.2,https://www.holidify.com/places/rudra-prayag/,63 km  from city center,,"One of the five 'Prayags' (confluences) of Alaknanda River, Rudraprayag is a sacred place regarded as one of the Panch Prayags and place of great religious significance. Rudraprayag is sprinkled with several ancient temples and serves as a gateway to two major pilgrimages of Kedarnath and Badrinath."
11,Nandaprayag,3.3,https://www.holidify.com/places/karnaprayag/nandprayag-sightseeing-4909.html,32 km  from city center,,"One of the Panchprayags, Nandaprayag is the place of confluence of River Alaknanda and Nandakini. It is a place of spirituality and devotion as well as beautiful landscapes. The town also used to be the capital of the erstwhile Yadu Kingdom whose king built the famous Nanda Temple."
