,Name,Rating,Link,Distance,Location,About
0,Grishneshwar Temple,3.5,https://www.holidify.com/places/aurangabad/grishneshwar-temple-sightseeing-1232.html,25 km  from city center,,"A kilometer long walk away from Ellora caves, the 18th century temple of one of the five Jyothirlingas of Lord Shiva in Maharashtra and 12 of that in India, holds great gathers much significance from its visitors."
1,Bibi ka Maqbara,4.2,https://www.holidify.com/places/aurangabad/bibi-ka-maqbara-sightseeing-1228.html,4 km  from city center,,"Having a striking resemblance to Taj Mahal, the Bibi ka Maqbara is often referred to as the Taj of the Deccan. Bibi ka Maqbara was constructed by Azam Shah, son of Aurangzeb in the memory of his mother Dilras Banu Begum. It is the principal monument in the historic city of Aurangabad."
2,The Ajanta caves,3.6,https://www.holidify.com/places/ajanta-and-ellora-caves/ajanta-caves-sightseeing-4020.html,84 km  from city center,,"At a distance of 99km from the town lies a highlight to its tourism and heritage spheres. These ones find themselves a place in the UN's list of World Heritage Sights and are a must visit, while here."
3,Ellora caves,3.5,https://www.holidify.com/places/aurangabad/ellora-caves-sightseeing-1247.html,23 km  from city center,,"Another World Heritage Site that the town boasts of, are the Ellora caves, that one must not miss while in Aurangabad. The sculptures here, represent elements of three religions and do so grandly and beautifully."
4,Daulatabad Fort,4.2,https://www.holidify.com/places/aurangabad/daulatabad-fort-sightseeing-1231.html,16 km  from city center,,Daulatabad aka Devagiri is a town which includes the Devagiri Daulatabad fort which carries the distinction of remaining undefeated in battle. It is a 14th century fort city in Maharashtra state of India about 16 kilometers northwest of Aurangabad. Earlier the place was called Devagiri when it was an important uplands city along caravan routes but the times later have reduced it to a village. However it is also considered to be one of the seven wonders of Maharashtra and a developing tourist spot.
5,Aurangabad Caves,4.3,https://www.holidify.com/places/aurangabad/aurangabad-caves-sightseeing-1226.html,6 km  from city center,,"The majestic caves of Aurangabad are ten in number, divided in two separate locations of Eastern and Western groups of caves."
6,Siddharth Garden,3.2,https://www.holidify.com/places/aurangabad/siddharth-garden-sightseeing-1243.html,3 km  from city center,,"A well maintained garden, elaborate with trees, flowers and an aquarium, rides, and a zoo, this one is ideal for some relaxed time in lush green and refreshing surroundings."
7,Gul Mandi,3.2,https://www.holidify.com/places/aurangabad/gul-mandi-sightseeing-1233.html,2 km  from city center,,"Every place has a distinct bazaar, so does Aurangabad. Amongst all the famous and well known ones, Gul Mandi is the largest bazaar in Aurangabad."
8,Bani Begum Garden,3.2,https://www.holidify.com/places/aurangabad/bani-begum-garden-sightseeing-1227.html,22 km  from city center,,"At a distance of 24km from Aurangabad is this astonishingly beautiful garden with fountains, fluted pillars & massive domes."
9,"Jain Caves, Ellora",3.2,https://www.holidify.com/places/aurangabad/jain-caves-ellora-sightseeing-1235.html,23 km  from city center,,Cave 34 is an unfinished four-pillared hall with a shrine. Another place called Samvatsarana is located in Ellora caves which was used by thirthankaras preached after attaining omniscience.
10,"The Buddhist Caves, Ellora",3.5,https://www.holidify.com/places/aurangabad/the-buddhist-caves-ellora-sightseeing-1246.html,23 km  from city center,,"The 12 Buddhist Caves mostly include viharas or monasteries. In these caves, several monasteries have shrines that are carved with paintings and sculptures of Buddha, Bodhisattva and Saints."
11,Panchakki,3.7,https://www.holidify.com/places/aurangabad/panchakki-sightseeing-1241.html,3 km  from city center,,"Panchakki is a water mill located in the dargah complex at  Baba Shah Musafir Dargah, Auranagabad. It is an ancient mill which used to grind grain for the pilgrims who visited the Dargah. This mill displays the scientific thought process behind medieval Indian architecture, as in those days, it was designed to generate energy via water which was brought down from a spring on a nearby mountain. The complex, along with the mill, also consists of a mosque, a madrissa, a kacheri, a minister's house, a sarai and houses for zananas."
12,Khuldabad,3.7,https://www.holidify.com/places/aurangabad/khuldabad-sightseeing-1238.html,26 km  from city center,,"Khuldabad is a small town located around 13 km from Aurangabad and 3 km from the world heritage site of Ajanta and Ellora Caves. Formerly known as 'Rauzaa', which means the garden of paradise, Khuldabad is popular as the ""Valley of Saints"", because the city was resided by several Sufi saints in the 14th century. This holy city is home to several important historic monuments like Aurangzeb's Tomb, Dargah of Zar Zari Zar Baksh, Shaikh Burhan ud-din Gharib Chisti and Shaikh Zain-ud-din Shirazi. Khuldabad also houses the famous Bhadra Maruti Temple dedicated to Lord Hanuman."
13,Kailasa Temple,3.2,https://www.holidify.com/places/aurangabad/kailasa-temple-ellora-sightseeing-1237.html,23 km  from city center,,"While Ajanta and Ellora caves are known as the world famous Buddhist monuments, they are a testimony to the fact that the three religions Hinduism, Jainism and Buddhism were one and hence there are also Hindu temples to visit here."
