,Name,Rating,Link,Distance,Location,About
0,Bangalore Palace,4.3,https://www.holidify.com/places/bangalore/bangalore-palace-sightseeing-1280.html,3 km  from city center,Malleshwaram,"The majestic Bangalore palace, enclosed by beautiful gardens, is a famous tourist attraction in Bangalore. It is now owned by the Mysore Royal family."
1,Cubbon Park,4.3,https://www.holidify.com/places/bangalore/cubbon-park-sightseeing-1286.html,1 km  from city center,Central Bangalore,"This park is a major sightseeing attraction, with 300 acres of green foliage. Having been laid down by Lord Cubbon, it is an ideal place for nature lovers an those seeking a calm atmosphere. It features a bandstand that hosts concerts.



The Bangalore Aquarium is also situated in this park, and is a must visit area in Bengaluru, being the second largest aquarium in India."
2,"MG Road, Bangalore",4.5,https://www.holidify.com/places/bangalore/mg-road-sightseeing-1298.html,2 km  from city center,Central Bangalore,"MG Road is one of a most popular shopping and entertainment hub of Bangalore. Swarming with people at almost all the time, one must visit the place if in Bangalore."
3,Lalbagh,4.3,https://www.holidify.com/places/bangalore/lal-bagh-sightseeing-1294.html,8 km  from city center,Jayanagar,"This botanical garden is a haven for all nature lovers. It was commissioned by Hyder Ali in 1760 and completed by Tipu Sultan, with a spread of 240 acres.



The garden features rare plants of French, Persian and Afghani origin and has attained status of a Government Botanical Garden. The Lal Bagh Rock which is over 3000 million years old is found here and is a major tourist attraction."
4,Bannerghatta National Park,4.3,https://www.holidify.com/places/bangalore/bannerghatta-national-park-sightseeing-1281.html,23 km  from city center,,"Housing the country's first butterfly park, this park has a huge variety of fauna, making it one of the most enjoyable tourist attractions in the city.



Tourists can also opt for Safari rides through the park. One can spot Lions, Tigers, Crocodiles amongst numerous others in the park."
5,UB City Mall,4.3,https://www.holidify.com/places/bangalore/ub-city-mall-sightseeing-1304.html,0 km  from city center,Central Bangalore,"Located in the CBD (Central Business District) in Bangalore, this luxury mall is the one-stop destination for all your high-end brand needs. Assimilation of four towers as a whole, it is spread over a mind-boggling area of 13 acres. The place takes care of all your exclusive needs, whether it is shopping at some high-end store, ultra-fine dining, or even taking a Spa after a long day of work, this place has it all."
6,Wonderla Amusement Park,3.5,https://www.holidify.com/places/bangalore/wonder-la-water-park-sightseeing-1308.html,26 km  from city center,,"Wonderla is said to be the best amusement park in the city (and also one of the best in the country), and attracts all those looking for a rush of adrenaline. While it is most famous for the high-thrill dry rides, it also features some relaxed, fun rides, hence providing something for every visitor."
7,Commercial Street,3.7,https://www.holidify.com/places/bangalore/commercial-street-sightseeing-1285.html,2 km  from city center,Central Bangalore,"Shopaholics ought to hit these spots in Bangalore. Easy money and a lively and confident lifestyle make Bangalore a shopper's heaven. Whether one is looking for those jimmy choos or the local silk sari, chances are one will find it easily in many of the shops or the malls. The options are plenty. One of the first shopping areas a newcomer to Bangalore is told about is commercial street.  If one is in dispensary road in commercial street, one may head to pooja collections for lovely silk duppatas, printed cottons and yards of maheshwari."
8,"ISKCON Temple, Bangalore",3.8,https://www.holidify.com/places/bangalore/iskcon-temple-sightseeing-1292.html,6 km  from city center,Malleshwaram,"Apart from a religious temple, ISKCON is a cultural complex accommodating dedicated deities of Sri Sri Radha Krishnachandra, Sri Sri Krishna Balarama, Sri Sri Nitai Gauranga, Sri Srinivasa Govinda and Sri Prahlada Narasimha."
9,Ulsoor Lake,3.8,https://www.holidify.com/places/bangalore/ulsoor-lake-sightseeing-1305.html,3 km  from city center,Central Bangalore,"Constructed by Kempe Gowda II in the 2nd century, this lake was earlier known as Halsur or Alasur. Although not fit for swimming, boating can be enjoyed at the lake."
10,Nandi Hills,3.3,https://www.holidify.com/places/nandi-hills/,45 km  from city center,,"Nandi Hills is a scenic hill station situated close to Bangalore, serving as one of the most popular destinations for trekking of Karnataka and escaping the busy city life of Bangalore."
11,Vidhana Soudha,3.8,https://www.holidify.com/places/bangalore/vidhana-soudha-sightseeing-1307.html,1 km  from city center,Central Bangalore,"The Vidhana Soudha located in Bengaluru (Bangalore), is the seat of the state legislature of Karnataka. It is an imposing building, constructed in a style sometimes described as Mysore Neo-Dravidian, and incorporates elements of Indo-Saracenic and Dravidian styles. The construction was completed in 1956."
12,Bull Temple,3.8,https://www.holidify.com/places/bangalore/bull-temple-sightseeing-1282.html,4 km  from city center,Jayanagar,"This temple is one of the oldest in Bengaluru, and is dedicated to Nandi, the bull who is the wagon of Lord Shiva."
13,Innovative Film City,3.7,https://www.holidify.com/places/bangalore/innovative-film-city-sightseeing-1291.html,29 km  from city center,,"Take a day trip to this theme park, just a little away from the main city, which keeps the promise in its name. Spend a day here enjoying the countless sections such as the Wild Wild West, Miniature City, Cartoon City, Water rides, Wannado City, Fashion Cafe and more."
