,Name,Rating,Link,Distance,Location,About
0,Lingaraj Temple,4.2,https://www.holidify.com/places/bhubaneswar/lingaraj-temple-sightseeing-1385.html,7 km  from city center,,"The Lingaraj Temple is an ancient temple with great religious importance. Dedicated to Lord Shiva as the name suggests, it is visited by huge number of devotees throughout the year."
1,"ISKCON Temple, Bhubaneswar",3.4,https://www.holidify.com/places/bhubaneswar/iskcon-temple-sightseeing-1384.html,1 km  from city center,,"Built by the ISKCON (International Society for Krishna Consciousness) in 1991, this temple serves as an alternative to Lord Jagannath temple of Puri as that temple is restricted to Indians."
2,Hirakud Dam,4.2,https://www.holidify.com/places/bhubaneswar/hirakud-dam-sightseeing-1383.html,245 km  from city center,,"Located at a distance of 15 km from the Sambalpur district and around 305 km from Bhubaneshwar, is a small town of Hirakud, which houses a major dam established during the year 1956. This dam has been a source of tourism in this region since many years."
3,Parasurameswara Temple,3.5,https://www.holidify.com/places/bhubaneswar/parasurameswara-temple-sightseeing-1388.html,6 km  from city center,,Constructed in 650 A.D. this temple is a unique specimen of Oriyan style of architecture. The most special feature of this temple is the presence of one thousand lingas in the north-west corner of the complex.
4,Rajarani Temple,4.1,https://www.holidify.com/places/bhubaneswar/raja-rani-temple-sightseeing-1389.html,6 km  from city center,,Raja Rani Temple is situated in the capital of orissa was earlier known as Indreswara Temple.
5,Bindu Sarovara,3.4,https://www.holidify.com/places/bhubaneswar/bindu-sarovara-sightseeing-1381.html,6 km  from city center,,The Bindu Sarovar or Bindu Sagar is a water tank which is believed to be sacred by Hindus. This tank is surrounded by a number of temples and lies in the vicinity of the Lingaraj Temple.
6,Orissa State Museum,3.1,https://www.holidify.com/places/bhubaneswar/orissa-state-museum-sightseeing-1387.html,0 km  from city center,,The Orissa State museum has an exclusive collection of some unique and ancient art and craft objects.
7,Brahmeshwara Temple,3.1,https://www.holidify.com/places/bhubaneswar/brahmeshwara-temple-sightseeing-1382.html,7 km  from city center,,"The Brahmeshwara Temple is yet another relic of the brilliance of Oriyan style of architecture. Built in the 11th century, this temple is surrounded by four smaller shrines."
8,Tikarpada Wildlife Sanctuary,3.1,https://www.holidify.com/places/tikarpada-wildlife-sanctuary/,107 km  from city center,,"Tikarpada is a small town nestled on the banks of River Mahanadi, situated at a distance of 160 km from the capital city of Bhubaneshwar."
9,Mukteswara Temple,3.1,https://www.holidify.com/places/bhubaneswar/mukteswara-temple-sightseeing-1386.html,93 km  from city center,,Mukteswara Temple dedicated to Lord Shiva is a 10th century temple and presents a quintessential example of the longevity of the Kalinga style of architecture.
10,Museum of Tribal Arts & Artefacts,,https://www.holidify.com/places/bhubaneswar/museum-of-tribal-arts--artefacts-sightseeing-122669.html,2 km  from city center,,"Museum of Tribal Arts & Artefacts has a splendid collection that introduces one to the 62 tribes of Odisha. Those who love to explore cultures will find the attraction a treat. The collection consists of traditional tribal costumes, jewellery, accessories, weapons and gears, farming equipment, etc. The Schedule Caste and Schedule Tribe Research and Training Institute have incorporated the museum for anthropological research."
11,Nandankanan Zoological Park,,https://www.holidify.com/places/bhubaneswar/nandankanan-zoological-park-sightseeing-122671.html,11 km  from city center,,"A unique zoo set inside a forest, Nandankanan Zoological Park was established in 1960. It is a fascinating sanctuary built to ensure that the flora and fauna thrive in a protected region in their natural habitat. It is the first zoo in the world to have successfully bred Melanistic and White Tigers."
12,"Ram Mandir, Bhubaneswar",,https://www.holidify.com/places/bhubaneswar/ram-mandir-sightseeing-122670.html,5 km  from city center,,"Ram Mandir is a stunning temple dedicated to Lord Rama, his consort, Goddess Sita and his beloved brother, Lord Lakshmana. Other than religious reasons, the architectural beauty of the temple attracts tourists in large numbers. The spires on the temple shikharas can be spotted from various locations in the city."
13,"Ekamra Kanan, Bhubaneswar",,https://www.holidify.com/places/bhubaneswar/ekamra-kanan-sightseeing-122673.html,2 km  from city center,,"Ekamra Kanan covers a vast expanse of over 500 acres and is the biggest Botanical Garden in the city. The beautiful landscape of the garden is a treat to the nature lovers who can spend hours strolling across the lawns, sit by the flower beds or get mesmerized by the serene waters of the lake."
14,Chausath Yogini Temple,,https://www.holidify.com/places/bhubaneswar/chausath-yogini-temple-sightseeing-122672.html,10 km  from city center,,"Located near the mesmerising River Narmada, Chausath Yogini Temple is a 10th century ancient temple that resembles the temple in Khajuraho. It was built during the Kalachuri Kingdom. The presiding deity is Goddess Durga. The temple follows the Yogini culture in India with about 70 Yoginis residing in the temple."
15,Kedar Gauri Temple,,https://www.holidify.com/places/bhubaneswar/kedar-gauri-temple-sightseeing-122675.html,6 km  from city center,,"One of the eight Asthasambhu Temples, Kedar Gauri Temple is dedicated to Lord Shiva and Goddess Gauri. Some locals also believe that the temple is dedicated to a couple with the names Kedar and Gauri. The attraction is, however, famous for the annual procession held to commemorate the marriage of Shiva and Parvati. This process starts from Lingaraja and goes on all the way till Kedar Gauri Temple."
16,Biju Patnaik Park,,https://www.holidify.com/places/bhubaneswar/biju-patnaik-park-sightseeing-122674.html,4 km  from city center,,"Dedicated to Biju Patnaik, the chief minister of Odisha, the Biju Patnaik Park is a recreational place preferred most as a picnic destination due to its accessibility. It has an amusement park and boating facilities amidst beautifully landscaped gardens that draw tourists, especially nature lovers, in quite a large number."
17,Regional Museum of Natural History,,https://www.holidify.com/places/bhubaneswar/regional-museum-of-natural-history-sightseeing-122676.html,1 km  from city center,,"Regional Museum of Natural History has an impressive collection of plants, skeletons of rare and extinct animals, photographs and relevant samples from all over the world and information on the geology of the city. Established by the Ministry of Environment and Forest, this is the only museum in India that has, on display, a rare egg of the now extinct Elephant Bird, the Baleen Whale and many more such exhibits that help enlighten the knowledge of animal and nature lovers."
18,Deras Dam,,https://www.holidify.com/places/bhubaneswar/deras-dam-sightseeing-122678.html,14 km  from city center,,"Built amidst the beautiful natural surroundings of the Chadaka Elephant Sanctuary, Deras is a neat little dam constructed for irrigation purposes. The serene waters, the lush green forest and the fresh air make the attraction a pleasant escape at a stone's throw distance from the city life."
19,Vaital Deul Temple,,https://www.holidify.com/places/bhubaneswar/vaital-deul-temple-sightseeing-122677.html,6 km  from city center,,"Dedicated to Goddess Chamunda, Vaital Deul Temple is an 8th century structure built in the Khakara style. A unique feature of the structure is the set of three spires on the top of the shrine. It is also locally called the Tini Mundea Deula. The architecture includes stunning stone sculptures of Hindu Gods and Goddesses and intricate decorative carvings that are a treat to the eyes."
20,"Nicco Park, Bhubaneswar",,https://www.holidify.com/places/bhubaneswar/nicco-park-sightseeing-122680.html,1 km  from city center,,Nicco Park is an amusement park preferred mostly for a quick getaway in the city. It was created in India in association with Nicco Japan. The place has beautifully landscaped gardens and areas designated for a number of interesting rides and kiosks to suit the customer's preference
21,Pathani Samanta Planetarium,,https://www.holidify.com/places/bhubaneswar/pathani-samanta-planetarium-sightseeing-122679.html,1 km  from city center,,"Named after a famous astronomer, Pathani Samanta, the planetarium was established by the Science and Technology department of the Government of Odisha to create awareness and promote the subject. Enthusiasts often visit the planetarium for their informative audio visual programs, poster shows and for night sky gazing."
22,Ananta Vasudev Temple,,https://www.holidify.com/places/bhubaneswar/ananta-vasudev-temple-sightseeing-122681.html,6 km  from city center,,"A beautiful 13th century shrine, Ananta Vasudev Temple was built by Queen Chandrika. The presiding deity is Lord Krishna. The temple resembles the Lingaraj temple but the intricate carvings and Vaishnavite sculptures are no less a treat to the eyes and draw tourists in large numbers."
23,Khandagiri Caves,,https://www.holidify.com/places/bhubaneswar/khandagiri-caves-sightseeing-124356.html,6 km  from city center,,"Also known as Cuttack caves, Khandagiri Caves are artificial caves located in the state of Orissa which date back to 2nd century. This place is quite a sight to see with all the beautifully carved inscriptions and figures. This place holds a great historical significance."
24,Bhaskareswara Temple,,https://www.holidify.com/places/bhubaneswar/bhaskareswara-temple-sightseeing-122682.html,6 km  from city center,,"Bhaskareswara Temple is a 7th century ancient Shiva Temple with a nine feet tall Shivalinga. A unique feature of the temple, apart from the size of the Shivalinga, is the architecture of the shrine that resembles a Buddhist Stupa. It is believed that the temple has been built after destroying the stupa. Religiously important, Bhaskareswara Temple has been mentioned in the sacred texts of Vrihalingam."
25,Ramachandi Beach,,https://www.holidify.com/places/bhubaneswar/ramachandi-beach-sightseeing-124663.html,55 km  from city center,,"Located at a distance of 65 kms from Bhubaneswar, Ramachandi is a beautiful beach situated on the confluence of the mighty Bay of Bengal and vivacious River Kushabhadra. At a distance of just 7 kms from Konark, and with the construction of the Marine Drive Road, the beach is easily accessible and is frequented mostly by picnickers, young couples, college students apart from regular tourists."
26,Ocean World Water Park,,https://www.holidify.com/places/bhubaneswar/ocean-world-water-park-sightseeing-125049.html,12 km  from city center,,"Located at a distance of 22 kms from Bhubaneswar in Kurang Sasan, Ocean World Water Park is one among the best and the most popular water parks of the city. Apart from the massive water rides and roller coasters, Ocean World also has an amusement park facilitated with umpteen regular rides and fun activities."
27,Esplanade One,,https://www.holidify.com/places/bhubaneswar/esplanade-one--sightseeing-125146.html,3 km  from city center,,"Situated in Rasulgarh in Bhubaneswar, Esplanade One is one of the largest mall of the country. The mall boasts of several big brand stores for apparels, footwear, accessories and more. In addition to that it has a huge food court, gaming zone for kids, PVR multiplex and a big parking space."
28,"Ekamra Kanan, Bhubaneswar",,https://www.holidify.com/places/bhubaneswar/ekamra-kanan-sightseeing-125285.html,2 km  from city center,,"Ekamra Kanan Botanical Garden is situated in Nayapalli, Bhubaneswar. Apart from the verdant greenery, the park is especially popular among the young children due to the presence of umpteen swings and fun games. The park also facilitates boating."
29,Gandhi Park,,https://www.holidify.com/places/bhubaneswar/gandhi-park-sightseeing-125286.html,1 km  from city center,,"Gandhi Park is one of the most popular parks in Bhubaneswar situated near Janta Maidan in Jaydev Vihar. The park has a massive statue of Mahatma Gandhi installed right in the heart of it. The verdant green lawns are ideal for jogging, walking, relaxing, playing or day picnics."
30,IMFA Park,,https://www.holidify.com/places/bhubaneswar/imfa-park-sightseeing-125287.html,3 km  from city center,,"Situated in Sahid Nagar area of Bhubaneswar, IMFA Park is another one of the beautiful parks in Bhubaneswar. Boasting of well-maintained orderly lawns, proper flower beds, benches etc. the park is ideal for morning/ evening walks and also has a separate play section for kids."
31,Kharavela Park,,https://www.holidify.com/places/bhubaneswar/kharavela-park-sightseeing-125288.html,6 km  from city center,,"Kharavela Park is situated in the Khandagiri suburb of Bhubaneswar and is replete with shady green trees. The park also boasts of well-maintained green carpeted lawns, jogging track, benches and a separate play area for kids."
32,Netaji Subhash Chandra Bose Park,,https://www.holidify.com/places/bhubaneswar/netaji-subhash-chandra-bose-park-sightseeing-125289.html,5 km  from city center,,"Netaji Subhash Chandra Bose Park is one of the most popular parks in Bhubaneswar dedicated to the great freedom fighter of the country-Netaji Subhash Chandra Bose. The park has beautiful garden and flower beds, sprinkling fountains, play areas, benches, spaces for yoga and meditation etc."
33,"Indira Gandhi Park, Bhubaneswar",,https://www.holidify.com/places/bhubaneswar/indira-gandhi-park-sightseeing-125290.html,3 km  from city center,,"Boasting of a massive statue of Indira Gandhi installed in the heart of the park, Indira Gandhi Park is situated in Ashok Nagar area of suburb of Bhubaneswar. Spread over 10 acres of land area, the park is rich with vegetation, trees and flowering shrubs. The several sprinkling fountains installed in the heart of the park add to the beauty of it."
