,Name,Rating,Link,Distance,Location,About
0,Junagarh Fort,4.3,https://www.holidify.com/places/bikaner/junagarh-fort-sightseeing-1348.html,0 km  from city center,,"For a change, this is one of the few forts which is not built on a hill. This fort, built in the arid region of the Thar Desert, is famous for its marvelous architecture, intricate carvings which leave viewers mesmerized."
1,Karni Mata Temple,4.2,https://www.holidify.com/places/bikaner/karni-mata-temple-sightseeing-1417.html,26 km  from city center,,"Located in Deshnoke, 30 km from Bikaner, Karni mata temple is the place where devotees and rats share a special bond. The temple is heavily influenced by mogul architecture and the entire temple is built with beautiful white marble."
2,Lallgarh Palace,4.3,https://www.holidify.com/places/bikaner/lalgarh-palace-sightseeing-1419.html,3 km  from city center,,"This palace was built between 1902 and 1926 for Maharaja of Bikaner. Being greatly influenced by the Britishers at that time, the architecture reflects Rajput, Mughal and European styles."
3,Rampuriya Haveli,3.5,https://www.holidify.com/places/bikaner/rampuriya-haveli-sightseeing-1422.html,2 km  from city center,,"Rajasthan, especially Bikaner, is known for its havelis. Large, magnanimous, extravagant houses complete with intricate details of jharokas and carvings, havelis are no less than palaces."
4,National Research Centre On Camel,3.5,https://www.holidify.com/places/bikaner/national-reserch-centre-on-camel-sightseeing-1421.html,7 km  from city center,,"Identified as one of the important tourist place of Bikaner, National Research Centre On Camel is open for tourists during afternoon. Tourists can see the camel of different breeds and their behavior."
5,Gajner Palace,4.2,https://www.holidify.com/places/bikaner/gajner-palace-sightseeing-1416.html,27 km  from city center,,"Gajner Palace is  a lakeside palace-complex adjacent to a sanctuary, in the middle of Thar Desert. It is a heritage property which features a lush green garden. Free Wi-Fi is available throughout the property. (br)

The well-lit air-conditioned rooms of Gajner Palace offer a minibar, sofa and satellite TV. Tea/coffee making facilities are available. The en suite bathrooms include a bathtub, hairdryer and shower."
6,Laxmi Nath temple,3.5,https://www.holidify.com/places/bikaner/laxmi-nath-temple-sightseeing-1420.html,2 km  from city center,,"Built in 1488 by Rao Bikaji, this is the oldest temple in Bikaner. The temple contains statues of Hindu deities Vishnu and Laxmi and it boasts of the superb archeological skills of artists and artisans."
7,Bikaner Camel Festival,3.5,https://www.holidify.com/places/bikaner/camel-festival-sightseeing-1412.html,0 km  from city center,,"A two day event organized every year in the month of January, the Camel festival has some spectacular and unusual camel performances like camel races, camel dances, and the bumpy, neck shaking camel rides take place at this event."
8,Kote Gate,3.2,https://www.holidify.com/places/bikaner/kote-gate-sightseeing-1418.html,1 km  from city center,,"If you are a shopaholic then Kote Gate is full of surprises for you. You can shop for buffed camel hide articles, miniature paintings, Khadi industry articles, as well as wood carvings apart form mouth watering Bhujia and Rosogollahs here."
9,Desert Safari,3.2,https://www.holidify.com/places/bikaner/desert-safari-sightseeing-1414.html,3 km  from city center,,"The ships of desert, Camels, enable us to discover some of the beautiful and relatively unexplored regions of Bikaner. You can witness the vibrancy of colors, jubilant music, men with colorful turbans and massive moustaches and an evening full of dance and music."
10,Station Road,3.2,https://www.holidify.com/places/bikaner/station-road-sightseeing-1424.html,1 km  from city center,,"The Station Road market is replete with numerous shops and small time vendors. This market is a fabulous place to acquire embroidered footwear (jootis), local fabrics, leather goods and wood as well as traditional artifacts."
11,City Shopping,3.0,https://www.holidify.com/places/bikaner/city-shopping-sightseeing-1413.html,0 km  from city center,,Streets of Bikaner are a shopper's delight! From traditional clothes and footwear to handicrafts and eateries - all are available in the locals Bazaars of Bikaner.
12,Bhandasar Jain Temple,3.2,https://www.holidify.com/places/bikaner/bhandasar-jain-temple-sightseeing-1411.html,2 km  from city center,,"Bhandasar Jain Temple is one of the 27 beautiful Jain temples located in Bikaner. This temple is dedicated to the fifth Tirthankara, Sumatinath and it is also considered to be the most beautiful and the highest temple."
13,Shiv Bari Temple,3.2,https://www.holidify.com/places/bikaner/shiv-bari-temple-sightseeing-1423.html,128 km  from city center,,"Built of red sand stone, the Shiv Bari Temple is located about 6km from Bikaner. Fortified by a high wall the temple is dedicated to Lord Shiva. The temple has a beautiful wall panting of Nandi Bull facing the Shiva Lingam."
14,Royal Cenotaphs,,https://www.holidify.com/places/bikaner/royal-cenotaphs-sightseeing-122718.html,7 km  from city center,,The Royal Cenotaphs is the cremation ground of the foyal families of Bikaner. It is an architectural treat for the tourists. The splendid structure with intricately carved marble pillars display legends of Lord Krishna and other beautiful traditional designs. The oldest monument on the ground was installed in the honour of Rao Kalyanmal and the earliest is the one made for Maharaja Karni Singh.
15,Devi Kund,3.2,https://www.holidify.com/places/bikaner/devi-kund-sightseeing-1415.html,4 km  from city center,,"Located around 8km from Bikaner, Devi Kund consists of royal cenotaphs or chhatris of brave rulers of Bika dynasty. This royal crematorium houses several cenotaphs."
16,Kodamdesar Temple,,https://www.holidify.com/places/bikaner/kodamdesar-temple-sightseeing-122720.html,1 km  from city center,,"Built by the founder of Bikaner, Rao Bikaji, Kodamdesar Bhairu Ji Temple has been religiously important for the Hindus. The presiding deity is Lord Bhairu ji who was born from the place between the eyebrows, also called the third eye of Lord Shiva. Hence, the deity is considered to be an incarnation of Lord Shiva and his ferocious form."
17,Sadul Singh Museum,,https://www.holidify.com/places/bikaner/sadul-singh-museum-sightseeing-122723.html,1 km  from city center,,"Dedicated to the Maharajas of Bikaner, Maharaja Ganga Singh, Maharaja Karni Singh and Maharaja Sadul Singh, the Sadul Singh Museum has a fabulous collection of artefacts belonging to the kings, paintings, trophies, weapons, photographs to mention a few. It is the best place to get insights into the heroic activities of the Maharajas."
18,Sri Laxminath Temple,,https://www.holidify.com/places/bikaner/sri-laxminath-temple-sightseeing-122719.html,2 km  from city center,,"Built in the 14th Century by Maharaja Rao Lunakaran, Sri Laxminath Temple is the oldest temple in the city. The presiding deities are Lord Vishnu and Goddess Lakshmi. The colourful architecture with sculptures, painting and silver artwork and the rich religious significance of the temple attracts tourists in large numbers."
19,Prachina Museum,,https://www.holidify.com/places/bikaner/prachina-museum-sightseeing-122721.html,0 km  from city center,,"Prachina Museum was established in 2000 by the daughter of Maharaja Narendra Singhji, Siddhi Kumari and has a stunning collection exhibiting royal apparel, accessories, perfumes, textiles, artwork, unique class artefacts, cutlery, crockery and portraits of the Maharajas. The objects on display provide a sneak peek into the rich lifestyle of the royals of Bikaner."
20,Ganga Singh Museum,,https://www.holidify.com/places/bikaner/ganga-singh-museum-sightseeing-122722.html,1 km  from city center,,"Ganga Singh Museum has a marvellous collection of artefacts belonging to the Harappan Civilisation and Gupta Dynasty. The museum is a perfect attraction for history and archaeological buffs as the stunning antiques like pottery, paintings, terracotta artwork, etc. are sure to give one a peep into the rich ancient heritage of India."
21,Sursagar lake,,https://www.holidify.com/places/bikaner/sursagar-lake-sightseeing-122724.html,1 km  from city center,,"Sursagar Lake was dug out during the reign of Maharaja Sur Singh to curb water shortage in the region. With well maintained surroundings and proper seating arrangement around the mesmerizing lake, it is a famous attraction and a preferred picnic spot in the city."
22,Kolayat,,https://www.holidify.com/places/bikaner/kolayat-sightseeing-122726.html,41 km  from city center,,"Kolayat is a quaint little town famous for the Kapil Muni Fair, the largest fair in the city, the sacred waters of the Kolayat Lake and the divine Kolayat Temple. It is, therefore, a famous pilgrimage. Legend states that Kapil Muni stopped here and meditated to bring about peace and harmony when he was passing by."
23,Laxmi Niwas Palace,,https://www.holidify.com/places/bikaner/laxmi-niwas-palace-sightseeing-122725.html,3 km  from city center,,"Once a royal palace of Maharaja Ganga Singh, Laxmi Niwas Palace is a stunning attraction which is now open to the public as a heritage hotel. The architectural beauty of the palace and its rich historic and heritage value draw guests in large numbers. The grand palace also has a museum that can be explored to get a glimpse into the royalty of Bikaner."
