,Name,Rating,Link,Distance,Location,About
0,Rose Garden,4.2,https://www.holidify.com/places/chandigarh/rose-garden-sightseeing-1525.html,1 km  from city center,,"Rose garden, located at 16 sector of Chandigarh is a place to relax amid the nature at its best. The garden is packed with some exquisite variety of flowers making it quite popular among tourists and nature enthusiasts."
1,Rock Garden,4.2,https://www.holidify.com/places/chandigarh/rock-garden-sightseeing-1524.html,4 km  from city center,,"A symbol of imagination and novelty, this one is of its kind of garden spread across an area of 64 acres. The Rock Garden has been designed as an open air exhibition hall using urban and industrial wastes by Nek Chand, a former Road Inspector in Chandigarh."
2,Sukhna Lake,4.3,https://www.holidify.com/places/chandigarh/sukhna-lake-sightseeing-1528.html,4 km  from city center,,"Nestled at the foothills of Shivaliks, Sukhna Lake is a beautiful lake set amid the picturesque surroundings. Quite popular amid the locals and visitors, the place is a perfect destination for solitude seekers."
3,Pinjore Gardens,3.5,https://www.holidify.com/places/chandigarh/pinjore-gardens-sightseeing-1521.html,14 km  from city center,,"Spread over a massive area of 100 acres and also known as Yadvinder Garden, Pinjore Garden is a spectacle to behold."
4,Government Museum and Art Gallery,4.2,https://www.holidify.com/places/chandigarh/government-museum-and-art-gallery-sightseeing-1515.html,2 km  from city center,,"The Government Museum and Art Gallery is a natural history museum and an art gallery in Chandigarh. Established in August of 1947, the building was designed by the very noted architect, Le Corbusier. The building is typically is square of 165x165 feet. The  following sections are present at the institute, other than the gallery itself - The National History Museum, the National Gallery of Portraits and the Chandigarh Architecture Museum, each with further sections of their own."
5,"Shanti Kunj, Chandigarh",3.5,https://www.holidify.com/places/chandigarh/shanti-kunj-sightseeing-1526.html,1 km  from city center,,"Set between the Cricket Stadium and the Rose Garden in Sector 16, Shanti Kunj is a garden fed by a natural stream that divides it into five blooming islands."
6,The Capitol,3.5,https://www.holidify.com/places/chandigarh/the-capitol-sightseeing-1530.html,4 km  from city center,,"Housing the Legislative Assembly, the Secretariat, the High Court and the Capitol designed by Le Corbusier is another architectural marvel composed of twofold cover, which appears like an overturned umbrella."
7,Fun City,3.1,https://www.holidify.com/places/chandigarh/fun-city-sightseeing-1513.html,7 km  from city center,,"Located on an expanse of 43 acres, this water amusement park in Ramgarh is the biggest in North India. It boasts of one activity pool, three landing pools and a wave pool, a cluster of water slides of various shapes and sizes, which makes for a delightful ride for the water lovers."
8,Terraced Garden,3.2,https://www.holidify.com/places/chandigarh/terraced-garden-sightseeing-1529.html,2 km  from city center,,Illuminated musical fountain and the well planned orchard makes this 10 acre spread in Sector 33 an ideal picnic spot. The annual Chrysanthemum show in December is a major attraction here.
9,Thunder Zone,3.1,https://www.holidify.com/places/chandigarh/thunderzone-sightseeing-1531.html,13 km  from city center,,"Another fantasy park in the hub of the city, Thunderzone offers extensive range of exciting rides like Swinging Chairs, Octopus, Cater Pillar, Mono Junction, Columbus, Sun N Moon, Striking Cars, Baby Train, Splash, COBF Music Bob, and Wet Park."
10,International Dolls Museum,3.2,https://www.holidify.com/places/chandigarh/international-dolls-museum-sightseeing-1517.html,1 km  from city center,,"Founded in the year 1985 by the Indian Council of Child Welfare, the museum contains a wide collection of fascinating dolls and marionettes brought from countries like Germany, Denmark, Netherlands, Spain, Korea, and Russia that stand beside the huge Indian collection."
11,"Botanical Garden, Chandigarh",3.2,https://www.holidify.com/places/chandigarh/botanical-garden-sightseeing-1508.html,5 km  from city center,,"Comprising of two gardens, the botanical gardens spread over Chandigarh and is adorned by a huge variety of systematically arranged plant species that are both exotic and evergreen."
