,Name,Rating,Link,Distance,Location,About
0,Marina Beach,4.3,https://www.holidify.com/places/chennai/marina-beach-sightseeing-1547.html,4 km  from city center,,"Marina Beach is a natural urban beach along the Bay of Bengal. The beach is stretched out to a distance of 13 kilometres making it the longest natural urban beach in the country, second largest in the world and also the most crowded beach in India with almost 30,000 visitors a day."
1,"Government Museum, Chennai",,https://www.holidify.com/places/chennai/government-museum--sightseeing-125262.html,1 km  from city center,,"Government Museum was established in 1851 and is the second oldest museum in the country after the Indian Museum in Kolkata. Situated in Egmore suburb of Chennai, it is built in the Indo-Sarcenic style and houses a rich collection of the works of Raja Ravi Varma."
2,MGR Film City,3.5,https://www.holidify.com/places/chennai/mgr-film-city-sightseeing-1549.html,8 km  from city center,,"Having been established in the year 1994, a considerably new structure, the MGR Film city is managed by the Government of Tamil Nadu in loving memory of MG Ramachandran who was not only a crowd-pleasing tamil actor but also a longtime CM of Tamil Nadu."
3,Breezy Beach,3.6,https://www.holidify.com/places/chennai/breezy-beach-sightseeing-1542.html,9 km  from city center,,"Breezy Beach lays in the remote and serene neighbourhood of Valmiki Nagar in Chennai. Being smaller and less polluted, its a perfect getaway for anyone looking for a peaceful evening."
4,Marundeeswarar Temple,4.3,https://www.holidify.com/places/chennai/marundeeswarar-temple-sightseeing-1548.html,8 km  from city center,,"The magnificent Marundeeswarar Temple, in Tiruvanmiyur, near Chennai has the temple deity Shiva in the form of Marundeeswar or Aushadeeswarar, the God of Medicines. A fine specimen of Dravidian architecture, this temple is a must visit for anyone visiting Chennai or nearby cities."
5,Arignar Anna Zoological Park,4.2,https://www.holidify.com/places/chennai/arignar-anna-zoological-park-sightseeing-1540.html,27 km  from city center,,"Arignar Anna Zoological Park aka Vandalur Zoo, is a zoological garden located in Vandalur is spread over an area of 602 hectares, including a rescue and rehabilitation centre. The zoo shelters about 3000 species of flora and fauna across twelve hundred acres including 46 endangered species, in its 160 enclosures."
6,Valluvar Kottam,4.2,https://www.holidify.com/places/chennai/valluvar-kottam-sightseeing-1552.html,1 km  from city center,,"Valluvar Kottam is an auditorium, with a gigantic capacity to hold 4,000 people, built in remembrance of the poet-saint, Tiruvalluvar. Verses of the poet Tiruvalluvar are embellished on the pillars in and around the auditorium."
7,Ashtalakshmi Temple,4.2,https://www.holidify.com/places/chennai/ashtalakshmi-temple-sightseeing-1541.html,8 km  from city center,,"The Chennai Ashtalakshmi temple is situated in Besant Nagar, on the shores of the Bay of Bengal. That stretch of beach is known as the Elliot's beach. The temple was constructed on the express wishes of Sri Mahaa Periyavaal of Kanchi Mutt, Sri Chandrasekara Saraswati Swamigal. (br) The temple's architecture is unique, with the deities installed in four levels."
8,Connemara Public Library,4.2,https://www.holidify.com/places/chennai/connemara-library-sightseeing-1543.html,1 km  from city center,,The Connemara Public Library at Chennai holds the prestigious status of being amongst one of the four deposit libraries in India which entitles them to a copy of every publication in India.
9,Kolli Hills,4.0,https://www.holidify.com/places/kolli-hills/,279 km  from city center,,"With an ominous name which means ‘Mountain of Death’, Kolli Hills or Kolli Malai are a mountain range located in the Namakkal district of Tamil Nadu. It is relatively untouched by commercial tourism and therefore has retained most of its natural magnificence."
10,Elliot's Beach,4.2,https://www.holidify.com/places/chennai/elliots-beach-sightseeing-1545.html,7 km  from city center,,"A beach showcasing beauty, calmness, serenity and everything that signifies nature at its best, the Elliot's beach cannot be forgotten by anyone who has visited it once."
11,VGP Golden Beach,3.7,https://www.holidify.com/places/chennai/vgp-golden-beach-sightseeing-1553.html,16 km  from city center,,"Considered as one of the cleanest and beautiful beaches in Chennai, VGP Golden beach is one of the most sought after destinations in the area by family and friends."
12,ISKCON (Hare Rama Hare Krishna) Temple,3.7,https://www.holidify.com/places/chennai/iskcon-hare-rama-hare-krishna-temple-sightseeing-1546.html,17 km  from city center,,"ISKCON Temple Chennai is a  temple devoted to Lord Krishna. It is located on the East Coast Road at southern Chennai. Built on 1.5 acres of land, ISKCON, Chennai is the biggest Radha Krishna temple in Tamil Nadu. It was officially inaugurated on 26 April 2012. The deities revered in the temple include those of Radha Krishna and lord's family, including Sri Sri Nitai Gauranga."
13,Vivekananda House,3.2,https://www.holidify.com/places/chennai/vivekananda-house-sightseeing-1554.html,4 km  from city center,,"Vivekananda House also popularly known as The Ice House, is a shrine and pilgrimage centre for the admirers and followers of Swami Vivekananda. It is in this house that Swami Vivekananda stayed for six weeks in 1900."
14,Akkarai Beach,3.2,https://www.holidify.com/places/chennai/akkarai-beach-sightseeing-1539.html,18 km  from city center,,"The sandy coastline begins from Ennore in the north extending south into Uthandi, leaving one to choose from more than just Marina and Elliot's beach."
15,Dakshinachitra Museum,3.0,https://www.holidify.com/places/chennai/dakshinachitra-museum-sightseeing-120674.html,2 km  from city center,,"Dakshinachitra Museum is one of the living-history museums in India which stores in itself great works of architecture, crafts, performing arts, and lifestyles that belong to South India."
16,Santhome Cathedral Basilica,3.2,https://www.holidify.com/places/chennai/santhome-cathedral-basilica-sightseeing-1551.html,4 km  from city center,,"Santhome Cathedral is a historical and ancient pilgrim centre, which was built during the 14th to the 15th century A D by the then reigning, Portuguese."
17,Madras War Cemetery,,https://www.holidify.com/places/chennai/madras-war-cemetery-sightseeing-121138.html,8 km  from city center,,The Madras War Cemetery houses the last remains of around 855 martyrs who laid down their precious lives at the battlefronts in the devastating Second World War and also a Memorial stone for 1000 more who died fighting in the Great War before that.
18,Madras Crocodile Bank Trust,,https://www.holidify.com/places/chennai/madras-crocodile-bank-trust-sightseeing-121137.html,35 km  from city center,,"The Madras Crocodile Bank is not to be confused with a zoo. Yes, you can certainly take a look at the reptiles in captivity. But unlike a zoo, this has a much more in-depth operation through ex-situ and in-situ conservation. Right now, it is home to around 17 croc subspecies and some other reptiles like frogs, lizards, snakes and turtles as well."
19,MGM Dizzee World,,https://www.holidify.com/places/chennai/mgm-dizzee-world-sightseeing-121141.html,26 km  from city center,,"MGM Dizzee World is one of the largest and oldest amusement parks in India. It brought Jurong’s Bird Show from Singapore to India way back in 1999. There are extreme level thrill rides, but nice and enjoyable ones are there too. The park has something for every age group."
20,Shirdi Sai Baba Temple,,https://www.holidify.com/places/chennai/shirdi-sai-baba-temple-sightseeing-121140.html,3 km  from city center,,Shirdi Sai Baba temple in Chennai is among the most visited and respected places of worship In Tamil Nadu as well as India. Sai Baba is recognised as one of those spiritual reformers who does not have ties to any particular god of any religion but is a figure of worship himself. So there are no religious restrictions imposed upon those who visit the temple.
21,Nettukuppam,,https://www.holidify.com/places/chennai/nettukuppam-sightseeing-121147.html,21 km  from city center,,Nettukuppam is the northernmost tip of Chennai and has a beach which is yet not tarnished by encroaching crowds. It is a solitary retreat for those who seek to enjoy the raging sea up close but in a peaceful environment. The place is an ideal place to spend quiet time as it is still not on the radar of the maddening tourist crowd.
22,Prakasam Salai,3.2,https://www.holidify.com/places/chennai/prakasam-salai-sightseeing-1550.html,6 km  from city center,,"Built in 1795,a milestone in the history of Chennai, located Opposite Parry's Corner, Prakasam Salai is an impressive stylish building in Indo-Saracenic style with eminence in red bricks."
23,Thousand Lights Mosque,,https://www.holidify.com/places/chennai/thousand-lights-mosque-sightseeing-121136.html,1 km  from city center,,"The Thousand Lights Mosque of Royapettah, Chennai is among the most esteemed mosques of the city as well as the state of Tamil Nadu. Built in the early 19th century by the Wallajah family of the Carnatic rulers, it is till date a popular gathering place for the daily prayers and festive occasions like Muharram."
