,Name,Rating,Link,Distance,Location,About
0,Double Decker Living Root Bridge,3.7,https://www.holidify.com/places/cherrapunjee/double-decker-living-root-bridge-sightseeing-1556.html,25 km  from city center,,"A 'root bridge', it is located in Tryna village. Made of the Indian Rubber Tree this is one of the biggest attractions of Cherrapunji."
1,Dawki,4.0,https://www.holidify.com/places/cherrapunjee/dawki-sightseeing-8113.html,35 km  from city center,,"A small border town in the Jaintia Hills, Dawki and its famed river Umngot is a must visit if in Meghalaya."
2,Mawlynnong,3.6,https://www.holidify.com/places/shillong/mawlynnong-sightseeing-3479.html,24 km  from city center,,"Also located in the East Khasi district, this village has won the title of Asia's cleanest village in 2003 and India's cleanest village in 2005. This village is also referred as God's own garden."
3,Nohkalikai Waterfalls,4.3,https://www.holidify.com/places/cherrapunjee/nohkalikai-waterfalls-sightseeing-1563.html,3 km  from city center,,"Just 5km from the city, at 1100 feet, these are the fourth highest waterfalls of the world. A brief history is attached to this place which is a big cause of attraction in itself."
4,Mawsmai Cave,4.3,https://www.holidify.com/places/cherrapunjee/krem-mawsmai-cave-sightseeing-1558.html,7 km  from city center,,"Just half a kilometer from Cherrapunji these caves are the most prominent of the tourist hubs. Considered to be the fourth longest caves in the entire Indian sub-continent, the highlight of these caves is a little pool formed inside as a result of five different rivers joining here."
5,Krem Phyllut,3.2,https://www.holidify.com/places/cherrapunjee/krem-phyllut-sightseeing-1559.html,7 km  from city center,,"Located south of Cherrapunji, this place is a major tourist attraction owning to the caves it has."
6,The Eco Park,3.2,https://www.holidify.com/places/cherrapunjee/the-eco-park-sightseeing-1567.html,7 km  from city center,,"Created in the plateaus of Meghalaya by the state government, it is a great attraction for locals as well as tourists. The Shillong Agri-Hoticulture has given this park many beautiful orchids which are housed in the Eco park's green house."
7,Nongsawlia,3.2,https://www.holidify.com/places/cherrapunjee/nongsawlia-sightseeing-1565.html,4 km  from city center,,"About 2 km from south of Sohra, this is one of the most visited sites by tourists. A large number of tourists from all around the world flock this site to see the great work by Welsh Missionaries."
8,Mawsmai Falls,3.2,https://www.holidify.com/places/cherrapunjee/mawsmai-falls-sightseeing-1561.html,8 km  from city center,,"These are the highest waterfalls in India. At 1,035 ft the falls are also known as the Nohsngithiang Falls. Such a tourist landmark needs no introduction at all."
9,Dainthlen waterfall,3.2,https://www.holidify.com/places/cherrapunjee/dainthlen-waterfall-sightseeing-1555.html,4 km  from city center,,These are one of the most popular falls of Cherrapunji - even for the locals. Legends have it that in the caves near the falls an evil snake was once killed.
10,The Mawkdok Dympep Valley View,3.2,https://www.holidify.com/places/cherrapunjee/the-mawkdok-dympep-valley-view-sightseeing-1568.html,16 km  from city center,,Basically a view point developed by the government. It lies at the beginning of the Sohra tourism circuit.
11,Thangkharang Park and Ka Khoh Ramhah,3.2,https://www.holidify.com/places/cherrapunjee/thangkharang-park-and-ka-khoh-ramhah-sightseeing-1566.html,8 km  from city center,,"Located almost 13km from the city, it is a park under the State Forest Dept. The Khoh Ramhah Rock (in the shape of an upside down basket) is what tourists come and see."
12,Mawsynram,3.2,https://www.holidify.com/places/mawsynram/,12 km  from city center,,"A village close to the main city of Cherrapunji, Mawsynram gives Cherrapunji a run for its money with a neck to neck competition for the title of the wettest place on earth."
13,Khasi monoliths,3.2,https://www.holidify.com/places/cherrapunjee/khasi-monoliths-sightseeing-1557.html,32 km  from city center,,The Khasi Monoliths are located in close proximity to the Mawsmai Falls. These are amazing underground mazes and passages of age old caves.
14,Nokrek National Park,3.2,https://www.holidify.com/places/tura/nokrek-national-park-sightseeing-3827.html,129 km  from city center,,"This is a famous park of the state. Located nearly 45km from Tura, it is boasts of a wide variety of flora and fauna."
15,Wakaba Falls,3.2,https://www.holidify.com/places/cherrapunjee/wakaba-falls-sightseeing-1569.html,4 km  from city center,,Another scenic fall located in this area.
