,Name,Rating,Link,Distance,Location,About
0,Chittorgarh Fort,4.2,https://www.holidify.com/places/chittorgarh/chittorgarh-fort-sightseeing-1577.html,2 km  from city center,,"Being one of the largest forts in India, Chittorgarh fort is a world heritage site. The fort was previously the capital of Mewar and is now situated in Chittorgarh. It is one of the most historically important forts in the entire north India and it reverberates with tales of heroism and sacrifice. It also displays the Rajput culture and values in true sense."
1,Padmini Palace,,https://www.holidify.com/places/chittorgarh/padmini-palace-sightseeing-121013.html,2 km  from city center,,"Padmini Palace is the palace where Rani Padmini lived after she married Rawal Ratan Singh, the ruler of Mewar Kingdom. The palace is a historical monument related to the self-sacrifice of Rani Padmini after Chittorgarh was attacked by the Sultan of Delhi, Alauddin Khilji."
2,Kalika Mata Temple,3.2,https://www.holidify.com/places/chittorgarh/kalika-mata-temple-sightseeing-1580.html,2 km  from city center,,It is one of the most important temples of Chittorgarh and the city's tour isn't complete without a visit to this temple. The splendid sculpture of the temple is what attracts most tourists.
3,Gau Mukh Kund,3.5,https://www.holidify.com/places/chittorgarh/gau-mukh-kund-sightseeing-1579.html,2 km  from city center,,"Located within Chittorgarh fort, the Gomukh Kund is also known as ???Tirth Raj'' of Chittorgarh because whenever pilgrims and devotees go on the tour of different Hindu spiritual places, then they come to Gomukh kund for completion of their holy journey after returning back."
4,Maha Sati,3.5,https://www.holidify.com/places/chittorgarh/maha-sati-sightseeing-1582.html,2 km  from city center,,"About 110 km away from Chittorgarh, this is the sacred place where Udaipur Rulers used to be cremated."
5,Rana Kumbha's palace,3.5,https://www.holidify.com/places/chittorgarh/rana-kumbhas-palace-sightseeing-1583.html,2 km  from city center,,Rana Kumbha palace is where Rana Kumbha lived and spent his royal life. Its charming and artistic architecture makes it a must visit for tourists visiting Chittorgarh.
6,Sitamata Wildlife Sanctuary,,https://www.holidify.com/places/chittorgarh/sitamata-wildlife-sanctuary-sightseeing-121012.html,0 km  from city center,,"Sitamata Wildlife Sanctuary is a dense forest area with thick deciduous plantations that include trees like Gulmohar, Sindoor, Rudraksha, Bamboo, Bel, etc. It is best explored during the day in the winter season as the weather stays pleasant and one can spot many migrating birds and local species of animals."
7,Fateh Prakash Palace,3.2,https://www.holidify.com/places/chittorgarh/fateh-prakash-palace-sightseeing-1578.html,2 km  from city center,,"This palace of Chittorgarh takes Rajput grandeur to a new level. The architecture is splendid, and the layout fantastic."
8,Meera Temple,3.5,https://www.holidify.com/places/chittorgarh/Meera-Temple-Sightseeing-120898.html,2 km  from city center,,"Meera Temple was constructed by Maharana Kumbha, the Rajput king during his rule making it both a historical and religious attraction. Kumbha Shyam and Meera temple are on the same ground enclosed in the Chittorgarh Fort."
9,Bassi Wildlife Sanctuary,,https://www.holidify.com/places/chittorgarh/bassi-wildlife-sanctuary-sightseeing-121010.html,1 km  from city center,,Bassi Wildlife Sanctuary is one of the most important natural reserves of Rajasthan. It is home to a variety of flora and fauna in the region. Tourists can also go on a Jeep safari arranged by the forest officials.
