,Name,Rating,Link,Distance,Location,About
0,Vydehi Falls,3.2,https://www.holidify.com/places/coimbatore/vydehi-falls-sightseeing-1596.html,22 km  from city center,,"The Vydehi water falls is situated some 35 km away from the Coimbatore city. People who pay a visit to Coimbatore must make it a point to visit the Vydehi water falls, as it is one of the most familiar water fall and is highly known for its magnificence."
1,Adiyogi Shiva Statue,,https://www.holidify.com/places/coimbatore/adiyogi-shiva-statue-sightseeing-124694.html,24 km  from city center,,"Surrounded by verdant green farms at the foothills of Velliangiri Mountains in the Western Ghats, Adiyogi Shiva Statue is the world’s biggest bust statue dedicated to the celebrated Hindu deity Shiva, which is carved out of 500 tonnes of steel. Located in the Isha Yoga Complex in Coimbatore, Tamil Nadu, the sculpture stands tall at a height of 112 feet."
2,Kovai Kondattam,4.2,https://www.holidify.com/places/coimbatore/kovai-kondattam-sightseeing-1589.html,9 km  from city center,,"Kovai Kondattam is an amusement park located about 2 kilometres away from Perur, in Coimbatore, Tamil Nadu. A fun-filled destination ideal for spending hours of unending entertainment with friends and family, Kodai Kondattam is an eco-friendly theme park. The park was built by Tamil actor Vijay and caters to al large base of visitors with its numerous water-based and dry rides"
3,Marudhamalai Hill Temple,3.6,https://www.holidify.com/places/coimbatore/marudhamalai-hill-temple-sightseeing-1591.html,11 km  from city center,,"The Marudhamalai hill temple is located at a towering height of 500 ft in the highland on the Western Ghats. 15 kms away to north-west of Coimbatore city, the temple has an excellent invigorating atmosphere. Vehicles are allowed to pass through the Marudhamalai temple and the devasthanam has granted three buses from the low slope of the hill to get through the temple on top."
4,Sree Ayyappan Temple,3.7,https://www.holidify.com/places/coimbatore/ayyappan-temple-sightseeing-1587.html,5 km  from city center,,"Located in the centre of the city of Coimbatore in Tamil Nadu, India; the Sree Ayyappan Temple is a significant temple that is dedicated to Lord Sree Ayyappa. This temple in Coimbatore has been built on the same lines as of the original Sabarimala Temple in Kerala"
5,Velliangiri Hill Temple,3.2,https://www.holidify.com/places/coimbatore/vellingiri-hill-temple-sightseeing-1595.html,29 km  from city center,,Velliangiri Hill Temple is situated some 40 km away from the city Of Coimbatore. The temple has essentially been dedicated to Lord Siva and sits on the Velliangiri Hill which has an imperial altitude of 6000 feet. The Velliangiri hill temple is contemplated to be the most conspicuous worship abode in and around Coimbatore and an immense number of tourist groups visit this hill temple to offer their prayers.
6,Monkey Falls,3.7,https://www.holidify.com/places/coimbatore/monkey-falls-sightseeing-1592.html,62 km  from city center,,"The Monkey falls is an exemplary and archetypal out-of-doors coffee break spot, which is situated some 65 kilometers away from Coimbatore city and it is some 27 kilometer away from Pollachi on Coimbatore-Pollachi-Valparai main road."
7,VOC Park and Zoo,,https://www.holidify.com/places/coimbatore/voc-park-and-zoo-sightseeing-124861.html,2 km  from city center,,"VOC Park & Zoo is an Amusement Park and Zoological Garden mostly visited by locals of Coimbatore for recreational purposes. This is a preferred picnic spot for families who get their kids to have a wonderful time and introduce their children to the world of animals. The park has a play area for the kids, an aquarium and a Jurassic Park where not just children but even adults can have fun."
8,Nilgiri Biosphere Nature Park,,https://www.holidify.com/places/coimbatore/nilgiri-biosphere-nature-park--sightseeing-125282.html,24 km  from city center,,"Established in 1936, Nilgiri Biosphere Reserve or Nilgiri Biosphere Nature Park is an initiative of the government to preserve the rich flora and fauna of the Nilgiris. The park boasts of over 430 species of 25,000 plants in addition to several species of mammals, reptiles, birds etc."
9,Kodiveri Dam,,https://www.holidify.com/places/coimbatore/kodiveri-dam-sightseeing-1258297.html,63 km  from city center,,"Situated on the Bhavani River near Gobichettipalayam in Tamil Nadu, Kodiveri Dam is a scenic picnic spot and a major tourist attraction in the place. The dam is not only a tourist spot but it also provides irrigation water for over 25000 hectares of land."
