,Name,Rating,Link,Distance,Location,About
0,Panchpula,3.7,https://www.holidify.com/places/dalhousie/panchpula-sightseeing-1645.html,1 km  from city center,,"Literally meaning 'Five Bridges' Panch Pulla, is a local favorite with waterfalls, picnic spots as well as a modest trek. It is situated 2 km away from Dalhousie and one can cover the distance on foot, enjoying the landscapes around."
1,Khajjiar,3.7,https://www.holidify.com/places/khajjiar/,1 km  from city center,,"This small town, very nearby to Dalhousie is also known as the 'Mini Switzerland' or the 'Switzerland of India'."
2,St,3.3,https://www.holidify.com/places/dalhousie/st-johns-church-sightseeing-1649.html,0 km  from city center,,"Built in 1863, it is the oldest church in the town. Apart from its religious significance to the Protestant community, it also has great historical significance."
3,Kalatop Khajjiar Sanctuary,3.6,https://www.holidify.com/places/dalhousie/kalatop-khajjiar-sanctuary-sightseeing-1643.html,4 km  from city center,,"The Kalatop Wildlife Sanctuary is home to a wide variety of flora and fauna. Leopard, bear, deer, langur, jackal, Himalayan Black Marten, Barking Goral and countless beautiful birds can be spotted here."
4,Dainkund Peak,3.3,https://www.holidify.com/places/dalhousie/daikund-peak-sightseeing-1642.html,5 km  from city center,,"Being the highest point in Dalhousie at an elevation of 2755 masl, the peak offers a bird’s eye view of the astonishing verdant valleys and mountains. For nature fanatics seeking a serene and calm place, Dainkund Peak is worth exploring"
5,Satdhara Falls,4.4,https://www.holidify.com/places/dalhousie/satdhara-falls-sightseeing-1648.html,1 km  from city center,,"Satdhara Falls are one of the most popular sightseeing attractions of Dalhousie. Perched at an altitude of 2036 masl, the place has derived its name from the seven beautiful springs believed to have therapeutic value. The water in these springs contains mica, having several medicinal properties that cure diseases and ailments."
6,Ganji Pahari,,https://www.holidify.com/places/dalhousie/ganji-pahari-sightseeing-121175.html,2 km  from city center,,Ganji Pahari is a scenic hill located at a distance of 5 kilometres from Dalhousie. The name Ganji Pahari was derived from its salient feature which is the complete absence of flora on the hill. The natural landscape makes it an exciting trekking trail.
7,Sach Pass,,https://www.holidify.com/places/dalhousie/sach-pass-sightseeing-121176.html,0 km  from city center,,Sach Pass connects Dalhousie with Chamba and Pangi Valleys in the North-Indian state of Himachal Pradesh. It is a mountain pass that runs over the Pir Panjal Mountain range at a distance of 150 kilometres away from Dalhousie and is one of the most difficult passes to cross in north India.
8,Chamera Lake,,https://www.holidify.com/places/dalhousie/chamera-lake-sightseeing-1258975.html,10 km  from city center,,"Located near Dalhousie in the Chamba District of Himachal Pradesh, the Chamba Lake is the man-made reservoir for the Chamba Dam. The lake and the dam are complementary to each other and add to the view. During monsoon, the flooding of river Ravi causes the Chamera to look like a miniature but majestic version of the Arabian Sea. It is a popular picnic spot and boating location."
9,Gandhi Chowk,3.0,https://www.holidify.com/places/dalhousie/shopping-in-dalhousie-sightseeing-1641.html,"10,597 km  from city center",,"Gandhi Chowk, or GPO, is the bustling and vibrant street of Dalhousie. Unlike other hill stations, Dalhousie doesn't have a mall road, so Gandhi Chowk is the Mall Road of Dalhousie. For shopping in Dalhousie, the town has a number of local bazaars and centres at Gandhi Chowk. One can shop for simple local souvenirs, woollen clothes and every-day treasures."
10,Bakrota Hills,3.3,https://www.holidify.com/places/dalhousie/bakrota-hills-sightseeing-1638.html,1 km  from city center,,This is the highest area in Dalhousie and is circled by a road called Bakrota walk which leads to Khajjar.
11,River Crossing and River Rafting,3.3,https://www.holidify.com/places/dalhousie/river-crossing-and-river-rafting-sightseeing-1646.html,1 km  from city center,,"River crossing is done across the river Ravi or Saal under the supervision of trained instructors while River Rafting too is a growing favorite in Chamba, usually done on the Rivers Ravi and Saal, too."
12,Subhash Baoli,3.3,https://www.holidify.com/places/dalhousie/subhash-baoli-sightseeing-1650.html,5 km  from city center,,"Named after the famous freedom fighter Subhash Chandra Bose, this is a perennial spring which has medicinal properties and believed to have cured the freedom fighter of his ill health."
13,Chamunda Devi Temple,3.3,https://www.holidify.com/places/chamba/chamunda-devi-temple-sightseeing-1640.html,14 km  from city center,,"The temple, dedicated to Goddess Kali is an important religious center for the town. The temple is said to have been where Goddess Ambika killed the demons- Munda and Chanda."
14,Trekking in Dalhousie,3.3,https://www.holidify.com/places/dalhousie/trekking-in-dalhousie-sightseeing-1651.html,1 km  from city center,,"Trekking tends to be an essential activity in Dalhousie, with countless options blessed with breath taking sceneries and views."
15,Chamba,3.3,https://www.holidify.com/places/chamba/,14 km  from city center,,"This medieval town, just a little away from Dalhousie, is set against the beautiful backdrop of stunning hills and a flowing pristine river and has an alluring charm pertaining to the mystical temples and the local folklore."
16,Rock Climbing in Dalhousie,3.3,https://www.holidify.com/places/dalhousie/rock-climbing-in-dalhousie-sightseeing-1647.html,5 km  from city center,,"This adventure activity is popular and carried out at various places in Dalhousie, especially in Khajjiar."
17,"Rock Garden, Dalhousie",,https://www.holidify.com/places/dalhousie/rock-garden-sightseeing-1254145.html,18 out of 21  places to visit in Dalhousie,,"Rock Garden is a beautiful garden and a popular picnic spot in Dalhousie. Other than relaxing and revitalizing in the park, you can also try the several adventure sports available in the area including zip lining etc."
18,Garam Sadak,,https://www.holidify.com/places/dalhousie/garam-sadak-sightseeing-1254146.html,19 out of 21  places to visit in Dalhousie,,"Garam Sadak is a road in Dalhousie connecting Gandhi Chowk and Subhash Chowk which offers scenic vistas of the valley. Lined with tall trees and green vegetation, taking a walk on this scenic road is one of the most touristy things to do in Dalhousie. You will also be able to see beautiful 'Tibetan Rock Paintings' adorning the walls of the road on the side."
19,Cafe Dalhousie,,https://www.holidify.com/places/dalhousie/cafe-dalhousie-sightseeing-1254147.html,20 out of 21  places to visit in Dalhousie,,"Cafe Dalhousie is one of the most popular cafes in Dalhousie known for its delicious food and perfect ambiance. Offering global cuisine options, the eatery also boasts of panoramic vistas of the adjacent hills and valleys. The most popular food at the cafe include snacks like grilled sandwiches, pizza and shakes etc."
20,Paragliding at Khajjiar,,https://www.holidify.com/places/dalhousie/paragliding-at-khajjiar-sightseeing-1254148.html,21 out of 21  places to visit in Dalhousie,,"Paragliding is another one of the exciting activities and things to do in Dalhousie. The favourable months for paragliding are months of September to November and January and June, when the weather conditions are most ideal. Most of these activities are held at Khajjiar and you should definitely experience it when in the hill town."
