,Name,Rating,Link,Distance,Location,About
0,Darjeeling Himalayan Railway,4.3,https://www.holidify.com/places/darjeeling/darjeeling-himalayan-railway-sightseeing-1682.html,20 km  from city center,,"A visit to the city of Darjeeling is incomplete without a joyride at the Darjeeling Himalayan Railway toy train. Moving at a snail pace over the hilly terrain, it is an experience no one wants to miss."
1,Tiger Hill,4.5,https://www.holidify.com/places/darjeeling/tiger-hill-sightseeing-1692.html,5 km  from city center,,"If you want to witness the first rays of sun hitting the twin peaks of Kangchenjunga, along with a panoramic view of Everest peeping through the peaks standing by its side, then Tiger Hills make for a perfect sunrise for you.



You can see Kurseong to the south along with multiple rivers flowing down. Senchal Wildlife Sanctuary is another nearby attraction you could visit - the place inhabits various high-altitude animals and bird."
2,Batasia Loop,4.3,https://www.holidify.com/places/darjeeling/batasia-loop-sightseeing-1680.html,3 km  from city center,,"Located around 5 km from Darjeeling, Batasia loop is a spiral railway track where the toy train takes a complete 360 degree turn. The toy train descends by 1,000 ft. as it completes the loop through a large circular area."
3,Darjeeling Ropeway,3.2,https://www.holidify.com/places/darjeeling/darjeeling-ropeway-sightseeing-120789.html,3 km  from city center,,"Darjeeling Ropeway is a cable car circuit where one can witness a myriad of exquisite landscapes, from the glorious snow-capped mountains to the charming valley replete with verdant tea estates."
4,Himalayan Mountaineering Institute,4.3,https://www.holidify.com/places/darjeeling/himalayan-mountaineering-institute-sightseeing-1683.html,3 km  from city center,,"The Himalayan Mountaineering Institute, commonly known as HMI Darjelling, was established on November 4, 1954 primarily to encourage mountaineering as an organized sport in India. HMI regularly conducts Adventure, Basic and Advanced levels of mountaineering courses which are very comprehensive courses. These courses are highly subsidised to encourage mountaineering as a sport."
5,Nightingale Park,3.3,https://www.holidify.com/places/darjeeling/nightingale-park-sightseeing-1686.html,2 km  from city center,,"This park was earlier called 'The Shrubbery' when it was a private courtyard. The park was closed for renovation for about four years and has reopened for public since 2011. There is a giant statue of Lord Shiva, a musical fountain along with the great scenery."
6,Darjeeling Rock Garden,3.3,https://www.holidify.com/places/darjeeling/rock-garden-sightseeing-1689.html,3 km  from city center,,"The Rock Garden or the Barbotey Garden as its commonly known, is located a little far from the city around ~10 km away. The benches in the garden are made by cutting rocks at different levels."
7,Singalila National Park,3.8,https://www.holidify.com/places/darjeeling/singalila-national-park-sightseeing-1691.html,20 km  from city center,,"Singalila National Park , located on the Singalila Ridge at a height of 7000 feet above sea level, is a national park of India in Darjeeling . The park is well known for the trekking and other adventure sports. The national park is similar to a paradise for the trekkers and adventure lovers."
8,Darjeeling Peace Pagoda,3.6,https://www.holidify.com/places/darjeeling/japanese-peace-pagoda-sightseeing-1684.html,1 km  from city center,,"As you climb up from Clubside along Gandhi and AJC Bose roads, you see this glistening white structure standing out - that's the Peace Pagoda. The Peace Pagoda, one of the 70 odd such structures built under the guidance of Japanese monk Nichidatsu Fujii, is worth a visit during the daily pujas."
9,Sandakphu Trek,3.8,https://www.holidify.com/places/darjeeling/sandakphu-sightseeing-1690.html,27 km  from city center,,"Sandakphu Peak (11,941 Feet) is the highest peak in West Bengal. The highest peak of Singalila Ridge in Darjeeling district, almost near the border of Nepal, it is located very close to Singalila National Park."
