,Name,Rating,Link,Distance,Location,About
0,Robber's Cave,3.4,https://www.holidify.com/places/dehradun/robbers-cave-sightseeing-1706.html,7 km  from city center,,"Nestled within a suburb of Dehradun, Robber's Cave is popularly called Guchhipani or Guchu Pani. It is a magnificient gorge between a limestone formation. Surrounded by majestic hills and offers a glorious trek up the mountains, it makes for one of the best attractions near Dehradun."
1,Sahastradhara,4.2,https://www.holidify.com/places/dehradun/sahastradhara-sightseeing-1707.html,12 km  from city center,,"Sahastradhara meaning 'thousand fold spring' is popular for its ecstatic beauty and therapeutic value since its water contains Sulphur. While the place can be visited any time during the year, you would love the charming beauty of the waterfall during rainy season when the stream proposes the appearance of a gushing torrent."
2,Mindrolling Monastery,3.4,https://www.holidify.com/places/dehradun/mindrolling-monastery-sightseeing-1702.html,7 km  from city center,,"Mindrolling, which means ""Place of Perfect Emancipation"" in Tibetan language, is the largest Buddhist Vihara of India, training monks for over 300 years ."
3,Lacchiwalla,3.1,https://www.holidify.com/places/dehradun/lacchiwalla-sightseeing-1699.html,11 km  from city center,,"A popular picnic destination, Lacchiwalla is famous for its lush greenery unspoiled by human activity. It is located at a small drive away from Dehradun. You can stay over at picturesque cottages and hotels."
4,Har Ki Dun,3.5,https://www.holidify.com/places/dehradun/har-ki-dun-sightseeing-8186.html,86 km  from city center,,"Nestled away from the hustle bustle of the city, Har Ki Dun is a beautiful cradle-shaped valley with untouched panoramic beauty. Perched at an elevation of 3,566 mts above the sea level, this place is one of the remotest areas of Uttarakhand offering a plethora of trekking excursions."
5,Tapovan Temple,3.6,https://www.holidify.com/places/dehradun/tapovan-sightseeing-1709.html,35 km  from city center,,"Tapovan Ashram is located along the Dehradun-Rajpur Road, 6 kms from the city of Dehradun. A picturesque valley, surrounded by lush greenery and calm meadows, Tapovan is a delight to the sense, to visit anytime of the year. Situated just above the Gangotri Glacier, the place also attracts trekking activities. The ashram also holds periodic yoga courses for its visitors to attend. Placed along the banks of Ganga, this place radiates an air of spirituality."
6,Paltan Bazaar,3.1,https://www.holidify.com/places/dehradun/paltan-bazar-sightseeing-1703.html,0 km  from city center,,"Paltan Bazaar is located in the heart of Dehradun, spanning a 1.5km stretch between the Clock Tower and the railway station. From local spices, confectionery items  & street food to goods like apparel, appliances and artefacts, this busy market has it all. Considered as Dehradun's main bazaar, it is the best place for shopping in Dehradun."
7,Fun Valley,3.6,https://www.holidify.com/places/dehradun/fun-valley-sightseeing-1697.html,24 km  from city center,,"Fun Valley's reputation as a fully-fledged entertainment venue for families and friends to spend a cheery and exhilarated day is unshakeable. Located within Uttarakhand's Golden Triangle - Dehradun, Haridwar and Rishikesh, this amusement park cum resort is the perfect arena for a bonding experience with your loved ones. Housing a vast interior complex, multi-cuisine restaurant and kiosks, thrilling rides that include an exciting water park, deluxe rooms and a motel, Fun Valley is the largest amusement and water park in North India."
8,Tiger View Jungle Camp,3.1,https://www.holidify.com/places/dehradun/tiger-view-jungle-camp-sightseeing-1710.html,10 km  from city center,,"Situated in the village Goolar Khalla, Tiger View Jungle camp shelters the endangered Indian Tiger. You can take the jungle safari, and enjoy the rare facility of camping in the wilderness."
9,Malsi Deer Park,3.1,https://www.holidify.com/places/dehradun/malsi-deer-park-sightseeing-1701.html,9 km  from city center,,"Located at the base of Shivalik range, Malsi Deer Park is a zoological garden and it is home to two horned Deer, Tiger, Neelgai, Peacock and many other animals. This well maintained zoological garden is an ideal place for picnic."
10,Tapkeshwar Temple,3.6,https://www.holidify.com/places/dehradun/tapkeshwar-temple-sightseeing-1708.html,5 km  from city center,,Tapkeshwar is a famous cave temple on the banks of a rivulet. The water further flows in to the cave to drip on to the Shiv Linga inside. Sulphur springs present around the temple makes for a therapeutic bath.
11,Zonal Museum,3.1,https://www.holidify.com/places/dehradun/zonal-museum-sightseeing-1712.html,4 km  from city center,,"The zonal museum is popular for its collection of artifacts relating to the origin, development and sustenance of the mankind on earth, and stands witness to the ancient living conditions and customs of its people."
12,Forest Research Institute,3.1,https://www.holidify.com/places/dehradun/forest-research-institute-sightseeing-1696.html,4 km  from city center,,"Established in the year 1906, the Forest Research Institute spread over 4.5 square kilometer has imposing Colonial and Greco-Roman styles of architecture."
13,Trekking in Dehradun,3.1,https://www.holidify.com/places/dehradun/trekking-sightseeing-1711.html,10 km  from city center,,"Trekking has been one of the favorite activities among adventure travelers coming to Dehradun. Jwala Devi, George Everest, Bhadraj Temple, Shivalik ranges, Doon valley, Dakpather, Asan Barrage are some of the places to be mentioned when we talk about trekking in Uttarakhand. Pachhwadun region is one of the starting point for a lot of treks."
14,Bali Pass,3.5,https://www.holidify.com/places/dehradun/bali-pass-sightseeing-8235.html,86 km  from city center,,"One of the least explored treks in the Indian Himalayan region that connects the Har Ki Dun Valley with Yamunotri, the Bali Pass Trek is a beautiful journey that one should try at least once in a lifetime."
15,Assan Barrage,3.5,https://www.holidify.com/places/dehradun/assan-barrage-sightseeing-8110.html,37 km  from city center,,"An amazing place bustling with life, the richness of nature and beauty, Assan Barrage is a bird lover's paradise and a naturalists' heaven with its artificial lake attracting thousands of birds of varied species."
16,Kedarkantha Trek,3.5,https://www.holidify.com/places/dehradun/kedarkantha-trek-sightseeing-8192.html,80 km  from city center,,"Situated in the lap of mountains of the Tons River Valley, Kedarkanth is a stunning place offering an easy, classic trek. It is a lovely ridge peak accessible throughout the year with plethora of rewarding adventures."
