,Name,Rating,Link,Distance,Location,About
0,Humayun's Tomb,4.5,https://www.holidify.com/places/delhi/humayuns-tomb-sightseeing-1717.html,9 km  from city center,New Delhi,"Apart from being known for its stunning architecture, this is the first garden-tomb on the Indian subcontinent. It is a UNESCO World Heritage Site declared in 1993, and has undergone widespread restoration work since then. The tomb was custom-built by Humayun's son Akbar during 1569-70, and is also the first structure to have made the use of red sandstone at a massive scale."
1,Hauz Khas Village,4.3,https://www.holidify.com/places/delhi/hauz-khas-village-sightseeing-6214.html,13 km  from city center,South Delhi,"An affluent neighbourhood in South Delhi, Hauz Khas has been well known since medieval times. Hauz Khas Village retains the old charm of the place with remnants of Islamic architecture roughly coloured by splotches of urbane refurbished upmarket. 'HKV' is known for its electric nightlife with countless cafes, bars and pubs along with art galleries, and boutiques."
2,Qutub Minar,3.7,https://www.holidify.com/places/delhi/qutub-minar-and-complex-sightseeing-1727.html,16 km  from city center,South Delhi,"At a height of 234 feet, this minaret is the tallest individual tower in the world and is a perfect display of Mughal architectural brilliance."
3,Delhi Zoo,4.3,https://www.holidify.com/places/delhi/national-zoological-park-sightseeing-1724.html,8 km  from city center,New Delhi,"Inaugurated in 1959, National Zoological Park is situated near The Old Fort in Delhi and is a favourite weekend spot among adults and children alike. From biggest cats to the tiniest birds, the zoo has all kinds of animals and birds. Initially, it was known as Delhi Zoo when in 1982 it was renamed The National Zoological Park with the idea of making it the model zoo of the country."
4,Red Fort,4.4,https://www.holidify.com/places/delhi/red-fort-sightseeing-1731.html,3 km  from city center,Old Delhi,"The Red Fort was the official seat of Mughal rule and authority from 1648 onwards, when the 5th Mughal emperor, Shah Jahan, decided to move the capital of the empire from Agra to Delhi. Constructed using red sandstone, it remains one of the architectural marvels of the Mughal era. In 2007, it became a UNESCO World Heritage Site."
5,Akshardham Temple Delhi,3.6,https://www.holidify.com/places/delhi/swaminarayan-akshardham-temple-sightseeing-1732.html,8 km  from city center,New Delhi,"Also known as the Delhi Akshardham, this temple complex was built in 2005 and sits deftly near the banks of River Yamuna."
6,Lotus Temple,4.4,https://www.holidify.com/places/delhi/lotus-temple-sightseeing-1723.html,13 km  from city center,New Delhi,"Commonly known as Lotus temple, it is a Baha'i Houses of Worship, the Lotus Temple is open to all, regardless of religion, or any other distinction. It is situated near mandir marg in Kalkaji, New Delhi"
7,India Gate,4.3,https://www.holidify.com/places/delhi/india-gate-sightseeing-1718.html,7 km  from city center,New Delhi,"The All India War Memorial, popularly known as the India Gate, is a war memorial located in New Delhi. It is dedicated to the 82,000 soldiers, both Indian and British, who died during the First World War and the Third Anglo-Afghan War. The Amar Jawan Jyoti is the burning structure, right underneath the archway, which symbolizes the eternal, immortal soldiers of India."
8,Waste to Wonder Park,,https://www.holidify.com/places/delhi/waste-to-wonder-park-sightseeing-1254585.html,9 km  from city center,,"The latest addition to Delhi's list of attractions, Waste to Wonder Park features the replicas of iconic seven wonders of the world, created from industrial and other waste. One of its kind theme park in the world. Located near Nizammudin Metro Station, it was inaugurated at Rajiv Gandhi Smriti Van."
9,"Jantar Mantar, Delhi",4.3,https://www.holidify.com/places/delhi/jantar-mantar-sightseeing-1721.html,4 km  from city center,New Delhi,"Located in New Delhi, the Jantar Mantar was one of the five sites built by Maharaja Jai Singh II of Jaipur. The site consists of 13 architectural astronomy instruments. The main purpose of the observatory was to compile the astronomical tables and to predict the movement and timings of the sun, moon and planets."
10,Rashtrapati Bhavan,4.4,https://www.holidify.com/places/delhi/rashtrapati-bhavan-sightseeing-1730.html,6 km  from city center,New Delhi,"Rashtrapati Bhawan is an famous monument of the British Empire which was said to be the palace of the Viceroy of India, is now the home of the President of Indi. It is considered to be the best known monument in India next to Taj Mahal and Qutub Minar."
11,Agrasen ki Baoli,3.8,https://www.holidify.com/places/delhi/agrasen-ki-baoli-sightseeing-6224.html,5 km  from city center,New Delhi,"A protected monument under the Archaeological Survey of India, Agrasen ki Baoli is a 60 meter long and 15 meter wide historical step well on Halley Road, New Delhi. Baoli, also referred to as Baori is a hindi term for step well."
12,Jama Masjid Delhi,4.4,https://www.holidify.com/places/delhi/jama-masjid-sightseeing-1720.html,2 km  from city center,Old Delhi,"Mughal emperor Shah Jahan got the Jama Masjid built between 1644 and 1656 on a massive budget. The mosque still has three huge entry gates standing since 1656, when it was completed. The structure is made up of red sandstone and white marble. With a capacity of 25,000 people at one time, the courtyard was built with a great vision. The floor has 899 black markings for worshippers."
13,Connaught Place,4.3,https://www.holidify.com/places/delhi/connaught-place-sightseeing-1714.html,4 km  from city center,New Delhi,"Officially named Rajiv Chowk, Connaught Place is better known as CP amongst the locals.



It is one of the largest commercial and business centers in Delhi, and has been designed in two concentric circles namely Connaught's Inner Circle and Connaught's Outer Circle. Known since British era, this market has its own elegance. The British architecture gives this shopping place a touch of royalty."
14,ISKCON Temple Delhi,3.8,https://www.holidify.com/places/delhi/iskcon-hare-krishna-temple-sightseeing-1719.html,13 km  from city center,New Delhi,"This temple was opened back in 1998; it is located at Hare Krishna Hills, in the East of Kailash area of New Delhi, India. A very well-known Lord Krishna temple for inner peace. Its followers believe in Srila Prabhupada. As one of the biggest temple complexes in India. It has numerous rooms for priests and service renders. Many halls are used for its administration purposes. It is divided into four broad units."
15,Chandni Chowk,4.3,https://www.holidify.com/places/delhi/chandni-chowk-sightseeing-1713.html,2 km  from city center,Old Delhi,"One of the oldest markets in Old Delhi, Chandni Chowk is still an important historical site renowned for the availability of every kind of goods as well as food. It was Constructed in the 17th century by mughal ruler of India Shah Jahan. It is situated opposite the Red Fort and provides a view of the Fatehpuri Mosque."
16,Teen Murti Bhavan,3.3,https://www.holidify.com/places/delhi/teen-murti-bhavan-nehru-house-and-nehru-planetarium-sightseeing-1733.html,7 km  from city center,New Delhi,"Once served as the home of Pt. Jawaharlal Nehru for 16 years, today, the Teen Murti Bhavan houses various institutions like the Nehru Memorial Museum and Library and the office of Jawaharlal Nehru Memorial Fund. One of the four Nehru Planetariums is also located within the grounds of the house."
17,Lodhi Garden,3.8,https://www.holidify.com/places/delhi/lodhi-garden-sightseeing-1722.html,8 km  from city center,New Delhi,"Lodhi Gardens is a city park placed in New Delhi. Spanning over 90 acres. The beautiful garden draped in emerald grass contains, Mohammed Shah's Tomb, Tomb of Sikandar Lodi, Shisha Gumbad and Bara Gumbad, architectural works of the 15th century by Lodhis, an Afghan dynasty, that ruled major portions of northern India and Punjab and Khyber Pakhtunkhwa province of modern-day Pakistan, from 14 to 15 century. The site is now protected by the Archaeological Survey of India (ASI). The gardens are situated between Khan Market and Safdarjung's Tomb on Lodhi Road and is a favourable spot for morning walks for the Delhiites."
18,Khan Market,3.8,https://www.holidify.com/places/delhi/khan-market-sightseeing-6215.html,7 km  from city center,New Delhi,Khan Market is one of the hot spot and posh market in Delhi which serves as a perfect place for friends and family to hangout.
19,Mehrauli Archaeological Park,3.8,https://www.holidify.com/places/delhi/mehrauli-archaeological-park-sightseeing-6216.html,16 km  from city center,South Delhi,"The Mehrauli Archaeological Park serves as a glimpse into a bygone era, and its proximity to chief localities in south Delhi make it an easy on-the-go stop with distinctive architecture to captivate your eyes at every step of your way. Not more than a kilometre away from the UNESCO World Heritage Site of the Qutb complex lies this magical gem of history tucked away and spread over a 200-acre area, which includes the ruins of the Lal Kot built by the Tomar Rajputs in 11th century A.D."
20,Dilli Haat,3.0,https://www.holidify.com/places/delhi/dilli-haat-sightseeing-120847.html,10 km  from city center,New Delhi,"Designed to invoke the ambience of a traditional village fair, Dilli Haat is every shopper’s paradise, a foodie’s haven and the cultural magnet of the metro city. A flamboyant mix of vibrant colours and varied cultures, the bazaar is located in the commercial centre of South Delhi, bang opposite to the INA Market."
21,"National Gallery Of Modern Art, Delhi",3.0,https://www.holidify.com/places/delhi/national-gallery-of-modern-art-sightseeing-120671.html,7 km  from city center,New Delhi,"Following its motto of delivering an excellent world of art to its visitors, National Gallery of Modern Art, Delhi, preserves paintings and other artistic pieces dating back to 1850s."
22,Nizamuddin Dargah,3.8,https://www.holidify.com/places/delhi/hazrat-nizamuddin-nizamuddins-shrine-sightseeing-1716.html,9 km  from city center,New Delhi,"This is the holy shrine of Muslim Sufi Saint Nizamuddin Chisti. The tombs of many other people from the Mughal era are present in the same area, which surround a tank. The graves of Jahan Ara Begum and Inayat Khan are also present here."
23,Gurudwara Bangla Sahib,3.9,https://www.holidify.com/places/delhi/gurudwara-bangla-sahib-sightseeing-1715.html,5 km  from city center,New Delhi,"Gurudwara Bangla Sahib is one of the most important Sikh gurdwara, aka Sikh house of worship, in Delhi, India and known for its association with the eighth Sikh Guru, Guru Har Krishan, as well as the pool inside its complex, known as the 'Sarovar.' It was first built as a small temple by Sikh General Sardar Bhagel Singh in 1783, who supervised the construction of nine Sikh shrines in Delhi in the same year, during the reign of Mughal Emperor, Shah Alam II."
24,Purana Qila,3.0,https://www.holidify.com/places/delhi/purana-qila-sightseeing-120850.html,7 km  from city center,New Delhi,"Stoically standing in the placid vicinity of Indraprastha, Purana Qila or the Old Fort is a masterpiece of the ancient glory and sterling architecture of the bygone Mughal Empire, and is one of the oldest forts in Delhi. Built on the banks of river Yamuna and spread over a vast 1.5 kms of area, the monument has tons of myths and legends of the medieval era attached to it."
25,Rajghat,3.8,https://www.holidify.com/places/delhi/rajghat-sightseeing-1728.html,5 km  from city center,Old Delhi,"Rajghat is a place where Mahatma Gandhi, Father of the Nation was cremated followed by his assassination in year 1948. Visitors from all around the world come here to pay their homage."
26,Pragati Maidan,3.8,https://www.holidify.com/places/delhi/pragati-maidan-sightseeing-1726.html,7 km  from city center,New Delhi,"Pragati Maidan, situated at Mathura Road, is a vast exhibition center of Delhi. With an exhibit area of 150 acres, it serves as an important attraction of Delhi."
27,Rajpath,3.8,https://www.holidify.com/places/delhi/rajpath-sightseeing-1729.html,6 km  from city center,New Delhi,"Running from Rashtrapati Bhavan on Raisina Hill, all the way through Vijay Chowk and India Gate to the National Stadium, Rajpath is a long ceremonial boulevard in New Delhi. Considered to be one of the most important roads in India, it is where the annual Republic Day parade takes place on 26 January. While Rajpath stands for the King's Road, Janpath, which stands for People's Road, also crosses the road. Running in the east-west direction, the avenue is lined on both sides by huge lawns, canals and many rows of trees."
28,Tughlaqabad Fort,3.0,https://www.holidify.com/places/delhi/tughlaqabad-fort-sightseeing-120667.html,17 km  from city center,South Delhi,Tughlaqabad Fort is one of the finest specimens of pure Islamic architecture and has the touch of Sultanate sturdiness about its fortifications. The entire premise takes around an hour or two to look around and offer great opportunities for history enthusiasts and shutterbugs.
