,Name,Rating,Link,Distance,Location,About
0,Nathula Pass,4.2,https://www.holidify.com/places/gangtok/nathu-la-pass-sightseeing-1830.html,23 km  from city center,,"This is a pass which connects Tibet with Sikkim at a height of 4310 m. Nathu La Pass was once the part of the ancient Silk Route. To visit this place, one need to collect a permit from Gangtok and only Indian citizens are permitted to see the Indian side of the pass and that too just on Wednesdays, Thursdays, Saturdays and Sundays."
1,"MG Road, Gangtok",4.3,https://www.holidify.com/places/gangtok/mg-road-in-gangtok-sightseeing-8004.html,2 km  from city center,,"MG Road is the heart of Gangtok and its most happening place. It is the central shopping hub of this beautiful state capital with various shops, restaurants, and hotels lined up along both sides."
2,Rumtek Monastery,4.4,https://www.holidify.com/places/gangtok/rumtek-monastery-sightseeing-1831.html,7 km  from city center,,This Monastery is situated 24 km from Gangtok and is considered to be of the most sacred monasteries in Buddhism. The most sacred traditional Buddhist rites are performed in this very building and the religious significance of Rumtek Monastery has attracted devotees and tourists from all over the world.
3,Tsomgo Lake,3.6,https://www.holidify.com/places/gangtok/tsomgo-lake-sightseeing-1832.html,16 km  from city center,,The Tsongmo Lake is situated 35 km away from the main town of Gangtok. The lake has been considered as holy and been worshipped by Sikkimese people since years.
4,Ganesh Tok,3.6,https://www.holidify.com/places/gangtok/ganesh-tok-sightseeing-1827.html,1 km  from city center,,Ganesh Tok is a Ganesh Temple located 7 km from Gangtok at an altitude of 6500 m. The temple is so small that it can accommodate only one person at a time and one has to crawl to reach there.
5,Namgyal Institute of Tibetology,4.3,https://www.holidify.com/places/gangtok/namgyal-institute-of-tibetology-sightseeing-1829.html,1 km  from city center,,"The museum, housed in a traditional Tibetan-style mansion, boasts a jaw-dropping collection of artefacts related to Vajrayana Buddhism and the Tibetan culture. The main aim of the museum is to promote scholastic and cultural research. The museum displays Buddhist manuscripts, icons, thangkas, which are Tibetan cloth paintings and some Tantric ritual objects, such as a thê_pa, which is a bowl made from a human skull and the kangling, which is a human thighbone trumpet. The museum also houses ritual objects, jewellery, mementos, books and documentaries on Sikkimese tradition and culture."
6,Kanchenjunga,3.7,https://www.holidify.com/places/gangtok/kanchenjunga-sightseeing-1828.html,58 km  from city center,,"The third highest peak in the world, the majestic Kanchenjunga is one of the most stunning mountains in the world. Surrounded by Nepal, Sikkim and Tibet, this mountain was fisrt scaled in 1955 but since then has been declared sacred.

Kanchenjunga' is a Tibetan name which means 'The Five Treasures of the High Snow'. The treasures represent the five repositories of God, namely gold, silver, gems, grain and holy books. There are a lot of trekking routes in Kanchenjunga which will take you through woody forests and serene countryside."
7,Baba Harbhajan Singh Temple,,https://www.holidify.com/places/gangtok/baba-mandir-sightseeing-120950.html,1 km  from city center,,"Situated on the road passing between Nathula and Jelepla Pass, Baba Mandir is the shrine which was built at the Samadhi of Baba Harbhajan Singh. People worship him as a saint who guards the lives of soldiers along the border."
8,Mangan,3.5,https://www.holidify.com/places/gangtok/mangan-sightseeing-8165.html,14 km  from city center,,"The town of Mangan, situated in the northern part of Sikkim is a major tourist attraction for trekking, monasteries and its Yumthang Valley."
9,Himalayan Zoological Park,,https://www.holidify.com/places/gangtok/himalayan-zoological-park-sightseeing-120946.html,3 km  from city center,,"Himalayan Zoological Park is located in Bulbuley, 3 km away from Gangtok and is definitely the place for all the wildlife lovers. With an altitude of 1780 meters, one gets an amazing view of the Mount Khangchendzonga from here."
10,Reshi Hot Springs,,https://www.holidify.com/places/gangtok/reshi-hotsprings-sightseeing-120947.html,0 km  from city center,,"Sikkim has numerous hot springs, but the Reshi Hot Spring is the most famous one due to its strategic location and the religious significance that it holds. Easily accessible, the spring is present right after a downhill drive of an hour towards the Rangit River valley."
11,Kabi Longstok,,https://www.holidify.com/places/gangtok/kabi-longstok-sightseeing-120944.html,5 km  from city center,,"Situated at a distance of 17 km from the northern capital of Gangtok is the Kabi Town which is considered to be a historical place due to the initiation of the Sikkimese history here in the early 13th century. With the wonderful stories that this place holds, this place is surely going to captivate you with its wonderful beauty."
