,Name,Rating,Link,Distance,Location,About
0,Calangute Beach,4.4,https://www.holidify.com/places/goa/calangute-beach-sightseeing-6227.html,10 km  from city center,North Goa,"Calangute is a largest beach in north Goa stretching from Candolim to Baga. Due to its sheer size and popularity, it is a hub for tourists and backpackers from all over the world. It is the perfect place to look for accommodation as it keeps you well-connected to the other beaches in the north. You can also sample the sumptuous culinary fare at an array of shacks here and embark on a number of water sports at the beach."
1,Basilica of Bom Jesus,4.3,https://www.holidify.com/places/goa/basilica-of-bom-jesus-sightseeing-1840.html,9 km  from city center,Panaji,"This historic church is located in Goa and is a UNESCO World Heritage Site. Built in the year 1594 and consecrated in 1605, the building of this church coincides with the beginning of Christianity in India. The Basilica houses the tomb and remains of St. Francis Xavier. Even after 400 years, the remains are in a good condition and are taken out once every decade."
2,Water Sports in Goa,4.4,https://www.holidify.com/pages/watersports-in-goa-4252.html,26 km  from city center,,"Goa is a haven for water sports like kneeboarding, kite surfing, snorkelling, parasailing, paragliding, diving, and kayaking. The water sports in Goa can be enjoyed at any one of the beaches in the north or the south. You can also engage in your favorite activities through a number of licensed water sports package operators."
3,Fort Aguada,4.4,https://www.holidify.com/places/goa/fort-aguada-sightseeing-1856.html,6 km  from city center,North Goa,"Fort Aguada is a 17th-century Portuguese fort looking out at the confluence of Mandovi River and the Arabian Sea. The crumbling ramparts of the fort stand on the Sinquerim Beach, approximately 18 km from Panjim. The highlight of the fort is a lone four-storey lighthouse (which is one-of-its-kind in Asia) and a stunning view of the sunset."
4,Baga Beach,4.5,https://www.holidify.com/places/goa/baga-beach-sightseeing-6226.html,10 km  from city center,North Goa,"One of the most popular beaches in North Goa, Baga Beach is located close to Calangute beach, around 30 Km North of Panjim. Baga is the perfect destination to witness the dazzling nightlife of Goa as signature places such as Britto's, Tito's and Mambos are located in the vicinity. Being one of the most visited beaches in the North, Baga also offers a vast range of water sports."
5,Cruise in Goa,4.3,https://www.holidify.com/places/goa/cruise-sightseeing-1851.html,1 km  from city center,,"Cruise in Goa allows one to explore the exotic scenery, pristine waters and marvel the breathtaking view of the sunset. There are several types of cruises in Goa ranging from simple evening cruises, elaborate and romantic dinner cruises, backwater cruises, and casino cruises. All of these usually originate from Miramar Beach in Panjim."
6,Anjuna Beach,4.4,https://www.holidify.com/places/goa/anjuna-beach-sightseeing-1837.html,13 km  from city center,North Goa,"Located near Panjim at a distance of 21 km, Anjuna Beach is among the most popular beaches in North Goa, stretching almost 2km. A hippie paradise of sorts it is characterized by its rocky outcrops. From family outings to adrenaline-filled adventures, Anjuna Beach is famed for its golden coastline, nightclubs, beach shacks, watersports, full-moon parties and flea markets."
7,Dudhsagar Falls,4.3,https://www.holidify.com/places/goa/dudhsagar-falls-sightseeing-1853.html,52 km  from city center,South Goa,"One of India's tallest waterfalls, the Dudhsagar Falls is located inside the Mollem National Park. The majestic falls are a little farther inland approximately 60 km from Panaji on the Goa - Karnataka Border. Literally translating to Sea of Milk, the 310 m high waterfall is divided into four tiers on the Mandovi river and resemble a heavy rush of milk flowing effortlessly down the hill."
8,Scuba Diving in Goa,4.3,https://www.holidify.com/pages/scuba-diving-in-goa-612.html,14 km  from city center,North Goa,"Goa is one of the few places in India offering scuba diving. Diving in Goa is not the best owing to limited underwater visibility, but it is still popular among tourists as it is a good destination for beginners to explore the delights of the underwater world. The absence of strong water current with occasional surges adds serenity to the activity."
9,Church of Our Lady of the Immaculate Conception,3.7,https://www.holidify.com/places/goa/church-of-our-lady-of-the-immaculate-conception-sightseeing-1844.html,0 km  from city center,Panaji,"Located in Panjim, Our Lady of Immaculate Conception is one of the most popular and also one of the oldest chapels in Goa. Built in a Portuguese Baroque style, the church is located on a slight elevation, on a hillock. It is known to house the second largest church bells in Goa. These bells are known to have been removed from the Augustinian ruins of the Church of Our Lady of Grace that existed in Old Goa."
