,Name,Rating,Link,Distance,Location,About
0,Gulmarg Gondola,3.8,https://www.holidify.com/places/gulmarg/kongdori---gulmarg-gondola-sightseeing-1901.html,4 km  from city center,,"Gulmarg Gondola is the second longest and second highest cable car in the world and the prime attraction Gulmarg is known for. Divided into two phases, it ferries almost 600 people per hour to and from the Apharwat Mountain, which is where most of the winter sports happen in Gulmarg."
1,Skiing in Gulmarg,4.3,https://www.holidify.com/places/gulmarg/skiing-sightseeing-1904.html,2 km  from city center,,"Skiing in Gulmarg is the most popular thing to do. Gulmarg Ski Resort is one of the most famous ski resorts in India surrounded by majestic mountains. It is accessible via the Gulmarg Gondola, and is best for both experienced skiiers and newbies. The best time for Skiing in Gulmarg is from mid-December to mid-April."
2,Alpather Lake,3.3,https://www.holidify.com/places/khilanmarg/alpather-lake-sightseeing-4983.html,7 km  from city center,,Alpather Lake is a high altitude lake set between the twin Apharwat Peak in Gulmarg. It is popularly known as the Frozen Lake as it remains completely frozen from November to June. It is popular for the one-day trek which starts from Gulmarg and covers a distance of almost 13km.
3,Gulmarg Biosphere Reserve,3.3,https://www.holidify.com/places/gulmarg/gulmarg-biosphere-reserves-sightseeing-1898.html,4 km  from city center,,"The Gulmarg Biosphere Reserve is a protected reserve situated 48 km from Srinagar. It is known for housing many exotic and rare species including musk deer, snow leopard, etc. The reserve boasts of its rich avifauna population which are a beautiful sight during the months of migration."
4,Strawberry Valley,,https://www.holidify.com/places/gulmarg/strawberry-valley-sightseeing-120960.html,5 out of 20  places to visit in Gulmarg,,"A hidden attraction in Gulmarg is Strawberry Valley, unexploited by tourism and still holding its nascent beauty and charm. The emerald meadows with budding red strawberries look like a picture straight out from Garden of Eden."
5,Gulmarg Golf Course,3.3,https://www.holidify.com/places/gulmarg/golf-course-sightseeing-1897.html,1 km  from city center,,"Famed as the highest 18 hole golf course in the world, the Gulmarg Golf Course is also the longest in India. Situated at an altitude of 8700 feet above sea level, this place was used to play golf by Britishers since 1911 and the golf course was inaugurated formally in 2011."
6,Khilanmarg,3.3,https://www.holidify.com/places/khilanmarg/,5 km  from city center,,Khilanmarg is a miniature valley set at a 6 km walk from Gulmarg. It is surrounded by panoramic glimpses of some of the tallest Himalayan peaks and is a great place for offbeat travel enthusiasts as it is not directly reachable on vehicles. One has to either walk from Gulmarg or take a pony to reach Khilanmarg.
7,Ningle Nallah,3.3,https://www.holidify.com/places/gulmarg/ningli-nalla-sightseeing-1903.html,8 km  from city center,,"Situated 10 km from Gulmarg, Ningle Nallah is a mountain stream flanked with snow-capped mountains and lush green pastures from all four sides. The water formed by the melting of ice in Apharwat Peak and Alpather Lake is the main source of Ningle Nallah. It is popular for picnic and camping."
8,Maharani Temple,3.3,https://www.holidify.com/places/gulmarg/maharani-temple-sightseeing-1902.html,1 km  from city center,,"The Maharani Temple of Gulmarg is dedicated to Lord Shiva and Goddess Parvati and lies on a small hillock which is visible from all corners of the town. It looks striking with its red roof against the green meadows. Also known as the Rani Temple or Mohineshwar Shivalaya, it is popular as the spot where the famous Bollywood song ""Jai Jai Shiv Shankar"" was shot."
9,Imambara Goom,3.3,https://www.holidify.com/places/anantnag/imambara-goom-sightseeing-6203.html,18 km  from city center,,"Imambara Goom is a religious attraction located at Ahmadpora near Baramullah. It is a sacred destination for Muslims, Hindu, Sikhs and Buddhists alike. The view of the snow-dusted mountains adds to the tranquil atmosphere."
10,Apharwat Peak,,https://www.holidify.com/places/gulmarg/apharwat-peak-sightseeing-120958.html,2 km  from city center,,"Situated at a height of 4200 metres above the mean sea level, Apharwat Peak in Gulmarg is one of the most breathtaking places. Remotely positioned near LOC with Pakistan, the region receives heavy rainfall and is covered in snow for most of the year. Apharwat Peak is where winter sports in Gulmarg takes place."
11,Tangmarg,3.3,https://www.holidify.com/places/gulmarg/tangmarg-sightseeing-1906.html,3 km  from city center,,"Tangmarg is a small town in the Baramulla district of Kashmir, almost 13km from Gulmarg. Known as the gateway to Gulmarg, the prime attractions in this tiny hamlet include Baba Reshi Shrine, Ningle Nallah, Baderkoot, Gogaldara, among others."
12,"Children's Park, Gulmarg",,https://www.holidify.com/places/gulmarg/childrens-park-sightseeing-120961.html,1 km  from city center,,"Gulmarg is popularly known as paradise on earth. Besides the bounteous natural euphoria, the hill town is replete with fun activities for everyone from toddlers to adults to elders. Children’s Park in Gulmarg is one such place established with the idea to keep the young ones occupied and pleased."
13,Shopping in Gulmarg,3.0,https://www.holidify.com/places/gulmarg/city-shopping-sightseeing-1895.html,1 km  from city center,,"Gulmarg is not a shopping destination and doesn't offer as much as Srinagar. However, there are always souvenirs to buy. Some of the things to buy in Gulmarg include Pashmina shawls, walnut products, dry fruits, silk carpets, papier-mache souvenirs and stone jewellery."
14,Ziarat of Baba Reshi,3.3,https://www.holidify.com/places/gulmarg/ziarat-of-baba-reshi-sightseeing-1907.html,0 km  from city center,,"Ziarat of Baba Reshi is a Muslim shrine built in the 13th century on the slopes below Gulmarg. The Ziarat or the tomb is of a well-known Muslim saint, Baba Payam-Uddin who died here in 1480."
15,St Mary's Church,3.3,https://www.holidify.com/places/gulmarg/st-mary-church-sightseeing-1905.html,1 km  from city center,,"Standing tall, even after a 100 odd years, is this Victorian architectural wonder of the Saint Mary's Church located near the Golf Course in Gulmarg. The church is accessible only by trekking and is known for the stained glass artwork."
16,Ferozpur Nallah,3.3,https://www.holidify.com/places/gulmarg/ferozepur-nallah-sightseeing-1896.html,5 km  from city center,,Ferozepur Nallah is another exquisite mountain stream flowing through the valleys between the beautiful Chinamarg and Nurpur Pass. This Nallah is quite famous for its activity of trout fishing that takes place over here in summers.
