,Name,Rating,Link,Distance,Location,About
0,Gwalior Fort,4.3,https://www.holidify.com/places/gwalior/gwalior-fort-sightseeing-1951.html,2 km  from city center,,"Perched high at the top of a vast rocky massif, Gwalior Fort is a place hard to miss being visible from every nook and corner of the city.  Regarded as one of most impregnable fortress of north and central India, the place is a must visit."
1,Jai Vilas Palace,4.2,https://www.holidify.com/places/gwalior/jai-vilas-palace-sightseeing-1954.html,2 km  from city center,,"The Jai Vilas Palace also known as the Jai Vilas Mahal, is a nineteenth-century palace placed in Gwalior Madhya Pradesh, India. It was established in 1874 by Jayajirao Scindia, the Maharaja of Gwalior and is still the residence of his descendants, the former royal Maratha Scindia dynasty."
2,Gujari Mahal (State Archaeological Museum),3.5,https://www.holidify.com/places/gwalior/gujari-mahal-state-archaeological-museum-sightseeing-1950.html,2 km  from city center,,"Built by Man Singh in the 15th century for his favorite wife Mrignayani, Gujari Mahal is now in ruins and also an archaeological museum as it showcases various sculptures, statues and other remains dating back to 1st and 2nd century BC."
3,Man Mandir Palace,3.6,https://www.holidify.com/places/gwalior/man-mandir-palace-sightseeing-1956.html,2 km  from city center,,"Located at the North-east end of the fort, Man mandir palace was built between 1486 and 1516 by the Tomar ruler, Man Singh Tomar. The palace couldn't survive with time, however the remains of the palace still showcases the beautiful carvings and designs of that era."
4,Tomb of Tansen,3.5,https://www.holidify.com/places/gwalior/tomb-of-tansen-sightseeing-1970.html,2 km  from city center,,"One of the greatest musicians of India and en eminent vocalist in the courts of Akbar in the medieval period, Tansen was also among one of the nine gems of the Mughal court."
5,Teli Ka Mandir,3.5,https://www.holidify.com/places/gwalior/teli-ka-mandir-sightseeing-1967.html,2 km  from city center,,"Located in the Gwalior Fort, this temple also dates back to the 9th century and is the highest building in Gwalior (100 ft.). This temple was used to process oil before the Britishers occupied the Gwalior Fort."
6,Saas Bahu Temple,3.5,https://www.holidify.com/places/gwalior/saas-bahu-temple-sightseeing-1961.html,1 km  from city center,,"Built in the 9th century, the Saas Bahu temple attracts tourists and devotees alike. Contrary to what the name suggests, the Saas Bahu Temple does not mean Saas( mother-in-law) and bahu(daughter-in-law) but is rather a short form of Shastra Bahu, another name of Lord Vishnu."
7,Scindia Museum,3.5,https://www.holidify.com/places/gwalior/scindia-museum-sightseeing-1963.html,2 km  from city center,,"Dedicated to Jivaji Rao Scindia, this is one of the most prominent museums of Madhya Pradesh. It occupies around 35 rooms of Jai Villas Palace and was established in the year 1964."
8,Tomb of Ghaus Mohammed,3.5,https://www.holidify.com/places/gwalior/tomb-of-ghaus-mohammed-sightseeing-1969.html,2 km  from city center,,The tomb of a 16th century prince-turned-sufi is now situated in the town of Hazira. This mausoleum exhibits astonishing Mughal architecture and has proven to be a famous pilgrimage for hindus and muslims alike.
9,Gwalior Zoo,3.2,https://www.holidify.com/places/gwalior/gwalior-zoo-sightseeing-1953.html,2 km  from city center,,Families and Wildlife enthusiasts can visit the Gwalior zoo which has a good collection of animals including a white tiger. The zoo is a part of a huge garden known as Phool Bagh which was built by Madhao Rao Scindia and inaugurated by Prince of Wales in 1922.
10,"Sun Temple, Gwalior",3.7,https://www.holidify.com/places/gwalior/sun-temple-sightseeing-1965.html,4 km  from city center,,"Surya Mandir or Sun Temple located near Residency at Morar is one of the important religious centers in the historic city of Gwalior. Although not constructed long ago, it is among the most revered shrines in the ancient city."
11,Padavali and Bateshwar,3.2,https://www.holidify.com/places/gwalior/padavali-and-bateshwar-sightseeing-1958.html,23 km  from city center,,"Situated around 40 km from the main town of Gwalior, Padavali is an fortress comprising many ancient temples. The temples have intricate carvings and one of the temples also have erotic carvings and hence famous as mini Khajuraho."
12,Suraj Kund,3.7,https://www.holidify.com/places/gwalior/suraj-kund-sightseeing-1966.html,2 km  from city center,,Suraj kund in Gwalior is a tank located in Gwalior fort. It is believed to have magical powers. Water from the tank act as a medicinal water  that cures chronic diseases. Surroundings of the Suraj Kund are quite attractive and well maintained which encourage the tourist to spend plenty of time.
13,Gwalior Trade Fair,3.2,https://www.holidify.com/places/gwalior/gwalior-trade-fair-sightseeing-1952.html,14 out of 34  places to visit in Gwalior,,"One of the largest fairs of Madhya Pradesh, this trade fair was started in 1905 by Maharaj Madhav Rao Scindia, the king of Gwalior. Spread over an area of 104 acres, the fair is held at the Mela Ground at the Race Course Road."
14,Tighra Dam,3.2,https://www.holidify.com/places/gwalior/tighra-dam-sightseeing-1968.html,18 km  from city center,,Tighra dam is located just outside the main city and provides a nice getaway from the city.
15,Shyam Vatika,3.2,https://www.holidify.com/places/gwalior/shyam-vatika-sightseeing-1964.html,3 km  from city center,,"Recognized by the Guinness as World's largest indoor mural, this is a privately owned banquet hall with all its ceilings and interior walls painted by a team of 6 artists led by Ashutosh Panigrahi."
16,Sarod Ghar (Kala Vithika),3.2,https://www.holidify.com/places/gwalior/sarod-ghar-kala-vithika-sightseeing-1962.html,4 km  from city center,,"Music enthusiasts must visit the Sarod Ghar, which is a museum of music and has been set up in the ancestral house of the legendary Ustad Hafiz Ali Khan."
17,Boating at Tighara Dam,3.2,https://www.holidify.com/places/gwalior/boating-at-tighara-dam-sightseeing-1947.html,18 km  from city center,,Tighara dam is located just outside the main city and provides a nice getaway from the city.
18,Shopping in Gwalior,3.0,https://www.holidify.com/places/gwalior/city-shopping-sightseeing-1949.html,4 km  from city center,,The best time to buy handicrafts in Gwalior is during the Annual Trade Fair held during the month of January where artisans from various parts of the country come to showcase their work. This city also has one of the biggest cloth markets in the country and known for it's unique Chanderi sarees.
19,City Mall,3.7,https://www.holidify.com/places/gwalior/city-mall-sightseeing-1948.html,2 km  from city center,,"Centrally located on Maharani Laxmi Bai Road, Gwalior, the Dindayal City Mall is for that group of people who absolutely love high-end luxury malls. The mall symbolizes the city's progress, where one can find a plethora of international brands."
20,Roop Singh Stadium,3.2,https://www.holidify.com/places/gwalior/roop-singh-stadium-sightseeing-1960.html,1 km  from city center,,Roop Singh Stadium is a famous International cricket stadium which has hosted many international cricket matches. It was here where the first double century in the history of ODI cricket was scored by Indian batting legend Sachin Tendulkar in a match against South Africa.
21,Mrignayani Emporium,3.2,https://www.holidify.com/places/gwalior/mrignayani-emporium-sightseeing-1957.html,3 km  from city center,,"A good place to buy handicrafts and clothes including famous Chanderi and Maheshwari Saris, Mrignayani Emporium is named after the Queen Mrignayani and is a chain outlet owned by the government."
22,Jiyaji Chowk Bazaar,3.2,https://www.holidify.com/places/gwalior/jiyaji-chowk-bazaar-sightseeing-1955.html,4 km  from city center,,"If you are looking for handicrafts, handloom products and jewellery, this is the perfect place to go."
23,Patankar Bazaar,3.2,https://www.holidify.com/places/gwalior/patankar-bazaar-sightseeing-1959.html,3 km  from city center,,"Another crowded market in Gwalior, you will find all kinds of handicrafts, handloom products, stone carvings, artifacts, etc."
24,Arihant Emporium,3.2,https://www.holidify.com/places/gwalior/arihant-emporium-sightseeing-1946.html,2 km  from city center,,"Famous for selling Gwalior style silver boxes decorated with images from the tile work of Man Mandir Palace, this shop is located near Jai Vilas Palace."
25,Gurudwara Data Bandi Chhod,,https://www.holidify.com/places/gwalior/gurudwara-data-bandi-chhod-sightseeing-122870.html,2 km  from city center,,"Gurudwara Data Bandi Chhod is associated with Guru Har Gobind Saheb, his imprisonment in the Gwalior Fort and his release along with the 52 kings who were held captive. The Gurudwara has immense religious importance and is visited by the followers to pay homage to the great man."
26,Usha Kiran Palace Hotel,,https://www.holidify.com/places/gwalior/usha-kiran-palace-hotel-sightseeing-122869.html,2 km  from city center,,"Constructed in 1880 by the Scindia rulers, Usha Kiran Palace Hotel is a heritage hotel in Gwalior. The property now belongs to the Taj group of hotels in India and occupies over 9 acres of land. The stunning traditional architecture and the regal decor still maintain the aesthetic appeal of the palace. The hotel has a multi-cuisine restaurant and provides all the facilities to make their guests feel like royalty."
27,Gopachal Parvat,,https://www.holidify.com/places/gwalior/gopachal-parvat-sightseeing-122871.html,2 km  from city center,,"Gopachal Parvat is a famous for the 7th and 15th century rock-cut Jain monuments. The monuments are dedicated to Jain Teerthankaras - Adinatha, Mahavir, Neminatha and Rishanabhanatha - whose idols can be seen in a meditative posture. They are a part of 100 monuments located in and around the city."
28,Samadhi Of Rani Lakshmi Bai,,https://www.holidify.com/places/gwalior/samadhi-of-rani-lakshmi-bai-sightseeing-122872.html,0 km  from city center,,"Built in the honour of the Warrior Queen of Jhansi, Rani Lakshmi Bai, her Samadhi is a famous attraction. Other than the Samadhi, the attraction has a stunning 8 metre tall metal statue of Rani Lakshmi Bai. A fair is conducted every year in June at the location in the honour of the Queen. It is a perfect attraction for history buffs."
29,Kuno-Palpur Wildlife Sanctuary,,https://www.holidify.com/places/gwalior/kuno-palpur-wildlife-sanctuary-sightseeing-124327.html,0 km  from city center,,Kuno-Palpur Wildlife Sanctuary is a hidden gem hiding amidst Vindhyan Hills in the state of Madhya Pradesh. This wildlife sanctuary is a well kept secret and is a safe haven for a large number of flora and fauna. The tranquil wilderness and the serene rivers makes this place look magical. The dense lush green  trees hid many treasures amidst them that will surely beckon you to explore.
30,Chhatris Of Scindia Dynasty,,https://www.holidify.com/places/gwalior/chhatris-of-scindia-dynasty-sightseeing-122873.html,0 km  from city center,,Chhatris of Scindia Dynasty are the memorials built in the memory and honour of the rulers of the Scindia Dynasty. The first one was constructed in the memory of Jayaji Rao Scindia in 1817 CE. The attraction is famous for its architectural beauty. The elegant domes and the beautiful pavilions made of pink and yellow sandstone amidst the lush green lawns is a must-see for tourists.
31,Splash The Sun City,,https://www.holidify.com/places/gwalior/splash-the-sun-city-sightseeing-125093.html,3 km  from city center,,"Situated in Gole ka Mandir in Gwalior, Splash The Sun City is one of the most popular water parks in the city and is a perfect way to spend time with friends and family. With a number of water rides, slides and roller coasters, the park is equally popular among kids and adults alike."
