,Name,Rating,Link,Distance,Location,About
0,"Virupaksha Temple, Hampi",4.5,https://www.holidify.com/places/hampi/virupaksha-temple-sightseeing-2002.html,1 km  from city center,,"Also known as the Pampapathi temple, it is the most famous temple in Hampi and dates back to the 7th century. It is said that this temple has had a continuous run since then, making it one of the oldest functioning temples in India."
1,Vithala Temple,3.7,https://www.holidify.com/places/hampi/vithala-temple-sightseeing-2003.html,1 km  from city center,,"The most impressive structure in Hampi, the Vithala Temple dates back to the 16th century and is a truly splendid example of rich architecture."
2,Lotus Palace,3.6,https://www.holidify.com/places/hampi/lotus-palace-sightseeing-1994.html,2 km  from city center,,"Close to the Zenana Enclosure, is a monument that stands out in its design and style from most of the structures of Hampi. Another complex, for royal women, this one gets its name from the lotus-like dome"
3,Yantrodharaka Hanuman Temple,3.6,https://www.holidify.com/places/hampi/hanuman-temple-sightseeing-1990.html,4 km  from city center,,"Atop the Anjenaya Hill, this temple is dedicated to Hanumana. 570 steps must be climbed by devotees to visit this temple. The view from atop the hillock beside this temple is a feast for the eyes."
4,Hampi Bazaar,3.6,https://www.holidify.com/places/hampi/hampi-bazaar-sightseeing-1989.html,0 km  from city center,,This bazaar is facing the Virupaksha temple and hence is also known as the Virupaksha Bazaar.
5,Hippie Island,3.0,https://www.holidify.com/places/hampi/hippie-island-sightseeing-120657.html,1 km  from city center,,Virapapur Gadde or Hippie Island is a small island situated across the Tungabhadra river. It takes 5 minutes to travel to the island via coracle or boat. The island is an epitome of scenic beauty and is known for laidback ambient and lodges.
6,Coracle Ride,,https://www.holidify.com/places/hampi/coracle-ride-sightseeing-1254118.html,7 out of 31  places to visit in Hampi,,"When in Hampi, you absolutely have to get hold of a coracle and ride in one. It is one of the few places in the country where you can get such an experience and we guarantee that it is going to be a lot of fun. You can rent a coracle at really economic rates and cross the rates in the ferry that looks exactly like the one in olden days. Coracle rides can be arranged for Rs. 50 or around that price and this is one of the most definitive experiences amongst things to do in Hampi. Coracle rides can be arranged at Tungabhadra River boating area, Sanapur Lake, or at Sanapur waterfalls."
7,Queen's Bath,3.6,https://www.holidify.com/places/hampi/queens-bath-sightseeing-2000.html,2 km  from city center,,"A part of the Royal Enclosure, this aquatic enclosure was the Royal bath during the times of the Vijayanagra Empire. It was built in such a way that no outsiders could enter the bath, and has lost much to ruins at the date."
8,Matanga Hill,3.6,https://www.holidify.com/places/hampi/matanga-hill-sightseeing-1996.html,0 km  from city center,,"This hill is described as the location of the hermiatge of the Saint Matanga during the Ramayana, hence is appropriately named."
9,Elephant Stables,3.6,https://www.holidify.com/places/hampi/elephant-stables-sightseeing-1988.html,1 km  from city center,,The Elephant Stables served as an enclosure for royal elephants back in the day of the Vijayanagra Empire.
10,Monolith Bull,3.6,https://www.holidify.com/places/hampi/monolith-bull-sightseeing-1997.html,1 km  from city center,,"The ride of Lord Shiva, the bull is represented here as a sculpture placed on a high platform. It is partially ruined, but is a major attraction owing to its huge size."
11,Big Shivlinga,3.6,https://www.holidify.com/places/hampi/big-shivlinga-sightseeing-1985.html,1 km  from city center,,"Carved out of a single boulder, this Shivlinga stands at a height 3m amidst water. It is a major attraction in Hampi."
12,Zenana Enclosure,3.6,https://www.holidify.com/places/hampi/zenana-enclosure-sightseeing-2004.html,1 km  from city center,,"The Zenana Enclosure was primarily the Women's Quarters. A part of the Royal Enclosure, this was a place especially for the Royal women i.e. the Queen and her friends and companions."
13,Lakshmi Narasimha Temple,3.6,https://www.holidify.com/places/hampi/lakshmi-narasimha-temple-sightseeing-1993.html,1 km  from city center,,"This temple features the biggest effigy in Hampi, of Narasimha sitting on SeshaNaag i.e. the seven headed snake acting as a shelter to him. The idol of Goddess Lakshmi is placed along with that of Narasimha."
14,Daroji Bear Sanctuary,3.3,https://www.holidify.com/places/hampi/daroji-bear-sanctuary-sightseeing-1987.html,17 km  from city center,,"Established in 1994, this sanctuary was converted from a thorny forest to a lush green area which is now inhabited by Sloth Bears."
15,Hemakuta Hill Temple Complex,3.3,https://www.holidify.com/places/hampi/hemakuta-hill-temple-complex-sightseeing-1992.html,1 km  from city center,,"The Hemakunta Hill houses a temple complex, many of them dedicated to Lord Shiva. These are all protected by a fort, providing a secluded atmosphere."
16,Old Palace,3.3,https://www.holidify.com/places/hampi/old-palace-sightseeing-1999.html,58 km  from city center,,"The Old Palace, surrounded by a fort, and is in ruins as of today. It is located in Anegondi, for which kingdom this palace served as the center."
17,Mahanavami Dibba,3.3,https://www.holidify.com/places/hampi/mahanavami-dibba-sightseeing-1995.html,2 km  from city center,,"This structure served as a focal point from where the Vijayanagara kings ruled their Kingdom. Various aspects of courtly life are depicted on this huge structure, including a gem studded throne."
18,Achyutraya Temple,3.3,https://www.holidify.com/places/hampi/achyutraya-temple-sightseeing-1984.html,0 km  from city center,,"This temple is also known as the Tiruvengalanatha Temple, after the main deity, a form of Lord Shiva."
19,Hazara Rama Temple,3.3,https://www.holidify.com/places/hampi/hazara-rama-temple-sightseeing-1991.html,2 km  from city center,,"At the middle of the Royal Centre, this was a place of worship for the royals. The walls and pillars are beautifully adorned with fascinating carvings, including the outside walls of the compound. This temple is smaller in size compared to the others in Hampi."
20,Archaeological Museum,3.3,https://www.holidify.com/places/hampi/archaeological-museum-sightseeing-1998.html,3 km  from city center,,"A government museum in the area houses a number of artifacts, remains, and other exhibits found during excavation."
21,Rock Climbing,3.2,https://www.holidify.com/places/hampi/rock-climbing-sightseeing-2001.html,1 km  from city center,,"Hampi is always full of rock climbers who are climbing up the boulders with their crash pads around. The landscape is ideal for rock climbing and bouldering since there are granite craigs and boulders all around. Bolting is limited, so carry a crash pad along."
22,Anegudi Village,,https://www.holidify.com/places/hampi/anegudi-village-sightseeing-122475.html,3 km  from city center,,"Located on the banks of River Tungabhadra, Anegundi village is famous for the Aramane Palace Ruins, the Kamal Mahal, the Huchappayana Matha Temple, the Ranganatha temple and the Nava Brindavan. The village is older than Hampi and is considered a World Heritage Site. The rich culture and the beautiful architecture of the important monuments make it a major attraction for tourists."
23,Kadalekalu Ganesh,,https://www.holidify.com/places/hampi/kadalekalu-ganesh-sightseeing-122476.html,1 km  from city center,,Kadalekalu Ganesh is an important religious attraction in Hampi. The temple has traditional stone architecture and is located on Hemakuta Hill and has a huge 15 feet monolithic statue of Lord Ganesha which is a believed to be one of the largest in the world. The reason why the attraction is called Kadalekalu is because the belly of the deity is chiselled to look like Kadalekalu (Bengal gram).
24,King's Balance,,https://www.holidify.com/places/hampi/kings-balance-sightseeing-122479.html,1 km  from city center,,"Situated close to the Vittala Temple, King's Balance is an ancient 15th-century weighing scaled which was used to weigh the king with the royal jewels every year on special occasions. The jewels were then donated to the temple priests. The structure has intricately carved pillars. It is made of granite and the pillars support a stone beam that has hoops which were used to suspend the balance. Interestingly, the king was made to eat rich and fatty food and encouraged to not move too much so that the few extra kilos would reflect on the scale and ensure that more jewels could be donated to the priests."
25,Riverside Ruins,,https://www.holidify.com/places/hampi/riverside-ruins-sightseeing-122477.html,1 km  from city center,,"The Riverside Ruins are a splendid cluster of Shivalings carved on a flat rocky surface, in addition to several shrines dedicated to Lord Vishnu and other Hindu deities, some of which are partially submerged. These ruins are in a row of 108 lingas and a sqaurish 1008 lingas and can be spotted all across the gorge."
26,Sasivekalu Ganesh,,https://www.holidify.com/places/hampi/sasivekalu-ganesh-sightseeing-122478.html,1 km  from city center,,Sasivekalu Ganesh has a gigantic monolithic statue of Lord Ganesha. The statue is over 8 feet tall and was created in the memory of a Vijayanagara King - King Narasimha II. It is often associated with the legend of Ganesha when he tied a snake around his belly when his stomach was about to burst after he had consumed a lot of food. The snake can be clearly seen around Lord Ganesha's belly.
27,Hampi Utsav,,https://www.holidify.com/places/hampi/hampi-utsav-sightseeing-1253602.html,28 out of 31  places to visit in Hampi,,"Hampi Utsav, Hampi festival also known as the Vijaya Utsav is one of the largest celebrations of the ancient Vijayanagar empire now Hampi. The festivities take place every year at the Virupaksha Temple, commemorating the culture, traditions of the bygone era. With the beautifully carved ruins of Hampi serving as the backdrop, the rich culture of this region is shown through folk song and dance performances. The Janapada Kalavahini, a concert of folk songs, and the light and sound shows are unique attractions which you can't afford to miss."
28,Shopping in Hampi,3.0,https://www.holidify.com/places/hampi/city-shopping-sightseeing-1986.html,0 km  from city center,,The stone carvings by local artists are a good piece of memorabilia to take back from Hampi.
