,Name,Rating,Link,Distance,Location,About
0,Ganga Aarti in Haridwar,4.4,https://www.holidify.com/places/haridwar/ganga-aarti-sightseeing-8008.html,1 km  from city center,,"The Ganga Aarti in Hardwar is performed at the Har-ki-Pauri Ghat, which was built in the 1st century by King Vikram. In the evening, as the sun's last rays reflect off the boundless waters of the river Ganga, people start gathering for the Aarti. This divine light ceremony is filled with songs and prayers, rituals and a palpable sense of divinity. During this beautiful ceremony, dias or oil lamps are offered to God. Aarti can be done to a deity in the temple, or on the banks of the Ganga, or it can be performed to a saint. The aarti is organised twice a day, every morning at sunrise and every evening at sunset."
1,Har Ki Pauri,4.3,https://www.holidify.com/places/haridwar/har-ki-pauri-sightseeing-2010.html,1 km  from city center,,"Regarded as one of the most scared Ghats in Haridwar and India, Har Ki Pauri is visited by devotees and visitors in large number seeking the blessings of Holy Ganga by offering their prayers."
2,Chandi Devi Temple,3.8,https://www.holidify.com/places/haridwar/chandi-devi-temple-sightseeing-2007.html,2 km  from city center,,"Devoted to Lord Durga's form Chandi, this ancient hill-top temple is famous for its wish fulfilling belief. You can reach the temple using Udan Khatola aka the ropeway or trek 45 minutes up the steep stairway."
3,Chilla Wildlife Sanctuary,3.2,https://www.holidify.com/places/rajaji-national-park/,26 km  from city center,,"Spread across 249 sq km east of Ganges, the wildlife sanctuary is home to small cats, tigers, elephants and bears apart from various birds."
4,"Mansa Devi Temple, Haridwar",3.3,https://www.holidify.com/places/haridwar/manasa-devi-temple-sightseeing-2012.html,1 km  from city center,,"One of the famous Siddhapeeths atop Shivalik Hills, the temple dedicated to the companion of Nag King Vasuki, Goddess Manasa, this is another temple believed to grant devotees wishes. Mansa Devi temple is one vertex of the Siddhapeeth triangle formed by Chandi Devi and Maya Devi temples."
5,Bharat Mata Mandir Haridwar,3.7,https://www.holidify.com/places/haridwar/bharat-mata-mandir-sightseeing-2006.html,5 km  from city center,,"The Bharat Mata Mandir in Haridwar is dedicated to India as a country and thereby gets its name from its purpose. Its name translates into ""The Moth India Temple"". The multi-storey temple situated in Sapt Sarovar is not a temple that worships gods or has any religious inclination, but one that stands for the many freedom fighters and patriots of the Indian Struggle for Independence. The majestic temple Bharat Mata Mandir also celebrates the unique trait of India and its immense culture. The oneness of the country and its diversity are also a few aspects that the Bharat Mata Mandir brings to our attention."
6,Daksha Mahadev Temple,3.3,https://www.holidify.com/places/haridwar/daksha-mahadev-temple-sightseeing-2009.html,3 km  from city center,,"A famous temple in Kankhal, Haridwar Daksha Mahadev Temple is dedicated to Lord Shiva. This temple becomes a centre of attraction in the month of Sawan when all the devotees flock to the temple to worship."
7,"Vaishno Devi Temple, Haridwar",3.3,https://www.holidify.com/places/haridwar/vaishno-devi-temple-sightseeing-2016.html,5 km  from city center,,"A replica of the Vaishno Devi temple in Kashmir, the temple is marked by tunnels and caves that leads to the inner sanctum containing the shrine of Goddess Vaishno Devi."
8,Patanjali Yogpeeth Haridwar,,https://www.holidify.com/places/haridwar/patanjali-yog-peeth-sightseeing-123176.html,16 km  from city center,,"Patanjali Yogpeeth is a medical and research institute in Yoga and Ayurveda, located in Haridwar, Uttarakhand. It is also renowned as one of the largest yoga institutes in India as well as in the world. The institute is named after Rishi Patanjali, who is acclaimed for the invention of Yoga and is Baba Ramdev's flagship project. If one is interested in Ayurveda and Yoga, it is one of the finest places to visit in Haridwar."
9,Shanti Kunj Haridwar,,https://www.holidify.com/places/haridwar/shanti-kunj-sightseeing-123171.html,6 km  from city center,,"Shantikunj is a world-renowned ashram and the headquarter of All World Gayatri Pariwar (AWGP) located in Haridwar. An academy for social and spiritual awakening, this pilgrimage centre has shown the right path and given long-lasting happiness to crores of people. An ideal place which imparts training to the masses based on divine spiritual principles, it aims for the revival of Rishi traditions."
10,Swami Vivekanand Park,,https://www.holidify.com/places/haridwar/swami-vivekanand-park-sightseeing-123179.html,2 km  from city center,,"Swami Vivekanand Park is one of the few amusement parks in Haridwar located near Har ki Pauri. The mesmerising park is triangular in shape and boasts of lush green lawns and flowering beds along with housing a massive statue of Swami Vivekananda which is the highlight of the park. Another major feature of Swami Vivekanand Park is the colossal statue of Lord Shiva which is visible even from a distance. This park is, thus,  ideal for day picnics and jogging activities."
