,Name,Rating,Link,Distance,Location,About
0,The Honnemaradu Reservoir,3.5,https://www.holidify.com/places/honnemaradu/the-honnemardu-reservoir-sightseeing-4743.html,0 km  from city center,,"The Honnemardu lake is actually a big water reservoir that was created due to the damming of River Sharavathi. The reservoir area used to be a village, before the dam was built."
1,Dabbe Falls,3.1,https://www.holidify.com/places/jog/dabbe-falls-sightseeing-2185.html,15 km  from city center,,"The Dabbe Falls are smaller waterfalls, closer to Honnemardu. The small, quaint waterfalls are not as majestic as the Jog Falls, but the sight of foaming, white water falling down is a treat to the eyes."
2,Rafting in Honnemaradu,3.1,https://www.holidify.com/places/honnemaradu/rafting-sightseeing-4740.html,0 km  from city center,,"Rafting is another option available to the tourists. People, especially the adventure seeking ones, particularly love the entire experience more than anything else. The safety measures are adequate, so you can enjoy without worrying."
3,Kayaking in Honnemaradu,3.6,https://www.holidify.com/places/honnemaradu/kayaking-sightseeing-4739.html,0 km  from city center,,"Honnemaradu, a tourist place situated on the back waters of River Sharavathi. Honnemardu owes its name to the Honne tree but, the literal meaning of Honnemardu is Golden Lake. This is perhaps a reference to the fact that Honnemardu is located on the backwaters of the Sharavathi river.   It is in Sagara taluk, Karnataka about 35 km from Sagara on the way to Jog Falls, 12 km from Talaguppa and 392 km from Bangalore. With reservations, visitors in groups of at least 12 can stay overnight, with facilities for food, shelter and equipment rentals nearby."
4,Gademane,3.1,https://www.holidify.com/places/honnemaradu/gademane-sightseeing-4737.html,0 km  from city center,,Gademane is a small town close to Honnemardu. A short 10 km drive will land you in this exciting village/ town. The people of the Deeva community reside here.
5,Sagar,3.2,https://www.holidify.com/places/honnemaradu/sagar-sightseeing-4741.html,17 km  from city center,,"Sagar City is the closest major city to Honnemardu. The place is very close to Jog Falls and has a lot of dining options, which Honnemardu does not. It is situated near Varadamoola that is the origin of the Varada River."
6,Jog Falls,3.1,https://www.holidify.com/places/jog/jog-falls-sightseeing-2186.html,9 km  from city center,,"The Jog Falls is located a few km from Honnemardu, very close to Sagar. The beautiful waterfall, is actually multiple streams of water falling from an arched hill top."
7,Burude Falls,3.4,https://www.holidify.com/places/honnemaradu/burude-falls-sightseeing-1603.html,212 km  from city center,,"Located on the outskirts, Burude Falls offer a spectacular view to behold. You need to trek a little, before you get to these falls, but the view is worth all that effort."
8,Singadooru Chaundeshwari Temple,3.1,https://www.holidify.com/places/honnemaradu/singadooru-chaundeshwari-temple-sightseeing-4742.html,11 km  from city center,,Close to the Jog Falls is the Singadooru Chamundeshwari Temple. There are various legends surrounding this temple. It is believed that the Goddess Chamundeshwari still lives in the temple and protects people from theft and robbery.
9,Trekking in Honnemaradu,3.1,https://www.holidify.com/places/honnemaradu/trekking-sightseeing-4744.html,0 km  from city center,,"The guides from the adventure camps will take you around the lake area on a short trek, depending upon your stamina. The trek will take you from various spots that are particularly conducive to bird watching."
