,Name,Rating,Link,Distance,Location,About
0,Charminar,4.3,https://www.holidify.com/places/hyderabad/charminar-sightseeing-2038.html,3 km  from city center,Old Hyderabad,"An identifying feature of the city, Charminar is the most prominent landmark of Hyderabad. It was erected by Quli Qutub Shah to signify the founding of Hyderabad. Everyone coming to the city, definitely visits the Charminar. It is also famous for the market that sprawls around it and is called 'Laad' or 'Chudi' Bazaar."
1,Golconda Fort,4.3,https://www.holidify.com/places/hyderabad/golconda-fort-sightseeing-2043.html,9 km  from city center,,"Golconda Fort is a massive fortress whose ruins stand proudly even today displaying the glory of its rich past and some untold sagas of the city's history. It is reputed for being the area where once, the mighty Koh-I-Noor diamond was stored. In the evening, Golconda Fort comes to life with the light and sound show."
2,Ramoji Film City,4.2,https://www.holidify.com/places/hyderabad/ramoji-film-city-sightseeing-2061.html,25 km  from city center,,"Located on the outskirts of Hyderabad, Ramoji Film City is certified as the World's largest Film Studio Complex by the Guinness Book of World Records. spread over 2500 acres, it can accommodate 20 film units at one go. One can reach Ramoji Film City through a number of packaged tours and buses that leave regularly from the city."
3,Hussain Sagar Lake,4.3,https://www.holidify.com/places/hyderabad/hussain-sagar-lake-sightseeing-2044.html,5 km  from city center,Necklace Road,"Hussain Sagar Lake is one of a largest man-made lake situated in Hyderabad. Renowned for its monolith of Lord Buddha placed right at the center of the lake, the place is famously known as a Tank Bund, a popular spot of tourist attraction."
4,Salar Jung Museum,3.7,https://www.holidify.com/places/hyderabad/salar-jung-museum-sightseeing-2062.html,2 km  from city center,Old Hyderabad,"The Salar Jung Museum is located at Darushifa, on the southern bank of the Musi River, in Hyderabad. This is one of the three national museums in the country. The collection of museum was sourced from the property of Salar Jung Family and it has a myriad collection of paintings, sculptures, carvings, manuscripts etc."
5,Birla Mandir,3.2,https://www.holidify.com/places/hyderabad/birla-mandir-sightseeing-2037.html,3 km  from city center,Necklace Road,"One of the popular attractions in Hyderabad, Birla Mandir is dedicated to the Lord Venkateshwara of Tirumala and is modelled after and is the replica of the idol of Balaji of Tirupati. The temple itself is located at the top of a 280 feet tall hill called the Naubat Pahad that overlooks both, Hyderabad and Secunderabad and is one of the best viewpoints in the city."
6,Purani Haveli,3.7,https://www.holidify.com/places/hyderabad/purani-haveli-sightseeing-2060.html,2 km  from city center,Old Hyderabad,"Originally built to serve as the home to the Peshwa of Mohammed Quli Qutub Shah, Mir Momen, Purani Haveli is converted into a museum known for its remarkable exhibits of artwork and talent. It houses a fascinating collection of items gifted to Mir Osman Ali Khan, the seventh Nizam of Hyderabad."
7,Jala Vihar,,https://www.holidify.com/places/hyderabad/jala-vihar-sightseeing-122988.html,6 km  from city center,Necklace Road,"Sprawling over an area of 12.5 acres adjacent to Hussain Lake, Jalvihar is the largest water amusement park in Hyderabad.  It also has rain dance, indoor game zone, dry rides and an enormous food court."
8,Chowmahalla Palace,4.2,https://www.holidify.com/places/hyderabad/chowmahalla-palace-sightseeing-2040.html,3 km  from city center,Old Hyderabad,"The Chowmahalla Palace of Hyderabad once served as the official residence of the Nizams of Hyderabad during their reign still retains some of its past splendour. The architecture of the palace is an imposing sight to behold. The facade itself is a delicate artwork of domes, arches, windows and meticulously carved out designs."
9,Lumbini Park,,https://www.holidify.com/places/hyderabad/lumbini-park-sightseeing-122989.html,3 km  from city center,Necklace Road,"Lumbini Park is a gorgeous urban park named after Lumbini of Nepal. Located alongside Hussain Sagar, the park has an artificial water tank. A huge statue of Lord Buddha is installed in the tank which can be reached through paddle boats. The park also holds musical fountain shows."
10,B.M,3.2,https://www.holidify.com/places/hyderabad/bm-birla-planetarium-and-science-technological-museum-sightseeing-2034.html,3 km  from city center,Necklace Road,"A one of its kind planetarium, the Birla Planetarium is one of the most modern planetariums in India. It is most popular for the Sky Show, the theme of which changes each year. The planetarium also houses a museum, science centre, art gallery and dinosaurium."
11,Nehru Zoological Park,3.7,https://www.holidify.com/places/hyderabad/nehru-zoological-park-sightseeing-2055.html,6 km  from city center,Old Hyderabad,"With about a 100 species finding habitats here, the Nehru Zoological Park is one of the largest zoos in India. Also known as Hyderabad Zoo, it houses the Indian Rhino, Asiatic Lion, Bengal Tiger, Indian Elephant as well as panthers, pythons, deers, antelopes. The zoo also hosts safaris and educational shows."
12,Taj Falaknuma Palace,,https://www.holidify.com/places/hyderabad/taj-falaknuma-palace-sightseeing-122975.html,6 km  from city center,Old Hyderabad,"Taj Falaknuma Palace is perched around 2000 metres above the city of Hyderabad. Once the royal residence of Nizam- probably the richest man in the world, the palace has now been converted into a five-star luxury heritage hotel."
