,Name,Rating,Link,Distance,Location,About
0,Amer Fort,4.4,https://www.holidify.com/places/jaipur/amer-fort-sightseeing-2124.html,10 km  from city center,,"Amber Fort, situated 11 kms from Jaipur, is a fort built with great artistic taste. Cradled on the top of a hill forming a beautiful reflection in Maotha Lake, it is popularly known as Amer Fort."
1,"City Palace, Jaipur",4.5,https://www.holidify.com/places/jaipur/city-palace-sightseeing-2128.html,4 km  from city center,,"Located in Jaipur, The City Palace is the  main palace from where the Maharaja reigned from. The palace includes the Chandra Mahan and Mubarak Mahal along with various other buildings within the complex. It is located towards the north-eastern side of Jaipur."
2,Hawa Mahal,4.5,https://www.holidify.com/places/jaipur/hawa-mahal-sightseeing-2131.html,4 km  from city center,,"The Hawa Mahal stands at the intersection of the main road in Jaipur, Badi Chaupad. It is regarded as the signature building of Jaipur and was built by Maharaja Sawai Pratap Singh."
3,Jantar Mantar Jaipur,4.4,https://www.holidify.com/places/jaipur/jantar-mantar-sightseeing-2134.html,4 km  from city center,,"Jantar Mantar in Jaipur is the largest stone astronomical observatory in the World. It is located just next to the city palace of Jaipur in Rajasthan. Built during the period between 1727 and 1733, the Jantar Mantar is still in a running condition and it stands as a witness regarding the wisdom of former age."
4,Nahargarh Fort,4.3,https://www.holidify.com/places/jaipur/nahargarh-fort-sightseeing-2136.html,4 km  from city center,,"Nahargarh Fort, situated on the outer skirts of Jaipur is an epitome of great architecture and planning. Drenched with rich past, the fort allows you a picturesque view of the entire city. Built in 1734, this grand architecture is a perfect way to begin the excursion of this pink city."
5,Pink City,4.3,https://www.holidify.com/places/jaipur/pink-city-sightseeing-8009.html,3 km  from city center,,"Jaipur is the largest city of Rajasthan popularly known as the 'Pink City'. Built about 275 years ago, today it presents the glorious past of our country through its culture and architecture."
6,Chokhi Dhani Jaipur,3.5,https://www.holidify.com/places/jaipur/chokhi-dhani-sightseeing-11774.html,17 km  from city center,,"Chokhi Dhani is a luxury heritage resort synonymous with Rajasthani village culture. It is located a little on the outskirts of the city on the Tonk Road. The concept of the village is to give you a tangible feel of rural Rajasthan. It is a true depiction of traditional Rajasthan with ancient artefacts, handicrafts, paintings, folklore and sculptures. The village offers myriad entertainment options- folk dances, singing, camel rides, puppet shows, fortune-tellers, acrobatics, predicting parrots, magic shows, horse riding, boating etc."
7,Bapu Bazar,3.4,https://www.holidify.com/places/jaipur/bapu-bazar-sightseeing-11775.html,4 km  from city center,,"Besides the plethora of palaces and forts and havelis and wildlife, Jaipur is also the ultimate shopping paradise. Among the numerous flourishing flea markets of Jaipur is the Bapu Bazaar. Situated in the heart of the Pink city between Sanganer Gate and New Gate, the market is known for its alluring Rajasthani quintessential products including textiles, handicrafts, brass works and precious stones. The bazaar attracts tourists from all over India and worldwide owing to its authenticity, diversity and giveaway price products."
8,Albert Hall Museum,4.4,https://www.holidify.com/places/jaipur/albert-hall-museum-sightseeing-2123.html,3 km  from city center,,"Albert Hall Museum is one of the oldest museums of Rajasthan. It has a rich collection of various kinds of items such as paintings, carpets, ivory, stone, metal sculptures, colourful crystal works etc."
9,Galtaji Temple,3.9,https://www.holidify.com/places/jaipur/galtaji-temple-sightseeing-2129.html,7 km  from city center,,"Located around 20 km from Jaipur, this temple is beautifully situated in the midst of trees and hills. One of the jewels of Jaipur, the temple complex encompasses natural fresh water springs and 7 holy 'kunds' or water tanks."
