,Name,Rating,Link,Distance,Location,About
0,Jaisalmer Fort,4.4,https://www.holidify.com/places/jaisalmer/jaisalmer-fort-sightseeing-2147.html,1 km  from city center,,"Jaisalmer Fort, nestled amid the golden sands of Thar Desert is steeped with rich past and heritage. Displaying the brilliant craftsmanship, Jaisalmer Fort is one of the most renowned forts in the world."
1,Desert Safari in Jaisalmer,4.3,https://www.holidify.com/places/jaisalmer/desert-safari-sightseeing-2143.html,37 km  from city center,,"In the midst of the soft golden sand, Jaisalmer evokes a vivid picture of sheer magic and the magical brilliance of the desert.  Jaisalmer, known as the 'Golden City of Rajasthan' enjoys the glory of the majestic Jaisalmer Fort - a world renowned heritage site. Travelling to this desert town and experiencing the golden air, mountain-high sand dunes, magnificence of the Jain Temple's architecture, the renowned havelis and above all the jaislmer desert life style, through the specialized Desert Safaris provided in the area."
2,Kuldhara Village,3.8,https://www.holidify.com/places/jaisalmer/kuldhara-village-sightseeing-2149.html,13 km  from city center,,"Kuldhara Village, located around 20 kilometres from the Golden City Jaisalmer  is one of the most interesting and intriguing attraction sites that you should absolutely include in your itinerary. The village, rich with its fair share of legends and myths, is said to be a spooky and haunted village. The abandoned and eerily beautiful appearance of it, standing solitary amidst the vast stretches of desert, lives up to its reputation. There have been stories of ghostly and paranormal activities in and around the village, but like always no one could provide any solid proof of it. Visit it, if you wish to be surrounded by an air of mystery."
3,Jain Temples in Jaisalmer,3.6,https://www.holidify.com/places/jaisalmer/jain-temples-sightseeing-2146.html,1 km  from city center,,"This group of beautiful temples within the Jaisalmer Fort walls have carved structures which depict pictures of sages, hermits, animals, etc. Built in the Dilwara style that is famous all over the world for its architecture, these temples are dedicated to Rikhabdevji and Shambhavdev Ji, the famous Jain hermits known as 'Tirthankaras'."
4,Desert National Park,3.8,https://www.holidify.com/places/jaisalmer/desert-national-park-sightseeing-2142.html,40 km  from city center,,"Desert National park is one of the largest national parks, covering an area of 3162 km'_. It is an excellent example of the ecosystem of the Thar Desert and sand dunes form 20% of the entire park."
5,Gadisar Lake,3.6,https://www.holidify.com/places/jaisalmer/gadisar-lake-sightseeing-2144.html,2 km  from city center,,"Built in the 14th century, it was once the source of drinking water for the entire town of Bikaner. Now it has developed as a tourist spot with many temples and shrines surrounding the lake."
6,Sam Sand Dunes,3.8,https://www.holidify.com/places/jaisalmer/sam-sand-dunes-sightseeing-2150.html,37 km  from city center,,"A rare desert area which lies just in the edge of Jaisalmer Desert National Park and is also rated as top 10 must see tourist destinations in Rajasthan by Lonely Planet & Tripadvisor, Sam Sand Dunes are a simply amazing. These dunes are 42-45 Kms away from the golden city (Jaisalmer) and has a nice sealed non-bumpy road which is maintained by Indian Arm forces. (br) Honestly speaking, these sand dunes are very much similar to Sahara desert. The best time to visit these dunes is either sunset (around 4-7 pm) or sunrise (4-6 am). There are many other activities which one may enjoy as camel safari and jeep safari."
7,Tazia Tower and Badal Palace,3.3,https://www.holidify.com/places/jaisalmer/tazia-tower-and-badal-palace-sightseeing-2151.html,1 km  from city center,,The Badal Palace has a cloud like appearance and has the Tazia Tower emerging from it. This tower is quite different from the usual Rajputana architecture of Rajasthan.
8,Patwon ki Haveli,3.1,https://www.holidify.com/places/jaisalmer/patwon-ki-haveli-sightseeing-120697.html,1 km  from city center,,"Dipped in an enchanting shade of yellow, Patwon ki Haveli grabs the attention of every visitor. It is a cluster of 5 Haveli which was believed to be built by Patwa, a wealthy trader who constructed the stories for each of his 5 sons."
9,Bada Bagh,3.8,https://www.holidify.com/places/jaisalmer/bada-bagh-sightseeing-2139.html,5 km  from city center,,"Bada Bagh in Jaisalmer, Rajasthan is primarliy a cenotaph adjoining a garden, located about 6 kms north of Jaisalmer, on the way to Ramgarh. The set of royal cenotaphs are basically chhatris of the Maharajas which once ruled the Jaisalmer state. The gardens are now largely neglected, but the hill with the cenotaphs is still quite an interesting sight in the middle of the sand dunes, forming a delectable sight for the eyes."
10,Tanot Mata Temple,3.0,https://www.holidify.com/places/jaisalmer/tanot-mata-temple-sightseeing-120699.html,1 km  from city center,,"Situated 122 km from the city of Jaisalmer, Tanot Mahal is a historical temple at the Longewala border in Rajasthan. The temple is enveloped with numerous legends that instil curiosity in every visitor.  Although it is located very close to the India-Pakistan border, it remained untouched during the war in 1971."
11,Windmill Park,3.3,https://www.holidify.com/places/jaisalmer/windmill-park-sightseeing-2152.html,6 km  from city center,,"India's largest operational onshore wind mill farm, Jaisalmer Wind Mill Park is located in Rajasthan near the Yamuna River between the Vindyha Mountains and the Himalayas."
12,Akal Wood Fossil Park,3.0,https://www.holidify.com/places/jaisalmer/akal-wood-fossil-park-sightseeing-120702.html,17 km  from city center,,The Akal Wood Fossil park is the destination of the prehistoric era.  It is located on the Barmer road 17 km away from Jaisalmer city. Akal Wood Fossil Park is the pride of Jaisalmer city; it is the National Geological Monument of India.
13,Camping and Cultural Evening,3.0,https://www.holidify.com/places/jaisalmer/camping-and-cultural-evening-sightseeing-120716.html,29 km  from city center,,"The golden fort, sand dunes, and the enchanting palaces make Jaisalmer an ideal destination for Camping and Cultural evening. A camping tour is a must on the bucket list of anyone who wishes to dig deeper the real essence of Rajasthan."
14,Barmer,3.8,https://www.holidify.com/places/jaisalmer/barmer-sightseeing-2140.html,137 km  from city center,,"Filled with vibrant colours, rich heritage and warm hospitality, Barmer is a small town representing the true reflection of Rajasthan all summed up in it. The sandy grounds of the town are lively and a must visit."
15,Khuri,3.3,https://www.holidify.com/places/jaisalmer/khuri-sightseeing-2148.html,38 km  from city center,,"Khuri, also known as Tilo Ki Dhani, is a natural hamlet in Thar Desert close to Jaisalmer. Renowned for sand dunes and vast stretch of sandbank, Khuri is an ideal place for camel safari."
16,Desert Festival Jaisalmer,3.0,https://www.holidify.com/places/jaisalmer/desert-festival-sightseeing-120707.html,0 km  from city center,,"The desert festival is the most awaited colourful event in the land of sand dunes and camels. It was initiated with an intention to give a glance of the imperial Rajasthani culture to the tourists. The festival organises various activities like camel races, turban tying competitions and also Mr Desert contest."
17,Desert Culture Centre and Museum,3.3,https://www.holidify.com/places/jaisalmer/desert-culture-centre-and-museum-sightseeing-2141.html,1 km  from city center,,"Knowledge bank of rich cultural heritage, craftsmanship and artistic talents of Jaisalmer, the museum displays varied collections of traditional instruments, rich collections of ancient and medieval coins, any kinds of utensils and other artifacts and admirable textiles."
18,Dune Bashing,,https://www.holidify.com/places/jaisalmer/dune-bashing-sightseeing-1253769.html,19 out of 39  places to visit in Jaisalmer,,"Dune Bashing is one of the most exclusive and unique things to do in Jaisalmer. If you have an adventure streak, this is one activity you should definitely try. You will literally feel your adrenaline rush up when you are rafting through the pits and falls of the majestic golden desert even when you are safely seated in the car with seat belts fastened to you."
19,Indo-Pak Border,,https://www.holidify.com/places/jaisalmer/indopak-border-sightseeing-1253771.html,20 out of 39  places to visit in Jaisalmer,,Visiting the Indo-Pak Border is one of the most exotic things to do in Jaisalmer. The area is situated near the Tanot Mata temple and can be visited by prior permission and permits from the Indian Military Forces.
20,Quad Biking in Jaisalmer,,https://www.holidify.com/places/jaisalmer/quad-biking-in-jaisalmer-sightseeing-1253768.html,21 out of 39  places to visit in Jaisalmer,,Quad Biking is another one of the very exciting and thrilling things to do in Jaisalmer. The adrenaline rushing sport offers a surreal ride on what are called the ATV Bikes. The activity is performed under strict guidance and supervision of a professional. You can live your 'heroic' moment trying to capture the vast desert on your high speed bikes.
21,Parasailing in Jaisalmer,,https://www.holidify.com/places/jaisalmer/parasailing-in-jaisalmer-sightseeing-1253766.html,22 out of 39  places to visit in Jaisalmer,,Parasailing is one of the most exciting things to do in Jaisalmer. Mostly the desert camps and resorts organize this activity on prior request. The activity offers a breathtaking view of the golden sandy city below and you should definitely try it when in Jaisalmer.
22,Nathmal Ki Haveli,3.2,https://www.holidify.com/places/jaisalmer/nathmal-ki-haveli-sightseeing-120695.html,0 km  from city center,,Nathmal ki Haveli is an ornate architecture in the heart of the city Jaisalmer. It was commissioned to serve as the residence of the then prime minister Diwan Mohata Nathmal. Jaisalmer otherwise known as the land of the Golden fort is a grandeur of Havelis.
23,Jaisalmer Government Museum,3.3,https://www.holidify.com/places/jaisalmer/jaisalmer-government-museum-sightseeing-120694.html,1 km  from city center,,"Established by the Department of Archeology in the year 1984, the Government Museum is a prime tourist attraction of Jaisalmer. It was built to highlight the multifaceted traditional and cultural heritage of the Great Thar Desert. Jaisalmer is the charming city of Rajasthan nestled amidst the mighty Thar Desert."
24,Salim Singh ki Haveli,3.2,https://www.holidify.com/places/jaisalmer/salim-singh-ki-haveli-sightseeing-120696.html,1 km  from city center,,"Salim Singh ki Haveli is a beautiful edifice at the heart of the city Jaisalmer. It is one of the major tourists' attractions built in the 1815 CE and commissioned by Salim Singh, the then prime minister of the Kingdom. It also holds another beautiful name - Jahaz Mahal as the front facet of the Haveli resembles a ship stern."
25,Mandir Palace,3.1,https://www.holidify.com/places/jaisalmer/mandir-palace-sightseeing-120698.html,0 km  from city center,,"The Mandir Palace a two-century-old architecture is the finest heritage hotels in the city of Jaisalmer. The hotel offers an ambiance of medieval charm with a glimpse of modern amenities. It is adorned with exquisite stone carvings, ornate balconies, canopies that represent the craftsmanship in its purest form."
26,Ramdevra Temple,3.0,https://www.holidify.com/places/jaisalmer/ramdevra-temple-sightseeing-120700.html,101 km  from city center,,"Ramdevra Temple is a sacred temple to the folk deity of Rajasthan - Baba Ramdevji. It is situated 12 kms from Pokhran on Jodhpur to Jaisalmer road. It is believed that Baba Ramdevji took samadhi (conscious exit from the mortal body) at Ramdevra in 1459 AD. After this, the Maharaja Ganga Singh of Bikaner constructed the temple around his Samadhi."
27,Jaisalmer War Museum,3.0,https://www.holidify.com/places/jaisalmer/jaisalmer-war-museum-sightseeing-120701.html,12 km  from city center,,"Jaisalmer War Museum also known as Laungewala War Memorial is established in the military station designed with the view of honouring the war heroes. It embraces the bravery and sacrifices of the Indian Army. On 24 August 2015, the museum was inaugurated and declared to the Nation. It took place on the day of Golden Jubilee commemoration of the India-Pakistan war in 1965."
28,Amar Sagar Lake,3.0,https://www.holidify.com/places/jaisalmer/amar-sagar-lake-sightseeing-120704.html,4 km  from city center,,The Amar Sagar lake is an oasis near the palace of Amar Singh. The 17th-century citadel was constructed by Maharawal Akhai Singh is located on the outskirts of Jaisalmer city. The palace complex comprises of number wells and ponds along with chhatris and an ancient Shiva temple made of marble in the 18th century.
29,Vyas Chhatri,3.0,https://www.holidify.com/places/jaisalmer/vyaas-chhatri-sightseeing-120703.html,1 km  from city center,,"Vyas Chhatri is the assemblage of golden sandstone, an edifice of Rajasthani architecture. It was dedicated to sage Vyaas, the writer of epic Mahabharata whose cenotaph is situated on the north of the fort."
30,Khaba Fort,3.0,https://www.holidify.com/places/jaisalmer/khaba-fort-sightseeing-120705.html,26 km  from city center,,A ruined citadel situated amidst the scorching Thar Desert is the Khaba Fort. Its history dates back to the 13th century. The architecture once belonged to the Paliwal Brahmins of the Kuldhara village who fled the town in the 19th century leaving behind a ghost town.
31,Lodhruva,3.0,https://www.holidify.com/places/jaisalmer/lodhruva-sightseeing-120709.html,0 km  from city center,,"16 km north-west of Jaisalmer is Lodhruva the ancient capital city of Bhatti dynasty of the 12th century. The old capital of Bhatti Rajput was once a flourishing city. Although the town was ransacked by Muslim invaders, the prominent attraction of the city is its architectural ruins."
32,Thar Heritage Museum,3.0,https://www.holidify.com/places/jaisalmer/thar-heritage-museum-sightseeing-120708.html,0 km  from city center,,"Founded by L Narayan Khatri, the Thar Heritage Museum is a historical reservoir. L Narayan was an eminent scholar of the Jaisalmer folklore. The museum showcases the rich culture, heritage, folk art and architectural style of Rajasthan."
33,Surya Gate,3.0,https://www.holidify.com/places/jaisalmer/surya-gate-sightseeing-120710.html,70 km  from city center,,"The Surya Gate is one of the four entry gates to the 12th century, Jaisalmer Fort. The fort on the Trikuta hill has four successive gates Akai, Surya, Ganesh and Hawa through which the visitors need to pass through."
34,Shantinath Temple,3.0,https://www.holidify.com/places/jaisalmer/shantinath-temple-sightseeing-120711.html,1 km  from city center,,The Shantinath Temple is one among the cluster of seven Jain Temples built in the Jaisalmer fort. It is made in the Dilwara Style with exquisite carvings.  The 16th-century temple holds the beautiful idol of the Jain Saint Shri Shanthinath. The grandeur style reflects its spectacular architecture of the medieval period.
35,Tazia Tower,3.0,https://www.holidify.com/places/jaisalmer/tazia-tower-sightseeing-120714.html,0 km  from city center,,"Tazia Tower is a unique Rajputana architecture of Rajasthan. Situated in the Badal Complex, the building has five storeys each of which tells a different story. Tazia in Urdu means float that's taken during the procession of Muharram."
36,Chandraprabhu Temple,3.0,https://www.holidify.com/places/jaisalmer/chandraprabhu-temple-sightseeing-120712.html,1 km  from city center,,Chandraprabhu Temple is an exemplary Jain temple built in the 16th century. It is one among the seven temples that were constructed for the 8th Tirthankara Jain Prophet Chandraprabhu Ji.
37,Pokhran Fort,3.0,https://www.holidify.com/places/jaisalmer/pokhran-fort-sightseeing-120715.html,100 km  from city center,,"Balagarh fort was built by the Marwar Thakur, Rao Maldeo in the 14th Century, it is otherwise known as the Pokhran Fort. Pokhran means the place of five mirages enclosed by sandy, rocky, salt ranges. Although a small temple made of red sandstone, the fort is dedicated to Goddess Durga."
38,Pachpadra Lake,,https://www.holidify.com/places/jaisalmer/pachpadra-lake-sightseeing-1253400.html,172 km  from city center,,"Situated in the Barmer district of Rajasthan near Jaisalmer, Pachpadra Lake is a salt water lake with a sodium chloride level of 98%. Besides the usual extraction of high quality salt from the water, the lake is also a popular tourist spot and one of the most visited attractions in the city. Sprawling over a vast 25 sq. kms of area, the white waves of salt hitting the boundaries of the lake, in the middle of a scorching desert land is a visual treat. Considered to be one of the most popular picnic spots in the region, the lake also boasts of utter calm and tranquility and people usually visit here to take a break from the chaos and cacophony of life to relax and unwind. The lake is also visited by several exotic and unique birds which also makes the place a hot spot for the photography buffs, nature lovers and ardent birdwatchers."
