,Name,Rating,Link,Distance,Location,About
0,Bahu Fort,4.2,https://www.holidify.com/places/jammu/bahu-fort-sightseeing-2155.html,2 km  from city center,,"Jammu is referred to as the Gateway to Heaven, and the impeccable beauty and magnificence of the Bahu Fort surely stand to be a significant contributing factor. Located only 5 km from the central part of the city, the Bahu Fort stands tall and sturdy on the left bank of the Tawi River. Raja Bahucholan constructed this magnificent fort over 3000 years ago, making it one of the oldest monument in the city. The Dogra rulers then made some restorations and renovations to the fort and extended its reach."
1,Mubarak Mandi Palace,3.5,https://www.holidify.com/places/jammu/mubarak-mandi-palace-sightseeing-2161.html,2 km  from city center,,"The architecture of the palace is an elaborate blend of Rajasthani, Mughal and European influences."
2,Mansar Lake,4.2,https://www.holidify.com/places/jammu/mansar-lake-sightseeing-2160.html,27 km  from city center,,"Mansar Lake is located 62 km from Jammu which is a lake fringed by forest-covered hills, over a mile in length by half-a-mile in width. Besides being a popular excursion destination in Jammu, it is also a holy site, sharing the legend and sanctity of Lake Mansarovar. On the Eastern Bank of the Lake there stands a shrine to Sheshnag, a mythological snake with six heads that comprises of a big boulder on which a number of iron chains are placed that might be representing, the small serpents waiting on the tutelary deity of the Sheshnag. Two ancient temples of Umapati Mahadev & Narsimha are situated in the neighbouring area of the Mansar lake. People take a holy dip in the water of the lake on festive occasions."
3,Shivkhori,3.7,https://www.holidify.com/places/jammu/shivkhori-sightseeing-2168.html,54 km  from city center,,"In the lap of nature , the Shivkhori shrine is situated on a hillock in the Udhampur district of Jammu and Kashmir. The cave is dedicated to one of the forms of Lord Shiva ( unborn and invisible ) resting place in the lingam. The cave consist of many magical and natural impression and images of other deities . The route from Jammu to Shivkhori is full of mountains and waterfalls."
4,Raghunath Bazaar,3.2,https://www.holidify.com/places/jammu/raghunath-bazaar-sightseeing-2166.html,1 km  from city center,,The Raghunath Bazaar in Jammu is one of the best shopping destinations in the region.
5,Amar Mahal Museum,3.5,https://www.holidify.com/places/jammu/amar-mahal-museum-sightseeing-2154.html,3 km  from city center,,"Constructed by King Raja Amar of Dogra in 1890s, this museum was planned by a French architect and looks like a French chateau with Indian artisans. It was home to the royal family for many years."
6,Peer Baba Dargah,3.1,https://www.holidify.com/places/jammu/peer-baba-dargah-sightseeing-2163.html,4 km  from city center,,"Dedicated to an Islam saint, Peer Budhan Ali Shah, this Dargah, attracts devotees across religions."
7,"Raghunath Temple, Jammu",4.3,https://www.holidify.com/places/jammu/raghunath-temple-sightseeing-2167.html,220 km  from city center,,"Raghunath Temple comprises of a complex of seven Hindu shrines, each with its own Shikhara. It is one of the largest temple constructions of north India. Placed in Jammu in the Indian state of Jammu and Kashmir the temple was built by Maharaja Gulab Singh and his son Maharaja Ranbir Singh of the Rajput clan. The temple has many gods in its complex of shrines, but the ruling deity is Rama, an Avatar of Vishnu. The Mughal architectural influence is seen in all the spiral shaped towers which have gold plated spires, except the tower over the main shrine which is said to be in Sikh architectural style. The spaces in the walls of the shrines are admired with 300 well crafted images of the Gods. The paintings in the 15 panels of the main shrine are Ramayana, Mahabharata, and Bhagavad Gita oriented."
8,Akhnoor Fort,3.2,https://www.holidify.com/places/jammu/akhnoor-fort-sightseeing-120755.html,22 km  from city center,,"The Akhnoor Fort is perched on a cliff, situated on a historical site by the banks of the river Chenab. This fort is said to be built on the ruins of a town from the Harappan Civilisation. This monument is maintained by the Archaeological Survey of India."
9,Dogra Art Museum,3.2,https://www.holidify.com/places/jammu/dogra-art-museum-sightseeing-2158.html,2 km  from city center,,"Housed in the Mubarak Mandi palace, the museum is an ideal destination for witnessing and experiencing the folklore and culture of Jammu along with Ladakh and Kashmir."
10,Bagh-e-bahu,3.2,https://www.holidify.com/places/jammu/bagh-e-bahu-sightseeing-120756.html,2 km  from city center,,"Situated by the iconic Bahu Fort, the Bagh-e-bahu is a beautiful and popular garden of Jammu. Atop a mountain facing the Tawi river, this garden is a combination of sprawling lawns, grand fountains, charming stone sculptures, a beautiful lake and a large aquarium."
11,Surinsar Lake,3.1,https://www.holidify.com/places/jammu/surinsar-lake-sightseeing-120757.html,18 km  from city center,,"The Surinsar Lake, considered a twin of the Mansar Lake, is a captivating lake placed in the setting of the densely wooded mountain ranges. It is a favourite among locals and tourists, serving as a perfect getaway for those looking for a change of pace from the din of the city."
12,Purmandal,3.2,https://www.holidify.com/places/jammu/purmandal-sightseeing-2165.html,15 km  from city center,,"A little away from the city of temples, is a modest instance of religion and spirituality, a holy town, by the name of Purmandal."
13,Peer Kho Cave,3.2,https://www.holidify.com/places/jammu/peer-kho-cave-sightseeing-2164.html,2 km  from city center,,"On the banks of Tawri River, are these cave temples tied to instances from the Ramayana."
14,Nandini Wildlife Sanctuary,3.2,https://www.holidify.com/places/jammu/nandini-wildlife-sanctuary-sightseeing-2162.html,17 km  from city center,,"Known for a large population of Pheasants, this wild life sanctuary, just a little away fro Jammu, is home to an abundance of fauna, especially birds."
