,Name,Rating,Link,Distance,Location,About
0,Mehrangarh Fort,4.3,https://www.holidify.com/places/jodhpur/mehrangarh-fort-sightseeing-2182.html,7 km  from city center,,"Located in Jodhpur, Mehrangarh Fort is one of the largest forts in the country. It is located at the top of a  410 feet elevated hill and guarded by huge walls. The fort encloses a museum now which exhibits various belongings of the royals.  The palace was built by Rao Jodha in 1459."
1,Jaswant Thada,3.5,https://www.holidify.com/places/jodhpur/jaswant-thada-sightseeing-2178.html,7 km  from city center,,"Jaswant Tada is a royal cenotaph built in white marble. It has a small pond and a pretty garden next to it. This structure is just a few minutes downhill walk from the main fort, so there is no need to take a ride."
2,Mandore Garden,3.5,https://www.holidify.com/places/jodhpur/mandore-garden-sightseeing-2181.html,13 km  from city center,,Mandore Gardens is located about 10 kilometres from the city of Jodhpur. The garden contains cenotaphs which are built like traditional Hindu temples unlike other cenotaphs. The garden also contains a ruined fort and palace.
3,Umaid Bhawan Palace,4.2,https://www.holidify.com/places/jodhpur/umaid-bhawan-palace-sightseeing-2183.html,5 km  from city center,,"Voted as the Best Hotel in the world, Umaid Bhawan Palace is also a major tourist attraction in Jodhpur. In 1944, it was the last of the greatest palaces built in Jodhpur. It is named after the then Maharaja of Jodhpur, Raja Umaid Singh. Because of its location on the highest point in Jodhpur, the Chittar Hill, it is also referred to as the Chittar Palace. It is one of the largest private residences in the world."
4,Flying Fox Jodhpur,3.0,https://www.holidify.com/places/jodhpur/flying-fox-sightseeing-120743.html,7 km  from city center,,"Flying Fox is India's premier ziplining agency. The Flying Fox Zipline Tour Jodhpur, spread across ziplines around the Mehrangarh Fort, couples surreal views of the walls, the bastions and the lakes of the fort and the blue city with an adrenaline rush like never before."
5,Ghanta Ghar,3.3,https://www.holidify.com/places/jodhpur/ghanta-ghar-sightseeing-120720.html,6 km  from city center,,"The Ghanta Ghar in Jodhpur is a magnificent clock tower in the centre of the city which offers a brilliant panoramic view of the city from the top, surrounded by the busiest and largest marketplace of Jodhpur."
6,Toorji Ka Jhalra,3.0,https://www.holidify.com/places/jodhpur/toorji-ka-jhalra-sightseeing-120766.html,6 km  from city center,,"Toorji Ka Jhalra, commonly called stepwell of Jodhpur, is an intricate design of stepwell, one of the few remaining structures depicting the traditional water management systems of Jodhpur."
7,Kaylana Lake,3.0,https://www.holidify.com/places/jodhpur/kaylana-lake-sightseeing-120739.html,8 km  from city center,,Kaylana Lake is a massive manmade lake on the outskirts of Jodhpur city. It serves as the primary resource for drinking water for the citizens of Jodhpur and other neighbouring settlements. It also serves as an excellent viewpoint for sunsets.
8,Balsamand Lake,3.7,https://www.holidify.com/places/jodhpur/balsamand-lake-sightseeing-2177.html,9 km  from city center,,"Famous for being the site of the Bal Samand Lake Palace, a heritage hotel, Balsamand Lake was built way back in 12th century. Located just 5km away from Jodhpur, it is a world away from the crowds and hustle of the city. The lake was created in 1159 AD by the Gurjara-Pratihara rulers to save the city of Jodhpur from droughts. The Maharaja Sur Singh, who was the creator of this artificial lake was honoured by the title of Sawai Raja in turn of his impeccable services. Surrounded by lush gardens, it contains a large variety of trees like mango, papaya, pomegranate, etc. 
Balsamand Palace, built in the 17th century on the lake, is a red sandstone architectural marvel which overlooks the lake."
9,Umaid Heritage Art School,3.0,https://www.holidify.com/places/jodhpur/umaid-heritage-art-school-sightseeing-120746.html,6 km  from city center,,"The Umaid Heritage Art School is an art gallery as well as an art school located in the centre of Jodhpur. It is the ideal place to view and learn the world famous Rajasthani miniature painting style, along with other fascinating art and painting styles."
10,"Phool Mahal, Jodhpur",3.0,https://www.holidify.com/places/jodhpur/phool-mahal-sightseeing-120742.html,6 km  from city center,,"The Phool Mahal is the most lavish hall present in the Mehrangarh Fort. It served as a pleasure dome for male members of the royal family. The idea of the design was to make it look like a beautiful flower, thus the name 'Phool Mahal'."
11,Hanwant Mahal,,https://www.holidify.com/places/jodhpur/hanwant-mahal-sightseeing-123720.html,5 km  from city center,,"Situated in close vicinity to Umaid Bhawan Palace in Jodhpur, Hanwant Palace is a five star luxury hotel which provide a royal dining experience to its guests. Originally considered to be the hunting palace of the Rajas. The kings used to retreat here after their hunting expeditions and stop here for meals and drinks etc. Spread over three storeys, the Mahal also conducts dinners in the beautiful garden on the other side of the hotel adorned with flower beds and fountains. Offering delicious Rajasthani and North Indian cuisine in the heritage setting and decor is going to remind you of the bygone era in addition to giving you a taste of the regalia. Plus, if you decide on the rooftop, you can have an enchanting bird’s eye view of the entire city below. Besides, Hanwant Mahal also lets you enjoy soothing music from the live band and folk dance performances by the Rajasthani dancers and artists."
12,Khejarla Fort,3.7,https://www.holidify.com/places/jodhpur/khejarla-fort-sightseeing-2179.html,9 km  from city center,,"Khejarla Fort in Jodhpur is an ancient monument that has since been converted into a heritage hotel. Have you ever wondered what it must have been like for the royal kings and queens of ancient India to live in their magnificent castles? If so, the Khejarla Fort is an experience worth trying out. Originally built in the 17th century by the Maharaja of Jodhpur, the 400-year old edifice has since been turned into a hotel, with amenities that exhibit contemporary luxury laid out against the backdrop of the royal fortress. The Khejarla Fort Hotel is the place to be for a close look at the rich Indian heritage, without giving up on the convenience offered by modern-day hotels. The royal hospitality provided at the hotel is quite literally the cherry on top of the cake! Khejarla Fort offers an experience far beyond the ordinary!"
13,Sardar Market,3.4,https://www.holidify.com/places/jodhpur/sardar-market-sightseeing-120719.html,6 km  from city center,,"This is the most famous shopping zone of Jodhpur and attracts customers from all parts of the world. The marketplace is abundant with everything a shopper could dream of buying, with locals selling all sorts of products such as local fabric, clay figurines, silver jewellery, grains, spices, marble, pottery, vegetables, and many more products."
14,Mahamandir Temple,3.1,https://www.holidify.com/places/jodhpur/mahamandir-temple-sightseeing-2180.html,4 km  from city center,,"Located two kilometres away from Jodhpur on the road towards Mandore, it is a very big temple with he fantastically carved 84 pillars which are a sight to behold."
15,Marwar Festival,3.6,https://www.holidify.com/places/jodhpur/marwar-festival-sightseeing-120652.html,3 km  from city center,,"The Marwar Festival showcases the amazing talent that Marwar has, what with the numerous folk musicians and dancers residing in it. The folk artists are given a chance to show their talent to the tourists visiting this festival. Apart from the musical events, the Marwar festival also has other events like - Puppet shows, Horse Polo, Camel Tattoo show and much more! This festival takes place over the course of two days between September and October."
16,Nagaur Fair,3.5,https://www.holidify.com/places/jodhpur/nagaur-fair-sightseeing-120655.html,129 km  from city center,,"Where the Nagaur Fair is concerned, it happens to be the second largest one in all of India. It is conducted in the town named 'Nagaur' and is primarily known as a Cattle Fair. This fair is all about the trading of animals, wherein the animals are presented with colorful accessories upon them. But, this fair is much more than that. It is particularly popular because of its sporty activities like the tug of war, and bullock and camel racing that it showcases. The Nagaur Fair is an eight-day affair, which takes place between the months of January and February."
17,World Sacred Spirit Festival,3.4,https://www.holidify.com/places/jodhpur/nagaur-festival-sightseeing-120656.html,7 km  from city center,,"While this is a world festival, the World Sacred Spirit Festival is going to be held in Jodhpur in 2018. This festival has a number of Sufi performances and is a major crowd puller. What could be better than witnessing a divine performance with the Mehrangarh Fort in the backdrop? This is one event which no music lover can miss out on. It will be conducted in the Nagaur Fort (12th, 13th, and 14th February), and the Mehrangarh Fort (16th and 17th February)."
18,Om Banna Temple,3.3,https://www.holidify.com/places/jodhpur/om-banna-temple-sightseeing-120721.html,42 km  from city center,,"Bullet Baba Temple is dedicated to Om Banna, a traveller who passed away at his site, and his mysterious bike, a 350cc Royal Enfield Bullet. Nearby villagers and devotees come to pray for a safe journey while travelling. This temple is especially popular among Royal Enfield enthusiasts."
19,Jodhpur International Desert Kite Festival,3.5,https://www.holidify.com/places/jodhpur/jodhpur-international-desert-kite-festival-sightseeing-120654.html,0 km  from city center,,"This festival is a major celebration for all of the kite-flying enthusiasts. In its inaugural ceremony, at the Polo Ground, a number of helicopters release a number of kites, along with children releasing a number of balloons. There are two major competitions held during this festival: the Fighter Kite Competition and the Display Kite Competition. The final round of the competition is held in the Umaid Bhawan Palace. So, if you are planning to visit Jodhpur in the month of January, do plan it around the 14th of January (Makar Sankranti)!"
20,Rao Jodha Desert Rock Park,3.2,https://www.holidify.com/places/jodhpur/rao-jodha-desert-rock-park-sightseeing-120722.html,7 km  from city center,,"The Rao Jodha Desert Rock Park was created out of a large, rocky wasteland by the side of the famous Mehrangarh Fort to restore and reflect the natural ecology of the region. It is home to over 200 species of rocky and arid plants."
21,Rajasthan International Folk Festival,3.2,https://www.holidify.com/places/jodhpur/jodhpur-riffrajasthan-international-folk-festival-sightseeing-1253708.html,7 km  from city center,,Jodhpur RIFF - (Rajasthan International Folk Festival) is an annual festival which is held in October (Sharad Purnima).
22,Sardar Government Museum,3.1,https://www.holidify.com/places/jodhpur/sardar-government-museum-sightseeing-120724.html,6 km  from city center,,"The Jodhpur Government Museum lies in the centre of Umaid Bagh. One can find a variety of weapons, textiles, miniature paintings, inscriptions, sculptures, metallic objects, arts and crafts at the government museum that help understand the life led by the past generations of Jodhpur."
23,Phalodi Jodhpur,3.2,https://www.holidify.com/places/jodhpur/phalodi-sightseeing-120723.html,119 km  from city center,,"Phalodi is a delightful little town  located between Jodhpur and Jaisalmer. It is known as the salt city as it is densely populated by salt industries, and is home to some notable historic structures such as the Lal Niwas and the Phalodi fort."
24,Masuriya Hill Garden,3.1,https://www.holidify.com/places/jodhpur/masuriya-hill-garden-sightseeing-120725.html,5 km  from city center,,"The Masuriya Hill Garden lies on top of the Masuriya Hill, offering a 360-degree panoramic view of the city of Jodhpur. Inside, one can find a statue of Veer Durgadas Rathore, a temple of Baba Ramdev, and one of the largest TV towers in India."
25,Shastri Circle,3.0,https://www.holidify.com/places/jodhpur/shastri-circle-sightseeing-120726.html,6 km  from city center,,"A lively and vibrant part of the city, it is considered a relaxing hangout spot by the locals. The evenings see a musical fountain show with lights to jazz it up."
26,"Sheesh Mahal, Jodhpur",3.0,https://www.holidify.com/places/jodhpur/sheesh-mahal-sightseeing-120750.html,6 km  from city center,,"The Sheesh Mahal in the Mehrangarh Fort of Jodhpur, known as the Glass Palace of Jodhpur, is a marvellous piece of historic architecture is decked from ceiling to floor with fanciful mirror work. It is said to be the bedchamber of Maharaja Ajit Singh between the 17th and 18th centuries."
27,Sardar Samand Lake Palace,3.0,https://www.holidify.com/places/jodhpur/sardar-samand-lake-palace-sightseeing-120741.html,46 km  from city center,,"The man-made Sardar Samand Lake is a favourite among those looking for a weekend getaway from the city. Countless migratory birds approach its banks to enjoy this serene location. Atop the hill overlooking the lake is the Sardar Samand Lake Palace, the former summer palace of the royal family now converted into a heritage hotel. The route trip from Jodhpur to the lake is quite a picturesque description of the countryside here."
28,Pali,3.0,https://www.holidify.com/places/jodhpur/pali-sightseeing-120740.html,60 km  from city center,,"Pali is a city of great beauty and historical significance 70 km south of Jodhpur. One can find many temples, industries and scenic sights here. The infamous Om Banna temple is close to this city."
29,Guda Bishnoi Village,3.0,https://www.holidify.com/places/jodhpur/guda-bishnoi-village-sightseeing-120744.html,10 km  from city center,,"Approximately 22 km from the city of Jodhpur, the Guda Bishnoi Village is a hotbed for scenic beauty and exotic wildlife. The Guda Bishnoi Lake, an artificial lake by the village serves as a watering hole for a large number of birds and animals."
30,Moti Mahal Jodhpur,3.0,https://www.holidify.com/places/jodhpur/moti-mahal-sightseeing-120749.html,5 km  from city center,,"Moti Mahal is the largest and brightest room of the five historic rooms present in the Mehrangarh Fort. The materials used for the surface of the hall give it a pearly look, hence the name palace of pearls. The Maharaja would hold private audience with his subjects in this room."
31,Ranisar Padamsar,3.0,https://www.holidify.com/places/jodhpur/ranisar-padamsar-sightseeing-120752.html,7 km  from city center,,The Ranisar and Padamsar lakes are two artificial lakes situated at the rear of the Mehrangarh Fort in Jodhpur. They were constructed on the orders of two different queens of Jodhpur as a consistent water source for the residents of the city.
32,Chamunda Mata Temple,3.0,https://www.holidify.com/places/jodhpur/chamunda-mata-temple-sightseeing-120751.html,7 km  from city center,,"Located at the end of Mehrangarh Fort, the Chamunda Mata Temple is a great place to get a panoramic view the sunset over the blue city. It was built along with the Mehrangarh fort when Jodhpur was founded.The Goddess is considered the main deity of the inhabitants of Jodhpur."
33,Mahamandaleshwar Mahadev,3.0,https://www.holidify.com/places/jodhpur/mahamandaleshwar-mahadev-sightseeing-120753.html,18 km  from city center,,"Considered the oldest temple of Jodhpur, the Mandaleshwar Mahadev Mandir was built in 923 AD by Mandal Nath. This ancient temple is dedicated to Lord Shiva, and has been beautifully decorated with various exquisite paintings of Lord Shiva and Goddess Parvati."
34,Camel Safari,3.0,https://www.holidify.com/places/jodhpur/camel-safari-sightseeing-120764.html,6 km  from city center,,"With Rajasthan being the desert state of India, camel safaris across the Thar desert are ever present through the region. The city of Jodhpur offers multiple packages of varying durations for its visitors."
35,Machia Biological Park,3.0,https://www.holidify.com/places/jodhpur/machia-biological-park-sightseeing-120754.html,9 km  from city center,,"Machia Biological Park is located about 8.5 km from Jodhpur, close to the Kaylana Lake. It is a host to varied species of flora and fauna as well as a nature interpretation centre and the Machia Fort. Along with the enclosures for the animals, one can also find a birdwatching point, proof of the site’s fantastic biodiversity."
