,Name,Rating,Link,Distance,Location,About
0,Durpin Dara hill,3.7,https://www.holidify.com/places/kalimpong/durpin-dara-hill-sightseeing-2237.html,1 km  from city center,,"Offering the panoramic view of the town of Kalimpong, the snow-clad Himalayan ranges of West Sikkim, the Teesta river and its valleys, Durpin Dara Hill also has a golf course and the Zang Dhok Palri Monastery. There is also a famous botanical garden there."
1,Cactus Nursery,3.6,https://www.holidify.com/places/kalimpong/cactus-nursery-sightseeing-2244.html,1 km  from city center,,The land of the largest number of commercial flower nurseries Kalimpong nurseries specialize in cultivation of exotic beautiful flowers and export these flowers to different parts of the country.
2,Morgan House,4.2,https://www.holidify.com/places/kalimpong/morgan-house-sightseeing-2241.html,3 km  from city center,,"Located in the verdant greens of Kalimpong, Morgan House is a mansion built by Mr. and Mrs. Morgan in the 1930s. It is an archetypal example of colonial architecture in Kalimpong. What makes visiting this gorgeous piece of construction even better is that it is surrounded by legends of it being Haunted!  It has been converted into a lodge for tourists and is under the administration of the West Bengal Tourism Development Corporation. Located near the New Jalpaiguri Railway Station, this destination lies right in the lap of nature and is easily accessible as well. The undulating hillocks, colorful sunsets, and a the charm of an old colonial town surround you as you make Morgan House your home."
3,Deolo Hill,3.6,https://www.holidify.com/places/kalimpong/deolo-hill-sightseeing-8010.html,4 km  from city center,,"Deolo Hills are located at an elevation of around 2000 m and thus, provide a great panoramic view of Kalimpong. There are also proper view points which are located at the ridge edges for the best view of the sunset and sunrise."
4,Jang Dog Palriffo Brang Gompa,3.5,https://www.holidify.com/places/kalimpong/jang-dog-palriffo-brang-gompa-sightseeing-2240.html,3 km  from city center,,Consecrated by Dalai Lama in 1976 Jang Dong Palriffo Brang Gompa is also known as Durpin Monastery. The monastery serves as a sample of Buddhist construction style with beautiful paintings on the walls and the sacred Kunguyar serve as an important feature of this monastery.
5,Galingka,3.2,https://www.holidify.com/places/kalimpong/galingka-sightseeing-2238.html,1 km  from city center,,"Another British Bungalow, Galingka offers spectacular views of the Kanchenjunga peak- the second highest Himalayan peaks."
6,Teesta River Rafting,3.7,https://www.holidify.com/places/kalimpong/rafting-sightseeing-2245.html,20 km  from city center,,Teesta River with its green surroundings is the best choice for Rafting in Kalimpong. The rafting trips is Teesta river starts mostly at Melli Bridge and culminate at Geilkhola in Kalimpong. Get ready for the excitement and roller coaster rapids on the Teesta River exploring the mesmerizing beauty of North East region of India.
7,Thongsa Gompa,3.2,https://www.holidify.com/places/kalimpong/thongsa-gompa-sightseeing-2235.html,2 km  from city center,,"The oldest Bhutanese Monastery established in 1692, Thongsa Gompa, is also known as Bhutanese Monastery. The monastery is a perfect place for meditation."
8,Crockety,3.2,https://www.holidify.com/places/kalimpong/crockety-sightseeing-2236.html,2 km  from city center,,"Built by the British wool traders in 18th century, Crockety is a bungalow famous for its architectural design and the breathtaking surroundings. Nobel Laureate Rabindra Nath Tagore broadcasted his work Janmadin on his birthday on All India Radio from behind Crockety."
9,Teesta Bazar,3.2,https://www.holidify.com/places/kalimpong/teesta-bazar-sightseeing-2249.html,5 km  from city center,,"One can shop for all kinds of commodities from this market including many handicraft items and artifacts, variety of wares from China, Tibet and Bhutan."
10,"Nature Interpretation Centre, Kalimpong",3.2,https://www.holidify.com/places/kalimpong/nature-interpretation-centre-sightseeing-2242.html,0 km  from city center,,"Linking humans to nature, this centre established and managed by forest department conducts research on the impact of human activities on the Environment. The museum contains information, pictures, photographs and books on ecology and environment."
11,Sericulture Research Institute,3.2,https://www.holidify.com/places/kalimpong/sericulture-research-institute-sightseeing-2247.html,1 km  from city center,,"Known for its research in sericulture and is a place for breeding the silkworms, it works closely with the farmers in developing self-help groups and in the cultivation and sale of different stages of silk production."
12,Hiking in Kalimpong,3.2,https://www.holidify.com/places/kalimpong/hiking-sightseeing-2239.html,20 km  from city center,,Kalimpong is a good place for Hiking and you can also take help from guide. The altitude of about 1500 m in Kalimpong offers mild to medium challenges.
