,Name,Rating,Link,Distance,Location,About
0,Thirparappu Falls,4.3,https://www.holidify.com/places/poovar/thirparappu-falls-sightseeing-8148.html,45 km  from city center,,"Located at a distance of about 55 kilometres from Kanyakumari, the cascading waters of the Tirparappu Falls make up for an enchanting sight. This waterfall is a manmade one and falls from a height of 50 feet."
1,Vivekananda Rock Memorial,4.5,https://www.holidify.com/places/kanyakumari/vivekananda-rock-memorial-sightseeing-2277.html,2 km  from city center,,"Vivekananda Rock Memorial is a well-known tourist monument placed in Vavathurai, Kanyakumari, India. The memorial stands on one of the two rocks, about 500 metres away from India's southern most tip. It was constructed in honour of Swami Vivekananda who is said to have attained enlightenment on this rock."
2,Thanumalayan Temple - Sthanumalayan Kovil,3.6,https://www.holidify.com/places/kanyakumari/thanumalayan-temple--sthanumalayan-kovil-sightseeing-8011.html,11 km  from city center,,"Situated in Suchindram, Thanumalay temple is also known as Sthanumalayan Kovil is the sacred shrine dedicated to Trimuthis (Bramha, Vishnu and Shiva). The beautiful temple was renovated in the 17th century, and its inscriptions date back to the 9th century."
3,Thiruvalluvar Statue,4.3,https://www.holidify.com/places/kanyakumari/thiruvalluvar-statue-sightseeing-2276.html,2 km  from city center,,"Dedicated to the accomplished philosopher and poet Thiruvalluvar, this beautiful statue finds itself on a small island near Kanyakumari. Thiruvalluvar was the author of a legendary work in the world of Literature, Tirukkural, the classic Tamil text. In his devotion, the work for the statue started in 1990 and continued till 1999, during the year in which the figure finally got completed."
4,Kumari Amman Temple,3.7,https://www.holidify.com/places/kanyakumari/kumari-amman-temple-sightseeing-2271.html,8 km  from city center,,Kumari Amman Temple is one place in Kanyakumari with a lot of cultural significance in Kanyakumari. This magnificent temple is situated on the coast surmounting the beach and thousands of vacationers come here creating very big queues. A word of caution: unless you are a Hindu you will not be permitted to enter Kumari Amman Temple even for sightseeing.
5,Padmanabhapuram Palace,4.3,https://www.holidify.com/places/kanyakumari/padmanabhapuram-palace-sightseeing-2273.html,29 km  from city center,,Padmanabhapuram Palace is one of the most exquisite palaces of India that symbolize the rich and diverse cultural heritage of India that has been around for many centuries aptly.
6,Kanyakumari Beach,4.3,https://www.holidify.com/places/kanyakumari/kanyakumari-beach-sightseeing-2270.html,2 km  from city center,,"Located in the southernmost part of India, Kanyakumari beach with its beautiful hue-changing beaches, the confluence of three water bodies as well as the places of religious, historic and spiritual interests is one of the most exotic destinations in India and will never cease to amuse you with its sheer magnificence."
7,Lord Subramanya Temple,3.3,https://www.holidify.com/places/kanyakumari/lord-subramanya-temple-sightseeing-2272.html,16 km  from city center,,Lord Subramanya Temple is one of the most interesting temples to visit when in India. The never ending pillars and countless towers give it a magnificent look.
8,Wax Museum,3.3,https://www.holidify.com/places/kanyakumari/wax-museum-sightseeing-2278.html,17 km  from city center,,The Wax Museum is definitely is one of its kind Museum that stands above the rest in terms of creativity. It is situated in Kanyakumari region in the city of Baywatch.
9,Vattakottai Fort,3.8,https://www.holidify.com/places/kanyakumari/vattakottai-fort-sightseeing-8013.html,5 km  from city center,,"Vattakottai Fort, which translates to the 'Circular Fort' is a seaside fort near Kanyakumari, the southernmost tip of India. The fort is largely made of granite blocks and today, a part of the fort even extends into the sea. The Fort is now a protected site under the Indian Archaeological Department and a major renovation of the fort was undertaken recently by the Department."
10,Courtallam Falls,3.3,https://www.holidify.com/places/kanyakumari/courtallam-falls-sightseeing-2268.html,98 km  from city center,,"Set in the midst of a Panchayat town in the Tirunelveli district of Tamil Nadu, the Courtallam falls are renowned in the state for its enormity as well as ferocity. At an elevation of 160 metres (520 feet), the cascade towers above its green surroundings and magnificent hillside."
11,Sanguthurai Beach,3.3,https://www.holidify.com/places/kanyakumari/sanguthurai-beach-sightseeing-2274.html,12 km  from city center,,"Sanguthurai Beach is one of the calmest yet cleanest beaches that you should go to, during your visit to Kanyakumari. Sanguthurai Beach is located in the southernmost part of India, and you can feel the fierce power of the Indian Ocean there."
12,Chitharal Jain Monuments,3.3,https://www.holidify.com/places/kanyakumari/chitharal-jain-monuments-sightseeing-2275.html,42 km  from city center,,Chitharal Jain monuments and temples are an effigy to the diversity of the culture and the religions existing in harmony in India. Sitharal Jain Monuments are one of these culturally rich monuments.
13,Gandhi Mandapam,3.3,https://www.holidify.com/places/kanyakumari/gandhi-mandapam-sightseeing-2269.html,1 km  from city center,,Gandhi Mandapam is built near the famous Anna University. Gandhi Mandapam is one of the greatest monuments that you can look at when you go to India. The Gandhi Mandapam was erected to honor the world famous Indian leader Mahatma Gandhi.
14,Mathur Aqueduct,,https://www.holidify.com/places/kanyakumari/mathur-aqueduct-sightseeing-120988.html,38 km  from city center,,"Also known as the Mathoor Hanging Trough, the Mathoor Aqueduct is amongst the longest and tallest trough bridges that can be found all across the continent. This trough bridge gets its name from Mathoor, which is a small village located near the aqueduct."
15,Our Lady of Ransom Church,,https://www.holidify.com/places/kanyakumari/our-lady-of-ransom-church-sightseeing-120987.html,2 km  from city center,,"Our Lady of Ransom Church is a famous Catholic Church built in dedication to Mother Mary. A brilliant example of Gothic architecture, the church was built during the 15th century and looks breathtakingly beautiful against the blue lashing waves of the ocean behind it."
16,Sothavilai Beach,,https://www.holidify.com/places/kanyakumari/sothavilai-beach-sightseeing-120989.html,9 km  from city center,,"The Sothavilai Beach is one of the most famous beaches that can be found in the entire district of Kanyakumari. The beach stretches to over 4 kilometres, which makes it one of the longest natural beaches in the entire state, and the views that this attraction offers cannot be put into words."
17,"Sunset Point, Kanyakumari",,https://www.holidify.com/places/kanyakumari/sunset-point-sightseeing-120990.html,1 km  from city center,,"Watching the sunset at the southernmost tip of India is a sight to behold. Kanyakumari is at the confluence of the Indian ocean, Arabian sea and the Bay of Bengal. It's the only place in India where you can see both the sunrise and sunset at the same spot."
