,Name,Rating,Link,Distance,Location,About
0,Monkey Point Kasauli,4.3,https://www.holidify.com/places/kasauli/monkey-point-sightseeing-2297.html,2 km  from city center,,"Monkey Point is the highest peak of the town of Kasauli. From the point, tourists can get a complete view of the plains of Chandigarh region and the river Sutlej flowing through the valleys. Visitors can also spot a snow covered peak of 'Choor Chandni', the highest peak of the Lower Himalayan belt. A temple dedicated to Lord Hanuman, is also situated at the Monkey Point. Associated with Hindu mythological story, the place is named after the deity. As per the legend, Lord Hanuman set his foot on this peak while returning from Himalayas with Sanjeevani Parvath. The top of hill is in a foot shape and the temple is said to be engraved with footmarks of the Lord."
1,"Mall Road, Kasauli",3.5,https://www.holidify.com/places/kasauli/mall-road-sightseeing-2296.html,0 km  from city center,,"This is a much loved exception to the otherwise quiet Kasauli. For a small town that it is, the mall road provides flattering options for shopping and eating out."
2,Sunset Point Kasauli,3.2,https://www.holidify.com/places/kasauli/sunset-point-and-lovers-lane-sightseeing-2299.html,1 km  from city center,,"This area is a popular yet a very quiet spot to enjoy the sunset, pine-laid landscapes, valleys and sceneries. Nearby to the Sunset point is a trail or a path known as the Lover's Lane which is an only more quiet walk through the valleys and some of Kasauli's most calm and breath-taking sceneries."
3,Timber Trail,4.2,https://www.holidify.com/places/kasauli/timber-trail-sightseeing-2300.html,7 km  from city center,,"*Kasauli (37 km) : An enchanting hill station with lots of colonial charms, Kasauli is surrounded with mixed forest of pine, oak and wild flowers. *Sabathu (45 km) : Still a cantonment, it features the remains of a Gorkha fort. *Pinjore : Famous Mughal style garden at Pinjore is just 10 kms away from Parwanoo. *Dagshai : Situated at a distance of 28 km this beautiful town use to be a British cantonment. Surrounded by pine trees it has an old church worth to see."
4,Gurudwara Shri Guru Nanakji,3.2,https://www.holidify.com/places/kasauli/gurudwara-shri-guru-nanakji-sightseeing-2295.html,0 km  from city center,,"This Gurudwara is an important religious center as well as a favorite tourist spot. Other than daily prayers and programmes, a special programme is held on the Sundays. The Gurudwara also offers accommodation facilities"
5,Baptist Church,3.2,https://www.holidify.com/places/kasauli/baptist-church-sightseeing-2293.html,7 km  from city center,,"Built in the year 1923 by the Britishers, the architecture of this Church is influenced by a blend of Indian and Victorian styles. However the church was damaged by a fire in 2008 and all internal furnishings were destroyed."
6,Sri Baba Balak Nath Temple,3.1,https://www.holidify.com/places/kasauli/sri-baba-balak-nath-temple-sightseeing-2298.html,2 km  from city center,,"This temple is dedicated to Baba Balak Nath, an ardent follower of Lord Shiva. It is located 3 km away from Kasauli and can be easily reached by bus or taxi. The belief surrounding this temple is that if childless couples come and pray here they will be blessed with children."
7,Christ (Anglican) Church,3.2,https://www.holidify.com/places/kasauli/christ-anglican-church-sightseeing-2294.html,1 km  from city center,,"Located in the centre of the city with a vibrant Mall road around it, this church is a popular tourist spot. It was constructed in the year 1853 and was built with the grandeur of Gothic style of architecture."
8,Kasauli Brewery,,https://www.holidify.com/places/kasauli/kasauli-brewery-sightseeing-1259001.html,9 out of 12  places to visit in Kasauli,,"One of the oldest breweries in the country, the Solan brewery, also known as Kasauli Brewery and Distillery was started back in the 1820s by Edward Dyer. He brought the equipment from Scotland and England because of the availability of spring water and Scotland kind of temperature."
9,Gurka Fort,,https://www.holidify.com/places/parwanoo/gorkha-fort-sightseeing-5591.html,10 out of 12  places to visit in Kasauli,,"This place is for people who are fascinated by past and history. Gurka Fort situated on a small hill Subathu is 16 km away from Parwanoo. Believed to be founded by the Gurkha Army Chief Amar Singh Thapa to fight against British, the fort today exhibits strength even through its ruins."
10,Gilbert Trail,3.8,https://www.holidify.com/places/kasauli/gilbert-trail-sightseeing-1259004.html,11 out of 12  places to visit in Kasauli,,"Gilbert Trail is an easy hike of 1.5 kilometres. Starting from Kasauli Club, the trail ends at the Air Force Station, close to Sunset Point. The path is wide in the strat and gets narrow after a while. Gilbert Tail is known for its views and different species of birds."
11,Toy Train Ride,,https://www.holidify.com/places/shimla/kalka-shimla-toy-train-sightseeing-3512.html,12 out of 12  places to visit in Kasauli,,"Kalka to Shimla toy train runs on a narrow-gauge track and is known for its dramatic views of the hills and surrounding villages. A part of the UNESCO World Heritage List, the train takes on a ride amongst vast green hills and deodar and pine forests. One can take a trip from Dharampur (10 kms from Kasauli) and take a train to Barog and return. Barog has a huge tunnel that takes 3 minutes to cover. The tickets can be booked through IRCTC and other partner websites."
