,Name,Rating,Link,Distance,Location,About
0,Parvati River,3.6,https://www.holidify.com/places/kasol/parvati-river-sightseeing-4943.html,0 km  from city center,,"An ideal place for relaxing, one can also indulge in some nerve wracking activities like river rafting. Another option there is to laze around and spend your time trout fishing."
1,Kheerganga Trek,4.2,https://www.holidify.com/places/kasol/kheerganga-trek-sightseeing-4940.html,20 km  from city center,,"Kheer Ganga (3050 meters) lies at the extreme end of Parvati valley and the last inhibited village while trekking to pin valley via Pin-Parvati pass. Kheerganga's panoramic skies and vast greenery are a much-needed delight to the trekker's eyes and especially the tired legs. It is a holy place with a hot water spring, a small temple of Lord Shiva and a bathing tank. It makes a rare combination for any trekker to bath in hot spring water when everything is covered by snow."
2,Manikaran Gurudwara,3.5,https://www.holidify.com/places/manikaran-sahib/,4 km  from city center,,"Located hardly 15 minutes from Kasol, Manikaran Gurudwara lies deftly on the banks of Parvati River. It serves as a major pilgrim center for Hindus and Sikhs."
3,Rasol,3.6,https://www.holidify.com/places/kasol/rasol-sightseeing-11765.html,"1,495 km  from city center",,"At an altitude of 10,000 feet above the sea level is a village Rasol which does not have more than 75 houses. A backpackers delight, Rasol spreads its magic with its beauty and unique living standards. You will see every second person spinning wool."
4,Chalal,3.3,https://www.holidify.com/places/kasol/chalal-sightseeing-120871.html,1 km  from city center,,"Chalal is a quaint little village close to Kasol, where one can appreciate the true beauty of the mountains and the original charm of a mountain village, with a grand view of snow-capped mountains and majestic pine trees."
5,Malana,3.5,https://www.holidify.com/places/kullu/malana-sightseeing-2501.html,8 km  from city center,,"If you are up to some adventure, sightseeing and understand the traditions of the local inhabitants, a visit to this small village is a blessing in disguise."
6,Tosh,4.2,https://www.holidify.com/places/kasol/tosh-sightseeing-6211.html,0 km  from city center,,"Treacherous roads, a hippie culture and some stunning sceneries - this is what makes up Tosh. This little village tucked in the Himachal offers on-going treakers pretty pastoral scenes and calming views. Gurdwara Manikaran Sahib, a mere 20-min drive from Kasol, which is also popular for its hot springs, should also be visited when near Tosh. The architecture of wooden houses, with simple designs and bright colours also add a lot to the beauty of this pristine Himalayan village."
7,Trekking in Kasol,3.5,https://www.holidify.com/collections/treks-in-kasol,0 km  from city center,,"A trip to a hill station is basically incomplete without some adventure. And when it comes to Kasol, the place is full many trekking paths defined as easy to difficult and dangerous."
8,Pin Parvati Pass,4.0,https://www.holidify.com/places/kasol/pin-parvati-pass-trek-sightseeing-8198.html,16 km  from city center,,Pin Parvati Pass serves as a perfect destination for the trekkers seeking challenging adventure. It is one of an amazing Trans Himalayan trek that will not only leave spellbound by its beauty but also gushing with adrenaline with the challenges it throws at you.
9,Sar Pass Trek,4.0,https://www.holidify.com/places/kasol/sar-pass-trek-sightseeing-8219.html,0 km  from city center,,"Endowed with diverse terrain and rich in nature’s beauty, Sar Pass Trek is a perfect trek destination for beginners. Steeped in great beauty, the trail passes through thick forests, lush green meadows, rustic villages, and snow clad mountains gracing the backdrop."
