,Name,Rating,Link,Distance,Location,About
0,"Light and Sound Show, Khajuraho",3.6,https://www.holidify.com/places/khajuraho/light-and-sound-show-sightseeing-2335.html,1 km  from city center,,"After the visit to the temple complex is over, a light and sound show is carried out which is narrated by veteran actor Mr. Amitabh Bachhan."
1,Dulhadev Temple,3.6,https://www.holidify.com/places/khajuraho/dulhadev-temple-sightseeing-2330.html,1 km  from city center,,"Built in the year 1130 the Dulhadev Temple enshrines a beautiful shivalingam and striking sculptures of Apsaras and other ornamented figures. The temple also has a stunning sculpture of Lord Shiva with his wife Parvati, the intricate details of the carvings adding to the charm of the overall architecture."
2,Kandariya Mahadev Temple,3.7,https://www.holidify.com/places/khajuraho/kandariya-mahadev-temple-sightseeing-2331.html,2 km  from city center,,"Built around 1025-1050 AD, this temple exudes grandeur and finesse in its architecture. With beautiful frescos of women in various postures adorning the walls of this temple, this place is one of the most stunning tourists sites in Khajuraho."
3,Lakshman Temple,3.6,https://www.holidify.com/places/khajuraho/lakshman-temple-sightseeing-2333.html,2 km  from city center,,"The oldest and most aesthetically pleasing temples among the Western group of Temples, the Lakshman temple is named after the ruler of that time. The trinity of Brahma, Vishnu and Shiva is depicted in the horizontal beam over the entrance of the temple."
4,Parsvanath temple,3.6,https://www.holidify.com/places/khajuraho/parsvanath-temple-sightseeing-2336.html,2 km  from city center,,"This temple is the largest among the Eastern group of temples and has intricately detailed carvings on its walls. The most intriguing side of the architecture of this temple is the aesthetic blend of Hindu, muslim and Buddhist styles."
5,"Vishwanath Temple, Khajuraho",3.3,https://www.holidify.com/places/khajuraho/vishwanath-temple-sightseeing-2337.html,2 km  from city center,,"Dedicated to Lord Shiva, this temple is one among the western group of temples. It has a beautiful marble shivalinga as the main deity. An imposing image of Brahma is also housed in this temple. A massive sculpture of Nandi the Bull is also enshrined alongside the Shivalingam."
6,Lakshmi temple,3.3,https://www.holidify.com/places/khajuraho/lakshmi-temple-sightseeing-2334.html,2 km  from city center,,"Dedicated to Goddess Lakshmi, the Hindu deity of wealth. This temple houses some moderate shrines and is comparatively smaller than the other temples in Khajuraho."
7,Javari Temple,,https://www.holidify.com/places/khajuraho/javari-temple-sightseeing-123050.html,2 km  from city center,,"Javari Temple is another temple from the Khajuraho Group of Monuments enshrined by Lord Vishnu although the idol of the presiding deity is broken and headless. The temple is rather tiny and has been built in Shikhara style of architecture. The temple also has sculptures of Navagrahas, Shiva, Vishnu and Brahma at the entrance gate of the sanctum."
8,Devi Jagdamba Temple,3.6,https://www.holidify.com/places/khajuraho/devi-jagdamba-temple-sightseeing-2329.html,3 km  from city center,,"Initially built as a Vishnu temple, the Devi Jagdamba temple has beautifully carved erotic figures. The Garba Griha houses a stunning sculpture of the Goddess of the Universe. The temple also houses a beautiful image of Goddess Parvati, with the image of Mithuna."
9,State Museum of Tribal and Folk Art,,https://www.holidify.com/places/khajuraho/state-museum-of-tribal-and-folk-art-sightseeing-123051.html,3 km  from city center,,"Housed within the Chandela Cultural Complex in Khajuraho, Madhya Pradesh, State Museum of Tribal and Folk Art well maintained tiny repository of old scriptures of tribal art and culture in the form of masks, terracotta sculptures, folk- paintings, bamboo articles and other collectibles. The museum also has a beautiful garden surrounding it."
