,Name,Rating,Link,Distance,Location,About
0,Rajmachi Fort,3.6,https://www.holidify.com/places/rajmachi/rajmachi-fort-sightseeing-5713.html,9 km  from city center,,"Midway between Lonavala and Khandala is a fort by the name of Rajmachi Fort, a prominent landmark that watches over some of the most breathtakingly beautiful and wide sceneries of the region."
1,Visapur Fort,4.2,https://www.holidify.com/places/khandala/visapur-fort-sightseeing-2359.html,13 km  from city center,,"Perched upon a lush green plateau, the Visapur Fort is a popular weekend getaway for people living in Pune and Mumbai. It offers panoramic view hills covered in a thick blanket of green. It is also a popular destination for trekking."
2,Bedsa caves,3.5,https://www.holidify.com/places/kamshet/bedsa-caves-sightseeing-2250.html,19 km  from city center,,"Bhedsa caves are one of the oldest caves of Maharashtra, dating back to 60 BC. These are situated on a sloppy hilly location. Known for their beautiful, exquisite carvings, the caves contain four 25 feet high pillars."
3,Lohagad Fort,4.3,https://www.holidify.com/places/khandala/lohagad-fort-sightseeing-2347.html,12 km  from city center,,Lohagad Fort is a popular historic structure perched over the top of an impressive hill near Malavali. The place is quite popular among trekkers who come here for one day tryst with nature and history.
4,Tiger's Leap,3.5,https://www.holidify.com/places/lonavala/tigers-leap-sightseeing-2639.html,2 km  from city center,,"Tiger's Leap is a clifftop with a sheer drop of over 650 m, offering a comprehensive view of the hills and the Western Ghats. It is famous for the stunning sunrise and sunset view, especially on a clear day."
5,Duke's Nose,3.5,https://www.holidify.com/places/lonavala/dukes-nose-sightseeing-2627.html,2 km  from city center,,"Duke’s Nose viewpoint is hugely famous for hiking and its picturesque location. Tourists often visit the landmark to get a panoramic view of the beautiful Sahyadri Ranges, the splendid valleys and the dense forests that cover the Sahyadris."
6,Kune Waterfalls,3.2,https://www.holidify.com/places/lonvala/kune-waterfalls-sightseeing-123086.html,2 km  from city center,,"The beautiful Kune Waterfalls are the 14th highest in the country. This one is an interesting three tiered waterfall having a total height of 200m. A popular picnic spot, the area is surrounded by lush greenery."
7,Reversing Station,3.2,https://www.holidify.com/places/khandala/reversing-station-sightseeing-2351.html,0 km  from city center,,"This site was once used by the railway department. Now a secluded area, it is a great place to enjoy the scenery. Its interesting to see the railway track below and the trains changing lines."
8,Shooting Point,3.2,https://www.holidify.com/places/khandala/shooting-point-sightseeing-2353.html,1 km  from city center,,"Shooting Point is a viewpoint in Lonavala, frequented by tourists wishing to catch an aerial view of the Rajmachi Fort and the valley below. It is an ideal place for families as well as couples."
9,Shopping in Khandala,3.0,https://www.holidify.com/places/khandala/city-shopping-sightseeing-2342.html,0 km  from city center,,"While in Khandala, hoard treasure like Chikki, as well as the jams and snacks that the area is known for."
10,Lion's Point,3.2,https://www.holidify.com/places/khandala/lions-point-sightseeing-2346.html,8 km  from city center,,This is a cliff located between Bhushi Dam and Amby Valley. Tourists can also get an aerial view of the Tungarli Lake and Dam from here.
11,Shrivardhan Fort,3.2,https://www.holidify.com/places/khandala/shrivardhan-fort-sightseeing-2354.html,8 km  from city center,,"Shrivardhan Fort is one of the two forts forming the famous Rajmachi Fort, the other one being Manaranjan Fort. Located in Rajmachi Village, it can be reached either from Tungarli or by undertaking a 2-hour trek from Karjat."
12,Manoranjan Fort,3.2,https://www.holidify.com/places/lonavala/manoranjan-fort-sightseeing-1253358.html,9 km  from city center,,"Manranjan Fort is one of the two hill forts that constitute the Rajmachi Fort. Also known as Manoranjan Fort, it is in a crumbled state slightly but still stands strong and sturdy. It is flocked by a large number of trekkers and adventure enthusiasts."
13,Bushi Dam,3.2,https://www.holidify.com/places/lonavala/bushi-dam-sightseeing-2624.html,5 km  from city center,,"Bhushi Dam is a masonry dam on the Indrayani River in Lonavala, Maharashtra. It is a popular tourist attraction which is best visited during the monsoons when the water in the dam overflows."
14,Shingroba Temple,3.2,https://www.holidify.com/places/khandala/shingroba-temple-sightseeing-2352.html,2 km  from city center,,Shingroba Temple is an ancient temple located between Khopoli and Khandala. It is a famous tourist spot In the region known for its 19-century architecture.
15,Karla and Bhaja Caves,3.2,https://www.holidify.com/places/lonavala/karla-caves-sightseeing-2632.html,11 km  from city center,,"These caves depict an early phase of the Buddhist architecture. The characteristic features of these early temples were two establishments, each self-contained and consisting of a prayer hall (chaitya) and a monastery (vihara), which contained accommodation for the monks."
16,Valvan Dam,3.2,https://www.holidify.com/places/lonavala/valvan-dam-sightseeing-2644.html,6 km  from city center,,"Constructed to provide hydroelectric power on the Indrayani River and Valvan Lake, is this dam, with a beautiful and massive garden. Ideal to spend some relaxed time amidst lush greenery with the sound of gushing water in the backdrop."
17,"Celebrity Wax Museum, Lonavala",3.2,https://www.holidify.com/places/lonavala/celebrity-wax-museum-sightseeing-2625.html,7 km  from city center,,"Sunil's Celebrity Wax Museum is a popular attraction in Lonavala. It houses almost 100 sculptures of celebrities like Rajiv Gandhi, Benazir Bhutto, Michael Jackson, Kapil Dev Adolf Hitler, AR Rahman and many more. Image of Chhatrapati Shivaji is the highlight of the museum."
18,"Amrutanjan Point, Lonavala",3.2,https://www.holidify.com/places/lonavala/amrutanjan-point-sightseeing-2622.html,2 km  from city center,,"Located at the starting of Khandala Ghatsa, the Amrutanjan Point is an excellent view point from where one can get a magnificent aerial view of the town Khopoli as well as the Duke's Nose."
19,Tunga Fort,3.2,https://www.holidify.com/places/lonavala/tunga-fort-sightseeing-2641.html,14 km  from city center,,"Another fort in the region, this one houses the Pavana Lake in its complex. At 1075m, this fort is slightly difficult to climb. To reach the site, tourists need to climb 1,200 ft area of the fort that is a steep ascent."
20,Lonavala Lake,3.2,https://www.holidify.com/places/lonavala/lonavala-lake-sightseeing-2630.html,3 km  from city center,,Louisa Point is one of the most famous viewpoints in Matheran. It offers two different views from the top - one view is of the sky touching the mountain and a panoramic view of the valley below. The other view is of the picturesque Charlotte Lake looking like a diamond necklace.
21,Tungarli Lake,3.2,https://www.holidify.com/places/lonavala/tungarli-lake-sightseeing-2642.html,4 km  from city center,,"Tungarli Lake is the major source of water supply for Lonavala. It is located near the Rajmachi region and is a major picnic spot. 
Tungarli Village, in which the lake is situated, tourists can get an aerial view of Rajmachi, Lonavala and Lohagad located below."
