,Name,Rating,Link,Distance,Location,About
0,Mattancherry Palace,4.3,https://www.holidify.com/places/kochi/mattancherry-palace-sightseeing-2376.html,3 km  from city center,,"The Mattancherry Palace is a Portuguese palace popularly known as the Dutch Palace, in Mattancherry, Kochi Kerala. The murals depict Hindu temple art, portraits and exhibits of the Rajas of Kochi."
1,Fort Kochi,4.2,https://www.holidify.com/places/kochi/fort-kochi-area.html,4 km  from city center,,"Fort Kochi is a small village along the Arabian coastline and is famous for the Chinese Fishing Nets, Dutch Cemetery, Synagogue and Churches."
2,Jewish Synagogue,3.6,https://www.holidify.com/places/kochi/jewish-synagogue-sightseeing-2371.html,30 km  from city center,,"Amongst the 7 synagogues located in his area, this Jewish synagogue is the only one which is in operation today. It was built in 1568 and is also called the Cochin Jewish Synagogue or Mattencherry Synagogue. Cameras and handbags are not allowed inside."
3,Chinese Fishing Nets,3.7,https://www.holidify.com/places/kochi/chinese-fishing-nets-sightseeing-2366.html,4 km  from city center,,"Bearing witness to the entry of Chinese into Kerala long ago, legends tell that these nets were a gift of the famous Chinese King, Kublai Khan. Fishermen even today use these elaborate conventional fishing nets, making it the only other destination other than China to have and use these fishing nets."
4,Willingdon Island,4.2,https://www.holidify.com/places/kochi/willingdon-island-sightseeing-2388.html,2 km  from city center,,"The Willingdon Island is one of the largest human-made islands in India which is named after Lord Willingdon, the British Viceroy of India. This beautiful island provides various links between Kochi port and other national and international ports. Furthermore, the island is home to some of the lavish hotels and commercial and industrial buildings of the district. It is between Ernakulum Jetty and Kochi Port and the ferry costs around INR 6."
5,Veeranpuzha Lake and Backwaters,3.2,https://www.holidify.com/places/kochi/veeranpuzha-lake-and-backwaters-sightseeing-2387.html,12 km  from city center,,"Veeranpuzha is a beautiful lake in Kochi along with a series of brackish lagoons and lakes lying parallel to the Malabar coast, which form beautiful backwaters."
6,Mangalavanam Bird Sanctuary,3.2,https://www.holidify.com/places/kochi/mangalavanam-bird-sanctuary-sightseeing-2374.html,2 km  from city center,,"Located in Kochi city-centre, this bird sanctuary is home to a shallow lake surrounded by thick mangrove vegetation that draws a variety of migratory and resident birds every year."
7,Bolgatty Palace,4.2,https://www.holidify.com/places/kochi/bolgatty-palace-sightseeing-2364.html,2 km  from city center,,"One of the oldest Dutch Palaces outside Holland, the Bolgatty Palace is situated on the Bolgatty Island. It was built in the year 1744 and was the official residence of the then Governor of Kochi."
8,"Marine Drive, Kochi",4.2,https://www.holidify.com/places/kochi/marine-drive-sightseeing-2375.html,1 km  from city center,,The Marine drive in Kochi is one of the best places to spend time in the city and provides an amazing view of the sea. It is a picturesque promenade and is built facing the backwaters. It is a popular hangout place for the local people.
9,Santa Cruz Basilica,4.3,https://www.holidify.com/places/kochi/santa-cruz-basilica-sightseeing-2381.html,4 km  from city center,,"Constructed in the year 1505, this Catholic Church located in Fort Kochi is famous for its Gothic style of architecture and Portuguese interiors."
