,Name,Rating,Link,Distance,Location,About
0,Green Valley View (Suicide Point),3.6,https://www.holidify.com/places/kodaikanal/green-valley-view-suicide-point-sightseeing-2395.html,3 km  from city center,,"Green Valley View, or the otherwise known Suicide Point, is a magnificent spot in Kodaikanal, popular mainly for its enroute fun. One must walk through misty woodlands and panoramic walks to reach this heaven like spot."
1,Kodai Lake,3.6,https://www.holidify.com/places/kodaikanal/kodai-lake-sightseeing-2396.html,1 km  from city center,,"Kodai Lake that lays in the heart of Kodaikanal, is a star shaped man made lake that is draped on an area of 60 acres. Boating, horse riding, cycling and angling are a few of the adventure activities tourists can appease themselves with, near the lake."
2,Bear Shola Falls,4.2,https://www.holidify.com/places/kodaikanal/bear-shola-falls-sightseeing-2389.html,1 km  from city center,,"Bear Shola Falls that lies in close proximity to Kodaikanal is an exemplary picnic spot. Earlier, many bears used to drink water from this fall, hence the name Bear Shola Falls."
3,Pillar Rocks,3.6,https://www.holidify.com/places/kodaikanal/pillar-rocks-sightseeing-2400.html,3 km  from city center,,"The famous Pillars Rocks of Kodaikanal are located around 8 km from the lake and are an exquisite picnic spot. Constituting of a beautiful mini garden, the place is so named as it has three vertically positioned boulders reaching up to a height of 400 feet."
4,Thalaiyar Falls,4.2,https://www.holidify.com/places/kodaikanal/thalaiyar-falls-sightseeing-6236.html,12 km  from city center,,"Also known as Rat Tail Falls, Thalaiyar Falls is located in the lush green slopes of Palani Hill ranges in the Dindigul District, in Kodaikanal. With a height of 297m, it is the highest waterfall in Tamil Nadu, sixth highest waterfall in India and the 267th highest in the world. There is view tower in the park at the Dum Dum Rock, from where you can get a beautiful view of the falls and the Manjalar Dam."
5,Devil's Kitchen,3.5,https://www.holidify.com/places/kodaikanal/devils-kitchen-sightseeing-2393.html,4 km  from city center,,"Devil's Kitchen, which lays in between the Green Valley View and Pillar rocks, is a deep cleft that strikes to one as a small gutter. The Devils Kitchen is however, an extremely dangerous deep fall."
6,Coakers Walk,4.3,https://www.holidify.com/places/kodaikanal/coakers-walk-sightseeing-2392.html,1 km  from city center,,"Coakers walk is an one killometer long built on the mountain. It was constructed in 1872, by Lt Coaker. It is about 1/2 Km away from the Kodai and is constructed on the steep slope of mountains. The outlook of the path defines the beauty of the nature i.e mountains, valleys, cities etc. Telescope house is must watch of the coakers walk. People are allowed to ride bicycles."
7,Berijam Lake,4.3,https://www.holidify.com/places/kodaikanal/berijam-lake-sightseeing-2390.html,12 km  from city center,,"An important hill station in not just Tamil Nadu but the whole of India, Kodaikanal offers an assortment of picnic spots inclusive of the magnificent Berijam Lake."
8,"Dolphin's Nose, Kodaikanal",3.2,https://www.holidify.com/places/kodaikanal/dolphins-nose-sightseeing-2394.html,3 km  from city center,,"Dolphin's Nose in Kodaikanal is a rustic and natural prodigy that features a flat rock protruding over a chasmal height of 6600 feet. Located almost 8 km from the main city center, this point offers breath taking views of the surrounding."
9,Kodai-Palani Trek,3.5,https://www.holidify.com/places/kodaikanal/kodai-palani-trek-sightseeing-8259.html,16 km  from city center,,"Known as the Princess of Hill Stations, Kodaikanal is a popular destination for those seeking adventure. The town of Kodaikanal is established on a plateau above the southern escarpment of the Upper Palani Hills at a height of 6, 998 ft."
