,Name,Rating,Link,Distance,Location,About
0,Victoria Memorial,4.5,https://www.holidify.com/places/kolkata/victoria-memorial-sightseeing-2435.html,4 km  from city center,,"The Victoria Memorial is a large marble building, which is considered to be the pride of Kolkata. Built between 1906 and 1921, it is dedicated to the memory of Queen Victoria. Now, it is a museum and a popular tourist spot under the Ministry of Culture."
1,Fort William Kolkata,4.4,https://www.holidify.com/places/kolkata/fort-william-sightseeing-2427.html,3 km  from city center,,"Fort William is a fort built in Kolkata on the eastern banks of the River Hooghly, the major distributary of Ganges, during the early years of the Bengal Presidency in the British India. It was named after King William III of England and Ireland and King William II of Scotland. The Maidan, which used to be a part of the Fort and is the largest urban park in Calcutta stands in front of the Fort."
2,Belur Math,4.4,https://www.holidify.com/places/kolkata/belur-math-sightseeing-8016.html,7 km  from city center,,"Belur Mutt is the headquarters of the Ramakrishna Math and Mission, founded by Swami Vivekananda, the chief disciple of Ramakrishna Paramahamsa. It is situated on the west bank of Hooghly River, Belur, West Bengal, India. It is one of the noteworthy establishments in Kolkata. This temple is the focus of the Ramakrishna Movement. The temple is prominent for its architecture that embraces Hindu, Christian and Islamic styles and stands as an icon of unity of all religions."
3,Howrah Bridge,4.4,https://www.holidify.com/places/kolkata/howrah-bridge-sightseeing-2428.html,2 km  from city center,,"Located over the Hooghly river in West Bengal, Howrah Bridge or the Rabindra Setu is the main connection between Howrah and Kolkata.  It is a cantilever bridge and is regarded as one of the busiest ones among them."
4,Birla Planetarium,4.4,https://www.holidify.com/places/kolkata/birla-planetarium-sightseeing-2425.html,3 km  from city center,,"The Birla Planetarium in Kolkata, West Bengal, is a single-storeyed circular structure designed in the typical Indian style, whose architecture is designed on the Buddhist Stupa at Sanchi. Situated at Chowringhee Road adjacent to the Victoria Memorial, St. Paul's Cathedral, and the Maidan in South Kolkata, it is the largest planetarium in Asia and the second largest planetarium in the world. There are two other Birla Planetariums in India B M Birla Planetarium in Chennai and the Birla Planetarium in Hyderabad."
5,Indian Museum,4.4,https://www.holidify.com/places/kolkata/indian-museum-sightseeing-2429.html,2 km  from city center,,"The Indian Museum is one of the oldest museums of the world boasting some of the most exquisite collections of ornaments, fossils, skeletons, antiques, armors, mummies and stunning Mughal paintings."
6,Marble Palace Mansion,3.7,https://www.holidify.com/places/kolkata/marble-palace-mansion-sightseeing-2430.html,2 km  from city center,,"The Marble palace near the Chorbagan in North Kolkata built in 1835 by Rajendra Mallick is famed for its art collection of masterpieces by Reuben and paintings by various renowned international artists such as Reynolds, Van Gogh and Rembrandt."
7,Mother House,3.7,https://www.holidify.com/places/kolkata/mother-house-sightseeing-8017.html,3 km  from city center,,This is the place where the Tomb of Mother Teresa is present. It is maintained by her missionaries and followers who have continued to promote her legacy.
8,Science City Kolkata,3.8,https://www.holidify.com/places/kolkata/science-city-sightseeing-2434.html,5 km  from city center,,"One of its kind in India, the Science city was inaugurated on 1st July 1997. It is a major attraction for the residents of Kolkata as well as for the people visiting Kolkata. It is one of the finest and the largest science museums in the world and provides a fun way of learning science."
9,St,3.8,https://www.holidify.com/places/kolkata/st-pauls-cathedral-sightseeing-8018.html,4 km  from city center,,"Said to be the first cathedral built in the overseas territory of the British Empire, St. Paul's Cathedral is a Anglican cathedral located in Kolkata. Also said to be the seat of the Diocese of Calcutta, the church was completed in 1847. The edifice now stands on the Cathedral Road on the 'Island of Attractions'. The church is said to be a very fine example of Indo-Gothic style of architecture."
