,Name,Rating,Link,Distance,Location,About
0,Tiger's Leap,3.5,https://www.holidify.com/places/lonavala/tigers-leap-sightseeing-2639.html,4 km  from city center,,"Located 8km away from Lonavala, Tiger's Leap is a popular tourist point. It is a cliff top with a sheer drop of over 650 m, offering a comprehensive view of the hills and the Western Ghats. The echo point on Tiger's Leap is another major attraction."
1,Rajmachi Fort,3.5,https://www.holidify.com/places/rajmachi/rajmachi-fort-sightseeing-5713.html,9 km  from city center,,"Midway between Lonavala and Khandala is a fort by the name of Rajmachi Fort, a prominent landmark that watches over some of the most breathtakingly beautiful and wide sceneries of the region."
2,Imagicaa,4.2,https://www.holidify.com/places/lonavala/imagicaa-adlabs-sightseeing-6256.html,13 km  from city center,,"A world class entertainment park, Imagica Adlabs is a one of its kind destination picnic spot with plethora of entertainment options. Located on Mumbai-Pune Expressway, this theme park is one of the latest additions in the list of Mumbai's entrainment hubs."
3,Aamby Valley,3.5,https://www.holidify.com/places/lonavala/aamby-valley-sightseeing-2621.html,17 km  from city center,,"A one of its kind, this place is known for its irreplaceable grandeur and plush signature features. The fountains of ecstasy, Sahyadri peaks and the historic Koyarigarh fort offer a spectacular view of the grand Aambey valley city."
4,Lonavala Lake,4.2,https://www.holidify.com/places/lonavala/lonavala-lake-sightseeing-2630.html,1 km  from city center,,"Lonavala Lake is located on the outskirts of Lonavala and is sourced by the Inrayani River. The lake fills up during the monsoons and dries up during the winter leading it to be popularly known as the monsoon lake. It is a popular picnic spot offering activities like bird watching, swimming, and angling."
5,Karla Caves,4.2,https://www.holidify.com/places/lonavala/karla-caves-sightseeing-2632.html,8 km  from city center,,Karla Caves are ancient Buddhist rock-cut caves and a famous tourist attraction located near Lonavala. It is one of the oldest Buddhist cave shrines in India. These caves houses one of the largest Chaityas (prayer hall with a stupa) in India. Karla Caves is mainly known for the Ekvira Temple located inside.
6,Bhaja Caves,4.2,https://www.holidify.com/places/lonavala/bhaja-caves-sightseeing-2631.html,8 km  from city center,,"The Bhaja caves are a group of 22 rock-cut Buddhist caves, located near Pune. Visited mostly along with the Karla Caves, these caves are believed to have existed since 2nd century BC. It houses a group of 14 majestic stupas."
7,Lohagad Fort,3.2,https://www.holidify.com/places/khandala/lohagad-fort-sightseeing-2347.html,9 km  from city center,,"This is one of many forts of Chhatrapati Shivaji, adorned with elements and styles of Maharshtrian architecture. Not only the grandeur of the structure, but the sceneries and views all around, make it another favorite of all its visitors."
8,Bhushi Dam,4.2,https://www.holidify.com/places/lonavala/bhushi-dam-sightseeing-2624.html,3 km  from city center,,"Bhushi Dam is a masonry dam on the Indrayani River and one of the most popular places to visit in Lonavala during the monsoons. Even though swimming is prohibited at the dam due to the inconsistent flow of the water, one can always enjoy on the steps."
9,Sunil's Celebrity Wax Museum,3.5,https://www.holidify.com/places/lonavala/celebrity-wax-museum-sightseeing-2625.html,4 km  from city center,,"Sunil's Celebrity Wax Museum is a popular attraction in Lonavala. It houses almost 100 sculptures of celebrities like Rajiv Gandhi, Benazir Bhutto, Michael Jackson, Kapil Dev Adolf Hitler, AR Rahman and many more. Image of Chhatrapati Shivaji is the highlight of the museum."
