,Name,Rating,Link,Distance,Location,About
0,Bara Imambara,4.3,https://www.holidify.com/places/lucknow/bara-imambara-sightseeing-2646.html,4 km  from city center,,"The Bara Imambara of Lucknow is one of the most famous monuments of the city. Also known as Asfi Imambara,  after the name of the Nawab of Lucknow who got it constructed, it is an important place of worship for the Muslims who come here every year to celebrate the religious festival of Muharram. The Imambara is specially known for its incredible maze, known as Bhul Bhulaiya locally, which is located in the upper floor of the monument."
1,Chota Imambara,4.2,https://www.holidify.com/places/lucknow/chota-imambara-sightseeing-2647.html,5 km  from city center,,"The Chhota Imambara, or the Imambara of Hussainabad, is one of the most beautiful and attractive buildings in the old city of Lucknow in Uttar Pradesh. This imposing monument lies to the west of Bara Imambara and is a true sight to behold. The Chhota Imambara was initially a congregation hall for Shia Muslims that was built by Muhammad Ali Shah, who was the third Nawab of Awadh, in 1838. The Imambara was to serve as his own mausoleum as well as that of his mother, who is buried beside him in this prestigious monument."
2,British Residency,3.2,https://www.holidify.com/places/lucknow/british-residency-sightseeing-8029.html,3 km  from city center,,The British Residency of Lucknow served as a refuge for several Britishers during the uprising on 1857. The fort is now in ruins and a cemetery nearby contains the graves of the hundreds of Britishers who died during the siege. The ruins are now protected by the Archaeological Survey of India.
3,Rumi Darwaza,3.5,https://www.holidify.com/places/lucknow/rumi-darwaza-sightseeing-2653.html,4 km  from city center,,"The Rumi Darwaza was built in 1784-86 and is a 60 feet high entrance, with no visible supporting fittings. It is also known as the Turkish Gate and displays Awadhi architectural style."
4,Hazratganj Market,3.5,https://www.holidify.com/places/lucknow/hazratganj-market-sightseeing-8026.html,0 km  from city center,,"Hazratganj, the central shopping district of Lucknow, has a long history behind it and has undergone a great makeover that bridges the past and the present and continues to serve as Lucknow's central shopping arcade."
5,Lucknow Zoo,4.2,https://www.holidify.com/places/lucknow/lucknow-zoo-sightseeing-8028.html,1 km  from city center,,The Prince of Wales Zoological Gardens was built in 1921 was built to commemorate the Royal family's visit to Lucknow.
6,Ambedkar Memorial Park,3.2,https://www.holidify.com/places/lucknow/ambedkar-memorial-park-sightseeing-8030.html,6 km  from city center,,"The Ambedkar Memorial Park was constructed by the Mayawati Government in Gomti Nagar, Lucknow. The park was built to commemorate the people who dedicated their life to equality and human justice like Dr. Bhimrao Ambedkar, Kanshi Ram and others. With a budget of a whopping seven billion rupees, the park is one of the loveliest things to see in Lucknow."
7,Lucknow Chowk,3.5,https://www.holidify.com/places/lucknow/chowk-sightseeing-8027.html,5 km  from city center,,"Chowk market in Lucknow is one of those places of the city that are a window into its rich cultural heritage. Beginning from Chikan work to succulent kebabs, one can find it all at the Chowk market."
8,Constantia (La Martiniere School),3.5,https://www.holidify.com/places/lucknow/constantia-la-martiniere-school-sightseeing-2648.html,2 km  from city center,,"One of the historical landmarks of Lucknow with its English past, the La Martinere School started in 1845. It houses the tomb of French Major-General Claude Martin as he resided there."
9,Aminabad,,https://www.holidify.com/places/lucknow/aminabad-sightseeing-123154.html,2 km  from city center,,"One of the most bustling and oldest shopping hubs of Lucknow, Aminabad is a famous market selling a wide range of products from clothes and jewellery to cosmetics, footwear and even books."
10,Marine Drive Lucknow,,https://www.holidify.com/places/lucknow/marine-drive-sightseeing-123163.html,2 km  from city center,,"Marine Drive is named after the famous Marine Drive in Mumbai. It is a picturesque strip of road adjacent to the River Gomti in Gomti Nagar, Lucknow. The spot is popular among the young crowd as a hangout place. Apart from that, people use it for jogging, cycling and similar activities. The path is sprinkled with benches to sit and relax."
11,Moti Mahal Palace Lucknow,,https://www.holidify.com/places/lucknow/moti-mahal-sightseeing-123165.html,0 km  from city center,,"Built by Nawab Saadat Ali Khan, the Moti Mahal is popularly known as the Pearl Palace. This historical monument located on the banks of river Gomti is constructed next to Mubarak Manzil and Shah Manzil. A former residence of the Nawabs of Lucknow during the time, Moti Mahal was initially a part of the Qaisar Bagh complex."
12,Dilkusha Kothi,3.2,https://www.holidify.com/places/lucknow/dilkusha-kothi-sightseeing-2649.html,3 km  from city center,,"A hunting lodge converted into a summer palace for the royals, Dilkusha Kothi was built in 1800 by Major Gore in Baroque style. It faced major impact during the first war of independence and hence lies in a less than perfect state with just a few towers and walls standing."
13,Firangi Mahal,3.2,https://www.holidify.com/places/lucknow/farangi-mahal-sightseeing-2650.html,4 km  from city center,,"Once belonging to a French businessman Neal, Firangi Mahal was transferred to the government treasury under the royal decree, which was then developed into an Islamic school by Aurangzeb's consultant and his brother."
14,Janeshwar Mishra Park,,https://www.holidify.com/places/lucknow/janeshwar-mishra-park-sightseeing-123152.html,5 km  from city center,,"Janeshwar Mishra Park is a newly constructed park, located in Gomti Nagar, Lucknow. Dedicated to the demised Samajwadi Party politician, Janeshwar Mishra, the park was opened to the public in 2014."
15,Husainabad Clock Tower,3.2,https://www.holidify.com/places/lucknow/husainabad-clock-tower-sightseeing-2651.html,5 km  from city center,,"Standing tall adjacent to the Rumi Darwaza, the Husainabad Clock Tower was built in 1881 and since has been the tallest clock tower in India. It is 67 meters high, displaying Victorian-Gothic brilliance with a 14 feet long pendulum and a dial in the shape of a 12 petalled flower."
16,Chandrika Devi Temple,,https://www.holidify.com/places/lucknow/chandrika-devi-temple-sightseeing-123155.html,6 km  from city center,,"Situated in Aashiyana,  the Chandrika Devi Temple is dedicated to the Hindu Goddess Chandi. Adorning three heads, Chandrika Devi is a said to be a combined manifestation of Goddesses Kali, Lakshmi and Saraswati."
17,Fun Republic Mall,,https://www.holidify.com/places/lucknow/fun-republic-mall-sightseeing-123157.html,3 km  from city center,,"Located at Gomti Nagar in Lucknow, Fun Republic Mall is one of the most popular and one of the largest malls in the city. Launched in 2007 by the Zee Group, the mall is replete with a plethora of big brands outlets, food stalls, grocery shops, apparels & cosmetic stores."
18,Indira Gandhi Planetarium Lucknow,,https://www.holidify.com/places/lucknow/indira-gandhi-planetarium-sightseeing-1257294.html,19 out of 47  places to visit in Lucknow,,"Situated at the Surajkund Park neighbourhood of Lucknow, on the banks of the River Gomti, Indira Gandhi Planetarium is also popularly known as Taramandal Show. The highlights are the science and astronomy shows, 3D models and exhibitions."
19,Mankameshwar Mandir Lucknow,,https://www.holidify.com/places/lucknow/mankameshwar-mandir-sightseeing-123156.html,3 km  from city center,,"The Mankameshwar Mandir is situated on the banks of river Yamuna at Saraswati Ghat in Lucknow. A revered Hindu temple dedicated to Lord Shiva, this temple is the first to have had a woman priest."
20,Ramakrishna Math Lucknow,,https://www.holidify.com/places/lucknow/ramakrishna-math-sightseeing-123159.html,3 km  from city center,,"A monastery and shrine established in Nirala Nagar, the Ramakrishna Math is an all-monk institution dedicated to Sri Ramakrishna . With the motto of ""For one's own salvation, and for the welfare of the world"", this building has a shrine adjacent to the institute."
21,Shah Najaf Imambara,,https://www.holidify.com/places/lucknow/shah-najaf-imambara-sightseeing-123158.html,1 km  from city center,,Shah Najaf Imambara is a Muslim monument centrally located in Lucknow city at Rana Pratap Road. The dome-shaped monument houses the graves of Nawab Ghazi - Ud - Din Haider and his three wives.
22,Dewa Sharif,,https://www.holidify.com/places/lucknow/dewa-sharif-sightseeing-1254723.html,31 km  from city center,,"Situated in the Barabanki district of Uttar Pradesh, 25 kms away from Lucknow, Dewa or Dewa Sharif is a small town which is renowned world wide for the shrine of Haji Waris Ali Shah. Considered to be a prominent site of Muslim heritage, the shrine also has a mosque and a khankah within the premises, and is regularly visited by pilgrims."
23,Gautam Buddha Park Lucknow,,https://www.holidify.com/places/lucknow/gautam-buddha-park-sightseeing-123161.html,4 km  from city center,,"Located in Hasanganj in Lucknow, Gautam Buddha Park is situated next to Hathi Park. Set up in 1980, this hot favourite among kids and adults, is replete with swings and slides based in lusk green lawns with blooming flowers."
24,Jama Masjid Lucknow,,https://www.holidify.com/places/lucknow/jama-masjid-sightseeing-123160.html,7 km  from city center,,"Located in Tehseenganj, Jama Masjid is an Islamic place of worship built by King Mohammad Ali Shah Bahadur. Constructed in 1423, this ancient mosque hosted on an elevated square platform was built to outpass the grand Jama Masjid in Delhi."
25,Begum Hazrat Mahal Park,,https://www.holidify.com/places/lucknow/begum-hazrat-mahal-park-sightseeing-123162.html,2 km  from city center,,"Located in Qaiserbagh in Lucknow, Begum Hazrat Mahal Park is a popular park. Hosting swings and a play area for kids, this crowd-favourite picnic spot is also a great place for walks, jobs, elderly laughing clubs, yoga and meditation."
26,Dr Ram Manohar Lohiya Park,,https://www.holidify.com/places/lucknow/dr-ram-manohar-lohiya-park-sightseeing-123164.html,3 km  from city center,,"Spread across 76 acres, the Dr Ram Manohar Lohiya Park is a popular park in Gomti Nagar. Dedicated to the socialist Dr Ram Manohar Lohiya, the park sites four divisions of courtyards and separate entrances."
27,Chattar Manzil,,https://www.holidify.com/places/lucknow/chattar-manzil-sightseeing-123166.html,2 km  from city center,,"Chattar Manzil or popularly known as Umbrella Palace was built by Nawab Ghazi Uddin Haider and was later on used by the ruler of Awadh and his wives. Located on the banks of the river Gomti, the building is a glowing example of Nawabi and European architecture."
28,Anandi Water Park,,https://www.holidify.com/places/lucknow/anandi-water-park-sightseeing-123168.html,14 km  from city center,,"Located on the outskirts of Lucknow along the Faizabad Road, Anandi Water Park is one of the largest waterparks in the northern area. The park hosts an array of splash pads, water swings, and other swimming activities."
29,1857 Memorial Museum Residency,,https://www.holidify.com/places/lucknow/1857-memorial-museum-residency-sightseeing-123167.html,3 km  from city center,,"Located in Qaiserbagh, the 1857 Memorial Museum Residency is a dedicated piece to the First War of Independence of 1857. Containing relics and antiques of the time, the museum also has visual displays of the war."
30,Hussainabad Picture Gallery,,https://www.holidify.com/places/lucknow/picture-gallery-sightseeing-123169.html,5 km  from city center,,"Located close to Chhota Imambara and the Hussainabad Clock Tower, Hussainabad Picture Gallery is a popular tourist attraction in Lucknow."
31,Bithoor,,https://www.holidify.com/places/lucknow/bithoor-sightseeing-124080.html,72 km  from city center,,"Bithoor is a quaint little town nestled away in the Kanpur district of Uttar Pradesh, acclaimed for being an important hub of pilgrimage for Hindus. Along with its religious significance, Bithoor also has a good share of historical places of interest. Bithoor is immersed in local legends, religious myths, primeval artifacts and ancient ruins. The town was said to be the residence of Lav and Kush, prominent figures in the Hindu mythology of Ramayana."
32,Shaheed Smarak Lucknow,,https://www.holidify.com/places/lucknow/shaheed-smarak-sightseeing-123170.html,3 km  from city center,,"Shaheed Smarak or Martyrs' Memorial is a white marbled pillar-like structure standing amidst lush green lawns at Mukarimnagar, Qaiserbagh in Lucknow."
33,Nawabganj Bird Sanctuary,,https://www.holidify.com/places/lucknow/nawabganj-bird-sanctuary-sightseeing-124081.html,39 km  from city center,,"Nawabganj Bird Sanctuary, also known as Shahid Chandra Shekhar Azad Bird Sanctuary in Uttar Pradesh is a popular tourist hotspot. Located in Unnao the bird sanctuary is engulfed by dense forests and is home to over 250 species of aviary creatures, which include domestic Indian birds as well as the birds that migrate to the sanctuary in the winter months."
34,Hathi Park,,https://www.holidify.com/places/lucknow/hathi-park-sightseeing-125048.html,405 km  from city center,,"Hathi Park is one of the most visited and popular parks in Lucknow. The park has several swings and slides for kids and recreational elephant structures which can be climbed. The park facilitates other games and activities for children as well. Besides, it has food stalls to satisfy your hunger pangs."
35,Safed Baradari,,https://www.holidify.com/places/lucknow/safed-baradari-sightseeing-125231.html,2 km  from city center,,"Built by Nawab Wajid Ali Shah, Safed Baradari is a white marbled palace originally constructed as the Nawab's ""Palace of Mourning"". Located at Maharaja Mahamudabad of Qaiser Bagh, the Safed Baradari houses marble statues of the Anjuman founders Maharajas Man Singh and Balrampur's Digvijay Singh.  Initially called Qasr-ul-Aza, this structure further came to be used as a British petitionary court."
36,Shahi Baoli,,https://www.holidify.com/places/lucknow/shahi-baoli-sightseeing-125232.html,4 km  from city center,,"An intricate merge of Indian and Islamic architectural styles, the Shahi Baoli was formerly built as a reservoir for the society of the time. It was constructed between 1784 and 1795 by Nawab Asif-Ud-Din Daula and Kifayat-Ullah, one of the excellent architects of the time."
37,Tomb of Saadat Ali Khan,,https://www.holidify.com/places/lucknow/maqbara-of-saadat-ali-khan-sightseeing-125233.html,2 km  from city center,,"Located in Qaiser Bagh, the Tomb of Saadat Ali Khan is a combined mausoleum of both Saadat Ali Khan and his wife Khursheed Zadi. Constructed by their son, this is a tomb adorning the typical amalgam of Indian and Islamic architectural styles."
38,Kaiserbagh Palace,,https://www.holidify.com/places/lucknow/kaiserbagh-palace-sightseeing-125242.html,1 km  from city center,,"Constructed between 1848-1850, under the rule of Nawab Wajid Ali Shah, Kaiserbagh Palace is one of the most famous monuments and exotic masterpieces of Mughal architecture. It is located from the eastern end of the Chattar Manzil to the Tarawali Kothi."
39,Sikandar Bagh,,https://www.holidify.com/places/lucknow/sikandar-bagh-sightseeing-125243.html,1 km  from city center,,"Sikandar Bagh is an ancient styled posh mansion and a bracketing garden built in the 1800s. Located on Ashok Road, this greenery housed here is known to be the last Mughal garden in India."
40,Dream World Amusement Park,,https://www.holidify.com/places/lucknow/dream-world-amusement-park-sightseeing-1253558.html,7 km  from city center,,"Dream World Water Amusement Park is a one-stop destination for a day full of fun, thrill and enjoyment. Boasting of umpteen rides and activities and fun games, the park is a hot pick and top favourite of the teenagers and the adults alike."
41,Disney Water Wonder Park,,https://www.holidify.com/places/lucknow/disney-water-wonder-park-sightseeing-1253559.html,42 out of 47  places to visit in Lucknow,,"Situated on the Kanpur-Lucknow Road, Disney Water Wonder Park is a water cum amusement park. Spread over 20 acres of land, the property is solely dedicated to fun, food and adventure. Offering myriad entertainment and recreational activities, it is one of the most loved parks in the city."
42,Amrapali Water Park,,https://www.holidify.com/places/lucknow/amrapali-water-park-sightseeing-1253560.html,21 km  from city center,,"Launched in 2002, Amrapali Water Park is a top pick for an adventure day outing for families and friends. The park boasts of the highest number of rides in the region."
43,Four Seasons Fun City,,https://www.holidify.com/places/lucknow/four-seasons-fun-city-sightseeing-1253561.html,44 out of 47  places to visit in Lucknow,,"Four Seasons Fun City is situated on the Rai Bareilly Road in Lucknow. Besides the umpteen thrilling rides, swimming pools, rain dance, tube slides etc, the highlight of the park is the snow park where you can experience artificial snow. The park also has an amazing DJ and sound system."
