,Name,Rating,Link,Distance,Location,About
0,Abbey Falls,3.5,https://www.holidify.com/places/coorg/abbey-falls-sightseeing-1597.html,4 km  from city center,,"What runs through the heart of this area, River Cauvery, also creates Abbey Falls when it cascades 70 feet down the rocks. A perfect picnic spot, this is one of the main attractions in Madikeri. These falls are amidst the coffee and cardamom plantations in the Western ghats."
1,Talacauvery,3.1,https://www.holidify.com/places/coorg/talacauvery-sightseeing-1621.html,30 km  from city center,,"The place of origin of the Cauvery river from the Brahmagiri Hills, Talacauvery is extremely sacred and hence attracts many tourists and devotees."
2,Namdroling Monastery,3.5,https://www.holidify.com/places/coorg/namdroling-monastery-sightseeing-1614.html,0 km  from city center,,Namdroling is home to the spectacular Golden Temple which is presided by an 18m tall gold plated statue of Buddha. Visitors can enjoy some serene environment here and practice meditation in the monastery.
3,Raja's Seat,3.1,https://www.holidify.com/places/coorg/rajas-seat-sightseeing-1617.html,1 km  from city center,,"The relaxing venue for the Kings of Kodagu, the view from Raja's Seat is unparalleled. The breathtaking view of sun setting into the undulated mountains is mesmerizing. The garden here is adorned with multitude of flowers."
4,Trekking in Madikeri,3.5,https://www.holidify.com/places/coorg/trekking-sightseeing-1622.html,0 km  from city center,,"Madikeri is an equally enjoyable destination for all those whose feet itch for trekking through its landscapes, high peaks and lush greenery interspersed by streams and threads of River Cauvery. A lot of trails here, experience relatively less footfall, leaving them untouched and pristine."
5,Gaddige Raja's Tomb,3.1,https://www.holidify.com/places/coorg/gaddige-rajas-tomb-sightseeing-1606.html,1 km  from city center,,"Built in the Indo-Saracenic style of architecture, this beautiful structure of Gaddige Raja's tomb is the mortal remains of the Kodavad Royalty. These tombs date back to 1820."
6,Madikeri Fort,3.5,https://www.holidify.com/places/madikeri/madikeri-fort-sightseeing-2671.html,0 km  from city center,,"Built in the 17th century by Muddu Raja using mud, the structure was rebuilt by Tipu Sultan in granite. Linga Rajendra Wodeyar II reconstructed it in brick and mortar between 1812 and 1814."
7,Coffee Plantations,,https://www.holidify.com/places/madikeri/coffee-plantations-sightseeing-1254487.html,8 out of 18  places to visit in Madikeri,,Madikeri is known for its resplendent coffee plantations and green meadows sprawling over acres of land. The area is popular for its premium class coffee beans. One of the best activities to do in Madikeri is to take a walk through these gorgeous coffee plantations. The estates offer individual tours where you can closely watch the picking or sowing or harvesting of the beans depending on the season when you are visiting. You can also taste the coffee and take it back home with you.
8,Omkareshwara Temple,3.4,https://www.holidify.com/places/coorg/omkareshwara-temple-sightseeing-1615.html,1 km  from city center,,"Depicting both Islamic and Gothic architecture, Omkareshwara temple was built in 1820 by Lingarajendra as a dedication to Lord Shiva. A water tank in this temple houses many fresh water fish and adds to the beauty of this temple."
9,Chingara Falls,4.0,https://www.holidify.com/places/madikeri/chingara-falls-sightseeing-8112.html,23 km  from city center,,"A singular attraction tucked between coffee estates and tropical forests, Chingara Falls is a delight for nature lovers and trekkers."
10,Chelavara Falls,4.1,https://www.holidify.com/places/madikeri/chelavara-falls-sightseeing-2666.html,25 km  from city center,,"Chelavara Falls is one of the most enchanting falls in Coorg, Karnataka. These vigorous falls gush down from a height of 150 feet on a rock shaped like a tortoise. Therefore, this fall is also known as Embepare in the local dialect which translates to ""tortoise rock"". This massive natural marvel originates from a small stream, a tributary of Kaveri near Cheyyandane village in Karnataka. Nestled amongst the serene greenery of coffee plantations, the Chelavara falls are quite the sight. The best experience can be had during the monsoons or just after when the water level is at its peak and the surrounding forests at their luscious best."
11,Cauvery Nisargadhama,3.1,https://www.holidify.com/places/madikeri/cauvery-nisargadhama-sightseeing-2665.html,21 km  from city center,,"One of the most enjoyable picnic spots in the area, this one comes with a deer park, peacock park, rabbit park and the river running through the island's heart. One can also enjoy boating and a dip into the river here. This is a must-visit area in Madikeri, especially if you are with kids."
12,Chettali,3.1,https://www.holidify.com/places/coorg/chettali-sightseeing-1604.html,12 km  from city center,,"Located on the Madikeri-Siddapur Road, Chettali is a small village blessed with lush greenery and misty hills surrounding it. The Cherala bhagavathy temple here also attracts tourists and devotees."
13,Galibeedu Trek,,https://www.holidify.com/places/madikeri/galibeedu-trek-sightseeing-124432.html,11 km  from city center,,"Located at a distance of 12 kms from the town of Madikeri in the Coorg district of Karnataka, Galibeedu is a small trekking destination hidden away from the world. The 14 kms long trek is as thrilling as it can get with tiny streams flowing through it in picturesque surroundings; and offers a diverse trail to scale, ideal for both the novices and professionals."
14,Bhagamandala,3.1,https://www.holidify.com/places/coorg/bhagamandala-sightseeing-1600.html,22 km  from city center,,"Bhagmandala temple is situated where the Cauvery river is meets the two tributaries Kanake and Sujyoti. Built in Kerala style architecture, it is dedicated to multiple deities."
15,Dubare Elephant Training Camp,3.1,https://www.holidify.com/places/dubare/elephant-training-camp-sightseeing-1787.html,19 km  from city center,,This training camp carries out training of wild elephants by the forest department along with the help of the local tribal communities. Elephant rides can be enjoyed by the visitors along with opportunities to scrub and feed the elephants.
16,Mandalpatti,,https://www.holidify.com/places/coorg/mandalpatti-sightseeing-124113.html,17 out of 18  places to visit in Madikeri,,"Overlooking the grassy knolls of Pushpagiri forests in the Western Ghats, Mandalpatti is a spectacular and unique vantage point in Madikeri, Karnataka. Huddled at an altitude of 1800 m,  the spot is especially famous for the view it offers at sunrise and sunset."
17,City Shopping,3.0,https://www.holidify.com/pages/shopping-in-coorg-392.html,16 km  from city center,,"While in the area, get your hands on locally grown coffee and spices to take back home."
