,Name,Rating,Link,Distance,Location,About
0,Elephant's Head point,4.3,https://www.holidify.com/places/mahabaleshwar/elephants-head-point-sightseeing-2695.html,3 km  from city center,,"Elephant's Head Point is one of the most picturesque viewpoints in Mahabaleshwar which is famous for the stunning view of the Sahyadri ranges. Also known as Needle's Point, this famous tourist spot is best visited during sunrise and sunset."
1,Chinaman's falls,3.6,https://www.holidify.com/places/mahabaleshwar/chinamans-falls-sightseeing-2691.html,1 km  from city center,,"A visit to Mahabaleshwar is less or more incomplete without witnessing the tantalizing descend of the Chinaman's fall, one of the most significant falls in the state."
2,Dhobi waterfall,3.6,https://www.holidify.com/places/mahabaleshwar/dhobi-waterfall-sightseeing-2694.html,2 km  from city center,,"These set of fascinating waterfalls connect Lodwick and Elphinston point and further join petit road with Old Mahabaleshwar road. 
Surrounded by greenery and rocks, these are ideal for a surreal experience amidst nature."
3,Arthur's seat,3.6,https://www.holidify.com/places/mahabaleshwar/arthurs-seat-sightseeing-2689.html,8 km  from city center,,"Arthur's Seat is one of the most popular viewpoints in Mahabaleshwar, located around 13km away. Also known as the Suicide Point, it is popular as the Queen of all points as it offers the most mesmerizing and fascinating view of the dense valleys of Brahma-Arayana and the Savitri river."
4,Venna Lake,4.3,https://www.holidify.com/places/mahabaleshwar/venna-lake-sightseeing-2706.html,2 km  from city center,,"Venna Lake is a scenic manmade lake in Mahabaleshwar. The lake offers rowboats, and paddleboats ride to the visitors and hence is usually very crowded. There is horse riding and rides for children such as merry go round and the toy train. There are a number of eateries around the lake famous for street food like corn, bhelpuri and fresh fruits like mulberries, strawberries and carrots."
5,Wilson Point,3.6,https://www.holidify.com/places/mahabaleshwar/wilson-point-sightseeing-2707.html,2 km  from city center,,"Wilson Point is the highest point in Mahabaleshwar, situated at an altitude of 1439m. Also famous as the Sunrise Point, it is a famous tourist attraction for viewing stunning sunrise. Wilson Point is a vast plateau comprising of three watchtowers which offers stunning panoramic view."
6,Mahabaleshwar Temple,3.8,https://www.holidify.com/places/mahabaleshwar/mahabaleshwar-temple-sightseeing-2700.html,5 km  from city center,,"Dedicated to Lord Shiva Shankar, the highlight of this temple resides in a 500 year old, self originated Shivalinga, said to be superior to the 12 Jyothi Lingams."
7,Panchgani,3.2,https://www.holidify.com/places/panchgani/,15 km  from city center,,"Deriving its name from the five hills surrounding it, Panchgani is a popular hill station near Mahabaleshwar, famous for its various sunset/sunrise points and scenic valley view."
8,Tapola,3.7,https://www.holidify.com/places/mahabaleshwar/tapola-sightseeing-2704.html,16 km  from city center,,"Situated in Mahabaleshwar, Tapola is a satellite village famed as the 'Mini Kashmir'. It has some of the most picturesque scenic beauty which makes it an ideal destination for a back to nature experience."
9,Shopping in Mahabaleshwar,3.0,https://www.holidify.com/places/mahabaleshwar/city-shopping-sightseeing-2692.html,1 km  from city center,,"While in Mahabaleshwar, essentials include the freshest of strawberries and raspberries that the town is known for. Also take home jellies, honey, jams and more. 
One can also shop for handicrafts, leather items, Kolhapuri footwear and much more from the Town Bazaar."
10,Elphinstone Point,3.3,https://www.holidify.com/places/mahabaleshwar/elphinstone-point-sightseeing-2696.html,6 km  from city center,,"Elphinstone Point is one of the highest viewpoints in Mahabaleshwar. It is famous for the stunning view of Pratapgad Fort, Koyna Valley and the nearby areas. It is also the origin point of the Savitri River."
11,Pratapgad Fort,3.8,https://www.holidify.com/places/mahabaleshwar/pratapgad-fort-sightseeing-2703.html,41 km  from city center,,"Pratapgad is a hill fort in Maharashtra. Situated close to the famous hill station of Mahabaleshwar in the district of Satara, the citadel rises to an elevation of about 3500 feet from the ground."
12,Connaught Peak,3.2,https://www.holidify.com/places/mahabaleshwar/connaught-peak-sightseeing-2693.html,3 km  from city center,,"The second highest peak in the hills is located on the old Mahabaleshwar road offering a winning view of the Venna lake & Krishna valley. 
The peak was renamed as Connaught after the Duke of Connaught found himself in complete awe and admiration of the area."
13,Lingmala Falls,3.8,https://www.holidify.com/places/mahabaleshwar/lingamala-falls-sightseeing-2698.html,4 km  from city center,,"The Lingmala Waterfall is a breathtaking and absolutely awe-inspiring waterfall that is situated on the Mahabaleshwar-Pune Road. Located just beside the forest Bungalow of Lingmala, the waterfalls provides a view of the beautiful Dhobi Waterfall as well as Chinaman's Waterfall."
14,Morarji Castle,3.2,https://www.holidify.com/places/mahabaleshwar/morarji-castle-sightseeing-2701.html,1 km  from city center,,"Yet another captivating sight in Mahabaleshwar, the Morarji Castle is built in colonial British style of architecture. Having a rich history, it is believed that Mahatam Gandhi once stayed at this place. A drive around the place and you can view some of the most exotic colonial structures."
15,Helen's point,3.2,https://www.holidify.com/places/mahabaleshwar/helens-point-sightseeing-2697.html,2 km  from city center,,"Helen's Point, also referred to as the Blue Valley, is another viewpoint in Mahabaleshwar. It is known for its scenic beauty dotted by small huts, deep valleys and cascading waterfalls. Krishna river flowing through the heart of the area is the main attraction."
16,Koyna Valley Trek,3.5,https://www.holidify.com/places/mahabaleshwar/koyna-valley-trek-sightseeing-8264.html,1 km  from city center,,"The beautiful clear lake and the thick mysterious forests make Koyna valley the most sought after trekking destination of Maharashtra for weekend getaways and nature enthusiasts. With numerous peaks lining its edges and India's largest hydroelectric dam at a stone's throw, this valley becomes an undeniable favorite for adventure lovers."
17,Lodwick Point,3.8,https://www.holidify.com/places/mahabaleshwar/lodwick-point-sightseeing-2699.html,3 km  from city center,,Lodwick Point which lies 5 km to the west of Mahabaleshwar is a vantage point which provides an unmatched view of Pratapgarh Fort and Elphinstone Point. There is a huge statue of Lord Lodwick situated on the site.
18,Tiger's Spring,3.2,https://www.holidify.com/places/mahabaleshwar/tigers-spring-sightseeing-2705.html,3 km  from city center,,"The natural thermal spring near River Savitri, it is believed to be infused with spiritual powers. A 10 minute walk away from the Arthur's point, the shallow waters are ideal to experience and spend a solitary relaxing time amidst natures gift."
19,Bombay point,3.2,https://www.holidify.com/places/mahabaleshwar/bombay-point-sightseeing-2690.html,2 km  from city center,,"Bombay Point is located alongside Mumbai-Goa highway, and offers enticing views of the sunset. Ideal for afternoon picnic spot, people flock here in groups or as couples to spend some relaxed and enjoyable time, fascinated by all that''s around."
20,Arthur's Seat Trek,3.5,https://www.holidify.com/places/mahabaleshwar/arthurs-seat-trek-sightseeing-8232.html,7 km  from city center,,"Chandragad is a hill fort in Maharashtra, while Arthur Seat is a hill point in the Mahabaleshwar range of mountains. These two destinations are often visited together and they make for a thrilling trekking experience."
21,Krishnabai Temple,,https://www.holidify.com/places/mahabaleshwar/krishnabai-temple-sightseeing-122558.html,5 km  from city center,,"Located on a hilltop, Krishnabai Temple overlooks the Krishna Valley. It was built in late 19th century by the then ruler of Ratnagiri. The temple is dedicated to Goddess Krishnabai but a Shivalinga is also found in the complex."
22,Mapro Garden,,https://www.holidify.com/places/mahabaleshwar/mapro-garden-sightseeing-122560.html,8 km  from city center,,"Known for their production of delicious strawberries, Mapro Garden is a Garden Park established and maintained by the food processing company, Mapro. The Park has lush greenery all around, a little nursery, a restaurant, a chocolate factory and a children's play area."
23,Panch Ganga Temple,,https://www.holidify.com/places/mahabaleshwar/panch-ganga-temple-sightseeing-122559.html,5 km  from city center,,"Located at the confluence of five rivers - River Krishna, Koyna, Gayatri, Savitri and Veena, the Panch Ganga Temple is a stunning ancient religious monument. It has a stone waterspout called Gaumukhi from where, it is believed, that the five rivers originate."
24,On Wheelz,,https://www.holidify.com/places/mahabaleshwar/on-wheelz-sightseeing-122561.html,14 km  from city center,,On Wheelz is an amusement park in Mahabaleshwar with many thrilling themed rides suitable for every age group. They also have several exciting indoor games and a restaurant that serves mouth-watering cuisine.
25,Babington Point,,https://www.holidify.com/places/mahabaleshwar/babington-point-sightseeing-122562.html,1 km  from city center,,Babington Point in Mahabaleshwar is famous for the splendid view it offers of the Chinaman Waterfall and the densely covered mountain ranges. It is a favourite amongst trekkers and nature lovers.
26,Velocity Entertainmentz,,https://www.holidify.com/places/mahabaleshwar/velocity-entertainmentz-sightseeing-122563.html,10 km  from city center,,"Velocity Entertainmentz is a themed amusement park in Mahabaleshwar. They have a number of indoor and outdoor games to suit every age group including dashing cars, gyroscope, go-carting, basketball, air hockey, zorbing, merry go round, etc."
27,Table Land,,https://www.holidify.com/places/panchgani/table-land-sightseeing-3170.html,16 km  from city center,,Table Land is a plateau that marks the highest point of the entire region of Panchgani with the height of 4500 feet above sea level. It also ranks second on the list of the largest plateaus in Asia. It offers a jaw-dropping view of deep valleys and majestic hills.
28,Marjorie Point,,https://www.holidify.com/places/mahabaleshwar/marjorie-point-sightseeing-122564.html,6 km  from city center,,"Once a summer retreat of the British, Marjorie Point is a sightseeing point that offers a stunning view of the Sahyadri Mountain Range in the Western Ghats and the beautiful Konkan Valley. It is a treat to nature lovers, photographers and trekkers."
29,Roman Catholic Church,,https://www.holidify.com/places/mahabaleshwar/roman-catholic-church-sightseeing-122566.html,0 km  from city center,,Roman Catholic Church is an 18th century church built for British citizens who settled in India. It the only Roman Catholic Church in Mahabaleshwar. The Church has stunning stained class windows and beautiful paintings.
30,Strawberry Festival in Mahabaleshwar,,https://www.holidify.com/places/mahabaleshwar/strawberry-festival-mahabaleshwar-sightseeing-1253443.html,31 out of 31  places to visit in Mahabaleshwar,,"The Mapro Strawberry Festival is a three-day annual event which is one of the most awaited festivals of Mahabaleshwar; it aims to spread sweetness, cheeriness, and love all over the world."
