,Name,Rating,Link,Distance,Location,About
0,Louisa point,3.7,https://www.holidify.com/places/matheran/louisa-point-sightseeing-2795.html,2 km  from city center,,Louisa Point is one of the most famous viewpoints in Matheran. It offers two different views from the top. Visit Louisa Point is on a clear day to enjoy the spectacular view of the city and the remains of Prabal and Vishalgad fort.
1,Charlotte lake,3.5,https://www.holidify.com/places/matheran/charlotte-lake-sightseeing-2789.html,1 km  from city center,,"Also known as the Sharlott lake, Charlotte Lake is an ideal quick retreat for those who seek silence and a perfect spot for the campers and picnickers. Birdwatching is a popular activity here."
2,Monkey Point Matheran,4.3,https://www.holidify.com/places/matheran/monkey-point-sightseeing-2796.html,2 km  from city center,,Different species of monkeys and langurs ca be spotted at Matheran Monkey Point. You can also experience the phenomenon of echoing here if you shout out into the mountains while facing the Hart Cliff.
3,Shivaji's Ladder,3.2,https://www.holidify.com/places/matheran/shivajis-ladder-sightseeing-2803.html,3 km  from city center,,"Downhill from One tree hill viewpoint in Matheran, Shivaji's Ladder is a pathway with the steps in the shape of a ladder. Surrounded by lush green woods, it is one of the most popular trekking points in Matheran."
4,Panorama Point,4.3,https://www.holidify.com/places/matheran/panorama-point-sightseeing-2799.html,3 km  from city center,,"Panorama Point is a scenic point in Matheran that offers 360-degree panoramic views of the Western Ghats and the verdant plains dotted with villages far below. An ideal picnic spot, it is a magnet for photo fanatic and adventure seekers."
5,One tree hill point,3.8,https://www.holidify.com/places/matheran/one-tree-hill-point-sightseeing-2798.html,3 km  from city center,,One Tree Hill point in Matheran is one of the most scenic viewpoints in Maharashtra. It affords a panoramic and unobstructed view of the deep valleys and stretching forests that surround the hill station of Matheran. It is also famous for trekking.
6,Echo Point Matheran,4.3,https://www.holidify.com/places/matheran/echo-point-sightseeing-2791.html,1 km  from city center,,Echo Point is a popular viewpoint in Matheran famous for the reverberations and echoes it generates. The hilltop also gives a bird's eye view of the entire region. Echo Point is also known for adventure activities like rope climbing and zip lining
7,Neral Matheran Toy Train,,https://www.holidify.com/places/matheran/neral-matheran-toy-train-sightseeing-122727.html,2 km  from city center,,Neral Matheran Toy Train is a heritage railway that connects Neral to Matheran via a 21-kilometre railway line. It serves as an interesting mode of transport to explore the Western Ghats of India.
8,Ambarnath Temple,,https://www.holidify.com/places/matheran/ambarnath-temple-sightseeing-122733.html,1 km  from city center,,"Ambarnath Temple is a historic Hindu temple dedicated to Lord Shiva. Located at Ambarnath near Mumbai, it was built in 1060. The temple complex has a stark resemblance to the Dilwara Temples located in Mount Abu. The stunning architecture of the temple complex is a treat to the eyes."
9,Porcupine point,3.5,https://www.holidify.com/places/matheran/porcupine-point-sightseeing-2800.html,2 km  from city center,,"Also known as the sunset point, Porcupine Point is a famous viewpoint in Matheran. It is famous for the mind-stirring view of Matheran during the sunset and an unparalleled view of the Prabalgad Fort situated nearby."
10,Alexander Point,3.8,https://www.holidify.com/places/matheran/alexander-point-sightseeing-2788.html,1 km  from city center,,"Alexander Point is one of the most scenic viewpoints in Matheran. It is famous for enchanting panoramic views of Palasdari Lake, Rambaug Point, Garbut Point and Chowk Point."
11,Hart Point,3.2,https://www.holidify.com/places/matheran/hart-point-sightseeing-2792.html,2 km  from city center,,The Hart Point is one of the popular viewpoints in Matheran. It affords a stunning panoramic view of the surrounding lush valleys and the Western Ghats. It is ideal for a picnic and for watching the sunrise and sunset.
12,Little Chowk Point,3.2,https://www.holidify.com/places/matheran/little-chowk-point-sightseeing-2794.html,3 km  from city center,,Little Chowk Point is one of the most loved spots of Matheran. It is named so because the view of Matheran Chowk from this point is absolutely breathtaking on a clear day. The large statue of Lord Ganesh is another attraction.
13,Honeymoon Point,3.2,https://www.holidify.com/places/matheran/honeymoon-point-sightseeing-2793.html,1 km  from city center,,The Honeymoon Point is a viewpoint in Matheran which is famous the Grand Canyon of India. The stunning view of the mountains and the nearby Prabalgad Frt from this point is simply breathtaking.
14,Shopping in Matheran,3.0,https://www.holidify.com/places/matheran/city-shopping-sightseeing-2790.html,0 km  from city center,,"While here, one can shop for leather items, Kolhapuri footwear, Chikki, honey and simple handicraft items here. One can head to the Mall road for their shopping spree."
15,Rambagh Point,3.2,https://www.holidify.com/places/matheran/rambagh-point-sightseeing-2802.html,2 km  from city center,,"Rambagh Point is one of the most famous picnic spots of Matheran. It provides a spectacular view of Karjat and Khandala, and the surrounding valleys."
