,Name,Rating,Link,Distance,Location,About
0,Lathmar Holi,,https://www.holidify.com/pages/lathmar-holi-2419.html,1 out of 23  places to visit in Mathura,,"Holi, a festival of colours that marks the victory of good over evil is one of the main festivals of Hindus. It is celebrated with great vigour and enthusiasm throughout India. Lathmar Holi is celebrated 4-5 days prior to the festivities of other states. However, it is interesting to note how this festival is celebrated in a rather peculiar way in Nandgaon and Barsana towns in Mathura-district of Uttar Pradesh. The towns are located some 42 kms from Mathura and are extremely popular for the celebrations during Holi. The natives are known for their interesting way of playing Holi with not only colours but also sticks. Thandai (a sweet drink) and Holi go hand in hand, so don't miss out on it!"
1,Govardhan Hill,4.2,https://www.holidify.com/places/mathura/govardhan-hill-sightseeing-8033.html,23 km  from city center,,"Govardhan Hill or the Giri Raj is situated at a distance of 22 km from Vrindavan. It has been stated in the Holy Bhagwat Gita that according to Lord Krishna, Govardhan Parvat is not different from him. Therefore, all his worshipers worship the pure rocks of the hill just like they worship his idol."
2,Shri Krishna Janmasthan Temple,3.6,https://www.holidify.com/places/mathura/shri-krishna-janmasthan-temple-sightseeing-2808.html,1 km  from city center,,It is believed that this temple is situated at the place where Lord Krishna was born and the result of many excavations has tried to prove this belief.
3,"Dwarkadheesh Temple, Mathura",3.7,https://www.holidify.com/places/mathura/dwarkadheesh-temple-sightseeing-8032.html,2 km  from city center,,"The Dwarkadhish Temple, touted as one of the holiest temples in Mathura, is famous all over the country for its elaborate architecture and paintings. Built in 1814, the temple is relatively new but is highly revered. The temple is dedicated to Lord Dwarkadheesh, a form of Lord Krishna known as Dwarkanath, depicted in a black marble idol."
4,Vishram Ghat,3.2,https://www.holidify.com/places/mathura/vishram-ghat-sightseeing-2804.html,2 km  from city center,,"Vishram Ghat is a revered and sacred bathing ghat located at about 4.5 kilometres from Mathura Junction on the banks of River Yamuna. It is the main ghat of Mathura and is central to 25 other ghats. It is believed that Lord Krishna rested at this place after killing Kansa, the evil demon king"
5,Birla Mandir Mathura,3.2,https://www.holidify.com/places/mathura/birla-mandir-sightseeing-2805.html,2 km  from city center,,"Located on the Vrindavan - Mathura Road is the famous Birla Mandir, also popularly known as Gita Mandir. It is a prominent Hindu pilgrimage site dedicated to Lord Lakshmi Narayan - an avatar of Vishnu. The architecture of the temple speaks of its magnificence and the exquisite carvings and paintings of its grandeur."
6,Rangji Mandir,,https://www.holidify.com/places/mathura/rangji-temple-sightseeing-123099.html,4 km  from city center,,"Rangji Temple, situated on the Vrindavan - Mathura Marg, is dedicated to Lord Sri Goda Ranagamannar - a South Indian Vaishnava Saint and Lord Ranganatha - an incarnation of Lord Krishna. The highlight of the temple is the idol of Krishna present in the form of bridegroom with Goda (Andal) as his bride."
7,Radha Kund,,https://www.holidify.com/places/mathura/radha-kund-sightseeing-123100.html,18 km  from city center,,"Situated near Govardhan Hill in the small town in Mathura is one of the holiest places in Braja - the Radha Kund and Shyam Kund. The two holy water tanks lying next to each other are considered to be the supreme of all holy places, containing pure and sacred water, also known to contain magical properties to heal for conception."
8,Kusum Sarovar,,https://www.holidify.com/places/mathura/kusum-sarovar-sightseeing-123102.html,19 km  from city center,,"Located between Govardhan and Radha Kund in Vrindavan, Mathura, Kusum Sarovar is a beautiful reservoir fringed by palatial sandstone building from the bygone era. The reservoir has a flight of stairs which can be used to descend in the pond. The sarovar is believed to have got its name from one of the girl attendants of Radha, named Kusum. The water is ideal for swimming and dips. Kusum Sarovar also has several temples and ashrams in the vicinity."
9,Radha Vallabh Mandir,,https://www.holidify.com/places/mathura/sri-radhavallabh-vrindavan-temple-sightseeing-123101.html,10 km  from city center,,"Situated near Gotam Nagar on the cliff near Bankey Bihari temple is the Radha Vallabh Mandir, one of the seven temples of Thakur of Vrindavan. This temple is the epitome of the sacred and divine love of Radha and Krishna, displayed in the rarest form 'Ras-bhakti'. Enshrined by Lord Krishna, the temple does not have a deity of Radha. Instead, it has a crown placed next to Lord Krishna to signify her presence."
