,Name,Rating,Link,Distance,Location,About
0,"Marine Drive, Mumbai",4.5,https://www.holidify.com/places/mumbai/marine-drive-sightseeing-2879.html,16 km  from city center,Fort Mumbai,"Starting from the north of Nariman Point and ending at the famous Chowpatty beach, the Marine Drive is a 3km long arc shaped road along the sea coast of South Mumbai. The coast lines the Arabian sea and is the best place to watch the sunset in Mumbai."
1,Gateway of India,4.4,https://www.holidify.com/places/mumbai/gateway-of-india-sightseeing-2870.html,18 km  from city center,Fort Mumbai,"One of the most distinguished monument in Mumbai, The Gateway of India was built in 1924. Now it has become a popular tourist hub in the city. Located at Apollo Bunder Waterfront, the monument overlooks the Arabian Sea in the most beautiful way."
2,Colaba Causeway,4.3,https://www.holidify.com/places/mumbai/colaba-causeway-sightseeing-2865.html,18 km  from city center,Colaba,"One of the most crowded and electrifying places to visit in Mumbai is the Colaba Causeway, famous for being a shopping paradise and having endless shops to choose from. It has a charm about it, which will suck you into its world of colourful shops and old-world cafes like a magnet."
3,Juhu Beach,4.4,https://www.holidify.com/places/mumbai/juhu-beach-sightseeing-6219.html,8 km  from city center,Juhu,"The most popular beach in Mumbai, Juhu beach is located close to Andheri and was once quite a beautiful beach. However, with so many tourists coming in here, the place has become dirty and water is also not clean because of affluents from nearby factories and industries."
4,Siddhivinayak Temple,4.3,https://www.holidify.com/places/mumbai/siddhivinayak-temple-sightseeing-2884.html,8 km  from city center,South Mumbai,"Located in Prabhadevi, Siddhivinayak is a Lord Ganesha temple, one of the most significant and frequented temples in Mumbai. Visitors visit this temple in large numbers on daily basis. It was built by Laxman Vithu and Deubai Patil in 1801. It is one of the richest temples in Mumbai. The wooden doors to the sanctum are carved with images of the Lord. The inner roof which is plated with gold has the central sculpture of Ganesha."
5,Haji Ali Dargah,4.3,https://www.holidify.com/places/mumbai/haji-ali-dargah-sightseeing-2872.html,13 km  from city center,South Mumbai,"Situated at the backdrop of a beautiful view of the sea is the shrine of Haji Ali, a wealthy merchant turned into Muslim Sufi. People from all walks of life and religions come here to seek blessings."
6,Elephanta caves,4.3,https://www.holidify.com/places/mumbai/elephanta-caves-sightseeing-2866.html,14 km  from city center,,"An UNESCO World Heritage Site, Elephanta Caves is a specimen of rock cut art and architecture from the times of medieval India. It is an island and is located at a distance of 11km from the city of Mumbai. It also provides an amazing view of the Mumbai skyline."
7,Girgaum Chowpatty,4.3,https://www.holidify.com/places/mumbai/girgaum-chowpatty-sightseeing-2863.html,15 km  from city center,South Mumbai,"Girgaum Chowpatty is a small sandy beach and a good place to chill, at the north end of Marine Drive, a must-go place for tourists visiting Marine Drive for the first time. Conveniently located next to Charni Road railway station, the beach is very crowded during evening hours and weekends and hosts street food stalls serving local delicacies. There are cafes/dine-in options available across the road as well."
8,Bandra Worli Sea Link,4.4,https://www.holidify.com/places/mumbai/bandra-worli-sea-link-sightseeing-2861.html,9 km  from city center,South Mumbai,"Spanning across the arc of Mumbai coastline, this sea link is a civil engineering wonder that reflects the modern infrastructure of the city of Mumbai."
9,Chhatrapati Shivaji Terminus,4.4,https://www.holidify.com/places/mumbai/chhatrapati-shivaji-terminus-sightseeing-2885.html,15 km  from city center,South Mumbai,"Also known as Chhatrapati Shivaji Maharaj Terminus, the Victoria Terminus is the main railway station serving Mumbai. Constructed in the Victorian-Gothic style of architecture, the railway station is a declared as a World Heritage Site by the UNESCO. The station is one of the most famous historic landmark symbolizing the pre-independence British Raj in India."
10,Prince of Wales Museum,4.3,https://www.holidify.com/places/mumbai/prince-of-wales-museum-sightseeing-2882.html,17 km  from city center,Fort Mumbai,"The Prince of Wales Museum is regarded as one of the heritage buildings of Mumbai owing to its splendid architecture. The museum comprises of a plethora of ancient, exquisite artefacts relating to the rich and diverse history of India."
11,Essel World,3.6,https://www.holidify.com/places/mumbai/essel-world-sightseeing-2867.html,19 km  from city center,Western Suburbs,"Located on the edge of northern suburbs, Mumbai's favourite adventure and water park, Essel World and Water Kingdom are probably the best themed park and water park in India. During the hot and humid summer or Mumbai, a lot of locals and tourists throng Water Kingdom."
12,"Fashion Street, Mumbai",3.8,https://www.holidify.com/places/mumbai/fashion-street-sightseeing-2868.html,16 km  from city center,Fort Mumbai,"One of the favourite shopping hubs for the people of Mumbai especially the students, the place offers some of the trendiest and latest fashion clothes."
13,Film City Mumbai,3.8,https://www.holidify.com/places/mumbai/film-city-sightseeing-2869.html,10 km  from city center,Western Suburbs,Indian Film Industry accounts as one of the largest in the world and Film City serves as an essential part of it. It is a place where it is difficult to differentiate between the reality and fakeness.
