,Name,Rating,Link,Distance,Location,About
0,"Echo Point, Munnar",4.5,https://www.holidify.com/places/munnar/echo-point-sightseeing-2893.html,11 km  from city center,,"A very beautiful place to visit when in Munnar, which is itself situated at the confluence of three mountain streams _ã_ Mudrapuzha, Nallathanni and Kundala and hence is a very scenic place to visit, Echo Point got its name from the natural echo phenomenon that occurs here. Echo Point is situated at a serene, calm lake bank. When you scream here, you'll be hearing your voice echoed back at you. Placed at an altitude of about 600 ft, Echo Point is located 15 kms away from Munnar, on the way to Top Station."
1,Photo Point,4.4,https://www.holidify.com/places/munnar/photo-point-sightseeing-2905.html,8 km  from city center,,"Photo Point is located 2 kms from Munnar, on the way to the Madupetty Dam. It is a small area of land, filled with calm woods and a small, sparkling stream. Because of its picturesque serenity and calm environment, it is a very popular attraction in Munnar. The place is surrounded by various tea gardens, adding to its natural beauty. The dense tea plantations and surrouding woods, the small rivulets and rolling hills make this place an ideal spot for photography."
2,Atukkad Waterfalls,3.7,https://www.holidify.com/places/munnar/atukkad-waterfalls-sightseeing-2887.html,1 km  from city center,,"Nestled 2 km away from Munnar amidst beautiful hills and lush green jungles, this pristine waterfall makes for romantic escapades and picnics site. However, the road to Atukkad is very narrow and needs a lot of experience to drive on."
3,Top Station,4.4,https://www.holidify.com/places/munnar/top-station-sightseeing-2911.html,21 km  from city center,,"Top Station is located about 32 kilometres away from Munnar, on the border of Kerala and Tamil Nadu. It the highest point in Munnar (1700 metres) to enjoy the panoramic view of the majestic Western Ghats and valley of Theni District of Tamil Nadu. Top Station with its low-lying clouds and abundant foliage, is an excellent example of natural beauty."
4,Pothamedu View Point,3.4,https://www.holidify.com/places/munnar/pothamedu-view-point-sightseeing-2906.html,2 km  from city center,,"Pothamedu View Point, situated 6 km off Munnar, is adorned with stretching hills and lush green mountains. One can witness the spectacular wide views of tea, coffee and cardamom plantations of the area. Trekkers and hikers would love the adrenaline rush of this place."
5,Tata Tea Museum (KDHP Museum),3.4,https://www.holidify.com/places/munnar/tata-tea-or-kdhp-museum-sightseeing-2909.html,1 km  from city center,,"Located in the Nallathanni Estate of Tata Tea around 2 km from Munnar, the KDHP Museum showcases a variety of antiquities, the most famous being the burial urn excavated from the vicinity of Periakanal Estate, dating back to 2nd century AD."
6,Eravikulam National Park,4.4,https://www.holidify.com/places/munnar/eravikulam-rajamalai-national-park-sightseeing-2895.html,13 km  from city center,,"Located 45 min drive away from Munnar, the Eravikulam National Park houses a rich and diverse variety of flora and fauna and is a UNESCO world heritage site. Elephant, Nilgiri langur, Nilgiri marten, Atlas moth (largest in the world), lion-tailed macaque, small-clawed otter and a rare tiger or leopard are some of the main animal species that can be spotted here.



An endangered species of mountain goats called the Nilgiri Thar can also be seen here. The next bloom of Neelakurinji Flowers that bloom ever 12 years will be in 2018."
7,Wonder Valley Adventure and Amusement Park,,https://www.holidify.com/places/munnar/wonder-valley-adventure-and-amusement-park-sightseeing-123869.html,7 km  from city center,,"Wonder Valley Adventure and Amusement Park is an eco-friendly park located in the midst of nature. The park retains the natural landscape of the region to take its guests closer to nature and offers a thrilling experience through its adventure trails and activities. It is a perfect attraction for adventure freaks and for those who want to face and get rid of their fears. There's no age bar and the activities are designed for children, as well as for adults."
8,Kundala Dam & Lake,3.7,https://www.holidify.com/places/munnar/kundala-dam-lake-sightseeing-2900.html,20 km  from city center,,Situated in the laps of lush jungle is Kundala Dam & Lake laying 23 km off Munnar. This arch dam is famous for its Kashmiri-Shikara boat rides and pedal boat rides.
9,Marayoor,4.3,https://www.holidify.com/places/munnar/marayoor-sightseeing-2902.html,23 km  from city center,,"Located just 40 kilometres away from Munnar is a scenic locale by the name of Marayoor, which is famous for its naturally growing sandalwood forest and dolmens from the Stone Age Civilisation. Wrapped in a wispy blanket of glorious clouds, Marayoor has hamlets, sugarcane fields, waterfalls and bamboo forests making it an enchanting landscape of exquisite green beauty. Add to it, the natural blessing of a sea of fragrant sandalwood trees; this place is a sensory experience like no other."
