,Name,Rating,Link,Distance,Location,About
0,Lal Tibba,4.2,https://www.holidify.com/places/mussoorie/lal-tibba-sightseeing-2940.html,2 km  from city center,,"Untouched by commercialisation, Lal Tibba is located on the top of Depot Hill in Landour. It is one of the most stunning viewpoints in the region. From the telescope installed here, one can have panoramic view of Nilkantha peak in Badrinath, Kedarnath peak, and Banderpoonch range of three peaks."
1,Kempty Falls,4.3,https://www.holidify.com/places/mussoorie/kempty-falls-sightseeing-2938.html,5 km  from city center,,"Located on the way between Dehradun-Mussoorie roads, Kempty Falls is a beautiful location to take a dip in water falling from an altitude of 40 feet. It is a perfect place to take a short swim or fish."
2,Gun Hill,4.2,https://www.holidify.com/places/mussoorie/gun-hill-sightseeing-2935.html,0 km  from city center,,"Gun Hill is the second highest peak of Mussoorie and one of the most famous destinations. It offers an enchanting view of some of the highest Himalayan ranges namely Bunderpunch, Srikantha, Pithwara and the Gangotri group, along with a picturesque view of the Mussoorie town and the Doon Valley."
3,Lake Mist,4.2,https://www.holidify.com/places/mussoorie/lake-mist-sightseeing-2939.html,4 km  from city center,,The pristine Lake Mist is among the most beautiful destinations in Mussoorie. The emerald waters are covered by green forest terrains from sides giving the whole scenario a resplendent image making it an ideal for spending the moments of repose with your family and friends.
4,Cloud's End,3.5,https://www.holidify.com/places/mussoorie/clouds-end-sightseeing-2932.html,6 km  from city center,,"6 km west off the Library, the Cloud's end marks the end of Mussoorie. It is covered by thick jungles and tracks 2 km up to the Benog Wildlife Sanctuary. It offers a lovely walking track. This place offers a great view of Aglar River Valley."
5,Mussoorie Mall Road,3.6,https://www.holidify.com/places/mussoorie/the-mall-sightseeing-2944.html,0 km  from city center,,"Located in the heart of Mussoorie, the Mall is a colonial relic with benches and lampposts filled with modern shops, video game parlours and skating rinks."
6,Dhanaulti,3.2,https://www.holidify.com/places/dhanaulti/,16 km  from city center,,"A small hamlet towards East of Landour, Dhanaulti houses the Sukhanda Devi shrine amidst the lushness of Himalayan greenery and attracts numerous pilgrims to its site. You must also visit the Eco Park on the way to Chamba."
7,Nag Tibba Trek,3.5,https://www.holidify.com/places/mussoorie/nag-tibba-trek-sightseeing-8194.html,16 km  from city center,,"Situated near Mussoorie, Nag Tibba is a relatively unknown and a very exhilarating trekking trail. Known as one of the best weekend treks, the place offers a climb of about 10,000 ft amid the snow clad mountains."
8,Company Garden,3.2,https://www.holidify.com/places/mussoorie/company-garden-sightseeing-2933.html,2 km  from city center,,"Located at 3 km from The Mall, Company Garden is a well maintained picnic spot with a mini lake, a flower garden and an amusement park in it. Also known as Municipal Garden, it is one of the best spots for picnic."
9,Jwala Devi Temple Mussoorie,3.2,https://www.holidify.com/places/mussoorie/jwala-devi-temple-sightseeing-2937.html,6 km  from city center,,"Located at an divine altitude atop Benog Hills, Jwala Devi Temple, also popularly known as the Jwala Ji Temple is dedicated to Goddess Durga. One has to trek for about 2 kilometers uphill to reach the temple. The trek offers some panoramic views of the Shivalik ranges, Doon Valley as well as Yamuna River."
