,Name,Rating,Link,Distance,Location,About
0,Mysore Palace,4.4,https://www.holidify.com/places/mysore/mysore-palace-sightseeing-2954.html,2 km  from city center,,"The former residence of the royal family of Mysore, the Mysore Palace is an extremely breath-taking example of the Indo-Sarcenic style of architecture. It was built in the year 1912 for the 24th Ruler of the Wodeyar Dynasty, and is till date one of the biggest palaces in the country. It's one of the most popular and well known tourist attractions in India."
1,Brindavan Gardens,4.2,https://www.holidify.com/places/mysore/brindavan-gardens-sightseeing-2946.html,16 km  from city center,,"Built across the Kaveri river, these beautiful gardens were constructed by Krishnaraja Wodeyar. These gardens spread over 60 acres of land and were modeled after the Shalimar gardens of Kashmir. The beauty of these gardens multiplies in the evenings when the fountains light up in various colors."
2,Somanathapura Temple,3.5,https://www.holidify.com/places/mysore/somnathpur-sightseeing-2959.html,26 km  from city center,,"The village is named after Somnath, the commander of the Hoysala army who founded this place. It has a perfect natural setting for a family picnic. Also, the Somnathpur temple is a classic example of the stone carvings in Hoysala architecture."
3,Mysore Zoo,4.3,https://www.holidify.com/places/mysore/mysore-zoo-sightseeing-2955.html,3 km  from city center,,"One of the best zoological gardens in India, it was established in the year 1892 by Maharaja Chamaraja Wodeyar for the royals and handed over to the Department of Parks and Gardens of the State Govt on attaining freedom.



Along with being home to various species of birds, mammals and reptiles, this zoo also engages in captive breeding of exotic and endangered species."
4,Chamundeshwari Temple,4.2,https://www.holidify.com/places/mysore/chamundeshwari-temple-sightseeing-2947.html,4 km  from city center,,"Built atop the Chamundi Hills, this temple dates back to the 12th century. The idol of the main deity is made of gold. Also featured in this temple is a intricately engraved seven storey Gopuram and a silver plated entrance."
5,Shuka Vana,3.0,https://www.holidify.com/places/mysore/shuka-vana-sightseeing-120775.html,2 km  from city center,,"Home to over 2000 birds, the Shuka Vana in Mysore currently holds the record for most bird species in an aviary in the Guinness Book of World Records. This unique park, commonly known as parrot park, is a part of the Avadhoota Datta Peetham in the Sri Ganapathi Sachidananda Ashram, and also serves as a rehabilitation centre for abused, injured and abandoned birds."
6,Bonsai Garden,3.1,https://www.holidify.com/places/mysore/bonsai-garden-mysore-sightseeing-120774.html,2 km  from city center,,The Bonsai Garden of Mysore is home to over a 100 different varieties of Bonsai trees spread across a vast estate of about 4 acres. It is a part of the Avadoota Datta Peetham of the Sri Ganapathi Sachidananda Ashrama.
7,Karanji Lake,3.8,https://www.holidify.com/places/mysore/karanji-lake-sightseeing-2952.html,4 km  from city center,,"Karanji Lake placed in Mysore Karnataka, is surrounded by a nature park comprising of a butterfly park and an aviary which is the biggest 'walk-through aviary' in India. Also a museum named, the Regional Museum of Natural History is placed on the banks of this lake. The area over which the Karanji lake spans is of 90 hectares. On one hand, the foreshore area covers about 35 hectares waterspread area is about 55 hectares, the foreshore area measures about 35 hectares."
8,GRS Fantasy Park,4.2,https://www.holidify.com/places/mysore/grs-fantasy-park-sightseeing-2950.html,6 km  from city center,,GRS Fantasy Park is a theme based amusement park and one of the favorites among the locals of Mysore. It offers some really amusing rides and activities making it a perfect spot for friends and families to hangout.
9,St,4.3,https://www.holidify.com/places/mysore/st-philomenas-church-sightseeing-2961.html,3 km  from city center,,"Recognized as the second tallest church of Asia, St. Philomena's Church was constructed to pay tribute to the Catholic Saint and martyr of Roman Catholic Church, Saint Philomena. It is one of the most important historical sites in Mysore and is frequently visited by tourists from all over the country."
10,Jaganmohan Palace,4.2,https://www.holidify.com/places/mysore/jaganmohan-palace-sightseeing-2951.html,2 km  from city center,,"The palace that housed the royals before the construction of The Mysore palace, this structure displays various paintings of the past kings of Mysore and is one of the oldest buildings in the city."
11,Talakadu,4.2,https://www.holidify.com/places/talakad/,44 km  from city center,,"Nestled on the banks of River Cauvery, Talakadu is town known for its sand dunes. With a rich past and heritage, the town is also quite famous among the devotees who come here for a special worship."
12,City Shopping,3.4,https://www.holidify.com/pages/shopping-in-mysore-361.html,2 km  from city center,,"While in Mysore, take home Mysore silk saris, Mysore sandalwood artifacts and handicrafts, incense sticks, and traditional Mysore paintings called Ganjifa paintings, that the town is known for."
13,Folklore Museum,3.2,https://www.holidify.com/places/mysore/folklore-museum-sightseeing-2949.html,1 km  from city center,,"A part of the Mysore University, the museum is home to one of the most elaborate collections of folk art, products and articles. Visit the museum to witness one of the most sprawling depictions of the state's folk art"
14,"Rail Museum, Mysore",3.7,https://www.holidify.com/places/mysore/rail-museum-sightseeing-2958.html,2 km  from city center,,"The Mysore Rail Museum is the second of its kind in India, right after the National Railways Museum of Delhi. The museum depicts the journey and development of the Indian railways through an opulent collection of photographs and various other exhibits, housing a plethora of information and insight into the intricacies of the railway engine."
15,Trinesvaraswamy Temple,3.2,https://www.holidify.com/places/mysore/trinesvaraswamy-temple-sightseeing-2963.html,2 km  from city center,,"This ancient temple is located outside the Mysore Fort, the main deity being Trinesvara i.e. the three eyed Shiva. The gopura of this temple was destroyed in the 18th century, but the beauty of the Dravidian architecture is still on display here."
16,Nanjangud,3.7,https://www.holidify.com/places/mysore/nanjangud-sightseeing-2956.html,20 km  from city center,,This temple town is known as the Southern Kashi. The temple is dedicated to Lord Shiva and was built during the Ganga period but renovated by the Wodeyars. Shrines dedicated to various other Gods and Goddesses are there inside the temple.
