,Name,Rating,Link,Distance,Location,About
0,Naini Lake,4.4,https://www.holidify.com/places/nainital/naini-lake-sightseeing-3006.html,1 km  from city center,,"Naini Lake (short for Nainital Lake) is a beautiful natural fresh body lake. The lake is in crescent or kidney shape and is one of the most famous lakes of the Kumaon region. Famous for boating, evening walks and picnics, it offers a breathtaking view, especially during early morning and sunset."
1,Eco Cave Gardens,3.6,https://www.holidify.com/places/nainital/eco-cave-gardens-sightseeing-3000.html,3 km  from city center,,"Famous for its inter connected rocky caves, hanging gardens and the musical fountain, the Eco Garden are a set of six small caves in the shape of various animals. In the evenings, you can see the spectacle of the musical fountain with various audio video effects."
2,Mall Road Nainital,3.6,https://www.holidify.com/places/nainital/the-mall-road-sightseeing-8037.html,1 km  from city center,,"The Mall Road of Nainital, which runs parallel to the Naini Lake, connecting the two ends of the hill town, is the prime shopping, food and cultural centre of the wonder that is Nainital. Whether it is digging into some luscious food or shopping for the cutest local woollens that are to be found, Mall Road is your go-to for it all."
3,Naina Devi Temple,4.4,https://www.holidify.com/places/nainital/naina-devi-temple-sightseeing-8036.html,1 km  from city center,,"Regarded and revered as one of the fifty-one Shakti Peeths, Naina Devi Temple is one of the most renowned places of Hindu worship all over the country. The presiding deity of the Naina Devi Temple is Maa Naina Devi or Mata Sati. It is believed to have been built on the spot where Goddess Sati's eyes fell on Earth."
4,Snow View Point,3.6,https://www.holidify.com/places/nainital/snow-view-point-sightseeing-3010.html,2 km  from city center,,"3 km off Nainital, Snow View offers an expansive and majestic view of the Himalayas. It also houses a quaint little local temple. You can take either the cable car, taxi or a trek up the undulating slopes."
5,Nainital Ropeway,,https://www.holidify.com/places/nainital/nainital-ropeway-sightseeing-122922.html,2 km  from city center,,Nainital Ropeway is the most popular tourist attraction in Nainital and touted as one of the fastest ropeways in India. The aerial ropeway connects Mallital to the Snow viewpoint- from the base to a height of 2270 metres. It offers panoramic views of the breathtaking landscape.
6,Tiffin Top,4.3,https://www.holidify.com/places/nainital/tiffin-top-dorothys-seat-sightseeing-3011.html,1 km  from city center,,"Tiffin Top is a very famous tourist attraction in Nainital, also popularly called as Dorothy's Seat. A fantastic picnic spot in its own right, one gets a complete view of the town of Nainital and its surrounding hills in the Kumaon region from this location. Adventure activities such as rappelling and rock climbing are also conducted here."
7,Adventure Options,3.2,https://www.holidify.com/places/nainital/adventure-options-sightseeing-2999.html,12 km  from city center,,"There are some adventure options available also in this area. During some seasons, paragliding opportunities are available. There are some nearby short trekking routes as well."
8,Naina Peak,3.3,https://www.holidify.com/places/nainital/naina-peak-sightseeing-3005.html,3 km  from city center,,"Also called the China Peak, this range located at a height of 2615 m is a challenging trek. The way up the slope is dotted with beautiful rhododendron bloom. From the peak you can view the Tibet Border and Nanda Devi Peak."
9,Peora,,https://www.holidify.com/places/nainital/peora-sightseeing-124702.html,22 km  from city center,,"Peora can be best described as a hidden gem. Nestled between the Kumaon Hills, it is serene and tranquil with natural beauty in abundance. There are a number of British Era bungalows that give this place a rustic vibe. The scenic beauty with snow capped mountains, juicy fruit laden trees, green meadows and a variety of fauna is inexpressible."
10,Jeolikot,3.5,https://www.holidify.com/places/nainital/jeolikot-sightseeing-8122.html,5 km  from city center,,"Known as the Gateway to Naini Lake, Jeolikot is a pristine hill station brimming with life, colors and butterflies. It is famous for its butterfly population along with its floriculture."
11,Neem Karoli Baba Ashram,3.2,https://www.holidify.com/places/nainital/neem-karoli-baba-ashram-sightseeing-3007.html,7 km  from city center,,"Dedicated to Shri Neem Karoli Baba, who was a Hindu saint and Guru and had a lot of devotees from all over the world. Steve Jobs had come to India in 1974 to become his devotee, though sadly he had passed away by that time."
12,Himalayan View Point,3.2,https://www.holidify.com/places/nainital/himalayan-view-point-sightseeing-3003.html,1 km  from city center,,"5 km off Nainital, this locale offers views of the Himalayan Mountains and is located at 2300 m high."
13,Land's End,3.3,https://www.holidify.com/places/nainital/lands-end-sightseeing-3004.html,2 km  from city center,,"Set across the Khurpa Tal and vast stretches of plains, the Land's End 4 km off the main town is dotted with quaint little hamlets and lush greenery. You can take a pony, horse or taxi from the city."
14,Pangot,3.8,https://www.holidify.com/places/nainital/pangot-sightseeing-3009.html,6 km  from city center,,"Located just 15 kilometres away from Nainital, Pangot is a small villagw which is well known all across the nation for its rich and exotic bird life. Pangot also becomes a hub for photography enthusiasts when hundreds of different species of birds flock here during the harsh winters in the upper Himalayas."
15,Governor's House,3.3,https://www.holidify.com/places/nainital/governors-house-sightseeing-3001.html,1 km  from city center,,"Home to the popular golf course, the Governor's House is a Victorian Gothic edifice built in 1899 by designer F.W. Steven. It resembles the Castle of Scotland very closely and consists of two stories of buildings with 113 rooms, garden, swimming pool and of course, the golf-course."
16,High Altitude Zoo,,https://www.holidify.com/places/nainital/high-altitude-zoo-sightseeing-122920.html,0 km  from city center,,"Established in 1984, Pt. G.B. Pant High Altitude Zoo or Nainital Zoo is situated on the Sher ka Danda hill in Tallital, Nainital. Perched at a height of 2100 metres and spread over an area of 4.6 hectares makes it the only one of its kind. The zoo is home to several endangered species and is a popular tourist spot."
17,Hanuman Garhi,3.3,https://www.holidify.com/places/nainital/hanuman-garhi-sightseeing-3002.html,2 km  from city center,,"Perched atop 6,401 ft. high, the temple was built by a local saint Baba Neem Karoli in 1950 and is located close to Ashram of Bapu Lila Sah and Shitla Devi temple. It also offers a beautiful vista of sunrises and sunsets."
18,Tibetan Market,,https://www.holidify.com/places/nainital/tibetan-market-bhotia-market-sightseeing-122924.html,1 km  from city center,,"Located in the vicinity of the Mall Road in Nainital, Bhutia Market is the most popular street market in the city. Besides an extensive variety of woollens and winter wears, the market is popular for its sumptuous Tibetan food. Roadside stalls and eateries sell mouthwatering thukpa and momos among other regional food items."
19,Khurpa Taal,,https://www.holidify.com/places/nainital/khurpa-taal-sightseeing-122923.html,4 km  from city center,,"At a distance of 12 kms from Nainital, Khurpa Taal is a pristine lake situated at an elevation of 5500 feet. Laced with tall trees, the lake is considered ideal for fishing owing to its crystal clear waters and abundance of freshwater fish. Unexploited by tourists, the lake is a secret haven replete with bounteous nature and idyllic locales."
20,Astronomical Observatory,,https://www.holidify.com/places/nainital/astronomical-observatory-sightseeing-122925.html,2 km  from city center,,"Perched on top of the Manora Peak in Beluwakhan, Nainital, Astronomical Observatory helps you see the stars, celestial bodies, the moon and other heavenly bodies with the help of high powered, imported telescopes. The centre requires you to make prior appointment before visiting the place."
21,Sariyatal,,https://www.holidify.com/places/nainital/sariya-tal-sightseeing-122926.html,3 km  from city center,,"Located near Kaladhungi, Sariyatal is an artificial lake visited for paddle boating and water sports. It is also popular for the Himalayan botanical garden which is a research centre other than being a herbarium and a butterfly park."
22,Himalayan Centre of Sri Aurobindo Ashram,,https://www.holidify.com/places/nainital/himalayan-centre-of-sri-aurobindo-ashram-sightseeing-122927.html,2 km  from city center,,"Himalayan Centre of Sri Aurobindo Ashram aims at helping its visitors attain, peace, health and relaxation of mind through yoga and meditation. The ashram conducts regular workshops, talks, training programmes for stress management and regulating the lifestyle. Also known as Madhuban, the campsite is spread across 30 acres of fruit orchard."
23,Gurney House,,https://www.holidify.com/places/nainital/gurney-house-sightseeing-122928.html,2 km  from city center,,"Gurney House is the former abode of Jim Corbett. The charming colonial cottage has a tiny museum with the achievements and life story of Jim Corbett. A quaint little nursery is also housed in the premises with a variety of shrubberies and plants. Even though the Gurney House is a private residence, tourists are welcome to visit by prior permission."
