,Name,Rating,Link,Distance,Location,About
0,Nilgiri Mountain Railway,4.5,https://www.holidify.com/places/ooty/toy-train-sightseeing-3102.html,1 km  from city center,,"Nilgiri Mountain Railway, also known as Toy Train in Ooty, is one of the key attractions of the popular hill station Ooty. Such is the train's popularity and history that it was declared as a World Heritage Site by UNESCO in 2005."
1,Ooty Lake,4.4,https://www.holidify.com/places/ooty/ooty-lake-sightseeing-3097.html,1 km  from city center,,"Ooty Lake lies at a distance of approximately 2 km from Ooty city in the green hills of the Nilgiris district. The stunning lake is spread over an area of 65 acres, and its foundation was laid down by John Sullivan who was the collector of Coimbatore in 1824."
2,"Emerald Lake, Ooty",4.3,https://www.holidify.com/places/ooty/emerald-lake-sightseeing-3089.html,12 km  from city center,,Emerald lake is an exquisite lake in the upper plateau region of the Nilgiri hills. It is a part of the silent valley and is beside the Red hill nature resort which is a best picnic place of the region.
3,Ooty Botanical Gardens,4.3,https://www.holidify.com/places/ooty/ooty-botanical-gardens-sightseeing-3096.html,2 km  from city center,,The botanical Gardens of Ooty are one of the most sought after and famous tourist destinations in the whole of India. It is located on the hillock of Ooty which is one of the most popular tourist destinations in India.
4,Ooty Rose Garden,3.7,https://www.holidify.com/places/ooty/ooty-rose-garden-sightseeing-3098.html,2 km  from city center,,Rose garden lies in the heart and soul of Ooty.The construction stays to be magnificent and there are small tunnels made wherein the roses are planted.
5,Avalanche Lake,3.5,https://www.holidify.com/places/ooty/avalanche-lake-sightseeing-12048.html,15 km  from city center,,"The Avalanche Lake in the Nilgiris District of Tamil Nadu is a famous tourist spot. Especially renowned among nature enthusiasts and photographers, the lake is set amidst a captivating landscape which is filled with lovely flowers. The waterfalls that fall down the nearby mountains further add to the beauty of the place."
6,"Dolphin's Nose, Ooty",3.3,https://www.holidify.com/places/ooty/dolphins-nose-sightseeing-3087.html,15 km  from city center,,"This is a unique natural site where a protruding rock looks like a dolphin's nose! Climbing up to the spot might require some effort, but it is totally worth it! From this point, one can catch the breathtaking view of the Catherine falls hundreds of meters below and also of the Coonoor stream meeting the Kotogiri stream."
7,Doddabetta Peak,3.5,https://www.holidify.com/places/ooty/dodabetta-peak-sightseeing-8246.html,5 km  from city center,,"Dodabetta, literally translating to mean - Big Peak, is located approximately 10 km away from Ooty. It towers to a staggering height of 8650 feet or 2,623 meters above the sea level and is the highest peak in the Nilgiri Hills. A treat to the eyes, this picturesque land is indeed a great sightseeing place."
8,St Stephen's Church Ooty,3.0,https://www.holidify.com/places/ooty/st-stephens-church-sightseeing-12046.html,1 km  from city center,,The St. Stephen's Church in Ooty is indeed a marvellous and breathtaking architectural marvel located on the road to Mysore in Ooty. It is one of the earliest churches that you will find in the Nilgiris district. The structure dates back to the 19th century and was built by the British government.
9,"Thread Garden, Ooty",3.6,https://www.holidify.com/places/ooty/thread-garden-sightseeing-3100.html,1 km  from city center,,"The thread garden at Ooty is a popular tourist spot that exhibits some of the most magnificent and exquisite collection of artificial flowers and plants, all made by the expert hands of the skilful artists by using JUST thread."
10,Trekking in Ooty,3.3,https://www.holidify.com/places/ooty/trekking-sightseeing-3103.html,0 km  from city center,,"Ooty, once the summer capital of the British in India, is bestowed with the bounty of nature. A favorite sport of the area, trekking has gained admiration with the tourists in the recent years."
11,"Kalhatti Falls, Bellikkal",3.8,https://www.holidify.com/places/ooty/kalhatti-falls-bellikkal-sightseeing-3092.html,8 km  from city center,,Kalhatti falls is called as 'Bird Watcher's Paradise' as it gives you a bird point view of the whole valley. The lovely beauty and calm atmosphere of the place makes it the best for spending vacations and for short trips. Elephants visit this lake frequently which becomes a great sight for the travelers.
12,Tiger Hill Ooty,3.3,https://www.holidify.com/places/ooty/tiger-hill-sightseeing-3101.html,4 km  from city center,,One of the most mesmerizing destinations in Ooty is the Tiger Hill. This exotic spot lies to the east of the hill station and towards the lower end of the Doddabetta peak.
13,"Kotagiri, Coonoor",3.8,https://www.holidify.com/places/ooty/kotagiri-coonoor-sightseeing-3094.html,17 km  from city center,,This is one of the oldest hill stations of the Nilgiris. It is a village in the middle of mind blowing tea plantations. The lush green surrounding and extremely quaint atmosphere makes Coonoor an amazing place to visit.
14,Kamraj Sagar Lake,3.3,https://www.holidify.com/places/ooty/kamraj-sagar-lake-sightseeing-3093.html,6 km  from city center,,Kamraj sagar lake is a dam and is located in the suburbs of Ooty. It is located far away at a distance between the woodlands and thus make an amazing picnic spot.
15,Annamalai Temple,3.3,https://www.holidify.com/places/ooty/annamalai-temple-sightseeing-3082.html,16 km  from city center,,"Annamalai Temple is a situated about 20 km away from Ooty. This place has with time turned into as a famous temple of Lord Muruga, known as 7th Hill house of the lord."
16,"Droog Fort, Coonoor",3.3,https://www.holidify.com/places/coonoor/droog-fort-sightseeing-120790.html,16 km  from city center,,"Droog Fort is located in the area surrounding Coonoor. A trekkers delight, one must undertake some by foot traveling to reach this destination. This old and worn out fort is located 6,000 ft above the plains."
