,Name,Rating,Link,Distance,Location,About
0,Bee falls,3.6,https://www.holidify.com/places/pachmarhi/bee-falls-sightseeing-3121.html,3 km  from city center,,"A beautiful waterfall which provides drinking water to the entire Pachmarhi, Bee falls provide a picturesque view."
1,Jata Shankar caves,3.5,https://www.holidify.com/places/pachmarhi/jata-shankar-caves-sightseeing-3125.html,6 km  from city center,,The Jata Shankar Caves in Pachmarhi are considered sacred as they are popularly believed to be the place where Lord Shiva concealed himself from the wrath of Bhasmasur.
2,Pandava Caves,3.6,https://www.holidify.com/places/pachmarhi/pandava-caves-sightseeing-3127.html,1 km  from city center,,These caves are believed to provide shelter to the Pandavas during their exile period. It is now a protected monument and tourists flock from all over India to see this place.
3,Dhoopgarh,3.5,https://www.holidify.com/places/pachmarhi/dhoopgarh-sightseeing-3122.html,4 km  from city center,,"The highest point in the Satpura range, Dhoopgarh hilltop is a beautiful spot to see marvelous sunsets and sunrises. However, this point can only be reached by trekking. The trekking route is relatively tough as it passes through some waterfalls and valleys."
4,Handi Khoh,3.2,https://www.holidify.com/places/pachmarhi/handi-khoh-sightseeing-3124.html,3 km  from city center,,"One of the most beautiful ravines in Central India, Handi Khoh has a 300 feet high precipice in the middle of a dense forest. The place has a mythological history and is believed to be closely associated with Lord Shiva."
5,Mahadeo hill,3.2,https://www.holidify.com/places/pachmarhi/mahadeo-hill-sightseeing-3126.html,1 km  from city center,,"Situated at an altitude of 1363m, the Mahadeo hill in southern Madhya Pradesh is famous for an ancient shrine of Lord Shiva. The holy shrine holds a divine idol of Lord Shiva and one of the most beautiful shivalingams in the country."
6,Duchess falls,3.2,https://www.holidify.com/places/pachmarhi/duchess-falls-sightseeing-3123.html,21 km  from city center,,"One of the most beautiful cascades in Pachmarhi, the Duchess Falls crash over a hundred meters creating a majestic roar. The beautiful waterfalls bifurcate into three different cascades and a tourist has to travel for 4km to reach the base of the first cataract."
7,Satpura National Park,3.5,https://www.holidify.com/places/pachmarhi/satpura-national-park-sightseeing-120653.html,4 km  from city center,,"The Satpura National Park is an exclusive and pristine landscape that has been preserved primarily for the protection of flora and fauna. It is the perfect place for all those who are tired of the conventional sanctuaries and wildlife parks and want to have a unique experience, away from the usual hustle bustle of the city."
8,Priyadarshini Point (Forsyth point),3.2,https://www.holidify.com/places/pachmarhi/priyadarshini-point-forsyth-point-sightseeing-3128.html,4 km  from city center,,This is the point from where Captain James Forsyth discovered Pachmarhi in the year 1857. It was only after this that Pachmarhi was recognized as a hill station and a resort. Priyadarshini point gives an eagle's eye view of the entire hill station and its serene landscape.
9,Chauragarh Temple,,https://www.holidify.com/places/pachmarhi/chauragarh-temple-sightseeing-122351.html,6 km  from city center,,"Chauragarh Temple is a revered Shiva shrine atop the Chauragarh hill in Pachmarhi, MP. Shaivite devotees have to climb nearly 1300 steps to reach the temple at the crest. The shrine is known for the thousands of tridents stuck in the temple premises, offered by devotees over the years. The view of the sunrise from here is quite breathtaking, so are the surrounding forested valleys."
10,Apsara Vihar,,https://www.holidify.com/places/pachmarhi/apsara-vihar-sightseeing-122353.html,0 km  from city center,,"Deep inside the jungle of Pachmarhi, Apsara Vihar is a lovely, serene waterfall, cascading from 30 feet height and forming a pool of cold water below. This is one of the most popular haunts for travellers and picnickers to take a break from the monotony and spend some time splashing in the water and taking in the ambience of the place."
11,Bade Mahadev,,https://www.holidify.com/places/pachmarhi/bade-mahadev-sightseeing-122352.html,6 km  from city center,,"In the lap of the rugged nature, the Bada Mahadev cave of Pachmarhi is a shrine for Lord Shiva, with idols of Brahma, Vishnu and Ganesh as well. The 60 ft tall cave is believed to be the place where Lord Vishnu killed Demon Bhasmasura. Natural water streams inside the cave forms a holy pool, bathing in which is supposed to wash off one's sins."
12,Reechgarh,,https://www.holidify.com/places/pachmarhi/reechgarh-sightseeing-122354.html,0 km  from city center,,"Reechgarh is a huge cave hidden within the folds of the hill of Pachmarhi, which gets its name from a local legend. The myth says that once a giant bear (reech in Hindi) used to live in this cave. The climb up to the cave is covered with lush greenery, and the caves act as natural air conditioners with cool wind blowing through them."
13,Bison Lodge,,https://www.holidify.com/places/pachmarhi/bison-lodge-sightseeing-122356.html,1 km  from city center,,"Bison Lodge once used to be the resident of British man Captain Forsyth, who came across Pachmarhi in 1857 while leading his troop and settled down here. The lodge now caters to tourists visiting the forests of Satpura hills, while the Museum is a grand display of pictures, models and samples of the flora and fauna of the place."
14,Rajendragiri Sunset Point,,https://www.holidify.com/places/pachmarhi/rajendragiri-sunset-point-sightseeing-122355.html,3 km  from city center,,"Rajendragiri sunset point is a spectacular sunset viewpoint near Pachmarhi, named after the first president of India - Dr Rajendra Prasad as he was a frequent visitor to this spot. As the sun sets beyond the distant hills, you can simply take in the ambience of the place or get busy with your camera to capture the moment."
15,Rajat Prapat Waterfall,,https://www.holidify.com/places/pachmarhi/rajat-prapat-waterfall-sightseeing-122358.html,2 km  from city center,,"Rajat Prapat waterfall tears through the rugged hillsides of Satpura and the greenery that covers it from a height of 107 metres in one single, cascading fall. When the sun shines on it, the fall looks like a stream of shining silver and hence it got its name, as ¥rajat' means silver in Hindi. During the full monsoon, the waterfall is a mighty scene to behold."
16,"Christ Church, Pachmarhi",,https://www.holidify.com/places/pachmarhi/christ-church-sightseeing-122357.html,0 km  from city center,,"Christ Church is a true-blue colonial architecture of the British era, still standing tall amidst tall trees and greenery. The protestant church clings on to the old-world charm and the tall spire, stone structure and Belgian glass panes will quickly transport you back to the bygone times. There is a small cemetery in the premises, bearing epitaphs dating back to the 1800s up to the World Wars."
17,Gupt Mahadev,,https://www.holidify.com/places/pachmarhi/gupt-mahadev-sightseeing-122359.html,6 km  from city center,,"Gupt Mahadev is quite an interesting and mysterious spot near Pachmarhi where spirituality meets adventure.The cave is narrow and meandering, and one has to walk sideways through the 40 feet winding pathways to reach the centre of the Shiva shrine where the lingam is worshipped."
